ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,East Side,(Disco) (N. Belfast Ave.),4 mi. E. on Hwy. 3 ,Augusta,ME,"(YC),(D),(WE),(*)",Bars/Clubs,,,1980,,4/20/2020 1:11pm,7/27/2020 11:34am
3,Miller's,,427 Main St.,Bangor,ME,"(M),(R)",Restaurant,,,1980,,4/20/2020 1:12pm,7/27/2020 11:34am
4,Peter's Candlelight,(Some RT),158 Main St.,Bangor,ME,"(RT),(M)",Bars/Clubs,,,1980,,4/20/2020 1:13pm,7/27/2020 11:34am
9,Moonlight Reader II,"(Books, ect.)",22 Alfred St.,Biddeford,ME,,Book Store,,,1980,,4/20/2020 1:14pm,7/27/2020 11:34am
10,Chuckwagon,,Cooks Corners,Brunswick,ME,"(M),(R)",Restaurant,,,1980,,4/20/2020 1:15pm,7/27/2020 11:34am
13,Sports' Man Athletic Club,(Some L) (Liquor) (Show address book for adm.),18 Canal St. nr. Main,Lewiston,ME,"(YC),(D),(L),(P),(PT),(*)",Bars/Clubs,,,1980,,4/20/2020 1:16pm,7/27/2020 11:34am
15,Anabel's ,(Nights) (Cruisy),US Hwy. 1 ,Ogunquit,ME,"(R),(YC),(D),(*)","Restaurant,Cruising Areas",,,1980,,4/20/2020 1:17pm,7/27/2020 11:34am
16,Clipper Ship Guest House ,,46 Main St.,Ogunquit,ME,(H),Hotels,,,1980,,4/20/2020 1:18pm,7/27/2020 11:34am
18,Linden Lodge ,,24 Shore Rd.,Ogunquit,ME,(H),Hotels,,,1980,,4/20/2020 1:19pm,7/27/2020 11:34am
19,Ogunquit After Dark,"P, AH, BYOB just beyond Playhouse on US 1 N.",,Ogunquit,ME,"(P),(AH),(BYOB)",Bars/Clubs,,,1980,,4/20/2020 1:19pm,7/27/2020 11:34am
21,Valerie's,(Piano bar only),At the Crossroads,Ogunquit,ME,"(M),(R)",Restaurant,,,1980,,4/20/2020 1:20pm,7/27/2020 11:34am
22,Yellow Monkey Guest House,,44 Main St.,Ogunquit,ME,(H),Hotels,,,1980,,4/20/2020 1:21pm,7/27/2020 11:34am
26,Luna Base One,(Disco),Route 2 ,Orono,ME,"(M),(YC),(D)",Bars/Clubs,,,1980,,4/20/2020 1:22pm,7/27/2020 11:34am
27,Denny's,,1210 Brighton Ave.,Portland,ME,"(M),(R),(C),(AH)",Restaurant,,,1980,,4/20/2020 1:22pm,7/27/2020 11:34am
28,One Way Pub,(Many L),10 Union St.,Portland,ME,"(D),(L)",Bars/Clubs,,,1980,,4/20/2020 1:23pm,7/27/2020 11:34am
29,Phoenix ,(Disco) (Also C-AH-WE-subs),83 Oak St.,Portland,ME,"(*),(M),(PT),(D),(C),(AH),(WE)","Bars/Clubs,Restaurant",,,1980,,4/20/2020 1:23pm,7/27/2020 11:34am
30,Roland's Tavern,(Sun. 1 pm - midnight),413 A Cumberland Ave.,Portland,ME,"(D),(E),(*)",Bars/Clubs,,,1980,,4/20/2020 1:24pm,7/27/2020 11:34am
31,Sybil's,,135 Middle St.,Portland,ME,(M),Bars/Clubs,,,1980,,4/20/2020 1:24pm,7/27/2020 11:34am
32,Treasure Chest,(Books),613 Congress St.,Portland,ME,(M),Book Store,,,1980,,4/20/2020 1:24pm,7/27/2020 11:34am
