ID2,title,streetaddress,unclear_address,description,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
6094,Ocean Walk,1 Atlantic Place,,"728-0855/(800)468-0615 on the beach, sundeck",San Juan,PR,"(GF),(SW),(IGTA)",Accommodations,,,1995,7/26/2023 12:07pm
1432,Thomas Floral & Adult Gifts,1 Broadway Ste. 108 ,,"(at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun",Denver,CO,(WC),Bookstores/Retail Shops,,,1995,4/28/2023 9:39am
6093,Numero Uno on the Beach,1 Calle Santa Ana,,"Ocean Park, 726-5010/727-9687 guest house, bar & grille",San Juan,PR,"(*),(GF),(SW),(WC)",Accommodations,,,1995,7/26/2023 12:07pm
6088,Atlantic Beach Hotel,1 Calle Vendig,,Condado 721-6900 bar & restaurant,San Juan,PR,"(*),(MW),(IGTA)",Accommodations,,,1995,7/26/2023 12:07pm
3208,Provincetown Inn,1 Commercial St.,,487-9500 hotel,Provincetown,MA,"(GF),(F),(SW),(WC)",Accommodations,,,1995,4/25/2023 9:22pm
1845,Pier House Resort & Caribbean Spa,1 Duval St.,,"296-4600/ (800)327-8340 priv. beach, 5 restaurants, 5 bars, spa & gym",Key West,FL,"(GF),(SW)",Accommodations,,,1995,4/25/2023 9:22pm
5083,Gerardo's,1 Franklin Square,,"274-5560 4pm-1am, til 2am Fri-Sat",Providence,RI,"(MW),D,(E),(WC)",Bars,,,1995,4/25/2023 9:23pm
4185,One Hot Spot,1 Front St.,,"852-0139 5pm-2am, clsd Mon",New York City,NY,"(MW),D,(MRC-AF),(MRC-L),(WC)",Bars,,"Listed under ""N.Y.C. - Brooklyn.""",1995,4/25/2023 9:23pm
188,Greenwood Hollow Ridge,1 Greenwood Hollow Ridge,,"253-5283 B&B, exclusively lesbigay, RV spaces",Eureka Springs,AR,"(MW),(WC)",Accommodations,,,1995,4/25/2023 9:22pm
5138,Moon Jammers,"1 Heritage Plaza, Pope Ave.",,842-9195 8pm-2am,Hilton Head,SC,"(MW),(NH),D,(A),(S),(PC),(WC)",Bars,,,1995,4/25/2023 9:23pm
2222,Club One,1 Jefferson St.,,232-0200 5pm-3am,Savannah,GA,"(MW),D,(F),(S)",Bars,,,1995,4/25/2023 9:22pm
4136,Wall Street Sauna,1 Maiden Ln. ,,(11th flr.) 233-8900 call for hours,New York City,NY,"(*),MO",Men's Clubs,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/28/2023 10:29am
4023,Artists Cafe,1 Main St.,,"523-9493 8pm-10pm, discreetly frequented by gays",Lake Placid,NY,(BW),Restaurants & Cafes,,,1995,4/25/2023 9:23pm
4685,Whittier News Stand,1 N. Lewis St.,,"592-0767, 24hrs",Tulsa,OK,,Erotica,,,1995,4/25/2023 9:23pm
3093,Globe Corner Bookstore,1 School St.,,(800)358-6013,Boston,MA,,Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
2532,Teana Faye's Riverboat Lounge,1 SE 1st St.,,"425-3523 5pm-3am, clsd Sun",Evansville,IN,"(MW),D,(A),(E),(S),(WC)",Bars,,,1995,4/25/2023 9:22pm
3055,Ivy House Bed & Breakfast,1 Sunset Ct.,,549-7554 patio,Amherst,MA,(GF),Accommodations,,,1995,4/25/2023 9:22pm
4798,Mikuni Travel Service,1 SW Columbia Ste. 1010,,227-3639/ (800)248-0624,Portland,OR,(IGTA),Bookstores/Retail Shops,,,1995,4/25/2023 9:23pm
3850,Sauvage,1 Victory Blvd. Plaza,,"727-6619 9pm-3am, clsd Mon, more men Th",South Amboy,NJ,"(W),D",Bars,,,1995,4/25/2023 9:22pm
2998,Hippo,1 W. Eager St.,,"547-0069 3pm-2am, 3 bars",Baltimore,MD,"(*),(MW),D,(K),(V),(WC)",Bars,,,1995,4/25/2023 9:22pm
4110,Cafe Risque,2 Bank St.,,"675-7710 market-style cuisine, exotic desserts, cabaret, full bar, some veggie",New York City,NY,(*),Restaurants & Cafes,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
2930,Sportsman's Club,2 Bates St.,,"784-2251 8pm-1am, from 4pm Sun",Lewiston,ME,"(*),(MW),D",Bars,,,1995,4/25/2023 9:22pm
6095,Barefoot Bar,2 Calle Vendig,,"Condado, 724-7230 beach bar, 9am-3am",San Juan,PR,"(*),(F)",Bars,,,1995,7/26/2023 12:07pm
5092,Tri-Travel,2 Charles St.,,272-2990/(800)842-33115 ask for Roger,Providence,RI,(IGTA),Travel/Tour Operators,,,1995,4/25/2023 9:23pm
4917,Grown Ups,2 E. Mechanic St.,,862-9304 opens 11am,New Hope,PA,,Erotica,,,1995,4/25/2023 9:23pm
2965,"Adventure Travel, Inc.","2 Elsie Way, Scarborough",,885-5060,Portland,ME,(IGTA),Travel/Tour Operators,,,1995,4/25/2023 9:22pm
3849,"Network, For the 10% Plus","2 Julie Dr., Edison, 08820",,754-2288,Somerset,NJ,,Publications,,,1995,4/25/2023 9:22pm
4039,"Network, The","2 Julie Dr., Edison, NJ, 08820",,"(908)754-2288, regional, covers central east coast",New York City,NY,,Publications,,"Listed under ""N.Y.C. - Overview.""",1995,4/25/2023 9:23pm
4982,"Network, The","2 Julie Drive, Edison, NJ 08820",,"(908)754-2288, regional, covers central East Coast",Philadelphia,PA,,Publications,,,1995,4/25/2023 9:23pm
3614,West End Cafe,2 N. Euclid Ave.,,"361-2020 lunch, dinner, American",St. Louis,MO,,Restaurants & Cafes,,,1995,4/25/2023 9:22pm
3012,Donna's Coffee Bar,2 W. Madison,,385-0180,Baltimore,MD,(BW),Restaurants & Cafes,,,1995,4/25/2023 9:22pm
3090,Icarus,3 Appleton St.,,426-1790,Boston,MA,,Restaurants & Cafes,,,1995,4/25/2023 9:22pm
6087,3 Elena Guest House,3 Elena St.,,"728-7418 garden setting, at the gay beach",San Juan,PR,"(*),(MW),(F),(SW)",Accommodations,,,1995,7/26/2023 12:07pm
5069,Raffles,3 Farewell St.,,847-9663 9pm-1am,Newport,RI,"(*),D",Bars,,,1995,4/25/2023 9:23pm
185,Cedarberry Cottage B&B,3 Kings Hwy.,,253-6115 hot tubs,Eureka Springs,AR,(GF),Accommodations,,,1995,4/25/2023 9:22pm
2963,Communiques,3 Moulton St.,,"773-5181, 10am-6pm, cards, gifts & clothing",Portland,ME,,Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
2957,"Underground, The",3 Spring St.,,773-3315 4pm-1am,Portland,ME,"(*),(MW),D,(S)",Bars,,,1995,4/25/2023 9:22pm
3212,Richmond Inn,4 Conant St.,,487-9193,Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
3232,Atlantic House Hotel,4 Masonic Pl. ,,(The Big Room) 487-3821 9pm-1am,Provincetown,MA,"(*),D",Bars,,,1995,4/28/2023 10:27am
1015,Lily's,4 Valencia St.,,864-7208 11am-2am,San Francisco,CA,"(NH),(S)",Bars,,"Listed under ""S. F. - Castro Area"".",1995,4/25/2023 9:22pm
1483,"Water Hole Custom Leather, The",4 West Rd.,,875-7071 clsd Mon,Ellington,CT,,Erotica,,,1995,4/25/2023 9:22pm
2249,Sideout,4-1330 Kuhio Hwy.,,822-0082 noon-2am,"Kapaa, Kauai",HI,"(*),(GF),(F),(E),(WC)",Bars,,,1995,4/25/2023 9:22pm
1526,Norwich Book & Video,5 Falls Ave.,,887-5058,Norwich,CT,,Erotica,,,1995,4/25/2023 9:22pm
4604,Why Not Cafe,5 N. Murray St.,,"324-9304 8:30pm-1am, til 2:30am Fri-Sat",Springfield,OH,"D,(S)",Bars,,,1995,4/25/2023 9:23pm
3517,Independence Place,5 S. Henderson St.,,"334-2939 9pm-1am, from 7pm Fri-Sat, clsd Sun",Cape Girardeau,MO,"(MW),D,(S)",Bars,,,1995,4/25/2023 9:22pm
3606,Magnolia's,5 S. Vandeventer,,"652-6500 5pm-3am, dinner nightly",St. Louis,MO,"(*),(F),(S),(WC)",Bars,,,1995,4/25/2023 9:22pm
2975,Treasure Chest,5 Sanger,,873-7411,Waterville,ME,,Erotica,,,1995,4/25/2023 9:22pm
3226,Victoria House,5 Standish St.,,487-4455,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
3218,Shiremax Inn,5 Tremont St.,,487-1233,Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
4911,Karla's,5 W. Mechanic St.,,"862-2612 lunch, dinner & late night brkfst, full bar",New Hope,PA,(E),Restaurants & Cafes,,,1995,4/25/2023 9:23pm
3204,Mayflower Apartments & Cottages,6 Bangs St.,,487-1916,Provincetown,MA,(GF),Accommodations,,,1995,4/25/2023 9:22pm
6090,Condado Inn,6 Condado Ave,,"Condado 724-7145 guest-house w/ terrace restaurant & lounge, 1/2 blk. to beach",San Juan,PR,"(*),(MW)",Accommodations,,,1995,7/26/2023 12:07pm
3166,Ampersand Guest House,6 Cottage St.,,487-0959,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
4097,Shelter,6 Hubert St. ,,"(at Hudson St.) 677-2582 10pm-6am Tues, Fri-Sat, call for theme nights, no alcohol",New York City,NY,"(GF),D,(MRC-AF)",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/28/2023 9:41am
189,Maple Leaf Inn,6 Kings Hwy.,,"253-6876/ (800)372-6542 restored Victorian, jacuzzis, full brkfst",Eureka Springs,AR,(GF),Accommodations,,,1995,4/25/2023 9:22pm
2953,Blackstones,6 Pine St.,,775-2885 4pm-1am,Portland,ME,"(NH),(WC)",Bars,,,1995,4/25/2023 9:22pm
1906,Inn Exile,6 S. 'J' St.,,"582-4144 3pm-2am, til midnight Sun (movie night)",Lake Worth,FL,"(K),(V)",Bars,,,1995,4/25/2023 9:22pm
2940,Leisure Inn,6 School St.,,"646-2737 B&B, seasonal",Ogunquit,ME,(GF),Accommodations,,,1995,4/25/2023 9:22pm
3219,Six Webster Place,6 Webster Pl.,,"487-2266 B&B, patio",Provincetown,MA,"(*),(MW)",Accommodations,,,1995,4/25/2023 9:22pm
3184,Chicago House,6 Winslow St.,,487-0537,Provincetown,MA,"(*),(MW)",Accommodations,,,1995,4/25/2023 9:22pm
3851,Woolverton Inn,6 Woolverton Rd.,,"397-0802 B&B, full brkfst wknds",Stockton,NJ,"(GF),(WC)",Accommodations,,,1995,4/25/2023 9:23pm
3249,Napi's,7 Freeman St.,,487-1145,Provincetown,MA,(WC),Restaurants & Cafes,,,1995,4/25/2023 9:22pm
3187,Coat of Arms,7 Johnson St.,,487-0816 seasonal,Provincetown,MA,(*),Accommodations,,,1995,4/25/2023 9:22pm
3087,Venus de Milo,7 Lansdowne St.,,"421-9595 gay Wed only, 9pm-2am",Boston,MA,"(MW),D",Bars,,,1995,4/25/2023 9:22pm
184,"Arbour Glen, The",7 Lema,,253-9010 full brkfst,Eureka Springs,AR,(MW),Accommodations,,,1995,4/25/2023 9:22pm
38,Frontiers,7 S. Joachim St.,,,Mobile,AL,"(MW),(D),(F),(E),(PC)",Bars,,,1995,4/25/2023 9:22pm
3228,Watership Inn,7 Winthrop St.,,487-0094,Provincetown,MA,"(*),(MW)",Accommodations,,,1995,4/25/2023 9:22pm
3613,Sunshine Inn,8 1/2 S. Euclid Ave.,,"367-1413 clsd Mon, vegetarian",St. Louis,MO,,Restaurants & Cafes,,,1995,4/25/2023 9:22pm
6080,Villa Ricomar,8 Calle Paz,,"Carretera 459, Barrio Jobos. Opens 9pm Fri-Sat, from 6pm Sun",Isabela,PR,"(MW),(D),(S)",,,,1995,7/26/2023 12:07pm
3213,Roomers,8 Carver St.,,"487-3532, seasonal",Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
4091,Pieces,8 Christopher St.,,929-9291 2pm-4am,New York City,NY,"(NH),(V)",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
3185,Christopher Inn,8 Dyer St.,,487-1920,Provincetown,MA,(SW),Accommodations,,,1995,4/25/2023 9:22pm
3356,Taylors,8 Ionia,,"454-4422 11am-2am, til 4am Fri-Sat, from 4pm Sun",Grand Rapids,MI,"(GF),(F),(E)",Bars,,,1995,4/25/2023 9:22pm
3222,Swanberry Inn,8 Johnson St.,,487-4242/ (800)847-7926,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
5133,"Castle, The",8 Le Grand Blvd.,,"235-9949 8pm-4am, 6pm-3am Sun",Greenville,SC,"(*),(MW),D,(S),(V),(YC),(PC),(WC)",Bars,,,1995,4/25/2023 9:23pm
2979,William Page Inn,8 Martin St.,,626-1506 full brkfst,Annapolis,MD,(GF),Info Lines & Services,,,1995,4/25/2023 9:22pm
3417,Northland Gay Men's Center,8 N. 2nd Ave. E. Ste. 309,,722-8585,Duluth,MN,,Info Lines & Services,,,1995,4/25/2023 9:22pm
1533,Choices,8 N. Turnpike Rd.,,"949-9380 7pm-1am, clsd Sun-Mon",Wallingford,CT,"D,(E)",Bars,,,1995,4/25/2023 9:22pm
15,Casey's Gym,"8 Office Park Cir., Hwy. 280, Mountain Brook",,"870-1779 6am-9pm, til 6pm Sat, from noon Sun",Birmingham,AL,(GF),Gyms & Health Clubs,,,1995,4/25/2023 9:22pm
3837,Edwards Travel Service,8 S. Tulane St.,,924-4443/ (800)669-9692,Princeton,NJ,,Travel/Tour Operators,,,1995,4/25/2023 9:22pm
5108,Charleston Columns,8 Vanderhorst St.,,"722-7341 guesthouse in historic district, 1 deluxe suite & 2 doubles, off-street parking",Charleston,SC,(MW),Accommodations,,,1995,4/25/2023 9:23pm
4914,Wildflowers,8 W. Mechanic St.,,"862-2241 noon-10pm, outdoor dining, seasonal",New Hope,PA,(BYOB),Restaurants & Cafes,,,1995,4/25/2023 9:23pm
3175,"Brass Key Guesthouse, The",9 Court St.,,"487-9005/ (800)842-9858 seasonal, heated spa",Provincetown,MA,"(*),(WC)",Accommodations,,,1995,4/25/2023 9:22pm
3193,Elm Guest House,9 Johnson St.,,"487-0793, seasonal",Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
1524,B.W. Travel,9 Mott Ave.,,852-0200,Norwalk,CT,(IGTA),Travel/Tour Operators,,,1995,4/25/2023 9:22pm
3993,Fire Island Pines,"9 Ocean Walk, Fire Island Pines",,597-6767 seasonal,Fire Island,NY,,Accommodations,,,1995,4/25/2023 9:23pm
5645,Sea Gate,9 Tazewell Ave.,,"331-2206 B&B, nr. beach, afternoon tea",Cape Charles,VA,(GF),Accommodations,,,1995,4/25/2023 9:23pm
1520,Frank's Place,9 Tilley St.,,"443-8883 4pm-1am, til 2am Fri-Sat, huge patio, Sun brunch",New London,CT,"(MW),D,(E),(WC)",Bars,,,1995,4/25/2023 9:22pm
5710,"Stag, The",9 W. Salem Ave.,,"982-1668 2pm-2am, from 7pm Sun-Mon",Roanoke,VA,"(MW),(NH)",Bars,,,1995,4/25/2023 9:23pm
3196,Gifford House,9-11 Carver St.,,"487-0688, seasonal",Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
3116,Club 9-11,9-11 Williams St.,,884-9533 4pm-1am,Chelsea,MA,"(MW),(NH),D,(WC)",Bars,,,1995,4/25/2023 9:22pm
196,Center Street Bar & Grill,10 Center St.,,"253-8102 5pm-2am, clsd Sun",Eureka Springs,AR,"(GF),D,(F),(E)",Bars,,,1995,4/25/2023 9:22pm
5079,Devilles,10 Davol Sq. ,,"(Simmons Bldg.) 751-7166 opens 4pm, from 6pm wknds, clsd Mon",Providence,RI,"(W),(NH),D,(F),(WC)",Bars,,,1995,4/28/2023 10:31am
4629,Sophie's,10 E. LaClede,,782-8080 4pm-2:30am (unconfirmed Fall '94),Youngstown ,OH,"(MW),(NH)",Bars,,,1995,4/25/2023 9:23pm
5933,Friends,10 E. Sherman Ave.,,563-2231 11am-2am,Fort Atkinson,WI,(GF),Bars,,,1995,4/25/2023 9:23pm
193,Rock Cottage Gardens,10 Eugenia St.,,"253-8659/ (800)624-6646 full brkfst, hot tubs",Eureka Springs,AR,(MW),Accommodations,,,1995,4/25/2023 9:22pm
3355,Diversions,10 Fountain St. NW,,"451-3800 11am-2am, from 8pm wknds",Grand Rapids,MI,"(MW),D,(F),(V),(WC)",Bars,,,1995,4/25/2023 9:22pm
4884,Grim's Manor B&B,10 Kern Rd.,,683-7089 jacuzzi,Kutztown,PA,(GF),Accommodations,,,1995,4/25/2023 9:23pm
1219,Sutter's Mill,10 Mark Ln. ,,"(Off Bush St.) 788-8377 10am-10pm, lunch weekdays, popular cocktail hour",San Francisco,CA,(F),Bars,,"Listed under ""S.F.- Downtown"".",1995,4/28/2023 10:22am
197,Chelsea's Corner Cafe,10 Mountain St.,,"253-6723 11am-2am, clsd Sun",Eureka Springs,AR,(GF),Bars,,,1995,4/25/2023 9:22pm
3621,"Pages, Video, & More",10 N. Euclid Ave.,,"361-3420, 9am-9pm, til 5pm Sun",St. Louis,MO,,Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
3125,Gull Cottage,"10 Old Church St., Yarmouth Port",,362-8747 guesthouse,Hyannis,MA,"(MW),(WC)",Accommodations,,,1995,4/25/2023 9:22pm
3153,Pearl St. Cafe,10 Pearl St.,,584-7810 9pm-1am Wed only,Northampton,MA,"(MW),D",Bars,,,1995,4/25/2023 9:22pm
4246,Club Manbara,10-12 S. Washington St.,,423-9748 8pm-2am,Rochester,NY,"(MW),(S)",Bars,,,1995,4/25/2023 9:23pm
3483,Esteban's,11 4th St. SE,,"281-3201 11am-10pm, Mexican, full bar",Rochester,MN,(WC),Restaurants & Cafes,,,1995,4/25/2023 9:22pm
1568,Everybody's,11 E. 4th St.,,"(upstairs) opens 10pm, clsd Sun-Tues (unlicensed; AYOR)",Wilmington,DE,"(MW),D,(MRC-AF),(AYOR)",Bars,,,1995,4/28/2023 9:35am
4299,Scandals/Getaways/Cahoots,11 Grove St.,,"252-2838 2 bars, 10pm-3am, clsd Sun-Wed; also restaurant 6pm-midnight, clsd Sun-Tues",Asheville ,NC,"(*),(MW),D,(A),(S),(V),(WC)",Bars,,,1995,4/25/2023 9:23pm
797,House of Thousand Flowers,"11 Mosswood Circle, Cazadero",,632-5571 full brkfst,Guerneville,CA,(GF),Accommodations,,"Listed under ""Russian River Resort (All are Guerneville until noted).""",1995,4/25/2023 9:22pm
3207,Plaza Guest House,11 Pearl St.,,487-1818,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
5033,Red Star,11 S. 10th St.,,"375-4116 5pm-2am from 8pm Tues, clsd Mon, patio",Reading,PA,"(*),D,(F),(OC)",Bars,,,1995,4/25/2023 9:23pm
3620,Our World Too,11 S. Vandeventer,,"533-5322 10am-9:30pm, noon-8pm Sun, lesbigay bookstore",St. Louis,MO,(*),Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
194,Singleton House,11 Singleton,,"253-9111/ (800)833-3394 1890s Victorian, nr. shops, full brkfst",Eureka Springs,AR,(GF),Accommodations,,,1995,4/25/2023 9:22pm
3197,Haven House ,12 Carver St.,,487-3031,Provincetown,MA,"(*),(SW)",Accommodations,,,1995,4/25/2023 9:22pm
3225,Twelve Center Guest House,12 Center St.,,487-0381,Provincetown,MA,(GF),Accommodations,,,1995,4/25/2023 9:22pm
3224,Trade Winds,12 Johnson St.,,487-0138,Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
3637,Ms. Kitty's Adult Store,12 N. Wilson,,586-6989,Bozeman,MT,,Erotica,,,1995,4/25/2023 9:22pm
3782,Brass Rail Bar & Grill,12 S. Mt. Vernon Ave.,,348-0192 24hrs,Atlantic City,NJ,"(*),(NH),(E),(S)",Bars,,,1995,4/25/2023 9:22pm
4099,Sound Factory,12 W. 21st St.,,"206-7770/7772 10pm-4am, more gay Fri-Sun, clsd Mon-Tues",New York City,NY,"(GF),D",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
3171,Beaconlite Inn,12 Winthrop,,487-9603,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
2944,"Club, The",13 Main St.,,"646-6655 4pm-1am, seasonal",Ogunquit,ME,"(*),D,(F),(V)",Bars,,,1995,4/25/2023 9:22pm
4748,"City Nightclub, The",13 NW 13th Ave.,,"224-2489 10pm-2am, til 4am Fri-Sat, clsd Mon-Tues, no alcohol",Portland,OR,"(*),(MW),D,(18+)",Bars,,,1995,4/25/2023 9:23pm
3188,Courtland House,14 Court St.,,487-2292,Provincetown,MA,(MW),Accommodations,,,1995,4/25/2023 9:22pm
4405,"Taylor House Inn, The",14 N. 7th St.,,"763-7581/(800)382-9982 full brkfst, 15 min, to beaches",Wilmington,NC,(GF),Accommodations,,,1995,4/25/2023 9:23pm
2568,Indiana News,14 W. Maryland,,"636-7680, 6am-7pm, til 6pm wknds",Indianapolis,IN,,Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
5963,"United, The",14 W. Mifflin St. Ste. 103,,"255-8582, 9am-5pm Mon-Fri, drop-in center, library, counseling services, call ahead",Madison,WI,,Info Lines & Services,,,1995,4/25/2023 9:23pm
3157,Haymarket Cafe,15 Amber Ln.,,"586-9969, 9am-midnight, clsd Mon",Northampton,MA,,Restaurants & Cafes,,,1995,4/25/2023 9:22pm
5607,Dally Planet,15 Center St.,,"862-9647, 11:30pm, eclectic ethnic, plenty veggie, full bar",Burlington,VT,,Restaurants & Cafes,,,1995,4/25/2023 9:23pm
4130,Oscar Wilde Memorial Bookshop,15 Christopher St.,,"255-8097, 11:30am-7:30pm, lesbigay",New York City,NY,,Bookstores/Retail Shops,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
2959,Walter's Cafe,15 Exchange St.,,"871-9258, 11am-9pm",Portland,ME,,Restaurants & Cafes,,,1995,4/25/2023 9:22pm
1547,Beach House,15 Hickman St.,,227-7074/ (800)283-4667 B&B,Rehoboth Beach,DE,"(GF),(SW)",Accommodations,,,1995,4/25/2023 9:22pm
3069,Avalon,15 Lansdowne St.,,262-2424 gay Sun only,Boston,MA,"(*),D,(YC)",Bars,,,1995,4/25/2023 9:22pm
2654,Mini Cinema,15 N. 5th St.,,955-9756,Fort Dodge,IA,,Erotica,,,1995,4/25/2023 9:22pm
2659,Prairie Light Bookstore,15 S. Dubuque St,,337-2681,Iowa City,IA,(WC),Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
4407,Palladium,15 S. Front St.,,"343-1000 9pm-2:30am, clsd Mon",Wilmington,NC,"(MW),D,(S),(PC),(WC)",Bars,,,1995,4/25/2023 9:23pm
4089,Nylon,15 St. Marks Pl.,,"(718)522-5911 11pm-6am alternate Sat, original dance music & mixing",New York City,NY,"D,(S)",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
4064,Boy Bar,15 St. Marks Place,,674-7959 10pm-4am Th,New York City,NY,"(S),(WC)",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
5146,Heritage Book Store,16 1st Ave. SE,,225-9969,Aberdeen,SD,,Erotica,,,1995,4/25/2023 9:23pm
5066,Hydrangea House of Newport,16 Bellevue Ave.,,"846-4435/ (800)945-4667 B&B nr. beach, full brkfst, non-smoking",Newport,RI,"(MW),(IGTA)",Accommodations,,,1995,4/25/2023 9:23pm
3561,Current News,16 E. 39th St.,,561-2679,Kansas City,MO,,Publications,,,1995,4/25/2023 9:22pm
3605,Loading Zone,16 S. Euclid,,"361-4119 2pm-1am, clsd Sun",St. Louis,MO,"(MW),(V)",Bars,,,1995,4/25/2023 9:22pm
3839,Earth Spirit,16 W. Front St.,,"842-3855, 10am-6pm, til 8pm Fri, noon-5pm Sun, new age bookstore",Red Bank,NJ,,Bookstores/Retail Shops,,,1995,4/25/2023 9:22pm
3183,Chancellor Inn,17 Center St.,,487-9423,Provincetown,MA,,Accommodations,,,1995,4/25/2023 9:22pm
2223,Faces II,17 Lincoln St.,,"233-3520 11am-3am, patio",Savannah,GA,"(MW),(NH),(F),(WC)",Bars,,,1995,4/25/2023 9:22pm
4106,Warsaw,17 W. 19th St.,,"633-1717 from 10pm Fri-Sat, from 8pm Mon",New York City,NY,"D,(YC)",Bars,,"Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,4/25/2023 9:23pm
