ID2,title,description,amenityfeatures,streetaddress,type,city,state,unclear_address,Year,unclear type or question,notes,Last Modified
115,Village Landing ,(Disco) (Some L),"(*),(YC),(L)",3028 N. 6th St.,Bars/Clubs,Ft. Smith,AR,,1989,,,6/8/2022 12:52pm
122,Our House Lounge,(Disco-upstairs) ,(*),336 Central Ave.,Bars/Clubs,Hot Springs,AR,,1989,,,6/8/2022 12:52pm
125,American Arcade ,,,4524 Asher,Business,Little Rock,AR,,1989,,,7/25/2022 1:58pm
128,Books-n-Looks,"(Peeps, Movies, Mags.)",,4000 Asher Ave.,"Book Store,Erotic Shop",Little Rock,AR,,1989,,,7/25/2022 1:59pm
129,Chaps ,,"(P),(C&W)",1701 University ,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
130,Christopher's,,"(R),(D)",601 Center St.,"Bars/Clubs,Restaurant",Little Rock,AR,,1989,,,1/18/2023 10:01am
132,Discovery II,(Disco) (Riverfront Dr. off Cantrell Rd.),"(*),(YC),(S),(P),(AH)",1020 Jessie Rd.,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
133,Fifth Gear,(Some L) (Side entrance),"(*),(L),(D),(S),(PT),(V)",3519 Old Cantrell Rd.,Bars/Clubs,Little Rock,AR,,1989,,,7/25/2022 2:00pm
134,Little Rock Inn,,(H),601 Center St.,Hotel,Little Rock,AR,,1989,,,6/8/2022 12:52pm
136,Preston's ,(Disco),"(P),(YC),(PT),(R)",5618 Asher ,Restaurant,Little Rock,AR,,1989,,nr. University,6/8/2022 12:52pm
137,Silver Dollar,,(L),2710 Asher Ave.,Bars/Clubs,Little Rock,AR,,1989,,,6/8/2022 12:52pm
139,Twisted Entertainment ,(Gift shop),,7201-B Asher Ave.,Book Store,Little Rock,AR,,1989,,,6/8/2022 12:52pm
148,Adult Book Store,,(P),414 State Line Ave.,"Book Store,Erotic Shop",Texarkana,AR,,1989,,,7/19/2022 12:51pm
151,St. Elmo's,(E-WE),"(M),(W),(PT),(E),(WE)",36 Brewery Gulch Ave,Bars/Clubs,Bisbee,AZ,,1989,,,6/8/2022 12:52pm
157,Kings Inn Best Western,,"(H),(M)",2930 E. Andy Devine,Hotel,Kingman,AZ,,1989,,,6/8/2022 12:52pm
162,Al E. Gators,(Guppie) ,"(*),(PE),(YC)",4343 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
163,Apollo's ,(Hot cocktail hour) (Some SM) ,"(*),(SM),(PT)",5749 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
164,Attitudes,,(M),921 W. Camelback,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
165,Barney's Books,,,1421 E. McDowell Rd.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
166,Book Cellars,"(Books, etc.) ",,2103 W. Camelback Rd.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
167,Book Cellars,"(Books, etc.) ",,402 W. Hatcher,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
168,Bum Steer ,(Levi) ,"(V),(PT),(AH)",4620 N. 7th Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,7/25/2022 2:00pm
169,Castle Adult Books,(Cruisy) ,,5501 E. Washington,"Book Store,Cruising Areas",Phoenix,AZ,,1989,,,6/8/2022 12:54pm
170,Cattleman's Exchange,(Hayloft-upstairs),"(OC),(N)",138 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
171,Charlie's ,(Square-D) (Cloggers),"(*),(C&W),(D),(PT)",727 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
173,Crusin' Central ,(Some OC) (Hustlers),"(OC),(RT),(AYOR)",1011 N. Central Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
175,Dime Store,,"(*),(V),(PT)",1810 E. McDowell,Bars/Clubs,Phoenix,AZ,,1989,,,7/25/2022 2:00pm
176,Durant's ,(Cocktail hour),"(M),(R)",2611 N. Central ,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
177,Farrah's ,"(Some L, YC) (Disco)","(L),(YC),(PT)",4158 Grand Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
178,Fergy's ,,(N),3025 W. 24th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
180,Flex Health Club Phoenix,,(P),1517 S. Black Canyon Rd.,Health Clinic,Phoenix,AZ,,1989,,,1/3/2023 9:45pm
181,"Firstravel, Ltd",,(IGTA),5150 N. 7th St.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
184,Goog's ,,"(R),(AH)",1812 E. Camelback Rd.,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
185,Humanspace Books Inc. ,,,1617 N. 32nd St.,Book Store,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
186,Impulse,(Strippers) ,(S),2326 E. Indian School,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
187,Incognito Lounge,,"(L),(D),(*)",2424 E. Thomas Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
188,Little Jim's,(Hustlers) ,"(OC),(PT),(RT)",222 E. Roosevelt ,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
189,M.C.C.,(Case de Christo) ,(MCC),1029 Turney ,Religious Institution,Phoenix,AZ,,1989,,,1/3/2023 9:45pm
190,Network ,(Hustlers),"(S),(*)",3025 N. 24th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
191,New Camel Club,,"(R),(S),(E)",5105 N. 43rd St.,Restaurant,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
192,New Moon,(Disco),(L),3108 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
193,Nu Towne,(*Tue.&Sun.),"(PT),(YC),(*)",5002 E. Van Buren,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
195,Ramrod ,(Patio) (Sun.*) ,"(SM),(W),(*)",395 N. Black Canyon Rd.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
196,Royal Villa Motel ,(602) 266-6883,(IGTA),1102 E. Turney Ave.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
197,Stixx ,,"(N),(PT),(D)",3015 N. 16th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
198,Talk of the Town,,(L),4301 N. 7th Ave.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
199,Taylor's,,"(*),(E)",4223 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
200,The Club,,"(*),(E)",4223 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
201,Travel Registry ,,(IGTA),3819 N. 3rd St.,Travel Agency,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
202,Traxx,(Disco) (AH-WE),"(*),(YC),(AH),(WE),(PT)",1724 E. McDowell,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
203,Tuff Stuff ,"(Leather, Toys, etc.)",,1714 E. McDowell,Erotic Shop,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
206,Winks,(Some PE) (Sun. brunch) ,"(*),(E),(PE)",5707 N. 7th St.,Bars/Clubs,Phoenix,AZ,,1989,,,6/8/2022 12:52pm
216,Brazil ,(Disco) (Hi-tech),"(*),(YC)",7232 First St.,Bars/Clubs,Scottsdale,AZ,,1989,,,6/8/2022 12:52pm
217,Mr. B's Pub,(In alley),"(YC),(PE)",7125 5th Ave.,Bars/Clubs,Scottsdale,AZ,,1989,,,6/8/2022 12:52pm
218,Zorba's Book Shop,,(*),2924 N. Scottsdale Rd.,Book Store,Scottsdale,AZ,,1989,,,6/8/2022 12:52pm
220,Marie's 1st Place,,"(M),(R)",709 S. Mill Ave.,Restaurant,Tempe,AZ,,1989,,,6/8/2022 12:52pm
221,Modern World Adult Books,,,1812 E. Apache,Book Store,Tempe,AZ,,1989,,,1/3/2023 9:47pm
229,Blue Willow,(R & gifts),"(M),(R)",2626 N. Campbell,Restaurant,Tucson,AZ,,1989,,,6/8/2022 12:52pm
230,Books Brothers,,(*),3242 E. Speedway,Book Store,Tucson,AZ,,1989,,,6/8/2022 12:52pm
231,Bookstore Southwest,(24 hrs.),,1400 S. Alvernon,Book Store,Tucson,AZ,,1989,,,6/8/2022 12:52pm
233,Caesar's Book Store,,(F&S),2540 N. Miracle Mile,Book Store,Tucson,AZ,,1989,,,6/8/2022 12:52pm
234,Collett's,,"(L),(D),(P),(V)",3143 E. Speedway,Bars/Clubs,Tucson,AZ,,1989,,,6/8/2022 12:52pm
235,Congress ,(Very M) ,"(M),(OC),(RT)",311 E. Congress,Bars/Clubs,Tucson,AZ,,1989,,,6/8/2022 12:52pm
237,El Toreso ,(R-Mexican),"(M),(R)",231 E. 26th St. ,Restaurant,Tucson,AZ,,1989,,,6/8/2022 12:52pm
239,Graduate ,(Disco),(*),23 W. University,Bars/Clubs,Tucson,AZ,,1989,,,6/8/2022 12:52pm
240,It's About Time,(Disco),(*),616 N. 4th Ave.,Bars/Clubs,Tucson,AZ,,1989,,,6/8/2022 12:52pm
241,Joshua Tree,"(Disco) (Cruisy) (Back Pocket & Patio, rear)","(*),(YC)",2921 N. 1st Ave.,"Bars/Clubs,Cruising Areas",Tucson,AZ,,1989,,,6/8/2022 12:55pm
242,M.C.C.,,(MCC),560 Stone Ave.,Religious Institution,Tucson,AZ,,1989,,,1/3/2023 9:47pm
244,Rumorhazzit,,"(V),(D)",2222 N. Stone,Bars/Clubs,Tucson,AZ,,1989,,,6/8/2022 12:52pm
245,Speedway Arcade & Books,"(off Alvernon, nr. Avaition Hwy)","(*),(F&S)",3660 E. Speedway,Book Store,Tucson,AZ,,1989,,,6/8/2022 12:52pm
246,The Bookstore Southwest,,(F&S),1400 S. Alvernon,Book Store,Tucson,AZ,,1989,,,6/8/2022 12:52pm
263,Maxi Tan,(Tanning salon) ,,631A N. Euclid,Bathhouses,Anaheim,CA,,1989,,,6/8/2022 12:52pm
264,Travel Advisors,,(IGTA),2223 W. Bali Rd.,Travel Agency,Anaheim,CA,,1989,,,6/8/2022 12:52pm
266,Awful Annie's Cafe,,"(M),(R)",160 Sacramento,Restaurant,Auburn,CA,,1989,,,6/8/2022 12:52pm
268,Cellar ,(Disco),"(*),(YC)",1927 'K' St.,Bars/Clubs,Bakersfield,CA,,1989,,,6/8/2022 12:52pm
269,M.C.C. & Women's Support Groups,,(MCC),2415 Alta Vista Dr.,"Religious Institution,Community Center/Support Group",Bakersfield,CA,,1989,,,1/3/2023 9:49pm
270,Top Hat,(Bookstore) (Cruisy) ,(AYOR),1524 Golden State Ave.,"Book Store,Cruising Areas",Bakersfield,CA,,1989,,,6/8/2022 12:55pm
271,Town Casino ,Hotel Padre,"(M),(E)",1913 'H' St.,"Bars/Clubs,Hotel",Bakersfield,CA,,1989,,,1/18/2023 9:20am
272,Trade Winds,(Disco) (Some L) ,"(M),(L)",1209 20th St.,Bars/Clubs,Bakersfield,CA,,1989,,,6/8/2022 12:52pm
273,Wildcat Books,,,2620 Chester,Book Store,Bakersfield,CA,,1989,,,6/8/2022 12:52pm
282,Gay Men's Health Collective Berkeley Free Clinic,,,2339 Durant Ave.,Health Clinic,Berkeley,CA,,1989,,,6/8/2022 12:52pm
283,Steam Works,(Hot tub) (Gym) One block off Univ. Ave.,(*),2107 4th St.,Gym,Berkeley,CA,,1989,,,1/3/2023 9:49pm
296,La Fiesta Travel ,,(IGTA),2128 Manning St.,Travel Agency,Burbank,CA,,1989,,,6/8/2022 12:52pm
300,Nine Hundred Cherry,(Disco) ,"(*),(YC),(PT)",900 Cherry St.,Bars/Clubs,Chico,CA,,1989,,,6/8/2022 12:52pm
303,Blue Fish Cover Resort,(Clear Lake Oaks),"(L),(H)",10573 E. Hwy 20,Hotel,Clear Lake,CA,,1989,,,6/8/2022 12:52pm
304,Cabaret Bar,,"(*),(E)",9435 Hwy 20,Bars/Clubs,Glenhaven,CA,,1989,,,6/8/2022 12:52pm
305,Cracked Skillet,(Clear Lake Oaks),(R),10561 E. Hwy 20,Restaurant,Clear Lake,CA,,1989,,,6/8/2022 12:52pm
306,Lake Place Resort,(Trailers) (Hot Tub) (707)998-3331,"(H),(WE),(*)",9515 Harbor Dr.,Hotel,Glenhaven,CA,,1989,,,6/8/2022 12:52pm
308,Sunset Point Resort ,(Bunchouse-RV's) (Clear Lake Oaks) (707)998-9933,(H),12037 E. Hwy 20,Hotel,Clear Lake,CA,,1989,,,6/8/2022 12:52pm
318,Lion's Den ,(Disco) (Cruisy) ,(PT),719 W. 19th St.,"Bars/Clubs,Cruising Areas",Costa Mesa,CA,,1989,,,6/8/2022 12:57pm
319,M.C.C. ,,(MCC),148 E. 22nd St.,Religious Institution,Costa Mesa,CA,,1989,,,1/3/2023 9:50pm
320,Newport Station ,(Disco) (Closed Sun. & Mon.),"(*),(YC),(W),(V),(PT),(E)",1945 Placentia ,Bars/Clubs,Costa Mesa,CA,,1989,,,1/3/2023 9:50pm
321,"Odyssey Travel, Inc. ",,(IGTA),1219 Belfast Ave.,Theatre,Costa Mesa,CA,,1989,,,6/8/2022 12:52pm
325,Silver Fox,,(OC),10095 Saich Way,Bars/Clubs,Cupertino,CA,,1989,,,6/8/2022 12:52pm
331,'F' Street Bookstore,,,158 E. Main,Book Store,El Cajon,CA,,1989,,,6/8/2022 12:52pm
341,Eddie's ,,(PT),4101 N. Arden Dr.,Bars/Clubs,El Monte,CA,,1989,,,6/8/2022 12:52pm
342,'F' Street Bookstore ,,(*),237 E. Grand,Book Store,Escondido,CA,,1989,,,6/8/2022 12:52pm
343,Panchali's ,,"(N),(M)",831 S. Escondido ,Bars/Clubs,Escondido,CA,,1989,,,6/8/2022 12:52pm
346,Pink Palace ,(Beer & Wine) ,"(R),(D),(PT)",611 3rd St.,"Bars/Clubs,Restaurant",Eureka,CA,,1989,,,1/18/2023 10:01am
347,Rainbow Balloons,"(Gifts, etc) ",,527 4th St.,Book Store,Eureka,CA,,1989,,,6/8/2022 12:52pm
355,Cap'n'Capps Country Inn,(707)964-1415,(H),32980 Gibney Lane,Hotel,Fort Bragg,CA,,1989,,,6/8/2022 12:52pm
357,Golden Gate Adult Book Store,,(F&S),40555-B Grimmer Blvd.,"Book Store,Erotic Shop",Fremont,CA,,1989,,,7/19/2022 12:55pm
359,Answers ,(Publication) ,,2613 E. Ashlan,Publication,Fresno,CA,,1989,,,6/8/2022 12:52pm
360,Cool Adult Store,(24hrs) ,,3601 E. Ventura Ave.,Erotic Shop,Fresno,CA,,1989,,,6/8/2022 12:52pm
361,Denny's ,,"(M),(R),(AH)",3120 N. Blackstone,Restaurant,Fresno,CA,,1989,,,6/8/2022 12:52pm
362,Fresno Express,(Disco) (Game Room) ,"(*),(PT),(V)",708 N. Blackstone,Bars/Clubs,Fresno,CA,,1989,,,1/3/2023 9:52pm
363,Fig Gorden Bookstore,,,6015 N. Palm #101,Book Store,Fresno,CA,,1989,,,6/8/2022 12:52pm
364,High Energy ,(Unisex) (Some L) (Disco) ,"(L),(*)",2250 N. Weber ,Bars/Clubs,Fresno,CA,,1989,,,6/8/2022 12:52pm
365,M.C.C.,(Unitarian Church) ,(MCC),4144 N. Millbrook,Religious Institution,Fresno,CA,,1989,,,1/3/2023 9:52pm
366,Metro ,,"(R),(*)",1445 'F' St.,Restaurant,Fresno,CA,,1989,,at Tuolumne,6/8/2022 12:52pm
367,Olive Tower Cafe,,"(M),(R)",936 E. Olive ,Restaurant,Fresno,CA,,1989,,,6/8/2022 12:52pm
368,Palace Saloon,,"(L),(D),(PT)",4030 E. Belmont,Bars/Clubs,Fresno,CA,,1989,,,6/8/2022 12:52pm
369,Red Lantern ,"(Some W, SM, OC) (WE*) ","(W),(SM),(OC),(PT),(WE),(*)",4618 E. Belmont,Bars/Clubs,Fresno,CA,,1989,,,6/8/2022 12:52pm
370,Underground ,(Disco) (Below Metro),"(*),(YC),(AH)",1445 'F' St.,Bars/Clubs,Fresno,CA,,1989,,,6/8/2022 12:52pm
371,Wild Cat Book Store ,,,1535 Fresno St.,Book Store,Fresno,CA,,1989,,,6/8/2022 12:52pm
376,Tricks ,,,113 N. Harbor Blvd. ,Bars/Clubs,Fullerton,CA,,1989,,,6/8/2022 12:52pm
378,D.O.K. West,(Disco) (Some L) (We*) ,"(YC),(L),(WE),(*)",12889 Garden Grove Blvd.,Bars/Clubs,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
380,Gay & Lesbian Center,(714) 534-0862,,12832 Garden Grove Blvd. #E,Community Center/Support Group,Garden Grove,CA,,1989,,,1/3/2023 9:52pm
381,Grasp ,,,8514 Garden Grove,Bars/Clubs,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
382,Happy Hour,,"(L),(R),(PT)",12081 Garden Grove Blvd.,Restaurant,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
383,Hip Pocket ,(Books) ,,12686 Garden Grove Blvd. ,Book Store,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
385,Mug ,,,8612 Garden Grove Blvd.,Bars/Clubs,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
386,Tiki Hut ,,"(M),(PT),(OC)",9042 Garden Grove Blvd.,Bars/Clubs,Garden Grove,CA,,1989,,,6/8/2022 12:52pm
390,Billy's ,,,13825 S. Hawthorne,Bars/Clubs,Hawthorne,CA,,1989,,,6/8/2022 12:52pm
391,Big Mama's,,,22615 Mission Blvd.,Bars/Clubs,Hayward,CA,,1989,,,6/8/2022 12:52pm
392,Driftwood Lounge,,"(L),(D),(PT)",22170 Mission Blvd.,Bars/Clubs,Hayward,CA,,1989,,,6/8/2022 12:52pm
393,Golden Gate Adult Books,,"(F&S),(*)",22553 Main St.,"Book Store,Erotic Shop",Hayward,CA,,1989,,,7/19/2022 12:56pm
394,Spoiled Brat ,,"(*),(YC),(AH),(PT)",22648 Mission Blvd.,Bars/Clubs,Hayward,CA,,1989,,,6/8/2022 12:52pm
395,Turf Club,(Patio) ,(OC),22517 Mission Blvd.,Bars/Clubs,Hayward,CA,,1989,,,6/8/2022 12:52pm
397,Fantasy Book Store,,,544 Pacific Coast Hwy ,Book Store,Hermosa Beach,CA,,1989,,,6/8/2022 12:52pm
398,Ocean Diner,,"(R),(M)",959 Aviation ,Restaurant,Hermosa Beach,CA,,1989,,,6/8/2022 12:52pm
399,Tender Box,"(Gifts, novelties, etc.)",,809 Pacific Coast Hwy,Book Store,Hermosa Beach,CA,,1989,,,6/8/2022 12:52pm
402,Gladiator,"(Some W, SM, OC) ","(W),(SM),(OC),(PT),(*)",7810 Santa Fe Ave.,Bars/Clubs,Huntington Park,CA,,1989,,,6/8/2022 12:52pm
403,Islander ,(Some Latins) ,"(D),(PT)",6907 Santa Fe Ave.,Bars/Clubs,Huntington Park,CA,,1989,,,6/8/2022 12:52pm
406,Annex ,,,835 S. La Brea,Bars/Clubs,Inglewood,CA,,1989,,,6/8/2022 12:52pm
407,Papa Bear's,,,1101 S. Prairie,Bars/Clubs,Inglewood,CA,,1989,,,6/8/2022 12:52pm
408,A Different Drummer,(Books) ,,1027 N. Coast Hwy,Book Store,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
409,Boom Boom Room,(Small Disco) (Cruisy) (Some L),"(*),(YC),(L)",1401 S. Coast Hwy,"Bars/Clubs,Cruising Areas",Laguna Beach,CA,,1989,,,6/8/2022 12:57pm
410,Carriage House,,"(M),(B&B)",1322 Catalina,Bars/Clubs,Laguna Beach,CA,,1989,,,1/3/2023 9:52pm
411,Coast Inn,,"(M),(R),(H)",1401 S. Coast Hwy,"Hotel,Restaurant",Laguna Beach,CA,,1989,,,1/18/2023 10:01am
412,Cottage,,"(M),(R)",308 N. Coast Hwy,Restaurant,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
413,Dizz's As Is,,"(M),(R)",2794 S. Coast Hwy,Restaurant,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
414,Festive Tours,,(IGTA),1220 N. Coast Hwy,Travel Agency,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
415,Little Shrimp,(Piano bar) (Patio in Summer),"(*),(R),(E)",1305 S. Coast Hwy,"Bars/Clubs,Restaurant",Laguna Beach,CA,,1989,,,1/18/2023 10:01am
416,Main Street,"(Some OC, L)","(E),(OC),(L)",1460 S. Coast Hwy,Bars/Clubs,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
418,Ron's in Laguna,,"(M),(R),(OC),(E)",1464 S. Coast Hwy,"Bars/Clubs,Restaurant",Laguna Beach,CA,,1989,,,1/18/2023 10:01am
419,Tap Room,(Entrance in rear of Coast Inn),(*),1401 S. Coast Hwy.,Bars/Clubs,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
420,Today's Man,(Clothing),,168 Mountain Rd.,Business,Laguna Beach,CA,,1989,,,6/8/2022 12:52pm
426,American Pacific Tours,,(IGTA),23010 Lake Forest Drive #A,Travel Agency,Laguna Hills,CA,,1989,,,6/8/2022 12:52pm
428,Michael's Brasserie,,(R),6737 La Jolla Blvd.,Restaurant,La Jolla,CA,,1989,,,6/8/2022 12:52pm
