ID,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,uncleartype,notes,Year,lastmodified
3111,Six Dyer Street Guest House ,,6 Dyer St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
1460,Hen's Teeth ,(Cards & gifts) ,6 E. 7th St.,Wilmington,DE,,Business,,,,1986,2/15/2022 1:02am
3255,Apartment ,"(Some W, OC) ",6 Monroe ,Grand Rapids,MI,"(W),(OC),(*)",Bars/Clubs,,,at Fulton,1986,3/12/2022 3:19pm
2482,Wolf's Den,(Novelties) ,6 S. 11th St. ,Richmond,IN,,Business,,,,1986,3/2/2022 5:56pm
3963,New St. Mark's Baths,,6 St. Mark's Place,New York,NY,"(*),(YC)",Bathhouses,,,8th St. at 3rd Ave. ,1986,3/24/2022 7:35pm
3049,Chicago House,,6 Winslow St. ,Provincetown,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
3073,Heritage House ,,7 Center St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3086,Napi's ,(All year) ,7 French St. ,Provincetown,MA,"(M),(R)",Restaurant,,,,1986,3/11/2022 12:00pm
3052,Coat of Arms,,7 Johnson St. ,Provincetown,MA,"(*),(H)",Hotel,,,,1986,3/11/2022 12:00pm
4804,Sneakers ,,7 N. 3rd St. ,Philadelphia,PA,"(*),(L),(D)",Bars/Clubs,,,,1986,4/12/2022 6:00pm
5796,Plain Brown Wrapper,(Books & cruisy movies),7 N. Jackson,Janesville,WI,,"Book Store,Cruising Areas",,,,1986,6/7/2022 1:32pm
44,Club Park Avenue,"(Video downstaris, Disco-D-upstairs) (Patio) (Looks hot)",7 S. Joachim,Mobile,AL,"(*),(YC),(P),(D)",Bars/Clubs,,,,1986,1/25/2022 1:30pm
3481,Time to Read Bookstore ,,7 W. 12th St.,Kansas City,MO,(*),Book Store,,,,1986,3/16/2022 1:00am
3124,Watership Inn,,7 Winthrop St. ,Provincetown,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
3103,Roomers ,,8 Carver St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3972,Pharoahs ,,8 Christopher St. ,New York,NY,"(R),(E)",Restaurant,,,,1986,3/24/2022 7:35pm
3050,Christopher Inn ,,8 Dyer St.,Provincetown,MA,"(H),(YC)",Hotel,,,,1986,3/11/2022 12:00pm
3835,Le Bar,Holiday Inn,8 Hawley St.,Binghamton,NY,"(M),(WE)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
3256,Carousel ,(Disco) (Game room- PT) (Occ. S) ,8 Ionia ,Grand Rapids,MI,"(D),(R),(PT),(*)","Bars/Clubs,Restaurant",,,,1986,3/12/2022 3:19pm
2937,Greystones ,,8 Kingston ,Boston,MA,"(L),(D),(R),(*)","Restaurant,Bars/Clubs",,,,1986,3/11/2022 12:00pm
4973,Stone Castle ,(Disco) ,8 Le Grand ,Greenville,SC,"(P),(YC),(D),(*)",Bars/Clubs,,,,1986,4/12/2022 7:02pm
3109,Shipwreck Inn ,(Cont. breakfast) (All Year) ,9 Court St. ,Provincetown,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
3357,Hide House ,(Leather) & upstairs at Gay Nineties,"9 N. 4th St., Suite 202",Minneapolis,MN,,"Business,Erotic Shop",,,,1986,6/7/2022 12:21pm
3059,Cutty Sark Guest House,,9 Soper St. ,Provincetown,MA,(L),Hotel,,,,1986,3/11/2022 12:00pm
1431,Frank's Place ,,9 Tilley St.,New London,CT,"(OC),(E),(WE)",Bars/Clubs,,,at Bank,1986,2/15/2022 12:40am
5583,Last Straw,(Cruisy) ,9 W. Salem Ave.,Roanoke,VA,(R),"Restaurant,Cruising Areas",,,,1986,6/7/2022 1:26pm
3177,Input. . .1,(Some L) ,10 E. State St. ,Battle Creek,MI,"(R),(L)",Restaurant,,,,1986,3/12/2022 3:19pm
4557,Circle Theatre,,10 S. Lewis ,Tulsa,OK,,Theatre,,,,1986,4/8/2022 2:14pm
4732,Hoar House ,,10 S. Prince St. ,Lancaster,PA,"(M),(R)",Restaurant,,,,1986,4/12/2022 6:00pm
3892,"Womankind Book, Inc. ",,10 W. Carver St. ,Huntington,NY,,Book Store,,,,1986,3/24/2022 7:35pm
4986,Front Office ,(Disco) ,11 E. Railroad Ave. ,Aberdeen,SD,"(M),(YC),(D)",Bars/Clubs,,,,1986,4/13/2022 12:58pm
3093,Plaza Guest House ,,11 Pearl St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
4869,Red Star ,"(Cruisy) (Some W, SM) (Disco) ",11 S. 10th St. ,Reading,PA,"(W),(SM),(D),(R),(*)","Restaurant,Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:28pm
2057,Harbor Lite,"(Mon. only until about midnight, when cruisy Cruise Ship SS Oceanic Independence is in port*) just off Hwy. 19",11 Silva St.,Hilo,HI,(*),"Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:31pm
3072,Haven House ,(Pool) (All year) ,12 Carver St. ,Provincetown,MA,"(M),(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
3120,Twelve Center Guest House ,,12 Center St. ,Provincetown,MA,(*),Hotel,,,,1986,3/11/2022 12:00pm
2378,Rainbow Inn,"(Some M, L) ",12 E. Ferguson,Wood River,IL,"(M),(L),(PT)",Bars/Clubs,,,,1986,2/27/2022 11:21pm
1267,Sausalito Inn,,12 El Portal,Sausalito,CA,"(R),(E),(*)",Restaurant,,,,1986,2/12/2022 1:57am
3119,Trade Winds,,12 Johnson St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
5060,Other Side ,(Some YC) (Disco) (May be closed) ,12 N. Cleveland ,Memphis,TN,"(YC),(BYOB),(*),(PT),(D)",Bars/Clubs,,,,1986,4/13/2022 2:18pm
3544,Ms. Kitty's Adult Stores,,12 N. Willson ,Bozeman,MT,(M),Erotic Shop,,,,1986,3/16/2022 2:29pm
3711,Studio VI,(Disco) (Some L) (Upstairs from Brass Rail) ,12 S. Mt Vernon,Atlantic City,NJ,"(D),(L)",Bars/Clubs,,,,1986,3/17/2022 8:07pm
3702,Brass Rail Bar,(Open all night) (Best late) (Some hustlers) ,12 S. Mt. Vernon Ave.,Atlantic City,NJ,"(*),(D),(R)","Restaurant,Bars/Clubs",,,,1986,3/17/2022 8:07pm
3746,Den ,"(Some YC, L) (Disco) ",12-16 Hiram St. ,New Brunswick,NJ,"(YC),(L),(*),(D),(OC)",Bars/Clubs,,,,1986,3/17/2022 8:07pm
3945,Inner Circle ,(Cabaret) ,13 Jane St.,New York,NY,,Bars/Clubs,,,,1986,3/24/2022 7:35pm
2963,Spit ,"(M, Punk) (Disco) (Tues. nite only) ",13 Lansdowne,Boston,MA,"(M),(D)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
3659,Dover Social Club ,,13 Partland St. ,Dover,NH,"(P),(M),(D)",Bars/Clubs,,,,1986,3/17/2022 12:09am
3055,Courtland House ,,14 Court St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3105,Rushes ,(Pool) (Remodeled) ,14 Mechanic St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
3925,Boybar,,15 1/2 St. Marks Pl.,New York,NY,,Bars/Clubs,,,,1986,3/24/2022 7:35pm
3667,Daily Planet ,,15 Amherst St. ,Manchester,NH,"(P),(D),(PT),(*)",Bars/Clubs,,,,1986,3/17/2022 12:09am
3967,Oscar Wilde Memorial Book Store,,15 Christopher St.,New York,NY,(*),Book Store,,,,1986,3/24/2022 7:35pm
3899,15 E. 5th,('R&R') (Disco) (Some L) ,15 E. 5th,Jamestown,NY,"(R),(D),(L)","Restaurant,Bars/Clubs",,,,1986,3/24/2022 7:35pm
4454,Richard's ,(Disco) ,15 E. 5th ,Mansfield,OH,"(D),(PT),(YC),(*)",Bars/Clubs,,,at Main,1986,4/8/2022 12:53pm
2951,Metro ,(Disco) (Sun. nights only*) ,15 Lansdowne ,Boston,MA,"(YC),(D),(*),(V)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
2943,Integrity  ,(Church) ,15 Newbury St. ,Boston,MA,,Religious Institution,,,,1986,3/11/2022 12:00pm
4985,First Heritage Book Store,(Cruisy) ,16 1st Ave. S.E. ,Aberdeen,SD,,"Book Store,Cruising Areas",,,,1986,6/7/2022 1:26pm
3843,Allen ,,16 Allen ,Buffalo,NY,"(R),(YC)",Restaurant,,,,1986,3/24/2022 7:35pm
2932,Fenway Comm. Health Center,,16 Haviland St. ,Boston,MA,,Health Clinic,,,,1986,3/11/2022 12:00pm
2945,Lambda Bookshop ,,16 La Grange ,Boston,MA,(F&S),Book Store,,,,1986,3/11/2022 12:00pm
3520,Silly Goose ,,16 S. Euclid ,St. Louis,MO,,Bars/Clubs,,,,1986,3/16/2022 2:11pm
3482,Trax,(Cruisy) (2 bars) ,16 W. 43rd St.,Kansas City,MO,"(V),(*)","Bars/Clubs,Theatre,Cruising Areas",,,,1986,6/7/2022 1:28pm
3047,Chancellor Inn,,17 Center St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
1299,Colorado Springs Hotel,(BYOSB—Sleeping Bag),17 N . Farragut Ave.,Colorado Springs,CO,"(M),(H)",Hotel,,,,1986,2/12/2022 12:17pm
1599,Marlin Beach,(Pool & bars) (Liquor) (Disco) ,17 S. A tla n tic B lvd.,Ft. Lauderdale,FL,"(H),(*),(R)","Restaurant,Bars/Clubs,Hotel",,,,1986,2/15/2022 9:09pm
1604,Poop Deck ,(Lower deck disco) (Afternoon T-D) Marlin Beach Hotel,17 S. A tlantic Blvd.,Ft. Lauderdale,FL,"(D),(*)","Bars/Clubs,Hotel",,,,1986,6/7/2022 1:39pm
1605,Trader Tom's,(Clothes) Marlin Beach Hotel,17 S. A tlantic Blvd.,Ft. Lauderdale,FL,,"Business,Hotel",,,,1986,6/7/2022 1:38pm
1498,La Cage aux Folles,(Disco) (Nude go go boys) (Hustlers) ,18 'O' St. S.E.,Washington,D.C.,"(YC),(V),(D),(S),(*),(R)","Restaurant,Bars/Clubs",,,,1986,2/15/2022 6:00pm
1846,Gold Rush Saloon,(AIA at Granada) ,18 Bouvard,Ormond Beach,FL,,Bars/Clubs,,,,1986,2/18/2022 2:05pm
3336,Duluth Steam Baths ,(Cl. 12 midnight) ,"18 N. 1st Ave, E. ",Duluth,MN,,Bathhouses,,,,1986,3/12/2022 5:48pm
3071,Green House Inn,(L-only) ,18 Pearl St.,Provincetown,MA,"(H),(L)",Hotel,,,,1986,3/11/2022 12:00pm
5739,Yakima Magazine Center,,18 S. 1st St.,Yakima,WA,,"Book Store,Publication",,,,1986,4/22/2022 1:32pm
4715,Town News ,"(Books, etc.) ",19 N. 2nd St. ,Harrisburg,PA,,Book Store,,,,1986,4/12/2022 6:00pm
3140,Frontiers ,(Disco) (Sun. brunch),19 Pearl St. ,Springfield,MA,"(*),(YC),(D),(R)","Restaurant,Bars/Clubs",,,,1986,3/11/2022 12:00pm
3362,Nineteen Bar,(Beer) (Many L) ,19 W. 15th St. ,Minneapolis,MN,"(N),(D),(L),(PT)",Bars/Clubs,,,,1986,3/12/2022 5:48pm
1476,Club Baths & Health Club of Wash,(Thurs. is SM night) (upstairs) ,20 'O' St. S.E.,Washington,D.C.,"(CBC),(P),(*),(SM)",Bathhouses,,,,1986,2/15/2022 5:26pm
3846,Dominique ,,20 Allen St. ,Buffalo,NY,"(OC),(D),(*)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
3018,La Place ,(Many L) (Disco) ,20 Kenyon St. ,New Bedford,MA,"(L),(D)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
3974,Pleasure Chest,"(Leather, clothes, 'toys', etc.) ",20 W. 20th St.,New York,NY,(*),Erotic Shop,,,,1986,6/7/2022 12:21pm
2979,Fantasy's Intown ,"Campus (L-only Sun.*) (Some M, L) (Disco) (Wed.-Sat.) ",21 Brookline,Cambridge,MA,"(L),(*),(M),(D)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
2959,Playland ,(Hustlers) ('Combat zone') ,21 Essex,Boston,MA,(RT),Bars/Clubs,,,,1986,3/11/2022 12:00pm
2941,Ideal Diner ,(Late night-til 4 am Wed.-Sun.) ,21 Huntington ,Boston,MA,"(M),(R)",Restaurant,,,,1986,3/11/2022 12:00pm
2947,Loft ,(No booze) (Sat. only*) ,21 Stanhope St.,Boston,MA,"(P),(AH),(F&S),(*)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
3938,Eagle's Nest ,,21st St. ,New York,NY,"(SM),(*)",Bars/Clubs,,,at 11th Ave.,1986,3/24/2022 7:35pm
1151,Belden 22,(Days only) (Alley betw. Pine & Bush),22 Belden PI.,San Francisco,CA,(R),Restaurant,,,,1986,2/13/2022 3:02pm
4287,Old Broadway ,,22 Broadway ,Fargo,ND,"(M),(R)",Restaurant,,,,1986,3/25/2022 2:03pm
3077,Land's End Inn ,,22 Commercial St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
2956,Oasis Guest House ,,22 Edgerly Rd. ,Boston,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
4300,Heartbeat,(Cruisy) ,22 N. Main ,Akron,OH,"(PT),(*)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:26pm
2052,Planters Tavern Bar,(Downstairs at Pink House) ,23 Abercorn St.,Savannah,GA,"(M),(PE),(OC),(E)",Bars/Clubs,,,,1986,2/23/2022 2:37pm
3351,Gary's ,,23 N. 6th St. ,Minneapolis,MN,"(R),(D),(*)","Restaurant,Bars/Clubs",,,,1986,3/12/2022 5:48pm
3443,Three Cheers Lounge ,(after 8pm) Tiger Hotel,23 S. 8th ,Columbia,MO,(M),"Bars/Clubs,Hotel",,,,1986,6/7/2022 1:38pm
1742,Kathy's Place,,23 S. Dixie Hwy.,Lake Worth,FL,"(L),(*)",Bars/Clubs,,,,1986,2/17/2022 6:49pm
4067,Jason's Park Royal,,23 W. 73rd St. ,New York,NY,,Bars/Clubs,,,,1986,3/24/2022 7:35pm
177,Graduate ,(Something for everyone) (Cocktail hour) ,23 W. University,Tucson,AZ,"(*),(D)",Bars/Clubs,,,,1986,1/26/2022 7:22pm
1486,Follies ,"(Cinema) (Books, flicks, F&S) (Nude go go boys) ",24 'O ' St. S.E.,Washington,D.C.,(F&S),"Book Store,Theatre",,,,1986,2/15/2022 5:36pm
3828,Ruthie's Place ,"(Some M, L) ",24 Ackerson Blvd. ,Bay Shore,NY,"(M),(L),(PT)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
1002,24 Henry St.,(Bed & Breakfast) ,24 Henry St.,San Francisco,CA,(*),"Hotel,Restaurant",,,,1986,2/13/2022 3:02pm
2834,Seafare Inn ,(207) 646-2181 ,24 Shore Rd. ,Ogunquit,ME,"(H),(*)",Hotel,,,,1986,3/6/2022 10:21pm
4310,Graduate ,,24 W. Union ,Athens,OH,(M),Bars/Clubs,,,,1986,4/8/2022 12:53pm
3658,Appletree Book Store,,24 Warren St. ,Concord,NH,(M),"Bars/Clubs,Book Store",,,,1986,6/7/2022 2:05pm
2850,Treasure Chest II Bookstore ,,25 College Ave. ,Waterville,ME,,Book Store,,,,1986,3/6/2022 10:21pm
2196,Oak Tree ,('Frankie's') (C-AH) ,25 E. Oak St.,Chicago,IL,"(M),(R),(C),(AH)",Restaurant,,,,1986,2/26/2022 10:16pm
3849,Greenfield Street,,25 Greenfield St.,Buffalo,NY,"(M),(R)",Restaurant,,,,1986,3/24/2022 7:35pm
2949,Massachusetts Gay Counseling Assn. ,,25 Huntington Ave. ,Boston,MA,,Community Center/ Support Group,,,,1986,3/11/2022 12:00pm
5813,L'Etoile,(Very M) ,25 N. Pinckney,Madison,WI,"(M),(PE),(R)",Restaurant,,,,1986,4/25/2022 1:29pm
3016,House of Orange ,,25 Orange St. ,Nantucket,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
1196,Pink Cat Theatre,,25 W. San Salvador,San Jose ,CA,,Theatre,,,,1986,2/10/2022 10:09pm
3048,Check'er Inn,,25 Winthrop St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3959,M.C.C. ,,26 9th Ave.,New York,NY,(MCC),Religious Institution,,,,1986,6/7/2022 12:44pm
3075,Lamplighter Guest House,,26 Bradford St. ,Provincetown,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
2925,Chandler Inn ,(Bed & breakfast) ,26 Chandler ,Boston,MA,(H),Hotel,,,at Berkeley ,1986,3/11/2022 12:00pm
2497,Vieux Carre,,26 N. 1st St.,Vincennes,IN,"(M),(R),(D),(E)","Restaurant,Bars/Clubs",,,,1986,3/2/2022 5:56pm
2926,Chaps,(Disco) (Sun. T-D) (Enter off Blagden) ,27 Huntington Ave. ,Boston,MA,"(*),(D),(W)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
3957,Man Hole,"(SM, W) (AH Mon.-Thu.) ",28 9th Ave.,New York,NY,"(P),(SM),(W),(AH)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
3915,Alex in Wonderland,(Disco) ,28 10th Ave.,New York,NY,"(D),(*)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
3126,Westwinds Guest House,,28 Commercial St. ,Provincetown,MA,"(H),(*)",Hotel,,,,1986,3/11/2022 12:00pm
3947,Jan Wallman's ,,28 Cornelia St. ,New York,NY,"(R),(E)",Restaurant,,,,1986,3/24/2022 7:35pm
4181,La Cage ,(Disco) ,28 N. French Rd.,Asheville,NC,"(P),(D),(S),(*)",Bars/Clubs,,,,1986,3/25/2022 1:51pm
4908,David's 28 Prospect Hill ,(Disco) (Cruisy patio) ,28 Prospect Hill ,Newport,RI,"(D),(*)","Bars/Clubs,Cruising Areas",,,off Thames nr. P.O. ,1986,6/7/2022 1:31pm
4038,New Everhards Baths,"(Some B, Orientals, SM, FFA) ",28 W. 28th St. ,New York,NY,"(*),(B),(SM),(FFA)",Bathhouses,,,,1986,6/7/2022 2:15pm
4670,Stonewall,(Disco) ,28-30 N. 10th St. ,Allentown,PA,"(YC),(D),(*)",Bars/Clubs,,,,1986,4/12/2022 6:00pm
3929,Centre Bar,,29 St. Mark's Pl. ,New York,NY,,Bars/Clubs,,,,1986,3/24/2022 7:35pm
3917,Ass Trick,(Downstairs at Alex) ,30 10th Ave. ,New York,NY,(SM),Bars/Clubs,,,,1986,3/24/2022 7:35pm
2982,WordsWorth ,(Books) ,30 Brattle St. ,Cambridge,MA,(M),Book Store,,,,1986,3/11/2022 12:00pm
2191,Lawson YMCA ,,30 W. Chicago ,Chicago,IL,"(H),(M),(RT),(AYOR)",Hotel,,,,1986,2/26/2022 10:13pm
1228,30 West ,(WE*),30 W. Cota,Santa Barbara,CA,"(D),(PT),(WE),(*)",Bars/Clubs,,,,1986,6/7/2022 2:22pm
399,Beach House,(Liquor) (W-PT downstairs) ,31 39th Pl. ,Long Beach,CA,"(D),(W),(PT),(*)",Bars/Clubs,,,,1986,1/31/2022 11:59am
3032,Aspasia House,,31 Peral St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
3288,D's Lounge ,(Some L) (Opens 12 noon) ,31 S. Gratiot Ave. ,Mount Clemens,MI,(L),Bars/Clubs,,,,1986,3/12/2022 3:19pm
3944,Incentra Village House,(Guest house) ,32 8th Ave.,New York,NY,"(*),(H)",Hotel,,,nr. 12th St.,1986,3/24/2022 7:35pm
4243,M.C.C. ,,32 Buist Ave.,Greenville,NC,(MCC),Religious Institution,,,,1986,6/7/2022 12:44pm
3838,Squiggy's ,(Some L) ,34 Chenango St.,Binghamton,NY,(L),Bars/Clubs,,,,1986,3/24/2022 7:35pm
4750,Mother's,,34 N. Main St. ,New Hope,PA,"(R),(M),(*)",Restaurant,,,,1986,4/12/2022 6:00pm
3110,Silva's Cottages,,34 Shank Painter ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
1452,Blue Moon,,35 Baltimore Ave.,Rehoboth Beach,DE,(R),Restaurant,,,,1986,2/15/2022 12:57am
2172,35 East ,(Disco) ,35 E. Green ,Champaign,IL,"(D),(*)",Bars/Clubs,,,,1986,2/26/2022 9:59pm
4429,Changes ,(Some L) (Disco) ,35 W. 5th St. ,Dayton,OH,"(D),(PT),(L)",Bars/Clubs,,,,1986,4/8/2022 12:53pm
92,St. Elmo ,,36 Brewery Gulch Ave.,Bisbee,AZ,"(M),(W),(PT),(E),(WE)",Bars/Clubs,,,,1986,1/25/2022 2:38pm
3882,Crew's Quarters ,(Some OC) (Cruisy) (4pm-4am) The Pines,36 Fire Island Blvd.,Fire Island,NY,"(OC),(*)","Bars/Clubs,Cruising Areas",,,,1986,6/7/2022 1:25pm
1241,The Bookcase ,,36 Saratoga Ave.,Santa Clara,CA,,Book Store,,,,1986,2/11/2022 3:47pm
4334,Jacobers ,,36 W. 5th St. ,Cincinnati,OH,(S),Bars/Clubs,,,,1986,4/8/2022 12:53pm
2836,The Inn ,at Tall Chimney (Looks promising),37 Main St. ,Ogunquit,ME,(H),Hotel,,,,1986,3/6/2022 10:21pm
3948,Jeanne's Patio ,,39 Greenwich ,New York,NY,(R),Restaurant,,,,1986,3/24/2022 7:35pm
4593,Club Riviera,(Some L) ,39 W. 10th Ave. ,Eugene,OR,"(D),(L),(PT),(*)",Bars/Clubs,,,,1986,4/9/2022 1:09pm
4411,Trends ,(Disco) (Adj. Garage Disco) ,40 E. Long St. ,Columbus,OH,"(YC),(D),(*),(E)",Bars/Clubs,,,,1986,4/8/2022 12:53pm
1454,Paradise Guest House,,40 Maryland Ave.,Rehoboth Beach,DE,(H),Hotel,,,,1986,2/15/2022 12:57am
3675,Iris ,,40 Pleasant St. ,Portsmouth,NH,(L),Bars/Clubs,,,,1986,3/17/2022 12:09am
3038,Bradford House & Motel,,41 Bradford St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
4296,Akron Steam & Sauna ,,41 S. Case ,Akron,OH,(M),Bathhouses,,,at Water,1986,4/8/2022 12:53pm
2322,Nut Bush City Limits,(Disco) ,41 S. Harlem,Forest Park ,IL,(D),Bars/Clubs,,,,1986,2/27/2022 8:42pm
4279,N. Liberty Books ,,42 N. Liberty St. ,Winston-Salem,NC,,Book Store,,,,1986,3/25/2022 1:51pm
3926,Cafe Society ,(Discobar) ,43 E. 20th St.,New York,NY,,Bars/Clubs,,,,1986,3/24/2022 7:35pm
2936,Glad Day Books,,43 Winter St. ,Boston,MA,(*),Book Store,,,,1986,3/11/2022 12:00pm
