ID2,title,amenityfeatures,description,streetaddress,type,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
25,Quest ,"(C&W),(SM),(*)","(Macho, SM )(C&W )(Cruisy) at 5th Ave. S.",416 24th St. S.,"Bars/Clubs,Cruising Areas",Birmingham,AL,1987,,,,7/13/2022 8:35am
26,Steak'n'Egg ,"(M),(R),(C),(AH)",,1717 10th Ave. S.,Restaurant,Birmingham,AL,1987,,,,1/28/2022 2:49pm
27,The Downtown Bookstore,,, 8th Ave.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:50pm
28,The Rage ,"(P),(D),(*)",(Disco)(Quiet bar),620 29th St. S.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:50pm
44,Fat's Showroom & Warehouse ,"(P),(M),(YC),(WE),(S)","(Some M , YC)(WE*)(S-WE)",315 S. 2nd St.,Bars/Clubs,Gasden,• Jacksonville State U.—Bibb Graves H all &,1987,,,,1/28/2022 9:38pm
45,Atlantic ,"(L),(WE)",(WE-only),2572 Sparkman Dr.,Bars/Clubs,Huntsville,AL,1987,,,,1/28/2022 9:38pm
46,Avenue 54 ,(S),,1001 N.W. Memorial Pkwy,Bars/Clubs,Huntsville,AL,1987,,,,1/31/2022 1:11pm
47,Books As Seeds,, (Bookstore) ,202 Andrew Jackson Way,Book Store,Huntsville,AL,1987,,,,1/28/2022 9:38pm
54,Club Park Avenue ,"(*),(YC),(D),(P)","(Video downstairs, Disco-D-upstairs)(Patio) ",7 S. Joachim,Bars/Clubs,Mobile,AL,1987,,,,3/17/2022 2:15pm
56,David's ,"(PT),(D),(S),(L),(WE)",(Disco)(Some L)(WE*),1304 Spring Hill Ave.,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
58,Society Lounge ,"(L),(B)","(L,B) ",53 Conception,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
59,Troopers ,(D),(Disco),215 Conti St.,Bars/Clubs,Mobile,AL,1987,,,,1/28/2022 9:47pm
65,Market Street,"(AH),(WE),(P),(E)",(Liquor) (AH-WE*),207 Dexter Ave.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
67,Rgee's ,"(P),(D),(PT),(AH)",(Also AH) ,211 Lee St.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
68,Skeeters ,"(D),(L),(AH)",(Some L)(AH—Weekdays*) ,150 Lee St.,Bars/Clubs,Montgomery,AL,1987,,,,1/28/2022 9:52pm
73,Chucker's ,"(YC),(M),(PT),(*)",,2121 6th St.,Bars/Clubs,Tuscaloosa,AL,1987,,,,1/28/2022 9:54pm
79,"Apollo Travel, Inc. ",,,213 W. 6th Ave. #16,Travel Service,Anchorage,AK,1987,,,,1/28/2022 10:00pm
80,D Street Book Mart ,,(Cruisy) ,419 'D' St.,"Book Store,Cruising Areas",Anchorage,AK,1987,,,,1/28/2022 10:05pm
82,Jade Room ,"(D),(PT),(*),(R),(S)",(S-Wed)(Adj. liquor store),701 'I' St.,"Bars/Clubs,Restaurant",Anchorage,AK,1987,,,,1/28/2022 10:05pm
83,M.C.C. ,(MCC),,602 W. 10th Ave.,Religious Institution,Anchorage,AK,1987,,,,1/28/2022 10:05pm
84,Raven ,"(*),(D),(PT),(YC),(W),(SM)","(YC, W, SM)(Enter through parking lot on 6th)",618 Gambell ,Bars/Clubs,Anchorage,AK,1987,,,,1/28/2022 10:05pm
85,The Village ,"(YC),(D),(L),(*)",(Disco)(Some L),225 E. 5th Ave.,Bars/Clubs,Anchorage,AK,1987,,,,1/28/2022 10:05pm
91,International Book Store ,(F&S),(F&S)(Cruisy),106 Old Richardson Hwy.,"Book Store,Cruising Areas",Fairbanks,AK,1987,,,,1/31/2022 1:11pm
92,Michael's 500 Club ,"(*),(PT),(D),(W),(SM),(YC),(L)","(Disco)(Some W, SM, YC, L)(Cruisy)(No sign—don't miss it) ",500 1st Ave.,"Bars/Clubs,Cruising Areas",Fairbanks,AK,1987,,,,1/28/2022 10:09pm
97,Red Dog Saloon ,"(M),(*)",,175 S. Franklin St.,Bars/Clubs,Juneau,AK,1987,,,,1/28/2022 10:16pm
98,Summit Hotel Bar ,(M),(Rear),455 S. Franklin ,"Bars/Clubs,Hotel",Juneau,AK,1987,,,,7/13/2022 8:39am
103,St. Elmo's ,"(M),(W),(PT),(E),(WE)",(E-WE) ,36 Brewery Gulch Ave.,Bars/Clubs,Bisbee,AZ,1987,,,,1/28/2022 10:20pm
114,Apollo's ,"(SM),(*)",(Some SM) ,5749 N. 7th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
115,Barney's Books ,,,1421 E. McDowell Rd.,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
116,Book Cellars,,"(Books, etc.) ",2103 W. Camelback Rd.,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
117,Castle Adult Books ,,(Cruisy) ,5501 E. Washington,"Book Store,Cruising Areas,Erotic Shop",Phoenix,AZ,1987,,,,1/31/2022 1:17pm
118,Cattleman's Exchange ,"(N),(OC)",,138 W. Camelback Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
119,Charlie's ,"(*),(C&W),(D)",(Square-D)(Cruisy) ,727 W. Camelback,"Bars/Clubs,Cruising Areas",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
120,Club Phoenix Baths ,(P),(East Side—Northbound),1517 S. Black Canyon Rd. ,Bathhouses,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
121,Connection ,"(*),(W),(YC)",(Cruisy)(Some W)(Der Druke-Disco),4211 N. 7th St.,"Bars/Clubs,Cruising Areas",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
122,Cruisin Central ,"(OC),(AYOR)","(Some OC, Hustlers)",1011 N. Central Ave.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
124,Durant's ,"(M),(R)",(Cocktail hour) ,2611 N. Central Ave.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
125,Erotica Motel & Book Store ,(H),,5200 E. Van Buren,"Book Store,Hotel",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
126,Farrah's ,"(L),(YC),(D)","(Some L, YC)(Disco) ",4158 Grand Ave.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
127,FirsTravel ,,(Agency) ,5150 N. 7th St.,Travel Service,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
130,Goog's ,"(M),(R),(AH)",, 1812 E. Camelback Rd.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
131,Grand Camel ,"(R),(L)",(Some L) ,5105 N. 43rd Ave.,Restaurant,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
132,Hotbods ,"(YC),(AH),(WE),(D),(*)",(AH-WE)(Unisex),3437 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
133,"Humanspace Books, Inc. ",,,2401 N. 32nd St. #5,Book Store,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
134,Incognito Lounge ,"(L),(D),(*)",, 2424 E. Thomas Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
136,Little Jim's 307 ,"(OC),(PT)",(Hustlers) ,222 E. Roosevelt,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
137,M.C.C. ,(MCC),(Casa de Cristo),1029 Turney,Religious Institution,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
138,New Moon,"(L),(D)",(Disco),3108 E. McDowell Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
139,Nu Towne ,"(PT),(YC)",(Tue.*),5002 E. Van Buren,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
141,P.P.'s ,"(V),(PT)",(S-Sun.*) ,1810 E. McDowell,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
143,Raggedy Ann 'n' Andy's ,"(L),(D)","(""Raggs"") (Many L)(Disco)",2320 N. 32nd St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
144,Ramrod ,"(PT),(SM),(W)",(Sun. beer bust*)(Patio),395 N. Black Canyon Rd.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
145,Royal Villa Motel ,,(Pool) ,1102 E. Turney Ave.,Hotel,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
146,Shamoos ,"(S),(WE)",(S-WE) ,3025 N. 24th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
147,Stixx ,,,3015 N. 16th St.,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
148,Taylor's ,"(*),(R),(E)",(DW's R & Nickelodeon-E) ,4223 N. 7th St.,"Restaurant,Bars/Clubs",Phoenix,AZ,1987,,,,1/28/2022 11:11pm
149,Trax ,"(*),(D),(PT),(AH),(WE)",(Macho)(Disco)(AH-WE),1724 E. McDowell,Bars/Clubs,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
150,Tuff Stuff ,,"(Leather, Toys, etc.)",1714 E. McDowell,Erotic Shop,Phoenix,AZ,1987,,,,1/28/2022 11:11pm
153,Women's Center ,,,1634 N. 7th St.,Community Center/Support Group,Phoenix,AZ,1987,,,,7/13/2022 9:24am
160,J.R.'s Hideaway ,(N),(Fun)(In alley) ,7125 5th Ave.,Bars/Clubs,Scottsdale,AZ,1987,,,,1/28/2022 11:11pm
161,Zorba's Book Shop ,(*),,2924 N. Scottsdale Rd.,Book Store,Scottsdale,AZ,1987,,,,1/28/2022 11:11pm
163,Marie's 1st Place ,"(M),(R)",,709 S. Mill Ave.,Restaurant,Tempe,AZ,1987,,,,1/28/2022 11:11pm
164,Modern World Adult Books,,,1812 E. Apache,"Book Store,Erotic Shop",Tempe,AZ,1987,,,,1/28/2022 11:11pm
165,Valley Art Theatre ,(M),,509 S. Mill Ave.,Theatre,Tempe,AZ,1987,,,,1/28/2022 11:11pm
171,Blue Willow ,"(M),(R)",(R & Gifts) ,2616 N. Campbell,Restaurant,Tucson,AZ,1987,,,,1/28/2022 11:11pm
172,Books Brothers ,(*),,3242 E. Speedway,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
173,Bookstore Southwest ,,(24 hrs.) ,1400 S. Alvernon,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
175,Caesar's Book Store ,(F&S),,2540 N. Miracle Mile,"Bars/Clubs,Book Store",Tucson,AZ,1987,,,,7/13/2022 8:42am
176,Congress ,"(M),(OC),(RT)",,311 E. Congress,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
178,El Toreso ,"(M),(R)",(Mexican),231 E 26th St.,Restaurant,Tucson,AZ,1987,,,,4/12/2022 12:45pm
179,Fineline ,(D),(Disco)(May be closing) ,101 W. Drachman,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
180,Graduate ,"(D),(*)",,23 W. University,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
181,It's Bout Time ,(D),(Disco),616 N. 4th Ave.,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
182,Joshua Tree ,"(*),(YC),(D)",(Cruisy)(Disco)('Back Pocket' & patio in rear) ,2921 N. 1st Ave.,"Cruising Areas,Bars/Clubs",Tucson,AZ,1987,,,,1/28/2022 11:11pm
183,M.C.C. ,(MCC),,560 S. Stone Ave.,Religious Institution,Tucson,AZ,1987,,,,1/28/2022 11:11pm
184,Rita's Rendezvous ,"(*),(R),(D)",(Sun. brunch)(Disco),3455 E. Grant Rd.,"Restaurant,Bars/Clubs",Tucson,AZ,1987,,,,1/28/2022 11:11pm
185,Rumorhazzit ,"(V),(D)",(Dynasty) ,2222 N. Stone,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
186,Simone's ,"(S),(YC),(L),(WE)","(Some YC, L)(WE*) ",2849 N. 1st Ave.,Bars/Clubs,Tucson,AZ,1987,,,,1/28/2022 11:11pm
187,Speedway Books ,"(F&S),(*)","(off Alvernon, nr. Aviation Hwy.) (Also at Joshua Tree)",3660 E. Speedway ,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:11pm
188,Stables ,(P),(Baths),3820 E. 40th St.,Bathhouses,Tucson,AZ,1987,,,,1/28/2022 11:11pm
189,The Bookstore Southwest ,(F&S),,1400 S. Alvernon,Book Store,Tucson,AZ,1987,,,,1/28/2022 11:14pm
199,Bargain Box ,(M),(Books & flicks)(Cruisy*),240 E. 16th St.,"Book Store,Cruising Areas",Yuma,AZ,1987,,,,1/28/2022 11:20pm
200,J.P.'s Cameo Lounge ,"(*),(PT),(L)",(Some L)(Cruisy),232 S. 4th Ave.,"Bars/Clubs,Cruising Areas",Yuma,AZ,1987,,,,1/28/2022 11:20pm
201,Johnny's ,"(M),(AYOR)",,244 E. 16th,Bars/Clubs,Yuma,AZ,1987,,,,1/28/2022 11:20pm
202,Owl Bookstore ,(M),at 24th St.,4th Ave. ,Book Store,Yuma,AZ,1987,,,,1/28/2022 11:20pm
203,Red's Bird Cage ,(M),,231 S. Main,Bars/Clubs,Yuma,AZ,1987,,,,1/28/2022 11:20pm
208,Closet ,"(D),(L)",(Disco)(Many L) ,275 Huntsville Rd.,Bars/Clubs,Fayetteville,AK,1987,,,,1/28/2022 11:22pm
210,Tisza's Disco ,"(*),(D),(L),(YC)","(Some L) (Hwy. 71 N., just N. of N.W. Arkansas Mall)",4630 N . College,Bars/Clubs,Fayetteville,AK,1987,,,,1/28/2022 11:23pm
214,Court Garden ,"(P),(YC),(L),(D),(*),(AH)",(Disco)(Liquor),305 Garrison Ave.,Bars/Clubs,Ft. Smith,AR,1987,,,,1/30/2022 3:20pm
215,M.C.C. ,(MCC),,1007 S. 25th St.,Religious Institution,Ft. Smith,AR,1987,,,,1/30/2022 3:20pm
216,Village Landing,"(L),(D)",(Disco) ,3028 N. 6th St.,Bars/Clubs,Ft. Smith,AR,1987,,,,1/30/2022 3:21pm
223,Our House Lounge,"(D),(*)", (Upstairs disco),336 Central Ave.,Bars/Clubs,Hot Springs,AR,1987,,,,3/16/2022 12:07pm
228,Asher News & Video ,,(Cruisy) ,4000 Asher Ave.,"Cruising Areas,Book Store",Little Rock,AR,1987,,,,7/13/2022 8:43am
229,Branding Iron ,(R),,1701 University,Restaurant,Little Rock,AR,1987,,,,3/16/2022 12:08pm
231,Discovery II ,"(*),(YC),(D),(P),(S)",(Disco)(Open Sundays)(Riverfront Dr. off Cantrell Rd.),1021 Jessie Rd. ,Bars/Clubs,Little Rock,AR,1987,,,,3/16/2022 12:09pm
232,Fifth Gear ,"(*),(P),(L),(D),(S),(PT),(V)",(Some L)(Side entrance),3519 Old Cantrell Rd. ,Bars/Clubs,Little Rock,AR,1987,,,,4/12/2022 12:47pm
234,Scandels ,"(D),(PT),(*),(S),(OC),(L)",(OC-S) ,5922 University,Bars/Clubs,Little Rock,AR,1987,,,,3/16/2022 12:10pm
235,Sgt. Preston's,"(P),(YC),(D),(PT)",(Disco)(Liquor)nr. Unversity,5618 Asher ,Bars/Clubs,Little Rock,AR,1987,,,,4/12/2022 12:47pm
236,Silver Dollar ,(L),,2710 Asher Ave.,Bars/Clubs,Little Rock,AR,1987,,,,3/17/2022 2:15pm
237,Twisted Entertainment ,,"(Gifts, etc.) ",5618 Asher Ave.,Business,Little Rock,AR,1987,,,,3/17/2022 2:18pm
238,University Video & Arcade ,(*),,6316 Asher Ave.,Business,Little Rock,AR,1987,,,,3/16/2022 12:11pm
248,Adult Book Store ,(P),,414 State Line Ave.,Book Store,Texarcana,AK,1987,,,,3/16/2022 12:14pm
254,Maxi Tan ,,(Tanning salon) ,631A N. Euclid Ave.,Business,Anaheim,CA,1987,,,,3/16/2022 12:17pm
255,Sidelines ,"(PT),(M),(D)",,732 9th St.,Bars/Clubs,Arcata,CA,1987,,,,3/16/2022 12:17pm
257,Awful Annie's Cafe ,"(M),(R)",,160 Sacramento,Restaurant,Auburn,CA,1987,,,,3/16/2022 12:18pm
259,Adult Bookstore ,,,1304 19th St.,"Book Store,Erotic Shop",Bakersfield,CA,1987,,,,3/16/2022 12:18pm
260,Cellar ,"(*),(YC),(D)",(Disco),1927 'K 'St.,Bars/Clubs,Bakersfield,CA,1987,,,,3/16/2022 12:18pm
262,M.C.C. & Women's Support Groups,(MCC),,2415 Alta Vista Dr.,"Religious Institution,Community Center/Support Group",Bakersfield,CA,1987,,,,3/16/2022 12:19pm
265,Town Casino ,"(E),(M)",Hotel Padre,1913 'H 'St.,"Business,Hotel",Bakersfield,CA,1987,,,,7/13/2022 8:37am
266,Trade Winds ,"(M),(D),(L)",(Disco),1209 20th St.,Bars/Clubs,Bakersfield,CA,1987,,,,3/16/2022 12:20pm
270,Gay Men's Health Collective,,Berkeley Free Clinic,2339 Durant Ave.,Health Clinic,Berkeley,CA,1987,,,,3/16/2022 12:21pm
271,Steam Works ,(*),(Baths)(Hot tub)(Gym) 1 block off University Ave.,2107 4th St.,"Bathhouses,Gym",Berkeley,CA,1987,,,,3/16/2022 1:26pm
288,Timberhill Ranch ,"(M),(H),(R)",(707) 847-3471,35755 Hauser Bridge Rd.,"Hotel,Restaurant",Cazadero,CA,1987,,,,3/16/2022 1:26pm
289,Fantasyland ,,"(Books, etc.) 2827 Esplanade",2827 Esplanade,Book Store,Chico,CA,1987,,,,3/16/2022 1:26pm
290,R.J.'s ,(*),,900 Cherry St.,Bars/Clubs,Chico,CA,1987,,,,3/17/2022 2:16pm
292,'F' St. Book Store ,,,1141 3rd Ave.,Book Store,Chula Vista,CA,1987,,,,3/16/2022 1:26pm
293,Blue Fish Cove Resort ,"(L),(H)",(Clear Lake Oaks),10573 E. Hwy. 20,Hotel,Clear Lake,CA,1987,,,,3/16/2022 1:26pm
295,Cabaret Bar ,"(D),(E),(PT),(*)",(Cruisy) (Glenhaven),9435 E. Hwy. 20,"Bars/Clubs,Cruising Areas",Clear Lake,CA,1987,,,,4/12/2022 12:47pm
297,Lake Place Resort ,"(H),(WE)",(Trailers)(Hot tub)(WE*)(Glenhaven),9515 Harbor Dr. ,Hotel,Clear Lake,CA,1987,,,,3/16/2022 1:26pm
306,Lions Den ,"(*),(D),(PT)",(Disco)(Cruisy) ,719 W. 19th St.,"Bars/Clubs,Cruising Areas",Costa Mesa,CA,1987,,,,3/16/2022 1:26pm
307,M.C.C.,(MCC),,148 E. 22nd St.,Religious Institution,Costa Mesa,CA,1987,,,,3/16/2022 1:26pm
308,Newport Station,"(W),(YC),(D),(*),(E),(PT),(R)",(Disco),1945 Placentia,"Bars/Clubs,Restaurant",Costa Mesa,CA,1987,,,,7/13/2022 8:54am
312,Silver Fox ,(OC),,10095 Saich Way,Bars/Clubs,Cupertino,CA,1987,,,,3/17/2022 2:16pm
318,'F' Street Bookstore ,(*),,158 E. Main,Book Store,El Cajon,CA,1987,,,,3/16/2022 1:26pm
327,Eddie's ,(PT),,4101 N. Arden Dr.,Bars/Clubs,El Monte,CA,1987,,,,3/16/2022 1:26pm
328,'F' Street Bookstore ,(*),,237 E. Grand,Book Store,Escondido,CA,1987,,,,3/16/2022 1:38pm
329,Panchali's ,,,831 S. Escondido,,Escondido,CA,1987,,,,3/16/2022 1:38pm
333,Old Town Bar & Grill ,"(M),(R)",,327 2nd St.,Restaurant,Eureka,CA,1987,,,,3/16/2022 1:38pm
334,Rainbow Balloons ,,"(Gifts, etc.) ",527 4th St.,Business,Eureka,CA,1987,,,,3/16/2022 1:38pm
342,Cap 'n' Capps Country Inn ,(H),,32980 Gibney Lane,Hotel,Fort Bragg,CA,1987,,,,3/16/2022 1:38pm
343,Dehaven Valley Farm ,"(B&B),(H),(R),(*)","('BA'beach) P.O. Box 211, Westport, CA (707) 964-5252 10 mi. N. o f Ft. Bragg",39247 Hwy. 1,"Restaurant,Hotel",Fort Bragg,CA,1987,,,,3/16/2022 1:38pm
344,Golden Gate Adult Book Store,(F&S),,40555-B Grimmer Blvd.,"Erotic Shop,Book Store",Fremont,CA,1987,,,,7/13/2022 8:53am
346,Carousel ,"(M),(R)",(Belmont & U.S. 99),1444 W. White ,Restaurant,Fresno,CA,1987,,,,3/16/2022 1:52pm
347,City Lights ,(R),,88 E. Olive,Restaurant,Fresno,CA,1987,,,,3/16/2022 1:52pm
348,Cool Adult Store ,,(24 Hrs.) ,3601 E. Ventura Ave.,Erotic Shop,Fresno,CA,1987,,,,3/16/2022 1:53pm
349,Denny's ,"(M),(R),(C),(AH)",,3120 N. Blackstone,Restaurant,Fresno,CA,1987,,,,3/16/2022 1:53pm
350,Fresno Express ,"(YC),(*),(D),(PT),(V)",(Disco)(Game Room-PT Snacks) Video Box,708 N. Blackstone,Bars/Clubs,Fresno,CA,1987,,,,3/16/2022 1:55pm
351,Front Runner,,(Publication) ,164 N. Blackstone #119,Publication,Fresno,CA,1987,,,,3/16/2022 1:55pm
352,Gordick's Books,,,6015 N. Palm #101,Book Store,Fresno,CA,1987,,,,7/13/2022 8:42am
353,High Energy,"(D),(*),(L)", (Unisex)(Some L)(Disco),2250 N. Weber,Bars/Clubs,Fresno,CA,1987,,,,3/16/2022 2:10pm
354,M.C.C.,(MCC),(Unitarian Church) ,4144 N. Millbrook,Religious Institution,Fresno,CA,1987,,,,3/16/2022 2:10pm
355,Metro ,(R),(Bar & R) at Tuolumne,1445 'F' St. ,Restaurant,Fresno,CA,1987,,,,3/16/2022 2:11pm
356,Palace Saloon ,"(D),(PT),(L)",,4030 E. Belmont,Bars/Clubs,Fresno,CA,1987,,,,3/16/2022 2:11pm
357,Red Lantern ,"(W),(SM),(OC),(PT),(WE)","(Some W, SM, OC)(Cruisy)(WE*)",4618 E. Belmont,"Bars/Clubs,Cruising Areas",Fresno,CA,1987,,,,3/16/2022 2:12pm
358,Wild Cat Book Store ,,,1535 Fresno St.,Book Store,Fresno,CA,1987,,,,3/16/2022 2:12pm
362,Tricks,,,113 N . Harbor Blvd.,Bars/Clubs,Fullerton,CA,1987,,,,3/17/2022 2:16pm
363,D.O.K. West ,"(YC),(L),(D),(WE)",(Some L)(Disco)(WE*),12889 Garden Grove Blvd.,Bars/Clubs,Garden Grove,CA,1987,,,,3/16/2022 2:13pm
364,Fraternity House  ,"(*),(YC),(D)",(Macho)(Disco)(Crusiy),8112 Garden Grove Blvd.,"Bars/Clubs,Cruising Areas",Garden Grove,CA,1987,,,,3/16/2022 2:13pm
365,Gay & Lesbian Center & Liaison ,,(Pub.) (714) 534-0862 or 534-3261,12832 Garden Grove Blvd.,Community Center/Support Group,Garden Grove,CA,1987,,,,3/16/2022 2:13pm
366,Happy Hour ,"(L),(R),(PT)",,12081 Garden Grove Blvd.,Restaurant,Garden Grove,CA,1987,,,,3/16/2022 2:13pm
367,Hip Pocket ,,(Books) ,12686 Garden Grove Blvd.,Book Store,Garden Grove,CA,1987,,,,3/16/2022 2:14pm
368,Maneuvers ,"(PT),(W),(SM),(*)","(W, SM, Uniforms)(Cruisy)",11086 Garden Grove Blvd.,"Bars/Clubs,Cruising Areas",Garden Grove,CA,1987,,,,4/12/2022 12:48pm
369,Mini Tan ,,(Suite A-2) ,12901 Harbor Blvd.,Business,Garden Grove,CA,1987,,,,3/16/2022 2:20pm
370,Mug ,,,8612 Garden Grove Blvd.,Bars/Clubs,Garden Grove,CA,1987,,,,3/17/2022 2:17pm
371,Party House ,,(Books) ,8751 Garden Grove Blvd.,Book Store,Garden Grove,CA,1987,,,,3/16/2022 2:20pm
374,El Capitan ,,,13825 S. Hawthorne,Bars/Clubs,Hawthrone,CA,1987,,,,3/17/2022 2:17pm
375,Big Mama's ,,,22615 Mission Blvd.,Bars/Clubs,Hayward,CA,1987,,,,3/17/2022 2:17pm
376,Driftwood Lounge ,"(L),(PT),(D)",,22170 Mission Blvd.,Bars/Clubs,Hayward,CA,1987,,,,3/16/2022 2:21pm
377,Golden Gate Adult Books ,"(F&S),(*)",,22553 Main St.,"Book Store,Erotic Shop",Hayward,CA,1987,,,,3/16/2022 2:21pm
378,Lorettas' ,"(PT),(*),(OC),(N)",,22525 Mission Blvd.,Bars/Clubs,Hayward,CA,1987,,,,3/16/2022 2:23pm
379,Spoiled Brat,"(*),(YC),(D)",(Disco),22648 Mission Blvd.,Bars/Clubs,Hayward,CA,1987,,,,4/12/2022 12:48pm
380,Turf Club ,(*),(Something for everyone) (Patio) ,22517 Mission Blvd.,Bars/Clubs,Hayward,CA,1987,,,,3/16/2022 2:23pm
383,Gladiator ,"(PT),(*),(OC),(SM),(W)","(Some W, SM, OC)",7810 Santa Fe Ave.,Bars/Clubs,Huntington Park,CA,1987,,,,4/12/2022 12:48pm
384,Islander,"(D),(PT)", (Some Latins),6907 Santa Fe,Bars/Clubs,Huntington Park,CA,1987,,,,3/16/2022 2:24pm
387,Annex ,,,835 S. La Brea,Bars/Clubs,Inglewood,CA,1987,,,,3/17/2022 2:14pm
388,Papa Bear's ,,,1101 S. Prairie,Bars/Clubs,Inglewood,CA,1987,,,,3/17/2022 2:14pm
389,A Different Drum ,,(Books) ,1027 N. Coast Hwy.,Book Store,Laguna Beach,CA,1987,,,,3/16/2022 2:25pm
390,Beach Men ,,(Clothing)(Enter next to Boom Boom Room off Mountain Rd.) ,1401 S. Coast Hwy.,Business,Laguna Beach,CA,1987,,,,3/17/2022 2:14pm
391,Boom Boom Room ,"(YC),(*),(D)",(Game room)(Cruisy)(Small Disco)(Enter thru side door or thru Tap Room) Coast Inn,1401 S. Coast Hwy.,"Bars/Clubs,Cruising Areas",Laguna Beach,CA,1987,,,,7/13/2022 8:35am
392,Carriage House ,"(B&B),(M)",,1322 Catalina,Hotel,Laguna Beach,CA,1987,,,,3/16/2022 2:26pm
