Name,title,description,streetaddress,unclear_address,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
45,On The Roxx,"334/432-9056 5pm-close, clsd Mon-Tue",20 S Conception,,Mobile,AL,"(W),(D),(E)",Nightclubs,,,1999,3/23/2023 8:19am
47,Big E's,"(at S Jackson St) 334/694-0585 brkfst & lunch Mon-Fri, dinner Th-Sat, clsd Sun",274 Dauphin St,,Mobile,AL,(WC),Cafes,,,1999,3/23/2023 8:22am
41,Pink Triangle AA Group,334/438-1679 call for mtg times,2500 Dauphin St,,Mobile,AL,,Info Lines & Services,,,1999,3/23/2023 8:14am
44,Society Lounge,(at Conti) 334/433-9141 noon-close,51 S Conception,,Mobile,AL,"(*),(MW),(D),(S),(PC),(WC)",Bars,,,1999,3/23/2023 8:18am
46,Troopers,(nr Joachim) 334/433-7436 8pm-close,215 Conti St,,Mobile,AL,"(MW),(D),(S)",Nightclubs,,,1999,3/23/2023 8:20am
43,Gabriel's Downtown,"(at Government) 334/432-4900 5pm-close, from 3pm Sun",55 S Joachim St,,Mobile,AL,"(MW),(V),(PC)",Bars,,,1999,3/23/2023 8:17am
49,Lattice Inn B&B,"334/832-9931 full brkfst, hot tub",1414 S Hull St,,Montgomery,AL,"(GF),(SW)",Accommodations,,,1999,3/23/2023 8:25am
51,The Plex,"(at Madison Ave) 334/269-9672 8pm-close, till 2am Sat",121 Coosa St,,Montgomery,AL,"(MW),(D),(S),(PC)",Nightclubs,,,1999,3/23/2023 8:28am
50,Area 51,(nr Civic Ctr) 334/264-5933 7pm-close,211 Lee St,,Montgomery,AL,"(MW),(D),(PC)",Nightclubs,,,1999,3/23/2023 8:26am
52,Michael's,"(at 22nd Ave) 205/758-9223 6pm-close, clsd Sun",2201 6th St,,Tuscaloosa,AL,"(MW),(D),(S)",Bars,,,1999,3/23/2023 8:29am
58,Aurora Winds Resort B&B,907/346-2533 on a hillside above Anchorage,7501 Upper O'Malley,,Anchorage,AK,(MW),Accommodations,,,1999,3/23/2023 8:37am
66,Kodiak Kafe & Dinner House,907/258-5233,225 E 5th Ave,,Anchorage,AK,,Restaurants,,,1999,3/23/2023 8:44am
62,The Wave,"907/561-9283 call for hrs, clsd Sun-Tue, patio; also espresso bar upstairs",3103 Spenard Rd,,Anchorage,AK,"(MW),(D),(CW),(S),(WC)",Bars,,,1999,3/23/2023 8:41am
67,O'Brady's Burgers & Brews,"(at Patterson) 907/338-1080 11am-midnight, noon-10pm Sun",6901 E Tudor Rd,,Anchorage,AK,,Restaurants,,,1999,3/23/2023 8:45am
72,Ace's,907/522-1987 24hrs,305 W Diamond Blvd,,Anchorage,AK,,Erotica,,,1999,3/23/2023 8:49am
64,China Lights,Eagle River 907/694-8080 10:30am-10pm,12110 Business Blvd,,Anchorage,AK,,Restaurants,,,1999,3/23/2023 8:43am
54,AA Gay/Lesbian,(btw E&F) 907/272-2312 call for mtg times,523 W 8th Ave #101,,Anchorage,AK,,Info Lines & Services,,,1999,3/23/2023 8:32am
61,Raven,(at 6th) 907/276-9672 11am-2:30am,618 Gambell,,Anchorage,AK,"(MW),(NH),(WC)",Bars,,,1999,3/23/2023 8:40am
63,At Last A Deli,"907/563-3354 7:30am-6pm, 11am-4pm Sat, clsd Sun",701 W 36th Ave,,Anchorage,AK,,Restaurants,,,1999,3/23/2023 8:42am
60,Gallery B&B,(at 12th) 907/274-2567,1229 'G' St,,Anchorage,AK,(GF),Accommodations,,,1999,3/23/2023 8:39am
69,Cyrano's Bookstore & Cafe,(btw 1st & 5th) 907/274-2599 10am-6pm,413 'D' St,,Anchorage,AK,"(F),(S),(BW),(WC)",Bookstores,,,1999,3/23/2023 8:47am
57,Arctic Feather B&B,907-277-3862,211 W Cook,,Anchorage,AK,(MW),Accommodations,,,1999,3/23/2023 8:37am
59,Cheney Lake B&B,"(at Baxter) 907/337-4391, 888/337-4391",6333 Colgate Dr,,Anchorage,AK,"(GF),NS",Accommodations,,,1999,3/23/2023 8:37am
73,Swingers Books & Gifts,907/561-5039 24hrs,710 W Northern Lights Blvd,,Anchorage,AK,,Erotica,,,1999,3/23/2023 8:50am
56,IMRU2,"(back lounge) 907/566-4678 5:30pm-7:30pm Wed, lesbigay youth group",1057 W Fireweed Ln #102,,Anchorage,AK,,Info Lines & Services,,,1999,3/23/2023 8:34am
68,Simon & Seafort's,907/274-3502 seafood & prime rib,420 'L' St,,Anchorage,AK,,Restaurants,,,1999,3/23/2023 8:46am
81,Fantasyland Video,907/488-0879 24hrs,1765 Richardson Hwy,,Fairbanks,AK,,Erotica,,,1999,3/23/2023 9:00am
80,Palace Saloon,"(Alaskaland) 907/451-1858, 907/456-5960 till 3am Fri-Sat (seasonal), gay after 11pm Fri-Say only",3175 College Rd,,Fairbanks,AK,"(GF),(D),(S)",Bars,,,1999,3/23/2023 9:00am
75,"Ah, Rose Marie B&B",907/456-2040 full bkfst,302 Cowles St,,Fairbanks,AK,"GS,GO",Accommodations,,,1999,3/23/2023 8:53am
77,Billie's Backpackers Hostel,"907/457-2034 B&B, hostel & campsites",2895 Mack Rd,,Fairbanks,AK,"(GF),(F)",Accommodations,,,1999,3/23/2023 8:56am
83,The Shorebird Guest House,"907/235-2107 cottage rental, beach access",4774 Kachemak Dr,,Homer,AK,"GS,(WC)",Accommodations,,,1999,3/23/2023 9:03am
87,Pearson's Pond Luxury Inn,907/789-3772 hot tub,4541 Sawa Cir,,Juneau,AK,(GF),Accommodations,,,1999,3/23/2023 9:07am
88,Inn at the Summit Waterfront Cafe,"907/586-2050 5pm-10pm, full bar",455 S Franklin St,,Juneau,AK,,Restaurants,,,1999,3/23/2023 9:08am
89,Millar Street House,"907/225-1258, 800/287-1607",430 Millar St,,Ketchikan,AK,(GF),Accommodations,,,1999,3/23/2023 9:08am
91,A Crescent Harbor Hideaway,"907/747-4900 restored historic waterfront home, wildlife & marine tours",709 Lincoln St,,Sitka,AK,(GF),Accommodations,,,1999,3/23/2023 9:10am
254,Ermilio's,"501/253-8806 5pm-8:30pm, clsd Th, Italian",26 White,,Eureka Springs,AR,,Restaurants,,,1999,3/24/2023 5:36am
247,Singleton House B&B,"501/253-9111, 800/833-3394 restored 1890s Victorian, full brkfst",11 Singleton,,Eureka Springs,AR,(GF),Accommodations,,,1999,3/24/2023 5:26am
257,The Emerald Rainbow,501/253-5445 10:30am-5:30pm,45-1/2 Spring St,,Eureka Springs,AR,,Retail Shops,,,1999,3/24/2023 5:39am
255,Jim & Brent's Bistro,"501/253-7457 5pm-11pm, clsd Wed-Th",173 S Main,,Eureka Springs,AR,(BYOB),Restaurants,,,1999,3/24/2023 5:37am
244,Palace Hotel & Bath House,501/253-7474 bath house open to all,135 Spring St,,Eureka Springs,AR,"(GF),(WC)",Accommodations,,,1999,3/24/2023 5:22am
246,Rock Cottage Gardens,"501/253-8659, 800/624-6646 full brkfst, hot tub",10 Eugenia St,,Eureka Springs,AR,"(MW),GO",Accommodations,,,1999,3/24/2023 5:25am
236,Cedarberry Cottage B&B,"501/253-6115, 800/590-2424 full brkfst, jacuzzis",3 Kings Hwy,,Eureka Springs,AR,(GF),Accommodations,,,1999,3/24/2023 5:11am
250,Center Street Bar & Grille,"501/253-8102 6pm-2am, kitchen open till 10pm Th-Mon, clsd Sun, Mexican ",10 Center St,,Eureka Springs,AR,"(GF),(D),(F),(E)",Bars,,,1999,3/24/2023 5:30am
237,Cliff Cottage B&B Inn,"501/253-7409, 800/799-7409 full brkfst, gourmet dinner & dinner cruises",42 Armstrong St,,Eureka Springs,AR,"(GF),NS",Accommodations,,,1999,3/24/2023 5:13am
241,Maple Leaf Inn,"501/253-6876, 800/372-6542 full brkfst, hot tub, restored Victorian",6 Kings Hwy,,Eureka Springs,AR,"GS,GO",Accommodations,,,1999,3/24/2023 5:19am
256,The Plaza,"501/253-8866 lunch & dinner, French",55 S Main,,Eureka Springs,AR,,Restaurants,,,1999,3/24/2023 5:38am
238,Crescent Dragonwagon's Dairy Hollow House B&B,"501/253-7444, 800/562-8650 full brkfst, hot tub",516 Spring St,,Eureka Springs,AR,(GF),Accommodations,,,1999,3/24/2023 5:14am
248,Villa DuBois Tourist Lodge,"501/253-6965 cottage, full kitchen, private deck, jacuzzi",2 Kings Hwy,,Eureka Springs,AR,(M),Accommodations,,,1999,3/24/2023 5:27am
235,Arbour Glen Victorian Inn B&B,"501/253-9010, 800/515-4536 full brkfst, historic Victoriam home w/ guesthouse, jacuzzis, fireplaces",7 Lema,,Eureka Springs,AR,(GF),Accommodations,,,1999,3/24/2023 5:10am
251,Chelsea's Corner Cafe,"501/253-6723 11am-2am, clsd Sun, patio",10 Mountain St,,Eureka Springs,AR,(GF),Bars,,,1999,3/24/2023 5:32am
242,Mark E Cook Historic Guest House,"(at Kings Hwy) 501/253-6555, 800/210-5683 suites & cottages",27 Paxos,,Eureka Springs,AR,(GF),Accommodations,,,1999,3/24/2023 5:21am
259,Ron's Place,501/442-3052 9pm-2am Th-Sun,523 W Poplar,,Fayetteville,AR,(M),Bars,,,1999,3/24/2023 5:41am
260,Passages,"501/442-5845 10am-6pm, till 8pm Fri, 1pm-6pm Sun, new age/metaphysical",200 W Dickson,,Fayetteville,AR,,Bookstores,,,1999,3/24/2023 5:42am
263,Burnzee's on the Hill,"501/494-7300 6pm-2am, clsd Mon",1217 South W,,Fort Smith,AR,"(*),(MW),(D),(S),(PC)",Nightclubs,,,1999,3/24/2023 5:45am
264,Foxglove B&B,"501/338-9391, 800/863-1926",229 Beech,,Helena,AR,(GF),Accommodations,,,1999,3/24/2023 5:46am
265,Our House Lounge & Restaurant,"501/624-6868 7pm-3am, shows monthly",660 E Grand Ave,,Hot Springs,AR,"(*),(MW),(D),(WC)",Nightclubs,,,1999,3/24/2023 5:48am
275,Discovery III,(btwn Cantrell & Riverfront) 501/664-4784 9pm-5am Fri & Sat,1021 Jessie Rd,,Little Rock,AR,"(*),(M),(D),(TG),(S),(PC),(WC)",Bars,,,1999,3/24/2023 6:00am
274,C.O.A.D.,"501/372-3070 7pm-1am, clsd Sun",412 S Louisiana St,,Little Rock,AR,(M),Bars,,,1999,3/24/2023 5:59am
279,Wild Card,"(at Maralynn) 501/223-9071 10am-8pm, noon-6pm Sun, novelties & gifts",400 N Bowman,,Little Rock,AR,,Retail Shops,,,1999,3/24/2023 6:06am
278,A Twisted Gift Shop,"501/376-7723 11am-10pm, clsd Tue, gift shop",1007 West 7th St,,Little Rock,AR,,Retail Shops,,,1999,3/24/2023 6:05am
276,Vino's Pizza,"(at Chester) 501/375-8466 11am-midnight, until 10pm Tue & Wed",923 W 7th St,,Little Rock,AR,(BW),Restaurants,,,1999,3/24/2023 6:01am
273,Backstreet,(btwn Cantrell & Riverfront) 501/664-2744 9pm-5am,1021 Jessie Rd #Q,,Little Rock,AR,"(MW),(D),(S),(PC),(WC)",Bars,,,1999,3/24/2023 5:58am
92,The Airport Video (Adult Resort),"(exit Crismon Rd off I-60 east, 30 min from Pheonix) 602/380-9843 24hrs",10145 E Apache Tr,,Apache Junction,AZ,"(SW),(AYOR)",Erotica,,,1999,3/23/2023 9:15am
93,St Elmo's,"520/432-5578 10am-1am, live bands Fri-Sat",36 Brewery Gulch Ave,,Bisbee,AZ,(GF),Bars,,,1999,3/23/2023 9:16am
94,The Lariat Saloon,520/758-8479,1161 Hancock Rd,,Bullhead City,AZ,"(MW),(NH),MR,(WC)",Bars,,,1999,3/23/2023 9:16am
103,Aradia Books,"520/779-3817 10:30am-5:30pm, clsd Sun, some gay men's titles",116 W Cottage,,Flagstaff,AZ,,Restaurants,,,1999,3/23/2023 9:23am
98,Hotel Monte Vista,"520/779-6971, 800/545-3068 full bar, cafe, historic 1927 lodging",100 N San Francisco St,,Flagstaff,AZ,"(GF),(F)",Accommodations,,,1999,3/23/2023 9:18am
102,Pasto,"520/779-1937 dinner only, Italian",19 E Aspen,,Flagstaff,AZ,"(BW),(WC)",Restaurants,,,1999,3/23/2023 9:22am
100,Monte Vista Lounge,"520/779-6971 10am-1am, cafe from 6am",100 N San Francisco St,,Flagstaff,AZ,"(GF),(E)",Bars,,,1999,3/23/2023 9:20am
99,Charlie's,"520/779-1919 noon-1am, Sun brunch",23 N Leroux,,Flagstaff,AZ,"(GF),(F),(WC)",Bars,,,1999,3/23/2023 9:19am
101,Cafe Ole,520/774-8272 till 8pm,119 S San Francisco,,Flagstaff,AZ,(BW),Restaurants,,,1999,3/23/2023 9:22am
104,Karen's Adult Bookstore & Ladies Lingerie,520/763-5600,4350 Hwy 95 #1,,Fort Mohave,AZ,,Erotica,,,1999,3/23/2023 9:24am
105,Kings Inn Best Western,"520/753-6101, 800/528-1234 non-smoking rms available, bakery on premises",2930 E Andy Devine,,Kingman,AZ,"(GF),(SW),(F)",Accommodations,,,1999,3/23/2023 9:25am
106,Castle Superstore,602/986-6114 24hrs,8315 E Apache Trail,,Mesa,AZ,,Erotica,,,1999,3/23/2023 9:26am
107,Eros Adult Emporium,520/768-6300,10185 Harbor Ave,,Mohave Valley,AZ,,Erotica,,,1999,3/23/2023 9:27am
126,Cash Inn,"(at 22nd St) 602/244-9943 4pm-1am, from 2pm Sat, from noon Sun",2140 E McDowell Rd 9,,Phoenix,AZ,"(MW),(D),(CW),(WC)",Bars,,,1999,3/23/2023 9:46am
146,Katz's Deli,"(at Camelback) 602/277-8814 7am-3pm, till 7pm Tue-Fri, from 8am Sun, kosher",5144 N Central,,Phoenix,AZ,,Restaurants,,,1999,3/23/2023 8:01pm
162,Castle Superstore,602/995-1641,8802 N Black Canyon Fwy,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:18pm
114,Valley One In Ten,"602/264-5437 7pm Wed, youth group, HIV peer education",3136 N 3rd Ave,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:33am
151,Movies on Central,"602/274-0994 11am-10pm, lesbigay video rentals & sales",4700 N Central #121,,Phoenix,AZ,(WC),Retail Shops,,,1999,3/23/2023 8:07pm
113,Valley of the Sun Gay/Lesbian Center,602/265-7283,24 W Camelback,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:32am
154,Powerhouse Fitness Center,(at Rural) 602/921-9551,1301 E University,,Phoenix,AZ,(GF),Gyms & Health Clubs,,,1999,3/23/2023 8:11pm
143,Foster's,"(at Indian School Rd) 602/263-8313 7pm-1am, 'Trash Disco' Sun",4343 N 7th Ave,,Phoenix,AZ,"(MW),(D),(L),(YC),(WC)",Nightclubs,,,1999,3/23/2023 7:58pm
130,Harley's 155,(btwn 3rd Ave & Central Ave) 602/274-8505 noon-1am,155 W Camelback Rd,,Phoenix,AZ,"(MW),(D)",Bars,,,1999,3/23/2023 9:51am
132,JC's Fun One Lounge,"Glendale (at Missouri) 602/939-0528 noon-1am, from 11am wknds",5543 N 43rd Ave,,Phoenix,AZ,"(MW),(D),(S),(WC)",Bars,,,1999,3/23/2023 9:52am
148,Vincent Guerithault on Camelback,(at 40th St) 602/224-0225 French w/Southwest flair,3930 E Camelback Rd,,Phoenix,AZ,(WC),Restaurants,,,1999,3/23/2023 8:03pm
156,Flex Complex,(btwn 19th Ave & I-17) 602/271-9011 24hrs,1517 S Black Canyon Hwy,,Phoenix,AZ,"(MO),(SW),(PC)",Men's Services,,,1999,3/24/2023 7:57am
138,Pookie's Cafe,"602/277-2121 11am-midnight, Sun brunch",4540 N 7th St,,Phoenix,AZ,"(MW),(E),(V),(WC)",Bars,,,1999,3/23/2023 9:58am
159,The Barn,(at 51st Ave) 602/245-3008 24hrs,5021 W Indian School Rd,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:16pm
150,Energy Tanning,602/285-2861,4700 N Central #116,,Phoenix,AZ,(WC),Retail Shops,,,1999,3/23/2023 8:05pm
111,Lesbian/Gay Community Switchboard,602/234-2752,3136 N 3rd Ave,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:31am
112,TDD,10am-10pm (volunteers permitting),3136 N 3rd Ave,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:32am
125,The Bunkhouse,"602/200-9154 1pm-1am, patio",4428 N 7th Ave,,Phoenix,AZ,"(MO),(YC)",Bars,,,1999,3/23/2023 9:45am
152,Unique on Central,"(at Camelback) 602/279-9691, 800/269-4840 (MAIL ORDER) 10am-9pm, till 6pm Sun, cards, gifts & more",4700 N Central Ave #105,,Phoenix,AZ,(WC),Retail Shops,,,1999,3/23/2023 8:09pm
109,Arizona Office of Tourism,"602/230-7733, 800/842-8257",2702 N 3rd St #4015,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:29am
136,Nu Towne,"(at 48th St) 602/267-9959 10am-1am, popular Sun & Tue",5002 E Van Buren,,Phoenix,AZ,"(M),(WC)",Bars,,,1999,3/23/2023 9:57am
141,Trax,"(at 16th St) 602-254-0231 2pm-1am, till 3am Fri-Sat",1724 E McDowell,,Phoenix,AZ,"(M),(D),(A),(L),(YC),(WC)",Bars,,,1999,3/23/2023 7:56pm
149,Obelisk the Bookstore,"(at Central) 602/266-2665 10am-10pm, from 9am wknds, lesbigay",24 W Camelback #A,,Phoenix,AZ,(WC),Bookstores,,,1999,3/23/2023 8:05pm
133,Johnny Mc's,(btwn 3rd & Central Aves) 602/266-0875 10am-1am,138 W Camelback Rd,,Phoenix,AZ,"(M),(NH)",Bars,,,1999,3/23/2023 9:53am
120,Stewart's B&B,(btwn 13th & Northern) 602/861-2500,1319 E Hayward,,Phoenix,AZ,"(MO),(L),(N),(WC)",Accommodations,,,1999,3/23/2023 9:40am
163,Castle Superstore,602/986-6114,8315 E Apache Trl,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:18pm
134,Marly's,(btwn Greenway Pkwy & Greenway Rd) 602/867-2463 3pm-1am,15615 N Cave Creek Rd,,Phoenix,AZ,"(MW),(NH),(E)",Bars,,,1999,3/23/2023 9:55am
119,Larry's B&B,"(btwn Maryland & Bethany Home) 602/249-2974 full brkfst, hot tub",502 W Claremont Ave,,Phoenix,AZ,"(M),(SW),(N)",Accommodations,,,1999,3/23/2023 9:39am
137,Paco Paco's,602/263-8424 4pm-1am Wed-Sun,3045 N 16th St,,Phoenix,AZ,,Bars,,,1999,3/23/2023 9:57am
124,Apollos,"(south of Bethany Home) 602/277-9373 8am-1am, diverse crowd",5749 N 7th St,,Phoenix,AZ,"(M),(NH),(K)",Bars,,,1999,3/23/2023 9:44am
155,Chute,602/234-1654 24hrs,1440 E Indian School Rd,,Phoenix,AZ,"(M),(B),(L)",Men's Services,,,1999,3/24/2023 7:57am
115,Arizona Royal Villa Resort,602/266-6883 jacuzzi,1110 E Turney Ave #8,,Phoenix,AZ,"(MO),(SW),(N)",Accommodations,,,1999,3/23/2023 9:34am
108,AA Lambda Club,602/264-1341 6pm & 8pm,2622 N 16th St,,Phoenix,AZ,,Info Lines & Services,,,1999,3/23/2023 9:28am
147,Los Dos Molinos,"602/243-9113 11am-9pm Tue-Sun, home cooking",8646 S Central Ave,,Phoenix,AZ,,Restaurants,,,1999,3/23/2023 8:02pm
140,Roscoe's on 7th,"(at Coolidge) 602/285-0833 3pm-1am, from 11am Sun, sports bar",4531 N 7th,,Phoenix,AZ,"(M),(F)",Bars,,,1999,3/23/2023 10:00am
129,Cruisin' Central,"(at Roosevelt) 602/253-3376 6am-1am, hustlers",1011 N Central Ave,,Phoenix,AZ,"(M),(S),(OC),(WC)",Bars,,,1999,3/23/2023 9:49am
121,Windsor Cottage B&B,"(btwn 3rd Ave & Thomas) 602/264-6309, 888/568-7015 patio",62 W Windsor,,Phoenix,AZ,"(MW),(SW),(N),GO",Accommodations,,,1999,3/23/2023 9:41am
127,Charlie's,"(at 7th Ave) 602/265-0224 noon-1am, Sun BBQ",727 W Camelback Rd,,Phoenix,AZ,"(M),(D),(CW)",Bars,,,1999,3/23/2023 9:47am
161,Castle Superstore,602/231-9837,5501 E Washington,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:18pm
142,Winks,602/265-9002 11am-1am,5707 N 7th St,,Phoenix,AZ,"(*),(MW),(E)",Bars,,,1999,3/23/2023 7:57pm
160,Castle Superstore,602/266-3348 24hrs,300 E Camelback,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:18pm
135,Nasty Habits,602/231-9427,3108 E McDowell Rd,,Phoenix,AZ,"(MW),(K)",Bars,,,1999,3/23/2023 9:56am
145,Eddie's Grill,"(1 blk south of Camelback) 602/241-1188 lunch wkdays, dinner nightly, clsd Sun, full bar, patio",4747 N 7th St,,Phoenix,AZ,(WC),Restaurants,,,1999,3/23/2023 8:00pm
116,Arizona Sunburst Inn,"(at Rose Ln) 602/274-1474, 800/974-1474",6245 N 12th Pl,,Phoenix,AZ,"(MO),(SW),(N)",Accommodations,,,1999,3/23/2023 9:35am
118,Casa de mis Padres,"602/675-0247 luxury guest stes, 5 minutes to Old Town Scottsdale",5965 E Orange Blossom Ln,,Phoenix,AZ,"(M),(SW)",Accommodations,,,1999,3/23/2023 9:37am
123,Ain't Nobody's Bizness,(at 32nd St) 602/224-9977 2pm-1am,3031 E Indian School #7,,Phoenix,AZ,"(W),(D),(WC)",Bars,,,1999,3/23/2023 9:43am
164,International Bookstore,(at 36th St) 602-955-2000,3640 E Thomas Rd,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:19pm
165,Tuff Stuff,"(at 17th St) 254-9651 10am-6pm, till 4pm Sat, clsd Sun-Mon, leather shop",1714 E McDowell Rd,,Phoenix,AZ,,Erotica,,,1999,3/23/2023 8:20pm
