ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Archie's ,(Snacks),312 Cookman Ave.,Asbury Park,NJ,(D),Bars/Clubs,,,1980,,3/8/2020 2:59pm,7/23/2020 7:21pm
2,Blue Note ,,707 Bangs Ave.,Asbury Park,NJ,"(OC),(E)",Bars/Clubs,,,1980,,3/13/2020 7:27pm,7/23/2020 7:21pm
4,Colony Baths,('Flicks' & beer - open all year),500 Summerfield Ave.,Asbury Park,NJ,"(P),(*)",Baths,,,1980,,3/13/2020 7:31pm,7/23/2020 7:21pm
6,La Palma Rooming House,,409 Cookman,Asbury Park,NJ,(H),Hotels,,,1980,,3/13/2020 7:31pm,7/23/2020 7:21pm
5,M & K Tavern ('Paul's),"(Some YC, L, B) (Several floors) (Disco) (Swim pool)",611 Heck St. just off Cookman,Asbury Park,NJ,"(YC),(L),(B),(D),(S),(*)",Bars/Clubs,,,1980,,3/13/2020 7:31pm,7/23/2020 7:21pm
7,Nite Life ,,Cookman St.,Asbury Park,NJ,"(R),(C),(AH)",Restaurant,,,1980,,3/13/2020 7:33pm,7/23/2020 7:21pm
8,Odyssey,(Disco) (Macho),427 Cookman Ave.,Asbury Park,NJ,"(D),(*)",Bars/Clubs,,,1980,,3/13/2020 7:33pm,7/23/2020 7:21pm
13,Brass Rail Bar ,(Open all night) (Best late after others close),12 S. Mt. Vernon Ave.,Atlantic City,NJ,"(*),(D)",Bars/Clubs,,,1980,,3/13/2020 7:35pm,7/23/2020 7:21pm
14,Ceil's Saratoga Bar,,205 S. New York Ave.,Atlantic City,NJ,"(S),(D)",Bars/Clubs,,,1980,,3/13/2020 7:35pm,7/23/2020 7:21pm
15,Chester Inn,,132 S. New York Ave.,Atlantic City,NJ,(H),Hotels,,,1980,,3/13/2020 7:36pm,7/23/2020 7:21pm
16,Chester Lounge,(Best all year bar side entrance or through hotel),132 S. New York Ave.,Atlantic City,NJ,"(YC),(*),(D)","Bars/Clubs,Hotels",,,1980,,3/13/2020 7:36pm,7/23/2020 7:21pm
17,Club Atlantic City Baths,,149 S. Kentucky Ave.,Atlantic City,NJ,,Baths,,,1980,,3/13/2020 7:36pm,7/23/2020 7:21pm
18,Davenport Hotel,,116 S. Carolina Ave.,Atlantic City,NJ,"(*),(H)",Hotels,,,1980,,3/13/2020 7:37pm,7/23/2020 7:21pm
19,Deck Guest House ,,117 S. Westminster,Atlantic City,NJ,,Bars/Clubs,,,1980,,3/13/2020 7:37pm,7/23/2020 7:21pm
20,Entertainer's Club,an alley off New York nr. the Boardwalk,169 S. Westminster,Atlantic City,NJ,(OC),Bars/Clubs,,,1980,,3/13/2020 7:38pm,7/23/2020 7:21pm
21,Grand Central Restort,"(Includes 'After Dark' Show-Biz Cabaret, Studio V Disco & Copacabana 'deck bar')",149 S. Kentucky Ave.,Atlantic City,NJ,"(*),(H),(S),(E),(R)","Restaurant,Bars/Clubs,Hotels",,,1980,,3/13/2020 7:39pm,7/23/2020 7:21pm
22,Grand Hotel,(Open all year),122 S. New York Ave.,Atlantic City,NJ,"(H),(*)",Hotels,,,1980,,3/13/2020 7:40pm,7/23/2020 7:21pm
23,Holiday House,,145 S. New York Ave.,Atlantic City,NJ,"(M),(H)",Hotels,,,1980,,3/13/2020 7:41pm,7/23/2020 7:21pm
24,Kappa Gamma Phi Fraternity,,159 S. Westminster,Atlantic City,NJ,"(P),(H)",Hotels,,,1980,,3/13/2020 7:41pm,7/23/2020 7:21pm
25,Lark Inn,at the Boardwalk,174 S. New York Ave. ,Atlantic City,NJ,"(YC),(D),(PT),(*)",Bars/Clubs,,,1980,,3/13/2020 7:42pm,7/23/2020 7:21pm
26,Lyle's,(Breakfast & lunch),120 S. New York Ave.,Atlantic City,NJ,(R),Restaurant,,,1980,,3/13/2020 7:42pm,7/23/2020 7:21pm
27,Mama Mott's,(Italian R),151 S. New York Ave.,Atlantic City,NJ,(R),Restaurant,,,1980,,3/13/2020 7:53pm,7/23/2020 7:21pm
28,New Rendezvous ,(Cruise bar),137 S. New York Ave.,Atlantic City,NJ,,"Bars/Clubs,Cruising Areas",,,1980,,3/13/2020 8:22pm,7/23/2020 7:21pm
29,New York Subs,(Deli),178 S. New York Ave.,Atlantic City,NJ,"(M),(R)",Restaurant,,,1980,,3/13/2020 8:22pm,7/23/2020 7:21pm
30,Ocean House ,,127 S. Ocean Ave.,Atlantic City,NJ,(H),Hotels,,,1980,,3/13/2020 8:23pm,7/23/2020 7:21pm
31,Ramrod,(Summers) (Above Lark Inn),174 S. New York Ave.,Atlantic City,NJ,"(W),(SM),(*)",Bars/Clubs,,,1980,,3/13/2020 8:23pm,7/23/2020 7:21pm
32,Spruce Hotel,,181 S. New York Ave.,Atlantic City,NJ,"(M),(H)",Hotels,,,1980,,3/13/2020 8:24pm,7/23/2020 7:21pm
33,Studio V,(Disco),156 S. Westminster,Atlantic City,NJ,"(YC),(*)",Bars/Clubs,,,1980,,3/13/2020 8:24pm,7/23/2020 7:21pm
