ID,title,description,streetaddress,city,state,type,amenityfeatures,Year,unclear_address,uncleartype,notes,lastmodified
69,Hal's Place,"(Some YC, W, SM) (Cruisy) (Good afternoons) (also apts-H above), nr. 6th",618 Gambell,Anchorage,AK,"Bars/Clubs,Cruising Areas","(*),(YC),(SM),(D),(W)",1983,,,,12/10/2021 12:35pm
70,Jade Room,(2 floors),701 'I' St.,Anchorage,AK,Bars/Clubs,"(D),(PT),(*)",1983,,,,12/5/2021 11:00am
71,M.C.C.,,602 W. 10th Ave.,Anchorage,AK,Religious Institution,(MCC),1983,,,,12/5/2021 11:00am
72,The Village,(Disco) (Some L),225 E. 5th Ave.,Anchorage,AK,Bars/Clubs,"(YC),(D),(L),(*)",1983,,,,12/5/2021 11:00am
78,Pioneer Hotel ,(Very M),401 1st Ave.,Fairbanks,AK,Hotel,(M),1983,,,,12/5/2021 11:00am
82,Crystal Saloon,,418 S. Franklin St. ,Juneau,AK,Bars/Clubs,"(M),(D)",1983,,,,12/5/2021 11:00am
89,St. Elmo's,(E-WE),36 Brewery Gulch Ave.,Bisbee,AZ,Bars/Clubs,"(M),(W),(PT),(E),(WE)",1983,,,,12/5/2021 11:00am
93,Airbase Newstand,,13722 W. Glendale,Glendale,AZ,Book Store,,1983,,,,12/13/2021 1:19pm
100,Book Cellars,(Books etc.),"2103 W. Camelback Rd.
",Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
99,Barney's Books,,1421 E. McDowell Rd.,Phoenix,AZ,Book Store,,1983,,,,12/5/2021 11:00am
101,Book Cellars,(Books etc.),402 W. Hatcher,Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
102,Book Cellars,(Books etc.),1838 Grand Ave.,Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
103,Book Cellars,(Books etc.),1524 E. Van Buren,Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
104,Book Cellars,(Books etc.),6527 N. 59th Ave.,Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
105,Book Cellars,(Books etc.),4806 W. Glendale,Phoenix,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
106,Bronco's,(Opens 12 noon),3015 N. 16th St.,Phoenix,AZ,Bars/Clubs,"(*),(W),(PT)",1983,,,,12/5/2021 11:00am
107,Club Phoenix Baths,,1517 S. Black Canyon Hwy.,Phoenix,AZ,Bathhouses,(P),1983,,,,12/5/2021 11:00am
108,Connection ,"(Cruisy) (Some W, SM, FFA) (Leather boutique)",4211 N. 7th St.,Phoenix,AZ,"Bars/Clubs,Cruising Areas","(*),(W),(SM),(FFA)",1983,,,,12/10/2021 12:35pm
109,Denny's,,500 N. 7th St.,Phoenix,AZ,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
110,Erotica Motel & Book Store,,5200 E. Van Buren,Phoenix,AZ,"Book Store,Hotel",(H),1983,,,,12/5/2021 11:00am
111,Farrah's,(Disco),4017 E. Indian School Rd. ,Phoenix,AZ,Bars/Clubs,"(D),(*)",1983,,,,12/5/2021 11:00am
112,Full Moon ,(Disco),3108 E. McDowell Rd. ,Phoenix,AZ,Bars/Clubs,"(L),(D)",1983,,,,12/5/2021 11:00am
114,Goog's ,,1812 E. Camelback Rd. ,Phoenix,AZ,Restaurant,"(M),(R),(AH)",1983,,,,12/5/2021 11:00am
116,Hotbods,(AH-WE) ('Hottest' Disco in Phoenix),3437 E. McDowell Rd.,Phoenix,AZ,Bars/Clubs,"(YC),(AH),(WE),(*),(D)",1983,,,,12/5/2021 11:00am
115,Grand Camel,(Some L),5105 N. 43rd Ave.,Phoenix,AZ,Restaurant,"(R),(L),(*)",1983,,,,12/5/2021 11:00am
117,Hot Duds,(Mens clothing),842 E. Indian School Rd. ,Phoenix,AZ,Business,,1983,,,,12/5/2021 11:00am
118,Incognito Lounge,,2424 E. Thomas Rd. ,Phoenix,AZ,Bars/Clubs,"(L),(D)",1983,,,,12/5/2021 11:00am
119,Little Jims 307,,222 E. Roosevelt,Phoenix,AZ,Bars/Clubs,"(OC),(PT)",1983,,,,12/5/2021 11:00am
121,Nu Towne Saloon,"(Some W, YC) (Patio with Sun. buffet, 'Mon. beer bust')",5002 E. Van Buren,Phoenix,AZ,"Bars/Clubs,Restaurant","(W),(YC),(PT),(*)",1983,,,,12/5/2021 11:00am
120,M.C.C.,(Casa de Cristo),1029 E. Turney,Phoenix,AZ,Religious Institution,(MCC),1983,,,,12/5/2021 11:00am
123,Raggedy Ann,(Many L) (Disco) ,2320 N. 32nd St. ,Phoenix,AZ,Bars/Clubs,"(L),(D)",1983,,,,12/5/2021 11:00am
124,R. Hegyi,(Cards & Gifts) ,5150 N. 7th St. ,Phoenix,AZ,Business,,1983,,,,12/5/2021 11:00am
125,Ramrod,(Patio) (Sun. beer bust),395 N. Black Canyon Rd. ,Phoenix,AZ,Restaurant,"(SM),(W),(PT)",1983,,,,12/5/2021 11:00am
126,Royal Villa Motel ,(Swim Pool),1102 E. Turney Ave. ,Phoenix,AZ,Hotel,(*),1983,,,,12/5/2021 11:00am
127,Sammy's Steak House & Saloon,(Disco),2125 E. McDowell,Phoenix,AZ,"Restaurant,Bars/Clubs","(*),(R),(D),(S)",1983,,,,12/5/2021 11:00am
129,Sportsmen Lounge ,(Disco),4622 N. 7th St. ,Phoenix,AZ,Bars/Clubs,"(D),(PT)",1983,,,,12/5/2021 11:00am
128,Shamoos,(Looking up) (S-WE),3025 N. 24th St. ,Phoenix,AZ,Bars/Clubs,"(S),(WE)",1983,,,,12/13/2021 1:21pm
131,Timbers ,(Hustlers),702 N. Central ,Phoenix,AZ,Bars/Clubs,(OC),1983,,,,12/13/2021 1:21pm
132,Tommy & Clydes,(wed. strip nites),5749 N. 7th St.,Phoenix,AZ,Bars/Clubs,"(OC),(D),(*)",1983,,,,12/5/2021 11:00am
130,Taylor's,(Garden Room) (Sun. brunch),4223 N. 7th St.,Phoenix,AZ,Restaurant,"(*),(R)",1983,,,,12/5/2021 11:00am
134,Trax,"(Some levi, W, SM) (D.J. but no D)",1724 E. McDowell,Phoenix,AZ,Bars/Clubs,"(W),(SM),(PT),(*)",1983,,,,12/13/2021 1:21pm
133,Travel Studio,,13843 N. Tatum Blvd.,Phoenix,AZ,Travel Service,,1983,,,,12/13/2021 1:21pm
136,Womansplace,"(Books, etc.)",2401 N. 32nd St. ,Phoenix,AZ,Book Store,(L),1983,,,,12/5/2021 11:00am
157,Desert Squire,(clothing),7112 5th Ave.,Scottsdale,AZ,Business,,1983,,,,12/5/2021 11:00am
158,Zobra's Book Shop,,2924 N. Scottsdale Rd. ,Scottsdale,AZ,Book Store,(*),1983,,,,12/5/2021 11:00am
161,Annex 1043,(Mexican) (Looks promising),1043 E. Lemon,Tempe,AZ,Restaurant,"(PT),(R)",1983,,,,12/5/2021 11:00am
162,Modern World Adult Books,,1812 E. Apache,Tempe,AZ,Book Store,,1983,,,,12/5/2021 11:00am
176,Coffee Pot,,1070 N. Twain,Tuscon,AZ,Restaurant,"(M),(R)",1983,,,,12/5/2021 11:00am
172,Books Brothers ,,3244 E. Speedway,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
173,Book Cellar,,3844 E. Grant,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
175,Caesar's Book Store,('Wild back room' - best early evenings),2540 N. Miracle Mile,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
174,Book Cellar,,2505 N. Stone,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
171,Blue Willow,(R & Gifts),3616 N. Campbell,Tuscon,AZ,"Restaurant,Business","(M),(R)",1983,,,,12/5/2021 11:00am
181,Fun Tyme Adult Books ,,86 N. Stone,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
178,Desert Deli,,5039 E. 5th,Tuscon,AZ,Restaurant,"(R),(C),(AH)",1983,,,,12/5/2021 11:00am
180,Down & Dirty,"('D.D.'s) (Trying for W, SM) (Disco)",2308 N. Stone,Tuscon,AZ,Bars/Clubs,"(SM),(D),(W)",1983,,,,12/5/2021 11:00am
182,Graduate ,(Something for everyone) (Cocktail hour),23 W. University,Tuscon,AZ,Bars/Clubs,"(*),(D)",1983,,,,12/5/2021 11:00am
177,Congress,,311 E. Congress,Tuscon,AZ,Bars/Clubs,"(M),(OC),(RT)",1983,,,,12/5/2021 11:00am
187,Naughty Nel's ,,1927 E. Speedway,Tuscon,AZ,Restaurant,(R),1983,,,,12/5/2021 11:00am
184,Joshua Tree,(Most macho disco) (Cruisy) ('Back Pocket' & patio in rear),2921 N. 1st Ave.,Tuscon,AZ,"Bars/Clubs,Cruising Areas","(*),(YC)",1983,,,,12/10/2021 12:35pm
183,Holy Trinity Comm. Church,,2213 N. Columbus,Tuscon,AZ,Religious Institution,,1983,,,,12/5/2021 11:00am
185,M.C.C. ,,349 W. 35th St.,Tuscon,AZ,Religious Institution,(MCC),1983,,,,12/5/2021 11:00am
186,Michael's,(Disco) (Looking up),140 S. Kolb,Tuscon,AZ,Bars/Clubs,"(D),(S)",1983,,,,12/5/2021 11:00am
191,Ruby's ,,2512 E. Grant Rd.,Tuscon,AZ,"Restaurant,Bars/Clubs","(R),(L),(D),(PT)",1983,,,,12/5/2021 11:00am
188,Pleasure World,(Books 'n' things - erotica) ,3814 E. Speedway,Tuscon,AZ,"Book Store,Erotic Shop",,1983,,,,12/13/2021 1:23pm
190,Rita's Rendezvous,(Sun. brunch),3455 E. Grant Rd. ,Tuscon,AZ,Restaurant,"(*),(R)",1983,,,,12/5/2021 11:00am
189,Pleasure World,(Books 'n' things - erotica) ,1904 S. Craycroft,Tuscon,AZ,"Book Store,Erotic Shop",,1983,,,,12/13/2021 1:24pm
192,"Sambo's 
",,1400 N. Miracle Mile,Tuscon,AZ,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
195,The Bookstore Southwest,,1400 S. Alvernon,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
194,Stables,(Baths),3820 E. 40th St.,Tuscon,AZ,Bathhouses,"(P),(*)",1983,,,,12/5/2021 11:00am
193,Speedway Books,,3660 E. Speedway,Tuscon,AZ,Book Store,,1983,,,,12/5/2021 11:00am
202,Baragain Box,(Books & flicks) (Cruisy*),240 E. 16th St.,Yuma,AZ,"Book Store,Cruising Areas",(*),1983,,,,12/10/2021 12:35pm
203,Cameo Bar ,,232 S. 4th Ave.,Yuma,AZ,Bars/Clubs,(*),1983,,,,12/5/2021 11:00am
204,Red's Bird Cage,,231 S. Main,Yuma,AZ,Bars/Clubs,(*),1983,,,,12/5/2021 11:00am
205,Sambo's ,(AH-WE),1400 E. 16th St. ,Yuma,AZ,Restaurant,"(M),(R),(C),(AH),(WE)",1983,,,,12/5/2021 11:00am
206,Sky Chief,(Bar only - WE),1530 E> 32nd St. ,Yuma,AZ,Bars/Clubs,"(M),(WE)",1983,,,,12/5/2021 11:00am
213,Log Cabin Inn & County Store,(April-Nov.),42 Kings Highway,Eureka Springs,AR,"Restaurant,Hotel","(M),(H),(R)",1983,,,,12/5/2021 11:00am
214,George's Majestic,,519 W. Dickson,Fayetteville,AR,Bars/Clubs,"(M),(OC)",1983,,,,12/5/2021 11:00am
216,R.D.'s Disco,(Disco) (Rear),325 W. Dickson,Fayetteville,AR,Bars/Clubs,"(YC),(P),(D)",1983,,,,12/5/2021 11:00am
219,Studio 34,(Disco) (Some L),634 Division,Ft. Smith,AR,Bars/Clubs,"(*),(M),(YC),(D),(L)",1983,,,,12/5/2021 11:00am
220,Village Landing,(Some L) (Disco),3028 N. 6th St.,Ft. Smith,AR,Bars/Clubs,"(*),(YC),(L),(D)",1983,,,,12/5/2021 11:00am
223,Our House Lounge,(Upstairs disco),336 Central Ave.,Hot Springs,AR,Bars/Clubs,"(D),(*)",1983,,,,12/5/2021 11:00am
226,Chaps Saloon,(Sign says Squeeze Inn),1701 University,Little Rock,AR,Bars/Clubs,"(*),(YC),(W)",1983,,,,12/5/2021 11:00am
227,Discovery,(DIsco) (riverfront Dr. off Cantrell Rd.),1021 Jessie Rd. ,Little Rock,AR,Bars/Clubs,"(*),(YC),(D),(S)",1983,,,,12/5/2021 11:00am
228,Regina's Place,(Books & Movie arcade),1314 Main St. ,Little Rock,AR,Book Store,,1983,,,,12/5/2021 11:00am
230,Variations ,(Disco),113 1/2 Main St. ,Little Rock,AR,"Bars/Clubs,Restaurant","(YC),(D),(S),(R),(*)",1983,,,,12/10/2021 12:26pm
229,Silver Dollar,(Some L) ,2710 Asher Ave. ,Little Rock,AR,,(L),1983,,,,12/13/2021 1:21pm
240,Garden of Eden Bookstore,,314 E. Lincoln Ave. ,Anaheim,CA,Book Store,,1983,,,,12/5/2021 11:00am
243,Awful Annie's Cafe,,160 Sacramento,Auburn,CA,Restaurant,"(M),(R)",1983,,,,12/5/2021 11:00am
244,E & G Cafe,,729 Lincoln Way,Auburn,CA,Restaurant,(M),1983,,,,12/5/2021 11:00am
245,Casablanca,(Disco),1927 'K' St. ,Bakersfield,CA,Bars/Clubs,"(YC),(D),(*)",1983,,,,12/5/2021 11:00am
246,Lone Star,(Some L) (Looks promising) (Disco-WE),1030 20th St.,Bakersfield,CA,Bars/Clubs,"(L),(D),(PT),(WE)",1983,,,,12/5/2021 11:00am
252,Steam Works,(Baths) (Hot tub) 1 block off University Ave. ,2107 4th St,Berkeley,CA,Bathhouses,(*),1983,,,,12/5/2021 11:00am
263,900 Cherry Street,,900 Cherry St.,Chico,CA,Bars/Clubs,"(*),(D)",1983,,,,12/5/2021 11:00am
264,Swingers Books,,881 Humboldt Ave.,Chico,CA,Book Store,(M),1983,,,,12/5/2021 11:00am
266,Scotty's Castle,,101 S. Main St. ,Lakeport,CA,Restaurant,"(M),(R),(E)",1983,,,,12/5/2021 11:00am
268,Sunset Point Resort ,"(Bunkhouse) (Beer & wine bar) (R - Brunch WE) (P.O. Box 455), Clear Lake Oaks, CA 95423 (707) 998-1451",12037 Hwy. 20,Clear Lake,CA,"Restaurant,Hotel","(H),(R),(WE),(*)",1983,,,,12/5/2021 11:00am
274,Hans' 877 Club,(R-Lunch),877 W. 19th ,Costa Mesa,CA,Bars/Clubs,"(D),(PT)",1983,,,,12/5/2021 11:00am
275,M.C.C.,,215 E. 23rd ,Costa Mesa,CA,Religious Institution,(MCC),1983,,,,12/5/2021 11:00am
276,Newport Station,(Disco) (Closed Mon. & Tues.) ('Tops in Orange County'),1945 Placentia ,Costa Mesa,CA,"Bars/Clubs,Restaurant","(YC),(D),(R),(*)",1983,,,,12/5/2021 11:00am
279,Mi Wey,,11513 Washington Blvd.,Culver City,CA,Bars/Clubs,(L),1983,,,,12/5/2021 11:00am
280,Sister Suds,,10762 1/2 Washington Blvd.,Culver City,CA,Bars/Clubs,(L),1983,,,,12/5/2021 11:00am
281,Red Boar,,10095 Saich Way,Cupertino,CA,Bars/Clubs,"(D),(E),(*)",1983,,,,12/5/2021 11:00am
282,Savoy,,20469 Silverado St. ,Cupertino,CA,Bars/Clubs,"(L),(D),(*)",1983,,,,12/5/2021 11:00am
284,The Company,(Disco) ,2nd St.,Davis,CA,Bars/Clubs,"(M),(YC),(D)",1983,,,,12/5/2021 11:00am
285,The Company,(Disco) ,'G' St.,Davis,CA,Bars/Clubs,"(M),(YC),(D)",1983,,,,12/5/2021 11:00am
290,'F' Street Bookstore,,158 E. Main,El Cajon,CA,Book Store,(*),1983,,,,12/5/2021 11:00am
292,Eddie's ,,4101 N. Arden Dr.,El Monte,CA,Bars/Clubs,(PT),1983,,,,12/5/2021 11:00am
293,Richmond St. Depot,,142 Richmond St.,El Segundo,CA,Restaurant,(R),1983,,,,12/5/2021 11:00am
295,Baths,(Thru bar - closes 12 midnight or 1 am) ,7th St.,Eureka,CA,"Bars/Clubs,Bathhouses","(M),(OC),(PT)",1983,,,,12/10/2021 8:39am
297,Skyhorse Saloon,(Male strippers on Thurs),209 2nd St.,Eureka,CA,Bars/Clubs,(M),1983,,,,12/5/2021 11:00am
304,Golden Gate Adult Book Store,(cruisy back room),40555-B Grimmer Blvd.,Fremont,CA,"Book Store,Cruising Areas",,1983,,,,12/10/2021 12:35pm
307,Denny's ,,710 Shaw ,Fresno,CA,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
306,Dan's,,4944 N. Blackstone,Fresno,CA,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
308,Denny's ,,3120 N. Blackstone,Fresno,CA,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
309,Fresno Express ,(AH-WE) (Also Back Room),708 N. Blackstone,Fresno,CA,Bars/Clubs,"(YC),(D),(*),(AH),(WE)",1983,,,,12/5/2021 11:00am
310,M.C.C.,(Unitarian Church),4144 N. Millbrook,Fresno,CA,Religious Institution,(MCC),1983,,,,12/5/2021 11:00am
311,Palace Saloon,,4030 E. Belmont,Fresno,CA,Bars/Clubs,"(L),(D),(PT),(*)",1983,,,,12/5/2021 11:00am
312,Red Lantern,"(Some W, SM OC) (Cruisy)",4618 E. Belmont ,Fresno,CA,"Bars/Clubs,Cruising Areas","(W),(SM),(OC),(PT),(*)",1983,,,,12/10/2021 12:35pm
313,Steam Works,(Baths) ,1551 'E' St.,Fresno,CA,Bathhouses,(*),1983,,,,12/5/2021 11:00am
319,D.O.K. West,(Disco),12889 Garden Grove Blvd.,Garden Grove,CA,Bars/Clubs,"(YC),(D),(*)",1983,,,,12/5/2021 11:00am
320,Gay & Lesbian Center,(714) 534-3263,12832 Garden Grove Blvd.,Garden Grove,CA,Community Center/Support Groups,,1983,,,,1/7/2022 9:39am
321,Happy Hour,,12081 Garden Grove Blvd.,Garden Grove,CA,Restaurant,"(L),(R),(PT)",1983,,,,12/5/2021 11:00am
322,Hip Pocket,"(Adult books, toys, films, etc)",12868 Garden Grove Blvd.,Garden Grove,CA,Book Store,,1983,,,,12/5/2021 11:00am
323,Iron Spur,(leather shop) (Cruisy) (Also C-AH),11086 Garden Grove Blvd.,Garden Grove,CA,"Bars/Clubs,Cruising Areas,Restaurant","(*),(SM),(PT),(C),(W)",1983,,,,12/10/2021 12:35pm
324,Mug,,8612 Garden Grove Blvd.,Garden Grove,CA,Restaurant,,1983,,,,12/5/2021 11:00am
325,Orange County Logging Co. ,(Looks promising),12792 Brookhurts,Garden Grove,CA,,,1983,,,,12/13/2021 1:22pm
326,Party House,"(Books, toys, etc.)",8751 Garden Grove Blvd.,Garden Grove,CA,Book Store,,1983,,,,12/5/2021 11:00am
327,Rumour Hazzit ,('Preppies') (Disco) (enter thru rear),8741 Garden Grove Blvd.,Garden Grove,CA,Bars/Clubs,"(D),(PT)",1983,,,,12/5/2021 11:00am
328,Tiki Hut,"(Some W, OC) (Cruisy)",9042 Garden Grove Blvd. ,Garden Grove,CA,"Bars/Clubs,Cruising Areas","(*),(W),(OC)",1983,,,,12/5/2021 11:00am
329,El Capitan,,13825 S. Hawthorne,Hawthorne,CA,Bars/Clubs,,1983,,,,12/5/2021 11:00am
330,Big Mama's ,,22615 Mission Blvd.,Hayward,CA,Restaurant,(*),1983,,,,12/5/2021 11:00am
332,Eli Ann's Pub on the Park,,22800 Mission Blvd.,Hayward,CA,Bars/Clubs,(L),1983,,,,12/5/2021 11:00am
331,Driftwood Lounge,,22170 Mission Blvd. ,Hayward,CA,Bars/Clubs,"(L),(PT),(D)",1983,,,,12/5/2021 11:00am
333,Golden Gate Adult Books,,22553 Main St.,Hayward,CA,Book Store,,1983,,,,12/5/2021 11:00am
334,Turf Club,(Something for everyone) (Open 6am WE) (BBQ Patio in back),22517 Mission Blvd.,Hayward,CA,Restaurant,"(*),(WE)",1983,,,,12/5/2021 11:00am
336,Fantasy Adult Arcade,(Flicks) (Cruisy),538 Pacific Coast Hwy.,Hermosa Beach,CA,"Business,Cruising Areas",,1983,,,,12/5/2021 11:00am
338,Gladiator,"(Some W, SM, OC) ",7810 Santa Fe Ave.,Huntington Park,CA,Bars/Clubs,"(W),(SM),(OC),(PT),(*)",1983,,,,12/5/2021 11:00am
339,Islander ,(Some Latins),6907 Santa Fe,Huntington Park,CA,,"(D),(PT)",1983,,,,12/5/2021 11:00am
342,Annex,,835 S. La Brea,Inglewood,CA,Bars/Clubs,,1983,,,,12/5/2021 11:00am
343,Papa Bear's ,,1101 S. Praire,Inglewood,CA,Restaurant,,1983,,,,12/5/2021 11:00am
344,Andre's ,(French R) (Piano bar),1464 S. Coast Hwy.,Laguna Beach,CA,"Restaurant,Bars/Clubs","(M),(PE),(R),(OC)",1983,,,,12/5/2021 11:00am
345,Beach People ,(Men's sportswear & boutique) opp. Coast Inn),168 Mountain Rd.,Laguna Beach,CA,Business,,1983,,,,12/5/2021 11:00am
346,Boom Boom Room,(Game room) (Cruisy) (Enter thr side door or thru Tap Room) Coast Inn,1401 S. Coast Hwy.,Laguna Beach,CA,"Cruising Areas,Bars/Clubs","(*),(YC),(PT)",1983,,,,12/13/2021 1:24pm
347,Coast Inn,,1401 S. Coast Hwy.,Laguna Beach,CA,"Hotel,Restaurant","(M),(R),(H)",1983,,,,12/10/2021 12:26pm
349,Cottage,,308 N. Coast Hwy.,Laguna Beach,CA,Restaurant,"(M),(R)",1983,,,,12/5/2021 11:00am
348,Corned Beef Corner,(Deli) (Beer & wine),1105 S. Coast Hwy.,Laguna Beach,CA,Restaurant,(M),1983,,,,12/5/2021 11:00am
351,Dizz's As Is,(Beer & wine),2794 S. Coast Hwy.,Laguna Beach,CA,Restaurant,"(M),(R),(*)",1983,,,,12/5/2021 11:00am
350,Denny's ,,1600 S. Coast Hwy.,Laguna Beach,CA,Restaurant,"(M),(R),(C),(AH)",1983,,,,12/5/2021 11:00am
352,Eiler's Inn,"(Some PE, OC)",1289 S. Coast Hwy.,Laguna Beach,CA,Hotel,"(M),(H),(PE),(OC)",1983,,,,12/5/2021 11:00am
354,Hotel Firenze,,1289 S. Coast Hwy.,Laguna Beach,CA,Hotel,"(M),(H),(PE),(OC)",1983,,,,12/5/2021 11:00am
353,Gay Roomate Contact ,,405 E. 3rd. St. #226,Laguna Beach,CA,Hotel,,1983,,,,12/5/2021 11:00am
355,Hotel San Maarten,,696 S. Coast Hwy.,Laguna Beach,CA,Hotel,"(M),(H)",1983,,,,12/5/2021 11:00am
