ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Chisholm Saloon,(Disco),404 S. Galena,Aspen,CO,"(M),(HIP),(YC),(D),(*)",Bars/Clubs,,,1980,,3/30/2020 3:32pm,7/23/2020 7:26pm
2,Bunk House,(Ski resort guest house) (303) 453-6475,,Breckenridge,CO,"(H),(W),(YC),(*)",Hotels,checked,,1980,,3/30/2020 3:34pm,7/23/2020 7:26pm
3,Cellar Baths,(Below Hide & Seek),512 W. Colorado,Colorado Springs,CO,,Baths,,,1980,,3/30/2020 3:35pm,7/23/2020 7:26pm
4,Exit,,2028 Sheldon Ave.,Colorado Springs,CO,"(WE),(*)",Bars/Clubs,,,1980,,4/1/2020 2:43pm,7/23/2020 7:26pm
5,Denny's ,,I-25 at Bijou,Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1980,,4/1/2020 2:44pm,7/23/2020 7:26pm
6,Hide & Seek Complex,(2 bars) (Disco),512 W. Colorado,Colorado Springs,CO,"(*),(R),(PT),(YC),(D)","Bars/Clubs,Restaurant",,,1980,,4/1/2020 2:45pm,7/23/2020 7:26pm
7,Monarch Magazines,(Books) (Looking better),,Colorado Springs,CO,,Book Store,,,1980,,4/1/2020 2:46pm,7/23/2020 7:26pm
8,"New Box Car, Ltd.",(Disco) (Looking better),5939 N. Nevada,Colorado Springs,CO,(D),Bars/Clubs,,,1980,,4/1/2020 2:46pm,7/23/2020 7:26pm
9,The Place in the Back,(Many L) (Occ. S) (Looks promising),1710 La Crede,Colorado Springs,CO,"(L),(S),(PT),(D)",Bars/Clubs,,,1980,,4/1/2020 2:47pm,7/23/2020 7:26pm
10,Acacia Park,,,Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/1/2020 2:48pm,7/23/2020 7:26pm
11,Buffalo Park,Manitou Springs,,Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/1/2020 2:48pm,7/23/2020 7:26pm
12,Act III,(Male Movies),3480 W. Colfax,Denver,CO,,Theatre,,,1980,,4/1/2020 2:48pm,7/23/2020 7:26pm
13,Alfie's,(Humpy jocks) (Cruisy) (Disco),3240 Larimer betw. 32nd & 33rd Sts.,Denver,CO,"(*),(YC),(D),(R)","Restaurant,Bars/Clubs",,,1980,,4/1/2020 2:49pm,7/23/2020 7:26pm
14,Alicia's ,(Mexican R),278 S. Downing ,Denver,CO,"(R),(M)",Restaurant,,,1980,,4/1/2020 2:50pm,7/23/2020 7:26pm
15,Apartment ,(Hip) ('Teenie-boppers) (3.2 beer only - closes 12 midnight) (May be closing),1999 Lincoln,Denver,CO,(D),Bars/Clubs,,,1980,,4/1/2020 2:51pm,7/23/2020 7:26pm
16,Bachelor Flats,,201 N. Broadway,Denver,CO,,Bars/Clubs,,,1980,,4/1/2020 2:51pm,7/23/2020 7:26pm
17,Ball Park Health Club  ,"(Baths) (Some W, SM, YC, FFA) (Use rear entrance thru alley off Bayaud)",107 S. Broadway at Bayaud ,Denver,CO,"(*),(W),(SM),(YC),(FFA)",Baths,,,1980,,4/1/2020 2:51pm,7/23/2020 7:26pm
18,B.J.'s Carousel,(Cruisy) (Lunch & Dinner),1380 S. Broadway,Denver,CO,"(*),(R),(E),(PT)","Restaurant,Cruising Areas",,,1980,,4/1/2020 2:52pm,7/23/2020 7:26pm
19,Broadway Cabaret,(Disco-D in rear),1260 Broadway,Denver,CO,"(M),(YC),(R),(PT),(*)","Restaurant,Bars/Clubs",,,1980,,4/1/2020 2:54pm,7/23/2020 7:26pm
20,Christi's ,(Looks promising),1416 Stolt St.,Denver,CO,(S),Bars/Clubs,,,1980,,4/1/2020 2:54pm,7/23/2020 7:26pm
21,Court Jester,,1617 Court Pl.,Denver,CO,(*),Bars/Clubs,,,1980,,4/1/2020 2:55pm,7/23/2020 7:26pm
22,Crypt ,"(Books, toys, erotica-'peep shows') ",2222 N. Broadway,Denver,CO,(*),Book Store,,,1980,,4/1/2020 3:09pm,7/23/2020 7:26pm
23,David's ,(Promising looking little disco),314 E. 13th St.,Denver,CO,(D),Bars/Clubs,,,1980,,4/1/2020 3:10pm,7/23/2020 7:26pm
24,Den,"(Some W, OC)",510 W. Colfax,Denver,CO,"(*),(R),(PT),(W),(OC)",Restaurant,,,1980,,4/1/2020 3:53pm,7/23/2020 7:26pm
25,Denver Book Barter,,919 E. Colfax,Denver,CO,,Book Store,,,1980,,4/1/2020 3:54pm,7/23/2020 7:26pm
26,Denver Book Fair,,416 15th St.,Denver,CO,(M),Book Store,,,1980,,4/1/2020 3:54pm,7/23/2020 7:26pm
27,Door ,"(Some RT, OC)",1512 Broadway,Denver,CO,"(D),(PT),(RT),(OC),(B)",Bars/Clubs,,,1980,,4/1/2020 3:54pm,7/23/2020 7:26pm
28,Empire Baths,(Looking 'up' with new management),6923 E. Colfax,Denver,CO,,Baths,,,1980,,4/1/2020 3:55pm,7/23/2020 7:26pm
29,Empress Theatre,(All male),139 Broadway,Denver,CO,,Theatre,,,1980,,4/1/2020 3:55pm,7/23/2020 7:26pm
30,Fox Hole,(Lunch) (Patio-wild Sunday afternoons),"2936 Fox, off 20th St. Viaduct ",Denver,CO,"(W),(SM),(*)",Bars/Clubs,,,1980,,4/1/2020 3:56pm,7/23/2020 7:26pm
31,Galaxie Theatre & Book Store,,633 E. Colfax,Denver,CO,(*),"Book Store,Theatre",,,1980,,4/1/2020 3:56pm,7/23/2020 7:26pm
32,Gentlemen's Quarters Club Baths of Denver,,1359 Court Place,Denver,CO,(*),Baths,,,1980,,4/1/2020 3:57pm,7/23/2020 7:26pm
33,Globe International ,(Disco),4503 Logan,Denver,CO,"(D),(*),(YC),(L)",Bars/Clubs,,,1980,,4/1/2020 3:58pm,7/23/2020 7:26pm
34,Green Earth Natural Foods,,1014 S. Gaylord,Denver,CO,,Business,,,1980,,4/1/2020 3:59pm,7/23/2020 7:26pm
35,Grist Mill,,8th & Speer,Denver,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1980,,4/1/2020 3:59pm,7/23/2020 7:26pm
36,Haberdashery,(Men's clothing),1245 E. Colfax,Denver,CO,,Business,,,1980,,4/1/2020 4:04pm,7/23/2020 7:26pm
37,Highland Health Studio ,(Gym) (Tues. - Thur. & Sat. only),3124 W. 34th Ave.,Denver,CO,,Business,,,1980,,4/1/2020 4:05pm,7/23/2020 7:26pm
38,Kitty's Book Store,,735 E. Colfax,Denver,CO,(M),Book Store,,,1980,,4/2/2020 12:09am,7/23/2020 7:26pm
39,Lake Steam Baths,,3540 W. Colfax,Denver,CO,(M),Baths,,,1980,,4/2/2020 12:09am,7/23/2020 7:26pm
