Auto#,title,amenityfeatures,description,streetaddress,type,city,state,unclear_address,unclear type or question,notes,Year,Last Modified
5177,Pikes Peak Paradise,(GF),"PO Box 5760, 80866 687-7112/(800) 354-0989 full brkfst, hot tub, mansion w/ view of Pikes Peak", 236 Pinecrest Rd,Accommodations,Woodland Park,CO,,,,1997,12/16/2023 5:25pm
7596,Club Flamingo,"(MW),(D),(K),(S),(WC)",253-0430 2pm-2am, 352 Oakland Ave,Bars,Pontiac,MI,,,,1997,12/16/2023 5:25pm
10860,Ocean Walk,"(GF),(SW),(IGTA)",728-0855/(800) 468-0615,1 Atlantic Place,Accommodations,Ocean Park,PR,,,,1997,10/9/2023 5:52pm
5241,Thomas Floral & Adult Gifts,(WC),"Ste. 108 (at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun",1 Broadway,Bookstores/Retail Shops,Denver,CO,,,,1997,9/29/2023 4:24pm
10858,Numero Uno on the Beach,"(GF),(SW),(WC)",726-5010 also bar & grill,1 Calle Santa Ana,Accommodations,Ocean Park,PR,,,,1997,10/9/2023 5:48pm
10849,Atlantic Beach Hotel,"(*),(MW),(SW),(IGTA)",721-6900,1 Calle Vendig,Accommodations,Condado,PR,,,,1997,10/9/2023 5:40pm
10873,809 Cafe,,721-6900,1 Calle Vendig,Restaurants & Cafes,Condado,PR,,,,1997,10/9/2023 6:05pm
7373,Provincetown Inn,"(GF),(SW),(WC)",487-9500 ,1 Commercial St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
5732,Pier House Resort & Caribbean Spa,"(GF),(SW)","296-4600/(800) 327-8340 private beach, restaurants, bars, spa, fitness center",1 Duval St,Accommodations,Key West,FL,,,,1997,12/16/2023 5:25pm
8725,MCC of Asheville,(WC),"(Unitarian Universalist Church), 259-3055 6:20pm Sun",1 Edwin Pl,Spiritual Groups,Asheville ,NC,,,,1997,12/16/2023 5:25pm
8726,Unitarian Universalist Church of Asheville,(WC),254-6001 9am & 11am Sun (10am Sun during summer),1 Edwin Pl,Spiritual Groups,Asheville ,NC,,,,1997,12/16/2023 5:25pm
9623,Gerardo's,"(MW),(D),(E),(WC)","274-5560 4pm-1am, til 2am Fri-Sar",1 Franklin Square,Bars,Providence,RI,,,,1997,9/29/2023 4:24pm
8580,One Hot Spot,"(MW),(D),(E),(MRC),(NH),(WC)","852-0139 9pm-3am, clsd Sun-Tue, from 6pm Th",1 Front St,Bars,Brooklyn,NY,,,,1997,12/16/2023 5:25pm
6209,Club One,"(MW),(D),(F),(S)",232-0200 5pm-3am,1 Jefferson St,Bars,Savannah,GA,,,,1997,12/16/2023 5:25pm
8524,Wall Street Cinema,"(*),(MO)","(11th flr.), 233-8900",1 Maiden Ln,Men's Clubs,Manhattan,NY,,,,1997,12/16/2023 5:25pm
8355,Artists' Cafe,(BW),"523-9493 8am-10pm, steak & seafood",1 Main St,Restaurants & Cafes,Lake Placid,NY,,,,1997,12/16/2023 5:25pm
9156,Whittier News Stand,,592-0767,1 N Lewis St,Erotica,Tulsa,OK,,,,1997,12/16/2023 5:25pm
7233,Globe Corner,,"(800) 358-6013, also",1 School St,Bookstores/Retail Shops,Boston,MA,,,,1997,12/16/2023 5:25pm
4931,Doin' It Right Tours & Travel,(IGTA),"Ste. 2106, (800) 936-3646/621-3576 Gay Travel Club meets 1st Wed",1 St Francis Pl,Travel/Tour Operators,San Francisco,CA,,,,1997,12/16/2023 5:25pm
7182,Ivy House B&B,,549-7554,1 Sunset Ct,Accommodations,Amherst,MA,,,,1997,12/16/2023 5:25pm
9300,Mikuni Travel Service,(IGTA),"Ste. 1010, 227-3639/(800) 248-0624",1 SW Columbia St,Travel/Tour Operators,Portland,OR,,,,1997,12/16/2023 5:25pm
7124,Hippo,"(*),(MW),(D),(TG),(K),(WC),(V)","547-0069 3pm-2am, 3 bars",1 W Eager St,Bars,Baltimore,MD,,,,1997,12/16/2023 5:25pm
5981,Red Garter,"(MW),(D),(S),(WC)","433-9292 5pm-3am, from 3pm wknds",1 W Main St,Bars,Pensacola,FL,,,,1997,12/16/2023 5:25pm
8400,Hetrick-Martin Institute,,"674-2400, extensive series for lesbigay youth, also publishes 'You Are Not Alone' resource directory",2 Astor Pl,Info Lines & Services,New York City,NY,,,,1997,12/16/2023 5:25pm
7035,The Sportsman's Club,"(*),(MW),(D)","784-2251 8pm-1am, from 7pm Sun",2 Bates St,Bars,Lewiston,ME,,,,1997,12/16/2023 5:25pm
10862,Barefoot Bar,"(*),(M),(F),(H)","724-7230 9am-3am, hustlers, brkfst & lunch",2 Calle Vendig,Bars,Condado,PR,,,,1997,10/9/2023 5:55pm
7202,Thoreau's Walden B&B,(GF),259-1899,2 Concord Rd,Accommodations,Boston,MA,,,,1997,12/16/2023 5:25pm
9089,Sophies,"(MW),(NH)",782-8080 4pm-2:30am,2 E LaClede,Bars,Youngstown ,OH,,,,1997,12/16/2023 5:25pm
9443,Grown Ups,,"862-9304, 11am-7pm, til 11pm Fri-Sat",2 E Mechanic St,Erotica,New Hope,PA,,,,1997,12/16/2023 5:25pm
7083,Adventure Travel,(IGTA),885-5060,2 Elsie Wy,Travel/Tour Operators,Scarborough,ME,,,,1997,12/16/2023 5:25pm
8390,Ujjala B&B,(GF),255-6360 body therapy available,2 Forest Glen,Accommodations,New Paltz,NY,,,,1997,9/29/2023 4:24pm
7840,Einstein Bagels,,361-2020,2 N Euclid Ave,Restaurants & Cafes,St. Louis,MO,,,,1997,12/16/2023 5:25pm
8820,Flex,"(*),(M),(L)","832-8855 5pm-?, from 2pm Sun",2 S West St,Accommodations,Raleigh ,NC,,,,1997,12/16/2023 5:25pm
7135,Donna's Coffee Bar,(BW),385-0180,"2 W Madison
",Restaurants & Cafes,Baltimore,MD,,,,1997,12/16/2023 5:25pm
7224,The Icarus,,"426-1790, dinner & Sun brunch, clsd Sun (summers)",3 Appleton St,Restaurants & Cafes,Boston,MA,,,,1997,12/16/2023 5:25pm
10859,Ocean Park Beach Inn,"(*),(MW),(F),(SW),(WC)",728-7418/(800) 292-9208,3 Calle Elena,Accommodations,Ocean Park,PR,,,,1997,10/9/2023 5:50pm
7328,Asheton House,(GF),487-9966,3 Cook St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
3887,Cedarberry Cottage B&B,(GF),"253-6115/(800) 590-2424 full brkfst, kids okay",3 Kings Hwy,Accommodations,Eureka Springs,AR,,,,1997,12/16/2023 5:25pm
10287,Sarducci's,(WC),"223-0229 11:30am-10pm, Italian",3 Main St,Restaurants & Cafes,Montpelier,VT,,,,1997,12/16/2023 5:25pm
7081,Communiques,,"773-5181, 10am-7pm, til 9pm (summer), cards, gifts, clothing",3 Moulton St,Bookstores/Retail Shops,Portland,ME,,,,1997,12/16/2023 5:25pm
7073,Underground,"(*),(MW),(D),(S)",773-3315 4pm-1am,3 Spring St,Bars,Portland,ME,,,,1997,12/16/2023 5:25pm
9671,Cafe Suzanne,,"588-2101, 5:30pm-9:30pm, clsd Tue, live jazz",4 Center St,Bars,Charleston,SC,,,,1997,12/16/2023 5:25pm
7357,Grand View Inn,(MW),487-9193,4 Conant St,Accommodations,Provincetown,MA,,,,1997,12/16/2023 5:25pm
7401,Atlantic House Hotel,"(*),(M),(D)","(The Big Room), 487-3821 9pm-1am",4 Masonic Pl,Bars,Provincetown,MA,,,,1997,12/16/2023 5:25pm
8650,More Light Presbyterian,(WC),271-6513 10:30am Sun,4 Meigs St,Spiritual Groups,Rochester,NY,,,,1997,12/16/2023 5:25pm
10592,Pumps II,"(MW),(D),(F),(S)","747-8940 3pm-2am, from noon Sun",4 W Main St,Bars,Spokane,WA,,,,1997,12/16/2023 5:25pm
4007,Passion Flower,,"601-7750, toys, leather,etc.",4 Yosemite Ave,Erotica,Oakland,CA,,,,1997,12/16/2023 5:25pm
6248,Sideout,"(*),(GF),(E),(WC)","822-0082 noon-1:30am, bands Tue, Th & wknds",4-1330 Kuhio Hwy,Bars,"Kapaa, Kauai",HI,,,,1997,12/16/2023 5:25pm
9642,Bell St. Chapel (Unitarian Church),,831-3794,5 Bell St,Spiritual Groups,Providence,RI,,,,1997,12/16/2023 5:25pm
5390,Beach House B&B,"(GF),(SW)",227-7074/(800) 283-4667,5 Hickman St,Accommodations,Rehoboth Beach,DE,,,,1997,12/16/2023 5:25pm
9667,The Arcade,"(*),(M),(D),(A),(K),(S),(YC),(WC)","722-5656 9:30pm-?, clsd Mon-Wed",5 Liberty St,Accommodations,Charleston,SC,,,,1997,12/16/2023 5:25pm
