ID2,title,streetaddress,description,city,state,amenityfeatures,Year,type,unclear_address,unclear type or question,notes,Last Modified
5,AA Gay/ Lesbian,516 27th St. S.,"933-8964/326-8600 meetings change weekly, call for info",Birmingham,AL,,1990,Info Lines & Services,,,(205) area code,4/25/2023 9:36pm
6,Club 21,117 1/2 21st St. N.,8pm to 4am Wed-Sun N.322-0469,Birmingham,AL,"(MX),(S),(D),(B)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
7,Mabel's Beauty Shop & Chain Saw Repair ,318 14th St. S.,"24hrs, patio 254-9567-9 ",Birmingham,AL,"(*),(D),(CW)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
8,Quest,416 24th St. S.,"251-4313 open 24hrs, patio",Birmingham,AL,"(D),(CW)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
9,"Rage, The",620 29th St. S.,323-7243,Birmingham,AL,"(MX),(MW),(D),(YC),(PC)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
10,Cafe Le Netta,2323 1st Ave. N.,"324-2333 cocktails, lunch & dinner only, open daily",Birmingham,AL,"(MX),(E)",1990,Restaurants & Cafes,,,(205) area code,4/25/2023 9:36pm
14,Alabama Forum,"Box 55913, Birm. 35255",326-8600,Birmingham,AL,,1990,Publications,,,(205) area code,4/25/2023 9:36pm
11,Steak'n Egg Kitchen ,1717 10th Ave. S.,933-9822,Birmingham,AL,"(MX),(MW),(AH)",1990,Restaurants & Cafes,,,(205) area code,4/25/2023 9:36pm
12,Lodestar Books,2020 11th Ave. S.,939-3356 gay/lesbian titles,Birmingham,AL,,1990,Book Stores/Retail Shops,,,(205) area code,4/25/2023 9:36pm
13,MCC,2630 6th Ave. S. ,326-8529 worship 11am Sun,Birmingham,AL,(MCC),1990,Religious Organizations,,,(205) area code,4/25/2023 9:36pm
15,Alabama Adult Books,901 5th Ave. N.,322-7323,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
16,Birmingham Adult Books,7610 1st Ave. N.,836-1580 open 24hrs,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
17,"Downtown Bookstore, The",2731 8th Ave. N.,,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
18,Jupiter Theater,2500 7th Ave. S.,large screen movies,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
19,Pleasure Books,7606 1st Ave. N.,"836-7379 24hrs Mon-Sat, noon-midnight Sun",Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
20,Southside Adult Book Store,316 S. 14th St.,251-6625 open 24hrs,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
21,Top Hat Theater,9221 Todd Dr. ,films & videos,Birmingham,AL,,1990,Erotica/Adult Groups,,,(205) area code,4/25/2023 9:36pm
28,St. Andrews Alley,134-A N. Foster St.,793-9418,Dothan,AL,"(*),(D),(S),(E)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
31,Head Quarters,217 S. 4th St.,547-9828,Gadsden,AL,(NH),1990,Bars,,,(205) area code,4/25/2023 9:36pm
34,Atlantis ,2572 Sparkman ,852-9990,Huntsville,AL,"(*),(MW),(D),(S),(B)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
35,Vieux Carre,1204 Posey ,534-5970 7pm-2am,Huntsville,AL,"(MW),(D),(NH)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
41,Club Park Ave.,7 S. Joachim,433-9105 6am-4am,Mobile,AL,"(*),(MW),(V),(S),(E),(YC)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
42,French Quarter,215 Conti St.,438-9139 cruisy,Mobile,AL,(D),1990,"Bars,Cruising Areas",,,(205) area code,4/25/2023 9:36pm
45,Society Lounge,51 Conception ,"433-9141 7pm-? Mon-Sat, noon-? Sun",Mobile,AL,(S),1990,Bars,,,(205) area code,4/25/2023 9:36pm
43,Golden Rod,219 Conti ,433-9175 7pm-?,Mobile,AL,"(MX),(MW),(PC)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
44,Octagon Club,3211 Spring Hill Rd. ,473-8800,Mobile,AL,"(*),(MX),(MW),(V),(P),(YC),(S),(E)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
49,MCC,5290 Vaughn ,(Unitarian Church) 264-7887 worship 5:30pm Sun,Montgomery,AL,(MCC),1990,Religious Organizations,,,(205) area code,4/25/2023 9:36pm
48,Zippers ,207 Dexter Ave.,"263-7890 8pm-? Mon-Sat, 6pm-? Sun",Montgomery,AL,"(D),(S),(MW),(AH)",1990,Bars,,,(205) area code,4/25/2023 9:36pm
57,Blue Moon,530 E. 5th Ave.,277-0441,Anchorage,AK,"(MW),(D)",1990,Bars,,,(907) area code,4/25/2023 9:36pm
58,Raven ,618 Gambell,(enter through parking lot on 6th) 276-9672,Anchorage,AK,"(MW),(V),(NH)",1990,Bars,,,(907) area code,4/25/2023 9:36pm
59,Shadows,3103 Spenard Rd.,"561-5300 quiet bar upstairs, opens 4pm",Anchorage,AK,"(D),(S),(MW)",1990,Bars,,,(907) area code,4/25/2023 9:36pm
60,MCC,602 W. 10th Ave.,(Log Cabin Unitarian Church) 745-0803 worship 2:30pm Sun,Anchorage,AK,(MCC),1990,Religious Organizations,,,(907) area code,4/25/2023 9:36pm
62,Anchorage Video Mart,137 W. 5th St.,276-9224,Anchorage,AK,,1990,Erotica/Adult Groups,,,(907) area code,4/25/2023 9:36pm
61,Adult Only Bookstore,3956 Spenard Rd.,243-0697,Anchorage,AK,,1990,Erotica/Adult Groups,,,(907) area code,4/25/2023 9:36pm
64,Swinger Book Store,710 W. Northern Lights Blvd.,561-5039,Anchorage,AK,,1990,Erotica/Adult Groups,,,(907) area code,4/25/2023 9:36pm
63,French Quarter ,4028 Mountain View ,276-9049,Anchorage,AK,,1990,Erotica/Adult Groups,,,(907) area code,4/25/2023 9:36pm
67,Mike's 501,1085 Old Steese Hwy.,"gay Fri & Sat night, call info line for details",Fairbanks,AK,"(MX),(MW)",1990,Bars,,,(907) area code,4/25/2023 9:36pm
73,Summit Hotel Bar,455 S. Franklin St.,(rear),Juneau,AK,(MX),1990,Bars,,,(907) area code,4/25/2023 9:36pm
75,St. Elmo's,36 Brewery Gulch Ave.,432-5578,Bisbee,AZ,"(MX),(MW)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
80,Charlie's ,23 N. Leroux,,Flagstaff,AZ,"(MX),(MW)",1990,Bars,,,(602) area code,4/25/2023 9:36pm
