ID2,title,type,streetaddress,city,state,description,amenityfeatures,unclear_address,Year,unclear type or question,notes,Last Modified
9,Lambda Resource Center,Info Lines & Services,516 27th St. ,Birmingham,AL,"326-8600 6pm- 10pm Thurs-Sat, drop-in coffeehouse, mtgs other nights",,,1991,,,4/25/2023 9:34pm
10,Club 21,Bars/Clubs,117 1/2 21st St. N. ,Birmingham,AL,"322-0469 (MX,MW,S,D,B) 9pm-4am Thurs-Sat","(S),(D),(B),(MW),(MX)",,1991,,,4/25/2023 9:34pm
12,Quest,Bars/Clubs,416 24th St. S. ,Birmingham,AL,"(D,CW)251-4313 open 24hrs, patio",(D),,1991,,,4/25/2023 9:34pm
11,Gizmo,Bars/Clubs,3719 3rd Ave. S.,Birmingham,AL,"592-0702 (D,S) 24hrs, cruisy late at night","(D),(S)",,1991,,,4/25/2023 9:34pm
13,"Rage, The",Bars/Clubs,620 29th St. S.,Birmingham,AL," 323-7243 (MX,MW,D,YC,PC) 3 bars, dancing Wed, Fri & Sun","(D),(YC),(MX),(MW)",,1991,,,4/25/2023 9:34pm
14,Steak'n Egg Kitchen,Restaurants & Cafes,1717 10th Ave. S.,Birmingham,AL,"933-9822 (MX,MW,AH) 24hrs","(AH),(MX),(MW)",,1991,,,4/25/2023 9:34pm
15,Lodestar Books,Book Stores or Retail Shops,2020 11th Ave. S.,Birmingham,AL," 939-3356 gay/lesbian titles, 10am-7pm Mon-Sat, lpm-6pm Sun",,,1991,,,4/25/2023 9:34pm
18,MCC,Religious Organizations,2630 6th Ave. S.,Birmingham,AL,326-8529 11am Sun,,,1991,,,4/25/2023 9:34pm
20,Alabama Adult Books ,Erotica,901 5th Ave. N. ,Birmingham,AL,322-7323 24hrs,,,1991,,,4/25/2023 9:34pm
21,Birmingham Adult Books,Erotica,7610 1st Ave. N.,Birmingham,AL,836-1580 24hrs,,,1991,,,4/25/2023 9:34pm
22,"Downtown Bookstore,",Erotica,2731 8th Ave. N.,Birmingham,AL,328-5525,,,1991,,,4/25/2023 9:34pm
24,Jupiter Theater,Erotica,2500 7th Ave. S.,Birmingham,AL,324-4552 large screen movies ,,,1991,,,4/25/2023 9:34pm
25,Pleasure Books,Erotica,7606 1st Ave. N.,Birmingham,AL,"836-7379 24hrs Mon- Sat, noon-midnight Sun",,,1991,,,4/25/2023 9:34pm
23,Fun Time Video,Erotica,3006 Clairmont Ave.,Birmingham,AL,326-0912,,,1991,,,4/25/2023 9:34pm
26,Top Hat Theater,Erotica,9221 Todd Dr. ,Birmingham,AL,"833-8221 films & vid­ eos, 9am-lpm Mon-Sat, noon-midnight Sun",,,1991,,,4/25/2023 9:34pm
2305,Adult Books & Cinema X,Erotica,145 N. Main St.,Decatur,IL,423-9540 24hrs,,,1991,,,4/25/2023 9:34pm
34,Klub Karossen,Bars/Clubs,405 Blvd. ,Dothan,AL,"794-7860 (MW,D,E) 9pm til people leave Tues-S","(D),(E),(S),(MW)",,1991,,,4/25/2023 9:34pm
