ID2,title,amenityfeatures,description,streetaddress,unclear_address,city,state,type,unclear type or question,notes,Year,Last Modified
724,C.C. Construction Co. ,"(*),(M),(D),(L),(WC)","324-4241 2pm-2am, til 3am Fri-Sat, CW Sun, leather bar inside, patio ", 68449 Perez Rd.,,Cathedral City,CA,Bars,,,1996,6/6/2023 2:35pm
5665,Purple Onion,,"226-9192, 24hrs", 2702 Dickerson Rd. ,,Nashville,TN,Erotica,,location from previous entry's description,1996,4/25/2023 9:20pm
1482,Thomas Floral & Adult Gifts,(WC),"(at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun",1 Broadway Ste. 108,,Denver,CO,Bookstores/Retail Shops,,,1996,5/13/2023 10:12pm
6491,Numero Uno Guest House,"(*),(GF),(SW),(WC)",Ocean Park 726-5010; also bar & grill,1 Calle Santa Ana,,San Juan,PR,Accommodations,,,1996,6/6/2023 2:53pm
6484,Atlantic Beach Hotel,"(*),(MW),(SW),(IGTA)",Condado 721-6900 bar & restaurant on premises,1 Calle Vendig,,San Juan,PR,Accommodations,,,1996,6/6/2023 2:54pm
3384,Provincetown Inn ,"(GF),(SW),(WC)",487-9500 hotel,1 Commercial St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
1917,Pier House Resort & Caribbean Spa ,"(GF),(SW)","296-4600/ (800) 327-8340 priv. beach, restaurants, bars, spa, fitness ctr. ",1 Duval St. ,,Key West,FL,Accommodations,,,1996,4/25/2023 9:20pm
5461,Gerardo's ,"(MW),(D),(E),(WC)","274-5560 4pm-1am, til 2am Fri-Sat",1 Franklin Square,,Providence ,RI,Bars,,,1996,4/25/2023 9:20pm
4399,One Hot Spot,"(MW),(D),(MRC),(WC)",852-0139 5pm-3am,1 Front St. ,,Brooklyn,NY,Bars,,,1996,4/25/2023 9:20pm
5528,Moon Jammers ,"(MW),(NH),(D),(A),(S),(PC),(WC)",Heritage Plaza 842-9195 8pm-2am,1 Pope Ave.,,Hilton Head,SC,Bars,,,1996,6/6/2023 2:57pm
2320,Club One,"(MW),(D),(F),(S)",232-0200 5pm-3am,1 Jefferson St.,,Savannah,GA,Bars,,,1996,4/25/2023 9:20pm
4351,Wall Street Sauna,"(*),(MO)",(11th flr.) 233-8900,1 Maiden Ln.,,New York City,NY,Men's Clubs,,,1996,6/6/2023 2:59pm
4236,Artists' Café,(BW),"523-9493 8am-10pm, discreetly frequented by gays ",1 Main St.,,Lake Placid,NY,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
5069,Whittier News Stand,,"592-0767, 24hrs",1 N. Lewis St.,,Tulsa,OK,Erotica,,,1996,4/25/2023 9:20pm
3255,Globe Corner Bookstore ,,"(800) 358-6013; also 49 Palmer St., Cambridge",1 School St.,,Boston,MA,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3216,Ivy House B&B,(GF),549-7554 handsomely restored Colonial Cape (portions circa 1740) full brkfst ,1 Sunset Ct.,,Amherst,MA,Accommodations,,,1996,4/25/2023 9:20pm
5172,Mikuni Travel Service,(IGTA),227-3639/ (800) 248-0624 ,1 SW Columbia Ste. 1010,,Portland,OR,Travel/Tour Operators,,,1996,4/25/2023 9:20pm
6508,809 Café ,,"Condado 721-6900, Caribbean",1 Vendig St.,,San Juan,PR,Restaurants & Cafes,,,1996,6/6/2023 2:59pm
4058,Sauvage ,"(W),(D),(F)",727-6619 7pm-3am,1 Victory Plaza,,South Amboy,NJ,Bars,,,1996,4/25/2023 9:20pm
3253,Mike's Gym ,,338-6210 ,1 Waltham St.,,Boston,MA,Gyms & Health Clubs,,,1996,4/25/2023 9:20pm
3161,Hippo,"(*),(MW),(D),(K),(V),(WC)","547-0069 3pm-2am, 3 bars",1W. Eager St.,,Baltimore,MD,Bars,,,1996,4/25/2023 9:20pm
3083,The Sportsman's Club,"(*),(MW),(D)","784-2251 8pm-1am, from 4pm Sun",2 Bates St.,,Lewiston,ME,Bars,,,1996,4/25/2023 9:20pm
6495,Barefoot Bar,"(*),(M),(F)","Condado 724-7230 9am-3am, beach bar",2 Calle Vendig,,San Juan,PR,Bars,,,1996,6/6/2023 2:59pm
682,"Dimensions in Travel, Inc.",,883-3245x202/ (800) 828-2962,2 Commercial Blvd.,,Novato,CA,Travel/Tour Operators,,,1996,4/25/2023 9:20pm
3231,Thoreau's Walden B&B,(GF),"259-1899 across the road & w/in sight of historic Walden Pond, full brkfst ",2 Concord Rd.,,Lincoln,MA,Accommodations,,,1996,6/6/2023 3:01pm
5293,Grown Ups,,"862-9304, opens 11am",2 E. Mechanic St.,,New Hope,PA,Erotica,,,1996,4/25/2023 9:20pm
3127,"Adventure Travel, Inc.",(IGTA),885-5060/ (800) 234-6252,2 Elsie Wy.,,Scarborough,ME,Travel/Tour Operators,,,1996,6/6/2023 3:01pm
4239,Ujjala's B&B,,"255-6360, 1910 Victorian house nestled among apple trees, full bkfst; stress mgmnt, body therapy, sweat lodges",2 Forest Glen,,New Paltz,NY,Accommodations,,,1996,4/25/2023 9:20pm
4007,"Network, For the 10% Plus",,754-2288,2 Julie Dr.,,Edison,NJ,Publications,,,1996,4/25/2023 9:20pm
4253,Network ,,"08820 (908) 754-2288, 754-1924 (fax) regional, covers central East Coast",2 Julie Dr. Edison,,New York City,NY,Publications,,,1996,6/6/2023 3:01pm
5357,The Network,,"08820 (908) 754-2288, regional, covers central East Coast",2 Julie Dr.,,Edison,NJ,Publications,,,1996,6/6/2023 3:03pm
3810,West End Cafe,,"361-2020, lunch & dinner, American ",2 N. Euclid Ave.,,St. Louis,MO,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3105,Poor Richard's Tavern,,"646-4722, 5:30pm-9:30pm, seasonal ",2 Pine Hill Rd.,,Ogunquit,ME,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3171,Donna's Coffee Bar,(BW),385-0180,2 W. Madison ,,Baltimore,MD,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3251,Icarus ,,426-1790,3 Appleton St.,,Boston,MA,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
207,Cedarberry Cottage B&B,(GF),253-6115/(800)590-2424 hot tubs,3 Kings Hwy.,,Eureka Springs,AR,Accommodations,,,1996,4/25/2023 9:20pm
6026,Sarducci's ,(WC),223-0229 Italian; also full bar,3 Main St.,,Montpelier,VT,Restaurants & Cafes,,,1996,4/25/2023 9:20pm
3125,Communiques ,,"773-5181, 10am-6pm, cards, gifts & clothing",3 Moulton St.,,Portland,ME,Bookstores/Retail Shops,,,1996,4/25/2023 9:20pm
3118,Underground,"(*),(MW),(D),(S)",773-3315 4pm-1am,3 Spring St.,,Portland,ME,Bars,,,1996,4/25/2023 9:20pm
3389,Richmond Inn ,(MW),487-9193 ,4 Conant St.,,Provincetown,MA,Accommodations,,,1996,4/25/2023 9:20pm
