ID2,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclear_address,unclear type or question,notes,Last Modified
8,Rams Head,"(Some YC, L) (disco) (2 bars)",1600 1st Ave N.,Birmingham,AL,"(*),(YC),(L),(D)",Bars/Clubs,,,,,11/23/2021 9:17am
72,St. Elmo's ,,36 Brewery Gulch Ave.,Bisbee,AZ,"(M),(W),(PT),(E),(WE)",Bars/Clubs,,,,,11/23/2021 9:17am
531,Bob's Bar-B-Q,,906 Glen Oaks,Burbank,CA,,Restaurant,,,,,11/23/2021 9:17am
565,Serpent 8 Club Baths,,4109 W. Burbank Blvd.,Burbank,CA,"(P),(*)",Bathhouses,,,,,11/23/2021 9:17am
4851,Holiday Inn Bar,,300 W. 'F' St.,Casper,WY,(M),"Bars/Clubs,Hotel",,,,,11/26/2021 3:13am
4852,Wonderbar ,(Summers),254 S. Center St.,Casper,WY,(M),Bars/Clubs,,,,,11/26/2021 3:13am
4855,Holidings' Little America Lodge,(jct. of I-25 & I-80),2200 W. Lincoln Way,Cheyenne,WY,(M),Hotel,,,,,11/26/2021 3:15am
4856,O.P. Taylor's Liquor Locker ,(Some L) (E -WE),2018 Carey Ave.,Cheyenne,WY,"(M),(L),(PT),(E),(WE)",Bars/Clubs,,,,,11/26/2021 3:16am
215,Swingers Books,,881 Humboldt Ave.,Chico,CA,(M),Book Store,,,,,11/23/2021 9:17am
220,Scotty's Castle ,(Lakeport),101 S. Main Street,Clear Lake,CA,"(M),(R),(E)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
222,Sunset Point Resort ,"(Bunkhouse) (Beer & wine bar) (R - Brunch WE) (*) (Campground, hot tubs, etc.) (12037 Hwy. 20, (P.O. Box 455), Clear Lake Oaks, CA 95423) ((707) 998-1415)",12037 Hwy. 20,Clear Lake,CA,"(H),(R),(WE),(*)","Hotel,Restaurant",,,,,11/23/2021 9:17am
221,Starlight Resort Motel,"(Spa, heated pool. Pvt. sundeck, fishing, water skiing, etc.) (9495 E. Hwy. 20, Glenhaven, CA 95443)",9495 E. Hwy. 20,Clear Lake,CA,"(H),(M),(BA),(*)",Hotel,,,,,11/23/2021 9:17am
228,877 Club,(R-Lunch),877 W. 19th,Costa Mesa,CA,"(R),(D),(PT)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
230,Newport Station ,(Disco) (Closed Mon. & Tues.) ('Tops in Orange County'),1945 Placentia ,Costa Mesa,CA,"(YC),(D),(R),(*)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
229,M.C.C.,,215 E. 23rd,Costa Mesa,CA,(MCC),Religious Institution,,,,,12/1/2021 3:59am
232,Mi Wey ,,11513 Washington Blvd.,Culver City,CA,(L),Bars/Clubs,,,,,11/23/2021 9:17am
234,Interlude,,4942 Stevens Creek,Cupertino,CA,(R),"Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
235,Red Boar,,10095 Saich Way ,Cupertino,CA,"(D),(E)",Bars/Clubs,,,,,11/23/2021 9:17am
236,Savoy ,,20469 Silverado,Cupertino,CA,"(L),(D)",Bars/Clubs,,,,,11/23/2021 9:17am
485,Good Company L.A.,,2939 Sunset Blvd.,Echo Park,CA,(PT),Bars/Clubs,,,,,11/23/2021 9:17am
487,Harold's,('Hustlers'),555 S. Main St.,Echo Park,CA,"(B),(RT),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
242,Great Gatsby ,,345 W. Main,El Cajon,CA,"(M),(R)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
241,'F' Street Bookstore,,158 E. Main,El Cajon,CA,(*),Erotic Shop,,,,,11/26/2021 1:43pm
243,Tiki Room,,388 N. 2nd St.,El Cajon,CA,(M),Bars/Clubs,,,,,11/23/2021 9:17am
245,Eddie's ,(Looks promising) ,4101 N. Arden Dr.,El Monte,CA,(PT),Bars/Clubs,,,,,11/23/2021 9:17am
247,Skate World,(Semi P) (Tues. nights - men only) (*) (415) 222-0244,3645 San Pablo Dam Rd.,El Sobrante,CA,"(P),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
168,Log Cabin Inn & Country Store,,42 Kings Highway ,Eureka Springs,AR,"(M),(H),(R)","Hotel,Restaurant",,,,,11/23/2021 9:17am
62,Pioneer Hotel ,(Very M) (Sleazy),401 1st Ave.,Fairbanks,AK,(M),"Hotel,Bars/Clubs",,,,,11/23/2021 9:17am
254,Adult Books,,560 Parker Rd.,Fairfield,CA,,Book Store,,,,,11/23/2021 9:17am
170,R.D.'s Disco ,"(Disco) (""Rear"" of said address)",325 W. Dickson,Fayetteville,AR,"(P),(YC),(D)",Bars/Clubs,,,,,11/23/2021 9:17am
169,George's Majestic ,,519 W. Dickson,Fayetteville,AR,"(M),(OC)",Bars/Clubs,,,,,11/23/2021 9:17am
3571,Other Side ,(Some L) (Cruisy),457 W. Russell,Fayetteville,NC,"(*),(YC),(L),(D),(PT)","Cruising Areas,Bars/Clubs",,,,,11/23/2021 9:17am
3572,Swedish Erotica Bookstore & Boutique ,,4431 Bragg Blvd.,Fayetteville,NC,,Book Store,,,,,11/23/2021 9:17am
16,Pit Grill,(Late),400 E. Tennessee,Florence,AL,"(M),(R),(C)",Restaurant,,,,,11/23/2021 9:17am
4164,Aunt Clara's,(Some L),288 Evans St.,Florence,SC,"(D),(*),(L)",Bars/Clubs,,,,,11/23/2021 9:17am
4165,Venus Pancake House,,550 W. Palmetto,Florence,SC,"(M),(R),(C),(AH)",Restaurant,,,,,11/23/2021 9:17am
256,Circle ,(Disco) (Liquor),2777 N. Maroa,Fresno,CA,"(YC),(D)",Bars/Clubs,,,,,11/23/2021 9:17am
255,Adult Book Store ,,4304 N. Blackstone,Fresno,CA,,Book Store,,,,,11/23/2021 9:17am
258,Olive Tower Coffee Shop,,936 E. Olive,Fresno,CA,"(R),(M)",Restaurant,,,,,11/23/2021 9:17am
257,Frenso Express,(Disco) (AH-WE),708 N. Blackstone ,Fresno,CA,"(YC),(D),(R),(*),(AH),(WE)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
261,Steam Works ,(Baths) ('Picking up'),1551 'E' St.,Fresno,CA,,Bathhouses,,,,,11/23/2021 9:17am
260,Red Lantern,"(Some W, SM OC) ",4618 E. Belmont,Fresno,CA,"(W),(SM),(OC),(PT),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
259,Palace Saloon ,(*) (Liquor) (Cruisy) (C&W - D),4030 E. Belmont,Fresno,CA,"(PT),(D),(*),(C&W)","Bars/Clubs,Cruising Areas",,,,,11/23/2021 9:17am
262,The Arms ,,4630 E. Tulare,Fresno,CA,"(R),(M)","Bars/Clubs,Restaurant",,,,,12/2/2021 5:47pm
173,Studio 34,(Disco) (Some L),634 Division,Ft. Smith,AR,"(M),(YC),(D),(L),(*)",Bars/Clubs,,,,Notes the following about Ft. Smith area: (closes 12 midnight on Sat.),11/23/2021 9:17am
174,Village Landing,(Some L) (Disco),3028 N. 6th St.,Ft. Smith,AR,"(*),(L)",Bars/Clubs,,,,,11/23/2021 9:17am
266,D.O.K. West,(Disco) ,12889 Garden Grove Blvd.,Garden Grove,CA,"(YC),(D),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
267,Garden of Eden Bookstore ,,12062 Garden Grove Blvd.,Garden Grove,CA,,Book Store,,,,,11/23/2021 9:17am
268,Happy Hour,(Liquor) ,12081 Garden Grove Blvd.,Garden Grove,CA,"(L),(R),(PT),(*)","Bars/Clubs,Restaurant",,,,,11/23/2021 9:17am
271,Mug,('Nowheresville'),8612 Garden Grove Blvd.,Garden Grove,CA,,Bars/Clubs,,,,,11/23/2021 9:17am
269,Hip Pocket,"(Adult books, toys, film, etc.) ",12686 Garden Grove Blvd.,Garden Grove,CA,,Erotic Shop,,,,,11/26/2021 1:16pm
270,Iron Spur,(Leather shop) (Cruisy) (Also C - AH) ,11086 Garden Grove Blvd.,Garden Grove,CA,"(*),(W),(SM),(PT),(C),(AH)","Erotic Shop,Cruising Areas",,,,,11/26/2021 1:16pm
272,Orange County Gay Community Center,,12411 Euclid St.,Garden Grove,CA,,Community Center/Support Group,,,,,11/26/2021 1:10pm
276,Tikit Hut ,"(Some W, OC) (Cruisy)",9042 Garden Grove Blvd.,Garden Grove,CA,"(*),(W),(OC)","Bars/Clubs,Cruising Areas",,,,,11/23/2021 9:17am
273,Party House ,"(Books, toys, etc.)",8751 Garden Grove Blvd.,Garden Grove,CA,,Erotic Shop,,,,,11/26/2021 1:16pm
275,Rumour Hazzit,('Twinkies') (Disco) (enter thur rear) ,8741 Garden Grove Blvd.,Garden Grove,CA,"(*),(D),(PT)",Bars/Clubs,,,,,11/23/2021 9:17am
274,Private Stock,(Disco) (Some L),12792 Brookhurst ,Garden Grove,CA,"(D),(E),(L)",Bars/Clubs,,,,,11/23/2021 9:17am
76,Venus Book Store ,(Cruisy),4715 W. Glendale,Glendale,AZ,(*),"Book Store,Cruising Areas",,,,,11/23/2021 9:17am
277,El Captain,,13825 S. Hawthorne ,Hawthorne,CA,,Bars/Clubs,,,,,11/23/2021 9:17am
278,Big Mamma's ,,22615 Mission Blvd.,Hayward,CA,(*),Bars/Clubs,,,,,11/23/2021 9:17am
280,Get-A-Way ,(Some L) (Disco),21859 Mission Blvd.,Hayward,CA,"(YC),(L),(D),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
279,Driftwood Lounge,(Disco) (Good days),22170 Mission Blvd.,Hayward,CA,"(L),(PT),(D),(*)",Bars/Clubs,,,,,11/23/2021 9:17am
281,Golden Gate Adult Books,,22553 Main St.,Hayward,CA,,Book Store,,,,,11/23/2021 9:17am
283,Turf Club,(Something for everyone) (Open 6am WE) (BBQ Patio in back),22517 Mission Blvd.,Hayward,CA,,Bars/Clubs,,,,,11/23/2021 9:17am
282,Li'l Ed's,(Some W) (AH-WE),22525 Mission Blvd.,Hayward,CA,"(W),(WE),(AH)",Bars/Clubs,,,,,11/23/2021 9:17am
465,All That Chaz,(Looks promising) ,4306 N. Figueroa ,Highland Park,CA,(R),Restaurant,,,,,11/23/2021 9:17am
469,Bon Mot,(Latins),4022 N. Figueroa ,Highland Park,CA,,Bars/Clubs,,,,,11/23/2021 9:17am
357,Adonis Theatre,,7308 Melrose Ave.,Los Angeles,CA,,Theatre,,,,,1/28/2022 11:01am
356,Academy ,(Uniforms) ,6236 Santa Monica Blvd.,Los Angeles,CA,"(R),(E),(*)",Restaurant,,,,,1/28/2022 11:01am
362,Benny's,"(Some OC, RT)",1645 N. Wilcox,Los Angeles,CA,"(OC),(RT)",Bars/Clubs,,,,,1/28/2022 11:01am
360,Basic Plumbing ,"(YC - Only) (""Wild back room' - no booze)",725 N. Fairfax,Los Angeles,CA,"(P),(YC)",Bars/Clubs,,,,,1/28/2022 11:01am
359,Au Petit Joint,(French R) (Wine only),7953 Santa Monica Blvd.,West Hollywood,CA,"(M),(R)","Bars/Clubs,Restaurant",,,,,1/28/2022 11:02am
361,Beach Boy ,('Hustlers'),7113 Santa Monica Blvd.,West Hollywood,CA,(PT),Bars/Clubs,,,,,1/28/2022 11:02am
363,Blue Parrot,(D.J. but no D) (*),8851 Santa Monica Blvd.,West Hollywood,CA,"(YC),(PT),(*)",Bars/Clubs,,,,,1/28/2022 11:02am
364,Bodycenter ,(Nautilus gym),8711 3rd St.,Los Angeles,CA,,Gymnasium,,,,,1/28/2022 11:02am
366,Book Circus ,(Books - open 24 hrs.) (*),8230 Santa Monica Blvd.,West Hollywood,CA,(*),Book Store,,,,,1/28/2022 11:02am
365,Bodycenter ,(Nautilus gym),807 N. San Vicente ,West Hollywood,CA,,Gymnasium,,,,,1/28/2022 11:02am
367,Cabaret ,,940 N. La Cienega,Los Angeles,CA,"(R),(E)",Restaurant,,,,,1/28/2022 11:03am
369,Casablanca ,,5457 Hollywood Blvd.,Los Angeles,CA,"(D),(E)",Bars/Clubs,,,,,1/28/2022 11:00am
370,Century Theatre ,(Hollywood) (*),5115 Hollywood Blvd.,Los Angeles,CA,(*),Theatre,,,,,1/28/2022 11:03am
371,Circus Disco,"(*) (Disco) (Very M) (3 bars, shops)",6648 Lexington,Los Angeles,CA,"(*),(YC),(D),(M)",Bars/Clubs,,,,,1/28/2022 11:03am
372,Club Los Angeles Baths ,,4424 Melrose Ave.,Los Angeles,CA,"(P),(YC),(*)",Bathhouses,,,,,1/28/2022 11:03am
374,Cypress Baths ,,5291 Fountain ,Los Angeles,CA,,Bathhouses,,,,,1/28/2022 11:03am
373,Coral Sands Hollywood,"(Sauna, pool, etc.) (*)",1730 N. Western Ave.,Los Angeles,CA,"(H),(*)",Hotel,,,,,1/28/2022 11:03am
375,David's ,,701 Melrose Ave.,Los Angeles,CA,"(R),(E),(OC)",Restaurant,,,,,1/28/2022 11:04am
376,Drake Bookstore,,7566 Melrose Ave.,Los Angeles,CA,,Book Store,,,,,1/28/2022 11:05am
378,8709 Club Baths,"(Referral necessary) (Some W, SM) (*) (Upstairs - enter on Hamel Dr.)",8709 W. 3rd St.,Los Angeles,CA,"(P),(YC),(W),(SM),(*)",Bathhouses,,,,,1/28/2022 11:06am
377,Eagle ,(*) (Some W) (Cruisy),7864 Santa Monica Blvd.,West Hollywood,CA,"(*),(W)","Bars/Clubs,Cruising Areas",,,,,1/28/2022 11:06am
379,Eleven-Seventy Club,(The Orbit) (Beer only - use rear entrance),1170 N. Western Ave.,Los Angeles,CA,"(SM),(PT)",Bars/Clubs,,,,,1/28/2022 11:06am
380,55 Club,(Latins),715 N. Western,Los Angeles,CA,,Bars/Clubs,,,,,1/28/2022 11:06am
381,Four Star,,8857 Santa Monica Blvd.,West Hollywood,CA,"(R),(PT),(*)",Restaurant,,,,,1/28/2022 11:07am
382,French Quarter Market Place,(Lunches & AH) (*),7985 Santa Monica Blvd.,West Hollywood,CA,"(*),(R),(AH)",Restaurant,,,,,1/28/2022 11:07am
384,Gaslight ,(AYOR) ,1608 N. Cosmo,Los Angeles,CA,"(S),(RT),(AYOR)",Bars/Clubs,,,,,1/28/2022 11:07am
383,Garden District ,,757 N. Western,Los Angeles,CA,"(R),(OC),(*)",Restaurant,,,,,1/28/2022 11:07am
385,Gay Community Service Center,,1213 N. Highland ,Los Angeles,CA,,Community Center/Support Group,,,,,1/28/2022 11:07am
386,Geno's ,(Teenie-boppers) (Disco) (No booze) (Some Latins),1123 N. Vine Street,Hollywood,CA,"(D),(AH)",Bars/Clubs,,,,,11/23/2021 9:17am
387,George's Coffee House,,6700 Hollywood Bl.,Los Angeles,CA,"(M),(R),(RT)",Restaurant,,,,,1/28/2022 11:08am
388,Gold Coast ,(Cruise bar) (Looks promising),8228 Santa Monica Blvd.,West Hollywood,CA,(PT),"Bars/Clubs,Cruising Areas",,,,,1/28/2022 11:08am
389,Greg's Blue Dot Lounge ,(WE*),742 N. Highland,Los Angeles,CA,"(PT),(WE),(*)",Bars/Clubs,,,,,1/28/2022 11:08am
390,Greenery Cafe,,8945 Santa Monica Blvd.,West Hollywood,CA,"(M),(R)",Restaurant,,,,,1/28/2022 11:08am
391,Griff's ,,5574 Melrose Ave.,Los Angeles,CA,"(SM),(W),(*)",Bars/Clubs,,,,,1/28/2022 11:08am
392,Gym Health Club,,5919 Franklin,Los Angeles,CA,,Gymnasium,,,,,1/28/2022 11:08am
393,Hilldale Coffee Shop,,8919 Santa Monica Bl.,West Hollywood,CA,"(M),(R)",Restaurant,,,,,1/28/2022 11:09am
394,Hollywood Spa ,(Health Club) ,1650 N. Ivar,Los Angeles,CA,(*),Bathhouses,,,,,1/28/2022 11:09am
395,Hollywood Blvd. Motel,,1650 N. Alexandria,Los Angeles,CA,"(M),(H)",Hotel,,,,,1/28/2022 11:09am
397,Hollywood 'Y' Baths ,,7661 Melrose Ave.,Los Angeles,CA,"(P),(*)",Bathhouses,,,,,1/28/2022 11:09am
396,Hollywood 8 Motel,,1822 N. Cahuenga,Los Angeles,CA,"(M),(H)",Hotel,,,,,1/28/2022 11:09am
398,Hudson House,(Some L) (other locations (213) 465-2443),1757 N. Hudson,Los Angeles,CA,"(H),(L)",Hotel,,,,,1/28/2022 11:10am
399,Hunter's Cocktails ,(odd neighborhood assortment),7511 Santa Monica Blvd.,West Hollywood,CA,(PT),Bars/Clubs,,,,,1/28/2022 11:10am
400,"Imre-Gordon, Inc.",(Electrolysis) (Suite 3),8680 Melrose,West Hollywood,CA,,Business,,,,,1/28/2022 11:10am
402,International Male ,(Clothing),9000 Santa Monica Blvd.,West Hollywood,CA,,Business,,,,,1/28/2022 11:10am
401,International Love Boutique ,"(Clothes, leather, 'toys,' etc.)",7046 Hollywood Blvd.,Los Angeles,CA,,Erotic Shop,,,,,1/28/2022 11:10am
404,Jac-Masters,,938 N. Fairfax,West Hollywood,CA,,Bars/Clubs,,,,,1/28/2022 11:11am
403,J.R.'s ,(at Hollywood Blvd.),1512 Hillhurst,Los Angeles,CA,,Bars/Clubs,,,,,1/28/2022 11:11am
405,Kitchen Stuff ,,704 Heliotrope ,Los Angeles,CA,,Business,,,,,1/28/2022 11:11am
406,L.A.A.D.,(L.A. After Dark),7566 Melrose Ave.,Los Angeles,CA,"(P),(AH)",Bars/Clubs,,,,,1/28/2022 11:11am
407,La Mesia ,(Spanish),9077 Santa Monica Blvd.,West Hollywood,CA,"(M),(PE),(R)",Restaurant,,,,,1/28/2022 11:11am
408,Leather by Leather ,,5542 Santa Monica Blvd.,Los Angeles,CA,,Erotic Shop,,,,,1/28/2022 11:13am
409,Leather Game,"(Leather, clothes, toys, uniforms, etc.)",708 N. Heliotrope,Los Angeles,CA,,Erotic Shop,,,,,1/28/2022 11:12am
410,Lemon Twist ,(Some OC) (E-WE),6423 Yucca,Los Angeles,CA,"(OC),(WE),(E)",Bars/Clubs,,,,,1/28/2022 11:12am
411,Lillian's ,,962 N. Cahuenga,Los Angeles,CA,(R),Restaurant,,,,,1/28/2022 11:12am
412,Los Barrilitos,(Mexican R),6508 Santa Monica Blvd.,Los Angeles,CA,"(M),(R),(S)",Restaurant,,,,,1/28/2022 11:12am
413,Magic Holiday Travel,,6203 Sunset Blvd.,Los Angeles,CA,,Travel Service,,,,,1/28/2022 11:12am
414,Manhole,(Hip-neighborhood) ,6531 Santa Monica,Los Angeles,CA,,Bars/Clubs,,,,,1/28/2022 11:13am
415,Manspace,(Baths) (Some SM) (FFA) ,5524 Santa Monica Blvd.,Los Angeles,CA,"(P),(SM),(FFA)",Bathhouses,,,,,1/28/2022 11:13am
417,Meat Rack ,('Wild back room' *) (No booze),4621 Santa Monica Blvd.,Los Angeles,CA,"(P),(*)",Bars/Clubs,,,,,1/28/2022 11:13am
416,MB Club,(No booze - 'wild backroom') ,4550 Melrose Ave.,Hollywood,CA,(P),Bars/Clubs,,,,,11/23/2021 9:17am
418,Melrose Baths,"(Some OC, chubby chasers)",7269 Melrose Ave.,Hollywood,CA,"(*),(OC)","Bars/Clubs,Bathhouses",,,,,12/1/2021 4:29am
419,Michael's Grill ,,7450 Beverly Blvd.,Los Angeles,CA,"(M),(R)",Restaurant,,,,,1/28/2022 11:14am
421,Mother Lode ,(Cruisy),8944 Santa Monica Blvd.,West Hollywood,CA,(*),"Bars/Clubs,Cruising Areas",,,,,1/28/2022 11:14am
420,Moon of Tunis ,(N. African),7445 Sunset Blvd.,Los Angeles,CA,"(M),(R)",Restaurant,,,,,1/28/2022 11:14am
422,Mugi,(Japanese R),5221 Hollywood Blvd.,Los Angeles,CA,"(M),(R)",Restaurant,,,,,1/28/2022 11:14am
424,Nautilus Santa Monica ,(Gym) (W. L.A.),12061 Wilshire,Los Angeles,CA,,Gymnasium,,,,,1/28/2022 11:15am
423,My house ,,1626 Cahuenga ,Los Angeles,CA,(OC),Bars/Clubs,,,,,1/28/2022 11:15am
425,Numbers,,8029 Sunset Blvd.,Los Angeles,CA,(R),Restaurant,,,,,1/28/2022 11:15am
427,Sutters Place,,8265 Santa Monica Blvd.,West Hollywood,CA,(R),Restaurant,,,,,1/28/2022 11:16am
428,Odyssey ,(Disco) ('Juice bar' - no booze) (may be adding liquor) (AH*) ,8471 Beverly Blvd.,Los Angeles,CA,"(YC),(D),(*),(AH)",Bars/Clubs,,,,,1/28/2022 11:16am
426,Nu Town Saloon,(C&W) (Disco & live bands),8265 Santa Monica Blvd.,West Hollywood,CA,"(PT),(C&W),(*)",Bars/Clubs,,,,,1/28/2022 11:16am
429,PX,"(Leather, etc.)",940 Fairfax Ave.,West Hollywood,CA,,Erotic Shop,,,,,1/28/2022 11:18am
430,Peanuts ,(Disco) (WE*) (Many L),7969 Santa Monica Blvd.,West Hollywood,CA,"(WE),(L),(*)",Bars/Clubs,,,,,1/28/2022 11:18am
431,Percy's Adult Book Store,,1719 N. Western,Los Angeles,CA,,Book Store,,,,,1/28/2022 11:18am
433,Phoenix ,(Physical fitness center) (at Santa Monica),807 N. San Vicente Blvd.,West Hollywood,CA,(P),Gymnasium,,,,,1/28/2022 11:19am
432,Persian Cowboy ,(Looks promising) ,5229 Hollywood Blvd.,Los Angeles,CA,(R),Restaurant,,,,,1/28/2022 11:22am
434,Plaza ,(Latins) (Disco) ,739 N. La Brea,Los Angeles,CA,"(D),(S),(*)",Bars/Clubs,,,,,1/28/2022 11:22am
436,Probe,(Members only) (Disco) (WE*),836 N. Highland,Los Angeles,CA,"(D),(YC),(WE),(*)",Bars/Clubs,,,,,1/28/2022 11:23am
435,Pleasure Chest ,"(Leather, 'toys,' jewelry, erotica, etc.) ",7733 Santa Monica Blvd.,West Hollywood,CA,(*),Erotic Shop,,,,,1/28/2022 11:23am
437,Rogues ,(Jacuzzi & sauna) ,8477 Santa Monica Blvd.,West Hollywood,CA,(P),Bars/Clubs,,,,,1/28/2022 11:23am
438,Rusty Nail ,(Some W) (D.J. but no D),7994 Santa Monica Blvd.,West Hollywood,CA,"(W),(YC),(WE),(*)",Bars/Clubs,,,,,1/28/2022 11:23am
439,Saddle Tramp,(Looks promising) ,7255 Santa Monica Blvd.,West Hollywood,CA,(W),Bars/Clubs,,,,,1/28/2022 11:23am
440,Saharan Motor Hotel,,7212 Sunset Blvd.,Los Angeles,CA,"(M),(H),(*)",Hotel,,,,,1/28/2022 11:23am
441,Spartan Spa Steam Baths,,5613 Hollywood Blvd.,Los Angeles,CA,,Bathhouses,,,,,1/28/2022 11:24am
442,Spike Bar,"(Some W, SM FFA) (Patio) (D.J. but no D)",7746 Santa Monica Blvd.,West Hollywood,CA,"(W),(SM),(FFA),(*)",Bars/Clubs,,,,,1/28/2022 11:24am
445,Spotlight ,,1601 N. Cahuenga,Los Angeles,CA,"(RT),(AYOR)",Bars/Clubs,,,,,1/28/2022 11:24am
444,Sports Locker,(Men's clothing *),8853 Santa Monica Blvd.,West Hollywood,CA,(*),Business,,,,,1/28/2022 11:24am
443,Sports Connection ,(Ex-Beverly Hills Health Club),8612 Santa Monica Blvd.,West Hollywood,CA,,Bathhouses,,,,,1/28/2022 11:24am
448,Study ,(open days),1723 N. Western Ave.,Los Angeles,CA,(*),Bars/Clubs,,,,,1/28/2022 11:29am
446,Stud,"(Patio) (Some B, OC, SM) ",4216 Melrose Ave.,Los Angeles,CA,"(B),(OC),(SM)",Bars/Clubs,,,,,1/28/2022 11:29am
