ID2,title,streetaddress,unclear_address,description,city,state,amenityfeatures,type,unclear type or question,notes,Year,Last Modified
9,Lambda Resource Center,516 27th St.,,"326-8600, 7pm-10pm Th-Sat, drop-in coffeehouse, mtgs other nights",Birmingham,AL,,Info Lines & Services,,,1993,4/25/2023 9:31pm
10,Club 21,117 1/2 21st St.,,322-0469 9pm-4am Th-Sat.,Birmingham,AL,"(MX),(S),(D),(B)",Bars,,,1993,4/25/2023 9:31pm
11,Eunice Crabtree's/Mabel's,3201 3rd Ave. S.,,254-9400 noon-4am,Birmingham,AL,"(CW),(D),(PC),(S)",Bars,,,1993,4/25/2023 9:31pm
12,Gizmo Lounge,3719 3rd Ave. S.,,24hrs,Birmingham,AL,"(D),(S)",Bars,,,1993,4/25/2023 9:31pm
13,Quest,416 24th St. S.,,"351-4313 open 24hrs, patio",Birmingham,AL,(CW),Bars,,,1993,4/25/2023 9:31pm
14,"Rage, The",620 29th St. S.,,"323-7243 3pm-?, two bars & patio",Birmingham,AL,"(YC),(PC),(E)",Bars,,,1993,4/25/2023 9:31pm
15,Steak 'n Egg Kitchen,1717 10th Ave. S.,,933-9822 24hrs,Birmingham,AL,"(MX),(AH)",Restaurants & Cafes,,,1993,4/25/2023 9:31pm
16,Lodestar Books,2020 11th Ave. S.,,"939-3356, 10am-6pm, 1pm-5pm Sun ",Birmingham,AL,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
19,Covenant MCC,2630 6th Ave. S.,,"326-8529, 11am & 7pm Sun",Birmingham,AL,,Religious Organizations,,,1993,4/25/2023 9:31pm
21,Alabama Adult Books,901 5th Ave. N.,,"322-7323, 24hrs",Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
22,Birmingham Adult Books,7610 1st Ave. N.,,836-1580 24hrs,Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
23,"Downtown Bookstore, The",2731 8th Ave. N.,,328-5525,Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
24,Jupiter Theater,2500 7th Ave. S.,,324-4552 large screen movies,Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
25,Pleasure Books,7606 1st Ave. N.,,836-7379,Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
26,Top Hat Cinema,9221 Todd Dr.,,833-8221,Birmingham,AL,,Erotica,,,1993,4/25/2023 9:31pm
35,Nitro,2461 E. Meighan Blvd.,,492-9724 8pm-2am Wed-Sat,Gadsden,AL,"(MW),(D),(YC),(S)",Bars,,,1993,4/25/2023 9:31pm
38,Portfolios,2021 Golf Rd.,,"883-8883 6pm-2am, til 4am Fri & Sat, clsd. Mon & Tues, 2 bars, summer pool hrs.",Huntsville,AL,"(*),(MW),(AH),(D),(E),(SW),(V)",Bars,,,1993,4/25/2023 9:31pm
39,Vieux Carre,1204 Posey,,"534-5970 7pm-2am, from 4pm Sun, patio",Huntsville,AL,"(MW),(D),(NH),(E)",Bars,,,1993,4/25/2023 9:31pm
40,Opening Books,403 Pratt Ave. N.E.,,"536-5880, 9am-10pm, til midnight Tues, Fri & Sat, lending library",Huntsville,AL,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
41,MCC,2400 Bob Wallace #102-103,,"533-6220 Sun 11am & 6pm, Wed 7pm",Huntsville,AL,,Religious Organizations,,,1993,4/25/2023 9:31pm
45,Golden Rod,219 Conti,,"433-9175 7:30am-?, 24hrs Fri-Sun",Mobile,AL,"(MX),(PC)",Bars,,,1993,4/25/2023 9:31pm
46,Hojons,7 S. Joachim St.,,"433-3073 3pm-?, restaurant opens 5pm",Mobile,AL,"(MW),(D),(E),(F),(PC),(S)",Bars,,,1993,4/25/2023 9:31pm
47,Sensations,9 N. Jackson St.,,"694-0909 8pm-?, clsd Mon",Mobile,AL,"(MW),(D),(PC),(YC)",Bars,,,1993,4/25/2023 9:31pm
48,Society Lounge,51 Conception,,433-9141 noon-?,Mobile,AL,"(MW),(D),(PC),(S)",Bars,,,1993,4/25/2023 9:31pm
51,MCC,6345 Old Shell Rd.,,"476-4621, 7pm Sun",Mobile,AL,,Religious Organizations,,,1993,4/25/2023 9:31pm
52,Midtown Cinema,270 Dauphin St.,,438-9910,Mobile,AL,,Erotica,,,1993,4/25/2023 9:31pm
54,Hojons,215 N. Court St.,,"269-9672 7pm-?, til 2am Sat, clsd Sun & Mon",Montgomery,AL,"(MW),(D),(S)",Bars,,,1993,4/25/2023 9:31pm
55,Zippers,207 Dexter Ave.,,"263-7890 8pm-?, from 6pm Sun",Montgomery,AL,"(MW),(D),(AH),(S),(PC)",Bars,,,1993,4/25/2023 9:31pm
57,MCC,5290 Vaughn,,"264-7887, 5:30pm Sun",Montgomery,AL,,Religious Organizations,,,1993,4/25/2023 9:31pm
73,Michael's,2201 6th St.,,"758-9223 6pm-?, clsd Sun",Tuscaloosa,AL,"(MW),(D),(LV),(PC),(S)",Bars,,,1993,4/25/2023 9:31pm
77,Blue Moon,530 E. 5th Ave.,,277-0441 11am-2:30am,Anchorage,AK,"(MW),(D),(S)",Bars,,,1993,4/25/2023 9:31pm
78,Raven,618 Gambell,,276-9672 11am-2:30 am,Anchorage,AK,"(MW),(V),(NH)",Bars,,,1993,4/25/2023 9:31pm
79,Cyrano's Bookstore & Cafe,413 'D' St.,,"274-2599 seasonal hours, cinema",Anchorage,AK,"(MX),(BW),(F)",Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
80,MCC,602 W. 10th Ave.,,"(Log Cabin Unitarian Church) 753-0271, 338-6749, 2:30 Sun",Anchorage,AK,,Religious Organizations,,,1993,4/25/2023 9:31pm
82,Adults Only Bookstore,3956 Spenard Rd.,,243-0697,Anchorage,AK,,Erotica,,,1993,4/25/2023 9:31pm
83,Anchorage Video Mart,137 W. 5th Ave.,,"276-9224, 24hrs",Anchorage,AK,,Erotica,,,1993,4/25/2023 9:31pm
84,French Quarter,4028 Mountain View,,276-9049,Anchorage,AK,,Erotica,,,1993,4/25/2023 9:31pm
85,La Sex Shoppe,305 W. Diamond Blvd.,,"522-1987, 24hrs",Anchorage,AK,,Erotica,,,1993,4/25/2023 9:31pm
86,Swinger Book Store,710 W. Northern Lights Blvd.,,"561-5039, 24hrs",Anchorage,AK,,Erotica,,,1993,4/25/2023 9:31pm
90,Alta B & B,5132 Haystack Mountain Rd.,,"488-6636 outskirts of town, great northern lights",Fairbanks,AK,,Accommodations,,,1993,4/25/2023 9:31pm
91,Fantasyland Video,1765 Richardson Hwy.,,"488-0879, 24hrs",Fairbanks,AK,,Erotica,,,1993,4/25/2023 9:31pm
95,Summit Hotel,455 S. Franklin St.,,586-2050 5:30pm-10pm,Juneau,AK,(MX),Restaurants & Cafes,,,1993,4/25/2023 9:31pm
96,St. Elmo's,36 Brewer Gulch Ave.,,432-5578 discreetly frequented by local gay population,Bisbee,AZ,"(MX),(F)",Bars,,,1993,4/25/2023 9:31pm
97,Lariat Saloon,1161 Hancock Rd.,,758-9741 10am-1am,Bullhead City,AZ,(NH),Bars,,,1993,4/25/2023 9:31pm
102,Charlie's,23 N. Leroux,,"779-1919 11pm-1am, discreetly frequented by local gay population",Flagstaff,AZ,"(MX),(F)",Bars,,,1993,4/25/2023 9:31pm
103,Monte Vista Lounge,100 N. San Francisco St.,,"779-6971 10am-1am, accommodations available",Flagstaff,AZ,"(MX),(E)",Bars,,,1993,4/25/2023 9:31pm
104,Aradia Books,116 W. Cottage,,"779-3817, 10:30am-5:30pm, clsd Sun",Flagstaff,AZ,,Bookstores/Retail Shops,,,1993,4/25/2023 9:31pm
107,Kings Inn Best Western,2930 E. Andy Devine,,753-6101,Kingman,AZ,(MX),Accommodations,,,1993,4/25/2023 9:31pm
117,Larry's Bed & Breakfast,502 W. Claremont Ave.,,249-2974 full breakfast,Phoenix,AZ,"(MW),(SW),(N)",Accommodations,,,1993,4/25/2023 9:31pm
118,Royal Villa Apts.,1102 E. Turney Ave.,,"266-6883 spa, overnight & long term accommodations",Phoenix,AZ,(SW),Accommodations,,,1993,4/25/2023 9:31pm
121,BS West,7125 5th Ave.,,"(pedestrian mall), Scottsdale, 945-9028 1pm-1am, Sun BBQ",Phoenix,AZ,"(D),(V)",Bars,,,1993,4/25/2023 9:31pm
122,Bobby's,1810 E. McDowell Rd.,,"258-9477, noon-1am",Phoenix,AZ,"(D),(V),(S)",Bars,,,1993,4/25/2023 9:31pm
123,Bum Steer,4620 N. 7th Ave.,,"279-3033 Copperstate Leathermen home bar, Phoenix home of T.A.L.L.",Phoenix,AZ,"(*),(L),(LV),(V),(AH)",Bars,,,1993,4/25/2023 9:31pm
124,Cactus Jacks,2929 N. 16th St.,,"277-0910 theme dance bar, call for details",Phoenix,AZ,"(*),(MW),(D),(YC),(AH)",Bars,,,1993,4/25/2023 9:31pm
125,Cash Inn,2140 E. McDowell Rd.,,244-9943 noon-1am,Phoenix,AZ,"(MW),(D),(F),(CW)",Bars,,,1993,4/25/2023 9:31pm
