"title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status","ID"
"Jupiter Theater","","324-4552 large screen movies","2500 7th Ave. S.","Erotica","Birmingham","AL",NA,1992,"","2500 7th Ave. S. ,  Birmingham ,  AL",-86.7929381,33.5093961,"2500 7th ave s, birmingham, al 35233, usa","Geocoded","1992-AL-0024"
"Pleasure Books","","836-7379 24hrs","7606 1st Ave. N.","Erotica","Birmingham","AL",NA,1992,"","7606 1st Ave. N. ,  Birmingham ,  AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa","Geocoded","1992-AL-0025"
"Top Hat Cinema","","833-8221","9221 Todd Dr.","Erotica","Birmingham","AL",NA,1992,"","9221 Todd Dr. ,  Birmingham ,  AL",-86.700455,33.5878074,"9221 todd ave, birmingham, al 35206, usa","Geocoded","1992-AL-0026"
"Rushton Park","Cruisy Area,(AYOR)","","","Cruising Areas","Birmingham","AL","checked",1992,"",", AL",-86.780064,33.506402,"unclear_coded_by_hand","Found","1992-AL-0027"
"Amtrack & Greyhound Depots","(AYOR),Cruisy Area","","","Cruising Areas","Decatur","AL","checked",1992,"",", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0028"
"Beltline Mall","Cruisy Area","","","Cruising Areas","Decatur","AL","checked",1992,"",", AL",-87.017448,34.572401,"unclear_coded_by_hand","Found","1992-AL-0029"
"Delano Park","Cruisy Area","nr. Picnic Tables","","Cruising Areas","Decatur","AL","checked",1992,"",", AL",-86.976437,34.597248,"unclear_coded_by_hand","Found","1992-AL-0030"
"Point Mallard Park - Swimmin' Hole (Summers)","Cruisy Area","","","Cruising Areas","Decatur","AL","checked",1992,"",", AL",-86.93589,34.57121,"unclear_coded_by_hand","Found","1992-AL-0031"
"'The Pumps'","(AYOR),Cruisy Area","","","Cruising Areas","Decatur","AL","checked",1992,"",", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0032"
"Klub Karosel","(MW),(D),(E)","794-7860 9pm til-? Tues-Sat","405 Blvd.","Bars","Dothan","AL","checked",1992,"","405 Blvd., AL",-85.390489,31.223231,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0033"
"Veterans Park (Days)","(AYOR),Cruisy Area","","","Cruising Areas","Florence","AL","checked",1992,"",", AL",-87.625245,34.811018,"unclear_coded_by_hand","Found","1992-AL-0034"
"Wilson Park (Nights)","(AYOR),Cruisy Area","","","Cruising Areas","Florence","AL","checked",1992,"",", AL",-87.675219,34.80322,"unclear_coded_by_hand","Found","1992-AL-0035"
"Nickle's Alley","(M),(NH)","543-3087 7pm-2am Wed-Sat","217 S. 4th St.","Bars","Gadsden","AL",NA,1992,"","217 S. 4th St. ,  Gadsden ,  AL",-86.0044489,34.011755,"217 s 4th st, gadsden, al 35901, usa","Geocoded","1992-AL-0036"
"Pink Triangle Alliance","","P.O. Box 2334, 35804, 539-4235 resource & info line 10am-10pm","","Info Lines & Services","Huntsville","AL","checked",1992,"",", AL",-86.59007,34.729901,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0037"
"Lola's","(MW),(D),(S)","534-4297 7pm-2am","115 Clinton Ave.","Bars","Huntsville","AL",NA,1992,"","115 Clinton Ave. ,  Huntsville ,  AL",-86.5872215,34.7306106,"115 clinton ave w, huntsville, al 35801, usa","Geocoded","1992-AL-0038"
"Vieux Carre","(MW),(D),(NH),(E)","534-5970 7pm-2am Mon-Sat, 4pm-2am Sun, patio","1204 Posey","Bars","Huntsville","AL",NA,1992,"","1204 Posey ,  Huntsville ,  AL",-86.6005067,34.7379893,"1204 posey st nw, huntsville, al 35816, usa","Geocoded","1992-AL-0039"
"Opening Books","","536-5880 9am-10pm, til midnight Tues, Fri & Sat, lending library","403 Pratt Ave. N.E.","Bookstore/Retail Shops","Huntsville","AL",NA,1992,"","403 Pratt Ave. N.E. ,  Huntsville ,  AL",-86.580157,34.7390826,"403 pratt ave ne, huntsville, al 35801, usa","Geocoded","1992-AL-0040"
"MCC","","#102-103, 35805, 533-6220 Sun 11am & 6pm (interpreted for hearing impaired)","2400 Bob Wallace","Religious Organization","Huntsville","AL","checked",1992,"","2400 Bob Wallace, AL",-86.597645,34.711624,"unclear_coded_by_hand","Found","1992-AL-0041"
"Tallulah Bankhead Parkway all overlooks","(AYOR),Cruisy Area","","","Cruising Areas","Huntsville","AL","checked",1992,"",", AL",-86.586104,34.730369,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0042"
"Germania Springs","Cruisy Area","","","Cruising Areas","Jacksonville","AL","checked",1992,"",", AL",-85.757482,33.8478,"unclear_coded_by_hand","Found","1992-AL-0043"
"Jacksonville State U. Bibb Graves Hall & Ayers Hall 2nd flr.","(AYOR),Cruisy Area","","","Cruising Areas","Jacksonville","AL","checked",1992,"",", AL",-85.765343,33.822939,"unclear_coded_by_hand","Found","1992-AL-0044"
"(some private clubs open 24 hours)","Cruisy Area","","","Cruising Areas","Mobile","AL","checked",1992,"",", AL",-88.039891,30.695366,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0045"
"French Connection","(*),(D),(YC),(S)","432-9440 24hrs","208 Dauphin St.","Bars","Mobile","AL",NA,1992,"","208 Dauphin St. ,  Mobile ,  AL",-88.0433579,30.6916069,"208 dauphin st, mobile, al 36602, usa","Geocoded","1992-AL-0046"
"French Quarter","(NH),(PC)","438-9139 cruisy, 5pm-? Mon-Sat, 3pm-? Sun","215 Conti St.","Bars,Cruising Areas","Mobile","AL",NA,1992,"","215 Conti St. ,  Mobile ,  AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded","1992-AL-0047"
"Golden Rod","(MX),(PC)","433-9175 7:30am-?, 24hrs Fri-Sun","219 Conti St.","Bars","Mobile","AL",NA,1992,"","219 Conti St. ,  Mobile ,  AL",-88.0434414,30.6903202,"219 conti st, mobile, al 36602, usa","Geocoded","1992-AL-0048"
"Neighborhood Pub, The","(D),(NH),(S)","433-4052 5pm-? Tues-Thur, 3pm-? Fri, til 2am Sat","708 St. Francis St.","Bars","Mobile","AL",NA,1992,"","708 St. Francis St. ,  Mobile ,  AL",-88.0522816,30.6895432,"708 st francis st, mobile, al 36602, usa","Geocoded","1992-AL-0049"
"Society Lounge","(MW),(D),(S)","433-9141 noon-?","51 Conception","Bars","Mobile","AL",NA,1992,"","51 Conception ,  Mobile ,  AL",-88.042412,30.690695,NA,"Geocoded","1992-AL-0050"
"Sparky's","(D),(NH),(PC),(V)","Hi NRG dance & cruise bar","55 S. Joachim St.","Bars,Cruising Areas","Mobile","AL",NA,1992,"","55 S. Joachim St. ,  Mobile ,  AL",-88.0433197,30.6901695,"55 s joachim st, mobile, al 36602, usa","Geocoded","1992-AL-0051"
"MCC","","437-4621 7pm Sun","6345 Old Shell Rd.","Religious Organization","Mobile","AL",NA,1992,"","6345 Old Shell Rd. ,  Mobile ,  AL",-88.1890765,30.6897815,"6345 old shell rd, mobile, al 36608, usa","Geocoded","1992-AL-0052"
"Midtown Cinema","","438-9910","270 Dauphin St.","Erotica","Mobile","AL",NA,1992,"","270 Dauphin St. ,  Mobile ,  AL",-88.0445995,30.691199,"270 dauphin st, mobile, al 36602, usa","Geocoded","1992-AL-0053"
"Old State Park","Cruisy Area","(opp. Holiday Inn - off causeway)","","Cruising Areas","Mobile","AL","checked",1992,"",", AL",-88.039891,30.695366,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0054"
"Hojons","(MW),(D),(S)","269-9672 7pm-? Mon-Thurs, 8pm-? Fri, til 2am Sat","215 N. Court St.","Bars","Montgomery","AL",NA,1992,"","215 N. Court St. ,  Montgomery ,  AL",-86.3091889,32.3803807,"215 n court st, montgomery, al 36104, usa","Geocoded","1992-AL-0055"
"Zippers","(MW),(D),(S),(AH),(PC)","263-7890 8pm-? Mon-Sat, 6pm-? Sun","207 Dexter Ave.","Bars","Montgomery","AL",NA,1992,"","207 Dexter Ave. ,  Montgomery ,  AL",-86.3059453,32.3777771,"207 dexter ave, montgomery, al 36104, usa","Geocoded","1992-AL-0056"
"Black & White Men Together (BWMT)","","P.O. Box 603, 3601, 284-2421","","Men's Services","Montgomery","AL","checked",1992,"",", AL",-86.311007,32.373798,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0057"
"MCC","","(Unitarian Church) 264-7887 5:30pm Sun","5290 Vaughn","Religious Organization","Montgomery","AL",NA,1992,"","5290 Vaughn ,  Montgomery ,  AL",-86.2171226,32.3422846,"5290 vaughn rd, montgomery, al 36116, usa","Geocoded","1992-AL-0058"
"Auburn University","(AYOR),Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.178834,32.369595,"unclear_coded_by_hand","Found","1992-AL-0059"
"Block around Post Office","Cruisy Area","after 5pm","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.307737,32.379223,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0060"
"Cooter's Pond","(AYOR),Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.400732,32.429394,"unclear_coded_by_hand","Found","1992-AL-0061"
"Court Square","Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.309296,32.377599,"unclear_coded_by_hand","Found","1992-AL-0062"
"Eastdale Mall","(AYOR),Cruisy Area","#NAME?","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.206119,32.385349,"unclear_coded_by_hand","Found","1992-AL-0063"
"McInnis area","(AYOR),Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.252829,32.292786,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0064"
"Montgomery Mall","(AYOR),Cruisy Area","#NAME?","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.252829,32.292786,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0065"
"Riverfront Park train terminal","(AYOR),Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.312563,32.382936,"unclear_coded_by_hand","Found","1992-AL-0066"
"Rosa L. Park Ave. at Mill St.","Cruisy Area","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.316613,32.362592,"unclear_coded_by_hand","Found","1992-AL-0067"
"S. Jackson St at High St.","Cruisy Area,(AYOR)","","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.296317,32.372036,"unclear_coded_by_hand","Found","1992-AL-0068"
"W. Fairview Ave. at Goode St.","(AYOR),Cruisy Area",",evenings","","Cruising Areas","Montgomery","AL","checked",1992,"",", AL",-86.312436,32.351708,"unclear_coded_by_hand","Found","1992-AL-0069"
"Prattville Park","Cruisy Area","","","Cruising Areas","Prattville","AL","checked",1992,"",", AL",-86.466914,32.453906,"unclear_coded_by_hand","Found","1992-AL-0070"
"Selma Mall-Broad St.","Cruisy Area","","","Cruising Areas","Selma","AL","checked",1992,"",", AL",-87.016506,32.43312,"unclear_coded_by_hand","Found","1992-AL-0071"
"Washington St.","Cruisy Area","","","Cruising Areas","Selma","AL","checked",1992,"",", AL",-87.022179,32.413842,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0072"
"Gay/Lesbian Alliance","","University of Alabama 348-1517","","Info Lines & Services","Tuscaloosa","AL","checked",1992,"",", AL",-87.545433,33.214516,"unclear_coded_by_hand","Found","1992-AL-0073"
"Gay/Lesbian Information Line","","P.O. Box 030801, 35403-0801, 758-2844 24hrs","","Info Lines & Services","Tuscaloosa","AL","checked",1992,"",", AL",-87.545433,33.214516,"unclear_coded_by_hand","Found","1992-AL-0074"
"Michael's","(MW),(D),(LV),(PC),(S)","758-9223 6pm-?, closed Sun","2201 6th St.","Bars","Tuscaloosa","AL",NA,1992,"","2201 6th St. ,  Tuscaloosa ,  AL",-87.5652188,33.209603,"2201 6th st, tuscaloosa, al 35401, usa","Geocoded","1992-AL-0075"
"Bus Station","(AYOR),Cruisy Area","","","Cruising Areas","Tuscaloosa","AL","checked",1992,"",", AL",-87.569173,33.209841,"unclear_coded_by_hand","General Coordinates Used","1992-AL-0076"
"AA Gay/Lesbian","","277-2312 call for times and location","","Info Lines & Services","Anchorage","AK","checked",1992,"",", AK",-149.899678,61.217576,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0077"
"Anchorage Gay/Lesbian Info Line","","258-4777 Fri & Sat 6pm-11pm","","Info Lines & Services","Anchorage","AK","checked",1992,"",", AK",-149.915966,61.196105,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0078"
"Blue Moon","(MW),(D),(S)","277-0441 11:30am-2:30am Mon-Thurs, 11am-3am Fri & Sat, noon-2:30am Sun","530 E. 5th Ave.","Bars","Anchorage","AK",NA,1992,"","530 E. 5th Ave. ,  Anchorage ,  AK",-149.8736996,61.2172988,"mad myrna's, 530 e 5th ave, anchorage, ak 99501, usa","Geocoded","1992-AK-0079"
"Raven","(MW),(LV),(NH)","(enter through parking lot on 6th) 276-9672 11am-2:30am","6128 Gambell","Bars","Anchorage","AK","checked",1992,"","6128 Gambell, AK",-149.8713,61.177344,"unclear_coded_by_hand","Found","1992-AK-0080"
"Cyrano's Bookstore & Cafe","(MX),(BW),(F)","274-2599 seasonal hours, cinema","413 ""D"" St.","Bookstore/Retail Shops","Anchorage","AK",NA,1992,"","413 ""D"" St. ,  Anchorage ,  AK",-149.889225,61.2182137,"413 d st, anchorage, ak 99501, usa","Geocoded","1992-AK-0081"
"MCC","","(Log Cabin Unitarian Church) 753-0271 2:30pm Sun","602 W. 10th Ave.","Religious Organization","Anchorage","AK",NA,1992,"","602 W. 10th Ave. ,  Anchorage ,  AK",-149.8937455,61.2122881,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded","1992-AK-0082"
"Indentity Northview","","P.O. Box 200070,95520, 258-4777 monthly newsletter, hosts Fourth Fri Potluck Social, call for details","","Publication","Anchorage","AK","checked",1992,"",", AK",-149.850373,61.218923,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0083"
"Adults Only Bookstore","","243-0697","3956 Spenard Rd.","Erotica","Anchorage","AK",NA,1992,"","3956 Spenard Rd. ,  Anchorage ,  AK",-149.9262816,61.184545,"3956 spenard rd, anchorage, ak 99517, usa","Geocoded","1992-AK-0084"
"Anchorage Video Mart","","276-9224, 24hrs","137 W. 5th Ave.","Erotica","Anchorage","AK",NA,1992,"","137 W. 5th Ave. ,  Anchorage ,  AK",-149.8848136,61.2178036,"137 w 5th ave, anchorage, ak 99501, usa","Geocoded","1992-AK-0085"
"French Quarter","","276-9049","4028 Mountain View","Erotica","Anchorage","AK",NA,1992,"","4028 Mountain View ,  Anchorage ,  AK",-149.8056077,61.2239637,"4028 mountain view dr, anchorage, ak 99508, usa","Geocoded","1992-AK-0086"
"La Sex Shoppe","","522-1987, 24 hrs","305 W. Dimond Blvd","Erotica","Anchorage","AK",NA,1992,"","305 W. Dimond Blvd ,  Anchorage ,  AK",-149.8847676,61.1449402,"305 w dimond blvd, anchorage, ak 99515, usa","Geocoded","1992-AK-0087"
"Swinger Book Store","","561-5039","710 W. Northern Lights Blvd.","Erotica","Anchorage","AK",NA,1992,"","710 W. Northern Lights Blvd. ,  Anchorage ,  AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa","Geocoded","1992-AK-0088"
"Park Strip at 9th & 'L' Sts.","Cruisy Area","","","Cruising Areas","Anchorage","AK","checked",1992,"",", AK",-149.903704,61.213666,"unclear_coded_by_hand","Found","1992-AK-0089"
"Gay Info Line","","488-6636 leave message on machine","","Info Lines & Services","Fairbanks","AK","checked",1992,"",", AK",-147.716389,64.837778,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0090"
"Gay/Lesbian Info Line","","452-3745 info on local events","","Info Lines & Services","Fairbanks","AK","checked",1992,"",", AK",-147.719466,64.839827,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0091"
"Fantasyland Video","","488-0879, 24hrs","Seven Mile Richardson Hwy.","Erotica","Fairbanks","AK","checked",1992,"","Seven Mile Richardson Hwy., AK",-147.610029,64.813771,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0092"
"Bentley Mall","Cruisy Area","","","Cruising Areas","Fairbanks","AK","checked",1992,"",", AK",-149.888942,61.216889,"unclear_coded_by_hand","Found","1992-AK-0093"
"University of Alaska library","Cruisy Area,(AYOR)","","","Cruising Areas","Fairbanks","AK","checked",1992,"",", AK",-147.820022,64.856934,"unclear_coded_by_hand","Found","1992-AK-0094"
"Juneau Crisis Line","","586-4357","","Info Lines & Services","Juneau","AK","checked",1992,"",", AK",-134.420131,58.300493,"unclear_coded_by_hand","General Coordinates Used","1992-AK-0095"
"Summit Hotel Bar","(MX)","586-2050 restaurant 5:30pm-10pm","455  S. Franklin St.","Bars","Juneau","AK",NA,1992,"","455  S. Franklin St. ,  Juneau ,  AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa","Geocoded","1992-AK-0096"
"St. Elmo's","(MX)","437-5578 discreetly frequented by local gay population","36 Brewery Gulch Ave.","Bars","Bisbee","AZ",NA,1992,"","36 Brewery Gulch Ave. ,  Bisbee ,  AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded","1992-AZ-0097"
"Rest Stops N. on I-10","Cruisy Area,(AYOR)","","","Cruising Areas","Casa Grande","AZ","checked",1992,"",", AZ",-111.77339,32.911003,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0098"
"Gay/Lesbian Community & AIDS Outreach Phone Lines","","525-1199 info line, hosts dinner/social 3rd Tues 7:30 pm","","Info Lines & Services","Flagstaff","AZ","checked",1992,"",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0099"
"Global Real Estate Referrals","","(800) 346-5592 gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Flagstaff","AZ","checked",1992,"",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0100"
"N.A.U. Gay Academic Union","","525-1199 meets 1st & 3rd Thurs, call for info","","Info Lines & Services","Flagstaff","AZ","checked",1992,"",", AZ",-111.651302,35.198284,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0101"
"Charlie's","(MX),(E)","779-1919 11pm-1am, discreetly frequented by local gay population","23 N. Leroux","Bars","Flagstaff","AZ",NA,1992,"","23 N. Leroux ,  Flagstaff ,  AZ",-111.6490479,35.1984555,"23 n leroux st, flagstaff, az 86001, usa","Geocoded","1992-AZ-0102"
"Monte Vista Lounge","(MX),(E)","779-6971 10am-1am","100 N. San Francisco St. 779-6971","Bars","Flagstaff","AZ",NA,1992,"","100 N. San Francisco St. 779-6971 ,  Flagstaff ,  AZ",-111.6473011,35.1982704,"100 n san francisco st 779 6971, flagstaff, az 86001, usa","Geocoded","1992-AZ-0103"
"Aradia Books","","779-3817 gay/lesbian books","116 W. Cottage","Bookstore/Retail Shops","Flagstaff","AZ",NA,1992,"","116 W. Cottage ,  Flagstaff ,  AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa","Geocoded","1992-AZ-0104"
"Thorp Park Sunset","(AYOR),Cruisy Area","","","Cruising Areas","Flagstaff","AZ","checked",1992,"",", AZ",-111.658355,35.203668,"unclear_coded_by_hand","Found","1992-AZ-0105"
"Bowling Alley & Rec Center","Cruisy Area","","","Cruising Areas","Ft. Huachuca","AZ","checked",1992,"",", AZ",-110.349922,31.555216,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0106"
"Kings Inn Best Western","(MX)","753-6101 jacuzzi, sauna","2930 E Andy Devine","Accomodations","Kingman","AZ",NA,1992,"","2930 E Andy Devine ,  Kingman ,  AZ",-114.0148392,35.2121662,"2930 e andy devine ave, kingman, az 86401, usa","Geocoded","1992-AZ-0107"
"London Bridge","Cruisy Area","(is going down!)","","Cruising Areas","Lake Havasu City","AZ","checked",1992,"",", AZ",-114.352661,34.467188,"unclear_coded_by_hand","Found","1992-AZ-0108"
"Park of Canals on N. Horne St.","Cruisy Area","","","Cruising Areas","Mesa","AZ","checked",1992,"",", AZ",-111.813879,33.440476,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0109"
"Reed & Pioneer Park","(AYOR),Cruisy Area","","","Cruising Areas","Mesa","AZ","checked",1992,"",", AZ",-111.819674,33.416972,"unclear_coded_by_hand","Found","1992-AZ-0110"
"AA Gay/Lesbian","","264-1341 (AA#) 8pmTues/Thur, 9:45pm Wed, midnight Fri, 7pm Sun","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0111"
"AA Gay/Lesbian","","at Casa de Cristo Evangelical Church, 6pm Mon","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0112"
"AA Gay/Lesbian","","at Humanspace Books, Sat 8pm","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0113"
"Camelback Business & Professional Assoc.","","P.O. Box 2097, 85001, 225-8509 men/249-1910 women","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.185987,33.538652,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0114"
"Gay Helpline","","265-1102 7pm-midnight Tues-Sat","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.1121,33.555703,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0115"
"Global Real Estate Referrals","","(800) 346-5592 gay realtor at your service (see ad nat'l sec.)","","Info Lines & Services","Phoenix","AZ","checked",1992,"",", AZ",-112.074037,33.448377,"unclear_coded_by_hand","General Coordinates Used","1992-AZ-0116"
