"title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","status","unclear_address","ID"
"'B.A.' Beach","2 mi. E.","Rte. 2","Cruising Areas","Cruisy Area","Troy","NY",1981,"","Rte. 2, NY",42.728412,-73.691785,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-NY-0001"
"'B.A.' Beach","nr. Salt Air Beach","","Cruising Areas","Cruisy Area","Salt Lake City","UT",1981,"",", UT",40.747813,-112.187268,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-UT-0002"
"'B.A.' Beach","nr. Evergreen Floating Bridge","","Cruising Areas","Cruisy Area","Seattle","WA",1981,"",", WA",47.60621,-122.332071,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-WA-0003"
"'B.A.' beach","","N. Truro","Cruising Areas","Cruisy Area","Provincetown","MA",1981,"","N. Truro, MA",42.064946,-70.111248,"unclear_coded_by_hand","Verified Location",NA,"1981-MA-0004"
"'B.A.' Beach on Russian River, 1 1/2 mi. from Mirabelle Park","","","Cruising Areas","Cruisy Area","Russian River","CA",1981,"",", CA",38.911632,-123.011048,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0005"
"'Black Forest'","walking area under bridge","27th & Pennsylvania N.W.","Cruising Areas","Cruisy Area,(AYOR)","Washington","DC",1981,"","27th & Pennsylvania N.W., DC",38.907192,-77.036871,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-DC-0006"
"'Bus Stop' at Pine & Jefferson","","","Cruising Areas","Cruisy Area","Albany","GA",1981,"",", GA",31.578466,-84.155978,"unclear_coded_by_hand","Verified Location",NA,"1981-GA-0007"
"'C' St. at 4th Ave.","","","Cruising Areas","Cruisy Area","Anchorage","AK",1981,"",", AK",61.218923,-149.850373,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-AK-0008"
"'Castro Village'","betw. 18th & Market","Castro St.","Cruising Areas","Cruisy Area,(*)","San Francisco","CA",1981,"","Castro St., CA",37.77493,-122.419415,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0009"
"'Cruising the Levee'","The Levee overlooks Island Park","Take Dixie Dr.","Cruising Areas","Cruisy Area,(AYOR)","Dayton","OH",1981,"","Take Dixie Dr., OH",39.758948,-84.191607,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0010"
"'Cruising the Levee'","The Levee overlooks Island Park","Riverside to Helena","Cruising Areas","Cruisy Area,(AYOR)","Dayton","OH",1981,"","Riverside to Helena, OH",39.758948,-84.191607,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-OH-0011"
"'Cruisy jacuzzi' at Desert Palms","(Late)","","Cruising Areas","Cruisy Area","Palm Springs","CA",1981,"",", CA",33.894667,-116.615475,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CA-0012"
"'Dog Run'","","Clarkston","Cruising Areas","Cruisy Area,(AYOR)","Pontiac","MI",1981,"","Clarkston, MI",42.73512,-83.419294,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-MI-0013"
"'F' St. Bookstore","","4th & 'F' and 2004 University","Book Store","(*)","San Diego","CA",1981,"","4th & 'F' and 2004 University, CA",32.748618,-117.143424,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0014"
"'Figure 8'","6th to 8th, betw. Church & Commerce","","Cruising Areas","Cruisy Area","Nashville","TN",1981,"",", TN",36.161515,-86.782241,"unclear_coded_by_hand","Verified Location",NA,"1981-TN-0015"
"'First Beach'","in front of concession stands","","Cruising Areas","Cruisy Area","Newport","RI",1981,"",", RI",41.488401,-71.291362,"unclear_coded_by_hand","Verified Location",NA,"1981-RI-0016"
"'Gay Loop'","betw. 4th & 5th Sts. (AH*)","Keo & Park","Cruising Areas","Cruisy Area,(AH),(*)","Des Moines","IA",1981,"","Keo & Park, IA",41.586835,-93.624959,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-IA-0017"
"'Hippie Hollow'","'B.A.' beach in Lake Travis","Hwy. 620","Cruising Areas","Cruisy Area","Austin","TX",1981,"","Hwy. 620, TX",30.41351,-97.886849,"unclear_coded_by_hand","Verified Location",NA,"1981-TX-0018"
"'Hitch-Hikers'","carrying a newspaper rolled up","on E. Colfax","Cruising Areas","Cruisy Area","Denver","CO",1981,"","on E. Colfax, CO",39.739236,-104.990251,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1981-CO-0019"
"'Hitch-hikers'","betw. North & Bryant","Elmwood","Cruising Areas","Cruisy Area","Buffalo","NY",1981,"","Elmwood, NY",42.902261,-78.877111,"unclear_coded_by_hand","Verified Location",NA,"1981-NY-0020"
"'Hitch-hikers'","nr. State St. (afternoons)","US 101","Cruising Areas","Cruisy Area","Santa Barbara","CA",1981,"","US 101, CA",34.415519,-119.693381,"unclear_coded_by_hand","Verified Location",NA,"1981-CA-0021"
