"ID","title","streetaddress","unclear_address","description","city","state","amenityfeatures","type","uncleartype","notes","Year","Last.Modified","full.address","lon","lat","geoAddress","status"
6094,"Ocean Walk","1 Atlantic Place",NA,"728-0855/(800)468-0615 on the beach, sundeck","San Juan","PR","(GF),(SW),(IGTA)","Accommodations","","",1995,"7/26/2023 12:07pm","1 Atlantic Place ,  San Juan ,  PR",-66.0578831,18.4540659,"1 c. atlantic place, san juan, 00911, puerto rico","Geocoded"
1432,"Thomas Floral & Adult Gifts","1 Broadway Ste. 108",NA,"(at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun","Denver","CO","(WC)","Bookstores/Retail Shops","","",1995,"4/28/2023 9:39am","1 Broadway Ste. 108 ,  Denver ,  CO",-104.9877955,39.7168385,"1 n broadway #108b, denver, co 80223, usa","Geocoded"
6093,"Numero Uno on the Beach","1 Calle Santa Ana",NA,"Ocean Park, 726-5010/727-9687 guest house, bar & grille","San Juan","PR","(*),(GF),(SW),(WC)","Accommodations","","",1995,"7/26/2023 12:07pm","1 Calle Santa Ana ,  San Juan ,  PR",-66.0551125,18.4543702,"1 c. sta. ana, san juan, 00911, puerto rico","Geocoded"
6088,"Atlantic Beach Hotel","1 Calle Vendig",NA,"Condado 721-6900 bar & restaurant","San Juan","PR","(*),(MW),(IGTA)","Accommodations","","",1995,"7/26/2023 12:07pm","1 Calle Vendig ,  San Juan ,  PR",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Geocoded"
3208,"Provincetown Inn","1 Commercial St.",NA,"487-9500 hotel","Provincetown","MA","(GF),(F),(SW),(WC)","Accommodations","","",1995,"4/25/2023 9:22pm","1 Commercial St. ,  Provincetown ,  MA",-70.1957199,42.0376425,"historic district, 1 commercial st, provincetown, ma 02657, usa","Geocoded"
1845,"Pier House Resort & Caribbean Spa","1 Duval St.",NA,"296-4600/ (800)327-8340 priv. beach, 5 restaurants, 5 bars, spa & gym","Key West","FL","(GF),(SW)","Accommodations","","",1995,"4/25/2023 9:22pm","1 Duval St. ,  Key West ,  FL",-81.8059108,24.5611624,"1 duval st, key west, fl 33040, usa","Geocoded"
5083,"Gerardo's","1 Franklin Square",NA,"274-5560 4pm-1am, til 2am Fri-Sat","Providence","RI","(MW),D,(E),(WC)","Bars","","",1995,"4/25/2023 9:23pm","1 Franklin Square ,  Providence ,  RI",-71.4162673,41.8179551,"us-1 & franklin st, providence, ri 02903, usa","Geocoded"
4185,"One Hot Spot","1 Front St.",NA,"852-0139 5pm-2am, clsd Mon","New York City","NY","(MW),D,(MRC-AF),(MRC-L),(WC)","Bars","","Listed under ""N.Y.C. - Brooklyn.""",1995,"4/25/2023 9:23pm","1 Front St. ,  New York City ,  NY",NA,NA,"NA","Geocoded"
188,"Greenwood Hollow Ridge","1 Greenwood Hollow Ridge",NA,"253-5283 B&B, exclusively lesbigay, RV spaces","Eureka Springs","AR","(MW),(WC)","Accommodations","","",1995,"4/25/2023 9:22pm","1 Greenwood Hollow Ridge ,  Eureka Springs ,  AR",-93.730641,36.3814868,"1 greenwood hollow ridge, eureka springs, ar 72632, usa","Geocoded"
5138,"Moon Jammers","1 Heritage Plaza, Pope Ave.",NA,"842-9195 8pm-2am","Hilton Head","SC","(MW),(NH),D,(A),(S),(PC),(WC)","Bars","","",1995,"4/25/2023 9:23pm","1 Heritage Plaza, Pope Ave. ,  Hilton Head ,  SC",-80.7574176,32.1491335,"pope ave, hilton head island, sc 29928, usa","Geocoded"
2222,"Club One","1 Jefferson St.",NA,"232-0200 5pm-3am","Savannah","GA","(MW),D,(F),(S)","Bars","","",1995,"4/25/2023 9:22pm","1 Jefferson St. ,  Savannah ,  GA",-81.0948312,32.080902,"1 jefferson st, savannah, ga 31401, usa","Geocoded"
4136,"Wall Street Sauna","1 Maiden Ln.",NA,"(11th flr.) 233-8900 call for hours","New York City","NY","(*),MO","Men's Clubs","","Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,"4/28/2023 10:29am","1 Maiden Ln. ,  New York City ,  NY",-74.0096846,40.7098301,"1 maiden ln, new york, ny 10038, usa","Geocoded"
4023,"Artists Cafe","1 Main St.",NA,"523-9493 8pm-10pm, discreetly frequented by gays","Lake Placid","NY","(BW)","Restaurants & Cafes","","",1995,"4/25/2023 9:23pm","1 Main St. ,  Lake Placid ,  NY",-73.9840428,44.2854201,"main st, lake placid, ny 12946, usa","Geocoded"
4685,"Whittier News Stand","1 N. Lewis St.",NA,"592-0767, 24hrs","Tulsa","OK","","Erotica","","",1995,"4/25/2023 9:23pm","1 N. Lewis St. ,  Tulsa ,  OK",-95.9570118,36.1608035,"1 n lewis pl, tulsa, ok 74110, usa","Geocoded"
3093,"Globe Corner Bookstore","1 School St.",NA,"(800)358-6013","Boston","MA","","Bookstores/Retail Shops","","",1995,"4/25/2023 9:22pm","1 School St. ,  Boston ,  MA",-71.0583315,42.3574097,"1 school st, boston, ma 02108, usa","Geocoded"
2532,"Teana Faye's Riverboat Lounge","1 SE 1st St.",NA,"425-3523 5pm-3am, clsd Sun","Evansville","IN","(MW),D,(A),(E),(S),(WC)","Bars","","",1995,"4/25/2023 9:22pm","1 SE 1st St. ,  Evansville ,  IN",-87.569438,37.963837,"se 1st st, evansville, in, usa","Geocoded"
3055,"Ivy House Bed & Breakfast","1 Sunset Ct.",NA,"549-7554 patio","Amherst","MA","(GF)","Accommodations","","",1995,"4/25/2023 9:22pm","1 Sunset Ct. ,  Amherst ,  MA",-72.5276231,42.3828385,"1 sunset ct, amherst, ma 01002, usa","Geocoded"
4798,"Mikuni Travel Service","1 SW Columbia Ste. 1010",NA,"227-3639/ (800)248-0624","Portland","OR","(IGTA)","Bookstores/Retail Shops","","",1995,"4/25/2023 9:23pm","1 SW Columbia Ste. 1010 ,  Portland ,  OR",-122.6755246,45.5133881,"1 sw columbia st ste. 1010, portland, or 97204, usa","Geocoded"
3850,"Sauvage","1 Victory Blvd. Plaza",NA,"727-6619 9pm-3am, clsd Mon, more men Th","South Amboy","NJ","(W),D","Bars","","",1995,"4/25/2023 9:22pm","1 Victory Blvd. Plaza ,  South Amboy ,  NJ",-74.1714609,40.604057,"1 victory blvd, staten island, ny 10301, usa","Geocoded"
2998,"Hippo","1 W. Eager St.",NA,"547-0069 3pm-2am, 3 bars","Baltimore","MD","(*),(MW),D,(K),(V),(WC)","Bars","","",1995,"4/25/2023 9:22pm","1 W. Eager St. ,  Baltimore ,  MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded"
4110,"Cafe Risque","2 Bank St.",NA,"675-7710 market-style cuisine, exotic desserts, cabaret, full bar, some veggie","New York City","NY","(*)","Restaurants & Cafes","","Listed under ""N.Y.C. - Greenwich Village/Chelsea.""",1995,"4/25/2023 9:23pm","2 Bank St. ,  New York City ,  NY",-74.0016528,40.7370736,"2 bank st, new york, ny 10014, usa","Geocoded"
2930,"Sportsman's Club","2 Bates St.",NA,"784-2251 8pm-1am, from 4pm Sun","Lewiston","ME","(*),(MW),D","Bars","","",1995,"4/25/2023 9:22pm","2 Bates St. ,  Lewiston ,  ME",-70.2173331,44.1018535,"2 bates st, lewiston, me 04240, usa","Geocoded"
6095,"Barefoot Bar","2 Calle Vendig",NA,"Condado, 724-7230 beach bar, 9am-3am","San Juan","PR","(*),(F)","Bars","","",1995,"7/26/2023 12:07pm","2 Calle Vendig ,  San Juan ,  PR",-66.0726432,18.4566065,"2 cll vendig, san juan, 00907, puerto rico","Geocoded"
5092,"Tri-Travel","2 Charles St.",NA,"272-2990/(800)842-33115 ask for Roger","Providence","RI","(IGTA)","Travel/Tour Operators","","",1995,"4/25/2023 9:23pm","2 Charles St. ,  Providence ,  RI",-71.4115313,41.8327151,"2 charles st, providence, ri 02904, usa","Geocoded"
4917,"Grown Ups","2 E. Mechanic St.",NA,"862-9304 opens 11am","New Hope","PA","","Erotica","","",1995,"4/25/2023 9:23pm","2 E. Mechanic St. ,  New Hope ,  PA",-74.9504308,40.3619975,"2 e mechanic st, new hope, pa 18938, usa","Geocoded"
2965,"Adventure Travel, Inc.","2 Elsie Way, Scarborough",NA,"885-5060","Portland","ME","(IGTA)","Travel/Tour Operators","","",1995,"4/25/2023 9:22pm","2 Elsie Way, Scarborough ,  Portland ,  ME",-70.348176,43.602656,"2 elsie way, scarborough, me 04074, usa","Geocoded"
3849,"Network, For the 10% Plus","2 Julie Dr., Edison, 08820",NA,"754-2288","Somerset","NJ","","Publications","","",1995,"4/25/2023 9:22pm","2 Julie Dr., Edison, 08820 ,  Somerset ,  NJ",NA,NA,"NA","Geocoded"
4039,"Network, The","2 Julie Dr., Edison, NJ, 08820",NA,"(908)754-2288, regional, covers central east coast","New York City","NY","","Publications","","Listed under ""N.Y.C. - Overview.""",1995,"4/25/2023 9:23pm","2 Julie Dr., Edison, NJ, 08820 ,  New York City ,  NY",-74.3757459,40.5966902,"2 julie dr, edison, nj 08820, usa","Geocoded"
4982,"Network, The","2 Julie Drive, Edison, NJ 08820",NA,"(908)754-2288, regional, covers central East Coast","Philadelphia","PA","","Publications","","",1995,"4/25/2023 9:23pm","2 Julie Drive, Edison, NJ 08820 ,  Philadelphia ,  PA",NA,NA,"NA","Geocoded"
3614,"West End Cafe","2 N. Euclid Ave.",NA,"361-2020 lunch, dinner, American","St. Louis","MO","","Restaurants & Cafes","","",1995,"4/25/2023 9:22pm","2 N. Euclid Ave. ,  St. Louis ,  MO",-90.261994,38.640477,"2 n euclid ave, st. louis, mo 63108, usa","Geocoded"
3012,"Donna's Coffee Bar","2 W. Madison",NA,"385-0180","Baltimore","MD","(BW)","Restaurants & Cafes","","",1995,"4/25/2023 9:22pm","2 W. Madison ,  Baltimore ,  MD",-76.6160763,39.2985819,"2 w madison st, baltimore, md 21201, usa","Geocoded"
3090,"Icarus","3 Appleton St.",NA,"426-1790","Boston","MA","","Restaurants & Cafes","","",1995,"4/25/2023 9:22pm","3 Appleton St. ,  Boston ,  MA",-71.0697695,42.3466956,"3 appleton st, boston, ma 02116, usa","Geocoded"
6087,"3 Elena Guest House","3 Elena St.",NA,"728-7418 garden setting, at the gay beach","San Juan","PR","(*),(MW),(F),(SW)","Accommodations","","",1995,"7/26/2023 12:07pm","3 Elena St. ,  San Juan ,  PR",-66.0461413,18.406538,"c. sta. elena, san juan, 00931, puerto rico","Geocoded"
5069,"Raffles","3 Farewell St.",NA,"847-9663 9pm-1am","Newport","RI","(*),D","Bars","","",1995,"4/25/2023 9:23pm","3 Farewell St. ,  Newport ,  RI",-71.3132894,41.490839,"3 farewell st, newport, ri 02840, usa","Geocoded"
185,"Cedarberry Cottage B&B","3 Kings Hwy.",NA,"253-6115 hot tubs","Eureka Springs","AR","(GF)","Accommodations","","",1995,"4/25/2023 9:22pm","3 Kings Hwy. ,  Eureka Springs ,  AR",-93.7392889,36.4006499,"eureka springs, ar, usa","Geocoded"
2963,"Communiques","3 Moulton St.",NA,"773-5181, 10am-6pm, cards, gifts & clothing","Portland","ME","","Bookstores/Retail Shops","","",1995,"4/25/2023 9:22pm","3 Moulton St. ,  Portland ,  ME",-70.2526999,43.6564851,"3 moulton st, portland, me 04101, usa","Geocoded"
2957,"Underground, The","3 Spring St.",NA,"773-3315 4pm-1am","Portland","ME","(*),(MW),D,(S)","Bars","","",1995,"4/25/2023 9:22pm","3 Spring St. ,  Portland ,  ME",-70.2574098,43.6562263,"3 spring st, portland, me 04101, usa","Geocoded"
3212,"Richmond Inn","4 Conant St.",NA,"487-9193","Provincetown","MA","","Accommodations","","",1995,"4/25/2023 9:22pm","4 Conant St. ,  Provincetown ,  MA",-70.1916503,42.0464954,"historic district, 4 conant st, provincetown, ma 02657, usa","Geocoded"
3232,"Atlantic House Hotel","4 Masonic Pl.",NA,"(The Big Room) 487-3821 9pm-1am","Provincetown","MA","(*),D","Bars","","",1995,"4/28/2023 10:27am","4 Masonic Pl. ,  Provincetown ,  MA",-70.1887645,42.0499565,"4 masonic pl, provincetown, ma 02657, usa","Geocoded"
1015,"Lily's","4 Valencia St.",NA,"864-7208 11am-2am","San Francisco","CA","(NH),(S)","Bars","","Listed under ""S. F. - Castro Area"".",1995,"4/25/2023 9:22pm","4 Valencia St. ,  San Francisco ,  CA",-122.4227604,37.7721289,"4 valencia st, san francisco, ca 94103, usa","Geocoded"
1483,"Water Hole Custom Leather, The","4 West Rd.",NA,"875-7071 clsd Mon","Ellington","CT","","Erotica","","",1995,"4/25/2023 9:22pm","4 West Rd. ,  Ellington ,  CT",-72.4651863,41.870652,"4 west rd, ellington, ct 06029, usa","Geocoded"
2249,"Sideout","4-1330 Kuhio Hwy.",NA,"822-0082 noon-2am","Kapaa, Kauai","HI","(*),(GF),(F),(E),(WC)","Bars","","",1995,"4/25/2023 9:22pm","4-1330 Kuhio Hwy. ,  Kapaa, Kauai ,  HI",-159.3185187,22.0750691,"4-1330 kuhio hwy, kapaʻa, hi 96746, usa","Geocoded"
1526,"Norwich Book & Video","5 Falls Ave.",NA,"887-5058","Norwich","CT","","Erotica","","",1995,"4/25/2023 9:22pm","5 Falls Ave. ,  Norwich ,  CT",-72.0816745,41.524535,"5 falls ave, norwich, ct 06360, usa","Geocoded"
4604,"Why Not Cafe","5 N. Murray St.",NA,"324-9304 8:30pm-1am, til 2:30am Fri-Sat","Springfield","OH","D,(S)","Bars","","",1995,"4/25/2023 9:23pm","5 N. Murray St. ,  Springfield ,  OH",-83.8005152,39.9243756,"5 n murray st, springfield, oh 45503, usa","Geocoded"
3517,"Independence Place","5 S. Henderson St.",NA,"334-2939 9pm-1am, from 7pm Fri-Sat, clsd Sun","Cape Girardeau","MO","(MW),D,(S)","Bars","","",1995,"4/25/2023 9:22pm","5 S. Henderson St. ,  Cape Girardeau ,  MO",-89.534041,37.3046278,"5 s henderson ave, cape girardeau, mo 63703, usa","Geocoded"
3606,"Magnolia's","5 S. Vandeventer",NA,"652-6500 5pm-3am, dinner nightly","St. Louis","MO","(*),(F),(S),(WC)","Bars","","",1995,"4/25/2023 9:22pm","5 S. Vandeventer ,  St. Louis ,  MO",-90.2421163,38.6358874,"5 s vandeventer ave, st. louis, mo 63108, usa","Geocoded"
2975,"Treasure Chest","5 Sanger",NA,"873-7411","Waterville","ME","","Erotica","","",1995,"4/25/2023 9:22pm","5 Sanger ,  Waterville ,  ME",-69.633178,44.5567339,"5 sanger ave, waterville, me 04901, usa","Geocoded"
3226,"Victoria House","5 Standish St.",NA,"487-4455","Provincetown","MA","(MW)","Accommodations","","",1995,"4/25/2023 9:22pm","5 Standish St. ,  Provincetown ,  MA",-70.1859761,42.0525478,"historic district, 5 standish st, provincetown, ma 02657, usa","Geocoded"
3218,"Shiremax Inn","5 Tremont St.",NA,"487-1233","Provincetown","MA","","Accommodations","","",1995,"4/25/2023 9:22pm","5 Tremont St. ,  Provincetown ,  MA",-70.1929061,42.0449344,"historic district, 5 tremont st, provincetown, ma 02657, usa","Geocoded"
4911,"Karla's","5 W. Mechanic St.",NA,"862-2612 lunch, dinner & late night brkfst, full bar","New Hope","PA","(E)","Restaurants & Cafes","","",1995,"4/25/2023 9:23pm","5 W. Mechanic St. ,  New Hope ,  PA",-74.9507655,40.3618176,"5 w mechanic st, new hope, pa 18938, usa","Geocoded"
3204,"Mayflower Apartments & Cottages","6 Bangs St.",NA,"487-1916","Provincetown","MA","(GF)","Accommodations","","",1995,"4/25/2023 9:22pm","6 Bangs St. ,  Provincetown ,  MA",-70.1800227,42.0564658,"historic district, 6 bangs st, provincetown, ma 02657, usa","Geocoded"
6090,"Condado Inn","6 Condado Ave",NA,"Condado 724-7145 guest-house w/ terrace restaurant & lounge, 1/2 blk. to beach","San Juan","PR","(*),(MW)","Accommodations","","",1995,"7/26/2023 12:07pm","6 Condado Ave ,  San Juan ,  PR",-66.0714214,18.456751,"6 condado ave, san juan, 00907, puerto rico","Geocoded"
3166,"Ampersand Guest House","6 Cottage St.",NA,"487-0959","Provincetown","MA","(MW)","Accommodations","","",1995,"4/25/2023 9:22pm","6 Cottage St. ,  Provincetown ,  MA",-70.1930921,42.0440747,"historic district, 6 cottage st, provincetown, ma 02657, usa","Geocoded"
