"Year","status","lat","lon","description","streetaddress","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress","ID"
1998,"General Coordinates Used",33.518589,-86.810357,"328-9228","","Birmingham","AL","","Publications","",NA,NA,NA,NA,"1998-AL-0001"
1998,"General Coordinates Used",33.38376,-87.122124,"(800) 346-5592 gay realtor at your service, no rentals","","Birmingham","AL","","Info Lines & Services","",NA,NA,NA,NA,"1998-AL-0002"
1998,"General Coordinates Used",33.518589,-86.810357,"425-2286/985-5609 business & organization guide","","Birmingham","AL","","Publications","",NA,NA,NA,NA,"1998-AL-0003"
1998,"General Coordinates Used",34.729901,-86.59007,"539-4235 9am-9pm, resource & info line","","Huntsville","AL","","Info Lines & Services","",NA,NA,NA,NA,"1998-AL-0004"
1998,"General Coordinates Used",32.373798,-86.311007,"242-4169/(800) 252-2262","","Montgomery","AL","","Info Lines & Services","",NA,NA,NA,NA,"1998-AL-0005"
1998,"General Coordinates Used",32.292786,-86.252829,"514-1822 transgender info line, contact Christine Marshall","","Montgomery","AL","","Info Lines & Services","",NA,NA,NA,NA,"1998-AL-0006"
1998,"Found",33.214516,-87.545433,"UA Ferguson Student Center, 3rd flr. 348-7210 self-help/rap groups","","Tuscaloosa","AL","","Info Lines & Services","",NA,NA,NA,NA,"1998-AL-0007"
1998,"General Coordinates Used",61.217576,-149.899678,"563-MEET Meet hot local guys! Record, listen, respond to free ads. Use free code 9966.","","Anchorage","AK","","Men's Services","",NA,NA,NA,NA,"1998-AK-0008"
1998,"General Coordinates Used",61.217576,-149.899678,"258-4777 6pm-11pm","","Anchorage","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0009"
1998,"Found",61.214906,-149.899314,"561-7737 alternative paper, arts & entertainment listings","","Anchorage","AK","","Publications","",NA,NA,NA,NA,"1998-AK-0010"
1998,"General Coordinates Used",61.199372,-149.918675,"Business Blvd (next to Safeway), Eagle River 694-8600 Mexican","","Anchorage","AK","","Restaurants","",NA,NA,NA,NA,"1998-AK-0011"
1998,"General Coordinates Used",61.218923,-149.850373,"258-4777 also sponsors Fourth Fri Potluck &
Anchorage Gay/Lesbian Helpline","","Anchorage","AK","","Publications","",NA,NA,NA,NA,"1998-AK-0012"
1998,"General Coordinates Used",64.840051,-147.719976,"389-2582/457-0246 full brkfst, private/shared baths log
home above Chatanika River ’ 6","","Fairbanks","AK","(MW)","Accommodations","",NA,NA,NA,NA,"1998-AK-0013"
1998,"General Coordinates Used",64.840051,-147.719976,"451-6501 kitchens, shared baths ","","Fairbanks","AK","(M)","Accommodations","",NA,NA,NA,NA,"1998-AK-0014"
1998,"General Coordinates Used",64.840051,-147.719976,"458-8288 8pm-1 Opm Tue & Th","","Fairbanks","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0015"
1998,"Found",64.842375,-147.720491,"Alaskaland 456-5960 7pm-10pm, til 3am Fri-Sat
(seasonal), gay after 11pm Fri-Sat only","","Fairbanks","AK","(GF),(D),(S)","Bars & Nightclubs","",NA,NA,NA,NA,"1998-AK-0016"
1998,"General Coordinates Used",59.648086,-151.529924,"235-2265 full brkfst, kitchens","","Homer","AK","(GF),(NS),(WC)","Accommodations","",NA,NA,NA,NA,"1998-AK-0017"
1998,"General Coordinates Used",58.300493,-134.420131,"465-2010 ask for vacation planner ","","Juneau","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0018"
1998,"General Coordinates Used",58.300493,-134.420131,"586-4297","","Juneau","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0019"
1998,"Found",55.342971,-131.649866,"225-1258/(800) 287-1607 also kayak tours","","Ketchikan","AK","(GF)","Accommodations","",NA,NA,NA,NA,"1998-AK-0020"
1998,"Found",34.747235,-92.290914,"One Capitol Mall, 72201(800) 628-8725","","Little Rock","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0021"
1998,"General Coordinates Used",34.744462,-92.288016,"(800) 346-5592 gay realtor at your service, no rentals","","Little Rock","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0022"
1998,"General Coordinates Used",34.744462,-92.288016,"375-5504/(800) 448-8305 (in AR) 6:30pm-10:30pm, statewide crisis line & referrals","","Little Rock","AK","","Info Lines & Services","",NA,NA,NA,NA,"1998-AK-0023"
1998,"General Coordinates Used",34.744462,-92.288016,"(314) 664-6411/(800)301-5468 some AR coverage","","Little Rock","AK","","Publications","",NA,NA,NA,NA,"1998-AK-0024"
1998,"General Coordinates Used",34.744462,-92.288016,"568-4606","","Little Rock","AK","","Publications","",NA,NA,NA,NA,"1998-AK-0025"
1998,"Found",60.102145,-149.440887,"224-8946","","Seward","AK","(GF)","Accommodations","",NA,NA,NA,NA,"1998-AK-0026"
1998,"General Coordinates Used",35.198284,-111.651302," (800) 346-5592 gay realtor at your service, no rentals","","Flagstaff","AZ","","Info Lines & Services","",NA,NA,NA,NA,"1998-AZ-0027"
1998,"Found",34.748422,-112.110041,"634-0701 ","","Jerome","AZ","(GF)","Accommodations","",NA,NA,NA,NA,"1998-AZ-0028"
1998,"General Coordinates Used",33.448377,-112.074037,"230-7733/(800) 842-8257","","Phoenix","AZ","","Info Lines & Services","",NA,NA,NA,NA,"1998-AZ-0029"
1998,"General Coordinates Used",33.538652,-112.185987,"561-1200/(800) 266-7829 hot tub","","Phoenix","AZ","(MW),(TA)","Accommodations","",NA,NA,NA,NA,"1998-AZ-0030"
