"title","streetaddress","unclear_address","description","city","state","amenityfeatures","type","Year","full.address","lon","lat","geoAddress","status","notes","ID"
"Lagarde Park","","checked","","Anniston","AL","Cruisy Area","Cruisy Areas",1993,", AL",-85.823936,33.692729,"unclear_coded_by_hand","Found",NA,"1993-AL-0001"
"Noble St. btwn. 8th & 16th","","checked","","Anniston","AL","Cruisy Area","Cruisy Areas",1993,", AL",-85.829655,33.658482,"unclear_coded_by_hand","Found",NA,"1993-AL-0002"
"Haley Center Library & Sandford Park nr. Langton","","checked","","Auburn","AL","Cruisy Area","Cruisy Areas",1993,", AL",-85.486793,32.603395,"unclear_coded_by_hand","Found",NA,"1993-AL-0003"
"Autaugaville Rec. Park","","checked","(AYOR)","Autaugaville","AL","Cruisy Area,(AYOR)","Cruisy Areas",1993,", AL",-86.654702,32.434025,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0004"
"AA Gay/Lesbian","","checked","(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun","Birmingham","AL","","Info Lines & Services",1993,", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0005"
"Barnes Memorial Library","","checked","(at Lambda Resource Center) gay/lesbian library","Birmingham","AL","","Info Lines & Services",1993,", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0006"
"Gay Information Line","","checked","326-8600, 6pm-10pm, from 1pm Sat & Sun","Birmingham","AL","","Info Lines & Services",1993,", AL",-87.122124,33.38376,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0007"
"Lambda Resource Center","516 27th St.",NA,"326-8600, 7pm-10pm Th-Sat, drop-in coffeehouse, mtgs other nights","Birmingham","AL","","Info Lines & Services",1993,"516 27th St. ,  Birmingham ,  AL",-86.7916422,33.5119773,"516 27th st s, birmingham, al 35233, usa","Geocoded",NA,"1993-AL-0008"
"Club 21","117 1/2 21st St.",NA,"322-0469 9pm-4am Th-Sat.","Birmingham","AL","(MX),(S),(D),(B)","Bars",1993,"117 1/2 21st St. ,  Birmingham ,  AL",-86.683744,33.6403088,"1 21st ave nw #117, center point, al 35215, usa","Geocoded",NA,"1993-AL-0009"
"Eunice Crabtree's/Mabel's","3201 3rd Ave. S.",NA,"254-9400 noon-4am","Birmingham","AL","(CW),(D),(PC),(S)","Bars",1993,"3201 3rd Ave. S. ,  Birmingham ,  AL",-86.7857619,33.5177386,"3201 3rd ave s, birmingham, al 35222, usa","Geocoded",NA,"1993-AL-0010"
"Gizmo Lounge","3719 3rd Ave. S.",NA,"24hrs","Birmingham","AL","(D),(S)","Bars",1993,"3719 3rd Ave. S. ,  Birmingham ,  AL",-86.7783676,33.5212047,"3719 3rd ave s, birmingham, al 35222, usa","Geocoded",NA,"1993-AL-0011"
"Quest","416 24th St. S.",NA,"351-4313 open 24hrs, patio","Birmingham","AL","(CW)","Bars",1993,"416 24th St. S. ,  Birmingham ,  AL",-86.7962584,33.5108515,"416 24th st s, birmingham, al 35233, usa","Geocoded",NA,"1993-AL-0012"
"Rage, The","620 29th St. S.",NA,"323-7243 3pm-?, two bars & patio","Birmingham","AL","(YC),(PC),(E)","Bars",1993,"620 29th St. S. ,  Birmingham ,  AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded",NA,"1993-AL-0013"
"Steak 'n Egg Kitchen","1717 10th Ave. S.",NA,"933-9822 24hrs","Birmingham","AL","(MX),(AH)","Restaurants & Cafes",1993,"1717 10th Ave. S. ,  Birmingham ,  AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded",NA,"1993-AL-0014"
"Lodestar Books","2020 11th Ave. S.",NA,"939-3356, 10am-6pm, 1pm-5pm Sun","Birmingham","AL","","Bookstores/Retail Shops",1993,"2020 11th Ave. S. ,  Birmingham ,  AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded",NA,"1993-AL-0015"
"Men's Night","","checked","(at Lambda Resource Center) 2nd Mon 7pm","Birmingham","AL","","Men's Services",1993,", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0016"
"BCC (Birmingham Community Church)","","checked","(at Lambda Resource Center) 326-8600, 11am Sun","Birmingham","AL","","Religious Organizations",1993,", AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0017"
"Covenant MCC","2630 6th Ave. S.",NA,"326-8529, 11am & 7pm Sun","Birmingham","AL","","Religious Organizations",1993,"2630 6th Ave. S. ,  Birmingham ,  AL",-86.7913675,33.5117079,"2630 6th ave s, birmingham, al 35233, usa","Geocoded",NA,"1993-AL-0018"
"Alabama Forum","Box 55894, 35255","checked","326-8600 monthly","Birmingham","AL","","Publications",1993,"Box 55894, 35255, AL",-86.810357,33.518589,"unclear_coded_by_hand","General Coordinates Used",NA,"1993-AL-0019"
"Alabama Adult Books","901 5th Ave. N.",NA,"322-7323, 24hrs","Birmingham","AL","","Erotica",1993,"901 5th Ave. N. ,  Birmingham ,  AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa","Geocoded",NA,"1993-AL-0020"
"Birmingham Adult Books","7610 1st Ave. N.",NA,"836-1580 24hrs","Birmingham","AL","","Erotica",1993,"7610 1st Ave. N. ,  Birmingham ,  AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded",NA,"1993-AL-0021"
"Downtown Bookstore, The","2731 8th Ave. N.",NA,"328-5525","Birmingham","AL","","Erotica",1993,"2731 8th Ave. N. ,  Birmingham ,  AL",-86.7995431,33.5264678,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa","Geocoded",NA,"1993-AL-0022"
