ID,title,description,streetaddress,type,amenityfeatures,city,state,Year,unclearaddress,uncleartype,notes,lastmodified,full.address,lat,lon,geoAddress,status
5116,'B.A.' Beach,nr. Evergreen Floating Bridge,,Cruising Areas,Cruisy Area,Seattle,WA,1983,checked,NA,,6/9/2022 1:48pm,", WA",47.60621,-122.332071,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
780,'B.A.' Beach,"on Russian River, at Wohler Bridge",,Cruising Areas,Cruisy Area,Russian River,CA,1983,checked,NA,,2/23/2022 3:06pm,", CA",38.911632,-123.011048,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
3810,'B.A.' Beach,2 mi. E.,Rte. 2,Cruising Areas,Cruisy Area,Troy,NY,1983,checked,NA,,6/1/2022 9:21am,"Rte. 2, NY",42.728412,-73.691785,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4979,'B.A.' Beach,nr. Salt Air Beach,,Cruising Areas,Cruisy Area,Salt Lake City,UT,1983,checked,NA,,6/8/2022 3:10pm,", UT",40.747813,-112.187268,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2823,'B.A.' beach,,N . Truro,Cruising Areas,Cruisy Area,Provincetown,MA,1983,checked,NA,,5/19/2022 1:37pm,"N . Truro, MA",42.064946,-70.111248,unclear_coded_by_hand,Verified Location
1196,'B' Street,(Disco),236 S. 'B' St.,Bars/Clubs,(D),San Mateo,CA,1983,,,,12/5/2021 11:00am,"236 S. 'B' St., San Mateo, CA",37.5657665,-122.3231079,"236 s b st, san mateo, ca 94401, usa",Google Verified Location
1493,'Black Forest',walking area under bridge,27th & Pennsylvania N.W.,Cruising Areas,"Cruisy Area,(AYOR)",Washington,DC,1983,checked,NA,,3/15/2022 5:38am,"27th & Pennsylvania N.W., DC",38.907192,-77.036871,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
1864,'Bus Stop',at Pine & Jefferson,,Cruising Areas,Cruisy Area,Albany,GA,1983,checked,NA,,4/30/2022 7:47am,", GA",31.578466,-84.155978,unclear_coded_by_hand,Verified Location
3473,'bushes',"anywhere and everypleace from the time you get on the ferry, but especially the W. end of tyhe boardwalk at The Pines, and the 'Meat Rack' & 'bushes' betw. Cherry Grove & The Pines. Seasonal flights are offered by Pellham Airlines, E. 23rd St. Marina, N.Y.C.",,Cruising Areas,Cruisy Area,Fire Island,NY,1983,checked,NA,,5/30/2022 12:41pm,", NY",40.6476,-73.145947,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
73,'C' Street,4th Ave.,,Cruising Areas,Cruisy Area,Anchorage,AK,1983,checked,NA,,2/8/2022 4:10am,", AK",61.218923,-149.850373,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
4078,'Cruising the Levee',Take Dixie Dr. or Riverside to Helena. The Levee overlooks Island Park,,Cruising Areas,"Cruisy Area,(AYOR),(*)",Dayton,OH,1983,checked,NA,,6/2/2022 3:51pm,", OH",39.758948,-84.191607,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
711,'Cruisy jacuzzi' sauna & bushes at Desert Palms,(Late),,Cruising Areas,"Cruisy Area,(*)",Palm Springs,CA,1983,checked,NA,,4/27/2022 5:52pm,", CA",33.894667,-116.615475,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
2988,'Dog Run',Clarkston,,Cruising Areas,"Cruisy Area,(AYOR)",Pontiac,MI,1983,checked,NA,,5/23/2022 7:47am,", MI",42.73512,-83.419294,unclear_coded_by_hand,Location could not be verified. General city or location coordinates used.
861,'F' St. Bookstore,,2004 University,Book Store,(*),San Diego,CA,1983,,,,12/5/2021 11:00am,"2004 University, San Diego, CA",32.715738,-117.1610838,"san diego, ca, usa",Google Verified Location
860,'F' St. Bookstore,,4th & 'F',Book Store,(*),San Diego,CA,1983,checked,NA,,2/28/2022 3:50am,"4th & 'F', CA",32.748618,-117.143424,unclear_coded_by_hand,Verified Location
