"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","uncleartype","notes","lastmodified","full.address","lon","lat","geoAddress","status"
"4219","The Coach","(Some W,SM)(sunday brunch)(Disco in back)","250 W. Market St.","Akron","OH","(W),(SM),(*)","Bars/Clubs,Restaurant",NA,1985,"","","12/5/2021 12:17pm","250 W. Market St., Akron, OH",-81.525609,41.089105,"250 w market st, akron, oh 44303, usa","Geocoded"
"1967","Flutters","(Disco)","1316 S. Westover","Albany","GA","(YC),(D),(S),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","1316 S. Westover, Albany, GA",-84.2235385,31.5436244,"1316 s westover blvd, albany, ga 31721, usa","Geocoded"
"1968","Gerrie's Lounge","","166 S. Harding","Albany","GA","","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","166 S. Harding, Albany, GA",-84.1703281,31.5752559,"166 s harding st, albany, ga 31701, usa","Geocoded"
"3711","Central Arms","(Best Late)","75 Central Ave.","Albany","NY","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","75 Central Ave., Albany, NY",-73.7657929,42.6591558,"75 central ave, albany, ny 12206, usa","Geocoded"
"3712","Clyde's","(Patio)","108 Central Ave.","Albany","NY","(E)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","108 Central Ave., Albany, NY",-73.7672935,42.6598532,"108 central ave, albany, ny 12206, usa","Geocoded"
"3714","Eightballs Lounge","(Disco)(Wed. & WE*)","369 Central Ave.","Albany","NY","(YC),(D),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","369 Central Ave., Albany, NY",-73.7739629,42.6664037,"369 central ave, albany, ny 12206, usa","Geocoded"
"3715","Gay Community Center","(Snacks & C) (518)462-6138","332 Hudson Ave.","Albany","NY","(C)","Community Center/Support Groups",NA,1985,"","","1/7/2022 12:17pm","332 Hudson Ave., Albany, NY",-73.7655861,42.6532207,"332 hudson ave, albany, ny 12210, usa","Geocoded"
"3716","Last Straw","(No booze)","92 Central Ave.","Albany","NY","(PT),(AH),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","92 Central Ave., Albany, NY",-73.7668041,42.6594143,"92 central ave, albany, ny 12206, usa","Geocoded"
"3718","Playhouse","(Cruisy)(Some W,SM)(Disco)(WE*)","519 Central Ave.","Albany","NY","(W),(SM),(OC),(D),(WE),(*)","Bars/Clubs,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","519 Central Ave., Albany, NY",-73.7781454,42.6701391,"519 central ave, albany, ny 12206, usa","Geocoded"
"3719","Puttin on the Ritz","","8 Central Ave.","Albany","NY","(M),(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","8 Central Ave., Albany, NY",-73.7635292,42.657216,"8 central ave, albany, ny 12210, usa","Geocoded"
"3720","Secrets","(Upstairs from Waterworks)","76 Central Ave.","Albany","NY","(L),(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","76 Central Ave., Albany, NY",-73.7664709,42.6590586,"76 central ave, albany, ny 12206, usa","Geocoded"
"3722","Waterworks Pub","(Some W,YC)","76 Central Ave.","Albany","NY","(W),(YC),(PT),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","76 Central Ave., Albany, NY",-73.7664709,42.6590586,"76 central ave, albany, ny 12206, usa","Geocoded"
"3680","Albuquerque Social Club","(So what)","4021 Central Ave. N.E.","Albuquerque","NM","(P)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","4021 Central Ave. N.E., Albuquerque, NM",-106.5989274,35.0793714,"4021 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3679","Adam's Den","(Unisex)(Disco)","4418 Central Ave. N.E.","Albuquerque","NM","(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","4418 Central Ave. N.E., Albuquerque, NM",-106.6057974,35.0798915,"4418 central ave ne, albuquerque, nm 87106, usa","Geocoded"
"3683","8300 Block","(Baths)","8307 Central Ave.","Albuquerque","NM","(*)","Bathhouses",NA,1985,"","","12/5/2021 12:17pm","8307 Central Ave., Albuquerque, NM",-106.5544396,35.0745869,"8307 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3681","Cap's","","5801 Central Ave. N.E.","Albuquerque","NM","(M),(R),(C),(AH)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","5801 Central Ave. N.E., Albuquerque, NM",-106.5816566,35.0775191,"5801 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3682","Cricket's","(L only) (Sleazy)","5511 Central Ave. N.W.","Albuquerque","NM","(L),(PT)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","5511 Central Ave. N.W., Albuquerque, NM",-106.7003143,35.0825567,"5511 central ave nw, albuquerque, nm 87105, usa","Geocoded"
"3686","Integrity","(Church)","601 Montana Rd. N.W.","Albuquerque","NM","","Religious Institution",NA,1985,"","","12/5/2021 12:17pm","601 Montana Rd. N.W., Albuquerque, NM",-106.6522033,35.0955426,"601 mountain rd nw, albuquerque, nm 87102, usa","Geocoded"
"3684","Erotique Book Store","","4012 Central Ave.","Albuquerque","NM","","Book Store",NA,1985,"","","12/5/2021 12:17pm","4012 Central Ave., Albuquerque, NM",-106.599315,35.0789543,"4012 central ave se, albuquerque, nm 87108, usa","Geocoded"
"3685","Foxe's","(Some W,YC)(Disco)(Open days)(Tops)","8521 Central Ave. N.E.","Albuquerque","NM","(*),(W),(YC),(D),(PT)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","8521 Central Ave. N.E., Albuquerque, NM",-106.5518372,35.0743528,"8521 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3688","M.C.C.","","116 Morningside Dr. N.E.","Albuquerque","NM","(MCC)","Religious Institution",NA,1985,"","","12/5/2021 12:17pm","116 Morningside Dr. N.E., Albuquerque, NM",-106.5996825,35.0798645,"116 morningside dr ne, albuquerque, nm 87108, usa","Geocoded"
"3689","Nines","(Disco)","7209 Central Ave. N.E.","Albuquerque","NM","(YC),(D),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","7209 Central Ave. N.E., Albuquerque, NM",-106.5666477,35.0759401,"7209 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3690","Pleasure Palace","(Books)","5205 Menaul N.E.","Albuquerque","NM","","Book Store",NA,1985,"","","12/5/2021 12:17pm","5205 Menaul N.E., Albuquerque, NM",-106.5860997,35.1094435,"5205 menaul blvd ne, albuquerque, nm 87110, usa","Geocoded"
"3687","Madame Lovejoy's","(Books-Cruisy arcade)","4217 Central Ave. N.E.","Albuquerque","NM","","Book Store,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","4217 Central Ave. N.E., Albuquerque, NM",-106.5967446,35.0791649,"4217 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3692","Pussycat II","(Books)","7907 Central Ave. N.E.","Albuquerque","NM","(M)","Book Store",NA,1985,"","","12/5/2021 12:17pm","7907 Central Ave. N.E., Albuquerque, NM",-106.5587616,35.0753146,"7907 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"3693","Rusti Cork","(Just N. of I-40)","2428 San Mateo Pl.","Albuquerque","NM","(P),(L),(D)","Bars/Clubs",NA,1985,"","","1/31/2022 5:10am","2428 San Mateo Pl., Albuquerque, NM",-106.5859615,35.1068713,"2428 san mateo pl ne, albuquerque, nm 87110, usa","Geocoded"
"3691","Pussycat I","(Books)","4207 Central Ave. N.E.","Albuquerque","NM","(M)","Book Store",NA,1985,"","","12/5/2021 12:17pm","4207 Central Ave. N.E., Albuquerque, NM",-106.5971025,35.0791551,"4207 central ave ne, albuquerque, nm 87108, usa","Geocoded"
"2598","Silly Sally's","(Unisex)(Disco)","924 Jackson","Alexandria","LA","(P),(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","924 Jackson, Alexandria, LA",-92.4498133,31.3092299,"924 jackson st, alexandria, la 71301, usa","Geocoded"
"2599","Union Station","(Some YC,W)(Disco)","817 10th St.","Alexandria","LA","(YC),(W),(D),(PT),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","817 10th St., Alexandria, LA",-92.449726,31.3083498,"817 10th st, alexandria, la 71301, usa","Geocoded"
"4565","Candida","(Snacks)(Some L)(Open Sun.)","247 N. 12th St.","Allentown","PA","(L)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","247 N. 12th St., Allentown, PA",-75.4835132,40.6036155,"247 n 12th st, allentown, pa 18102, usa","Geocoded"
"4566","Rosemary's","(Some L)","2327 Hanover Ave.","Allentown","PA","(L)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","2327 Hanover Ave., Allentown, PA",-75.4206698,40.62409,"2327 hanover ave, allentown, pa 18109, usa","Geocoded"
"4567","Stonewall","(Disco)","28-30 N. 10th St.","Allentown","PA","(YC),(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","28-30 N. 10th St., Allentown, PA",-75.4786136,40.601348,"28 n 10th st #30, allentown, pa 18101, usa","Geocoded"
"4570","Cara Villa","(Many L)","201 E. 6th Ave.","Altoona","PA","(L),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","201 E. 6th Ave., Altoona, PA",-78.3859514,40.5238511,"201 e 6th ave, altoona, pa 16602, usa","Geocoded"
"4571","La Pierre Hotel & Bar","(Disco) (at 6th)","2523 Union Ave.","Altoona","PA","(D),(*)","Bars/Clubs,Hotel",NA,1985,"","","2/1/2022 4:31am","2523 Union Ave., Altoona, PA",-78.4062956,40.500535,"2523 union ave, altoona, pa 16602, usa","Geocoded"
"4961","Flick Adult Theatre","","2202 W. 6th","Amarillo","TX","(M),(YC)","Theatre",NA,1985,"","","12/5/2021 12:17pm","2202 W. 6th, Amarillo, TX",-101.8616179,35.211214,"2202 6th ave, amarillo, tx 79106, usa","Geocoded"
"4963","Maggie's","(Some L)(Disco)(WE*)(Liquor)","1515 S. Harrison","Amarillo","TX","(L),(D),(PT),(S),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","1515 S. Harrison, Amarillo, TX",-101.8411098,35.1981341,"1515 s harrison st, amarillo, tx 79101, usa","Geocoded"
"4964","Papillon","(Disco)","401 Taylor","Amarillo","TX","(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","401 Taylor, Amarillo, TX",-101.8350317,35.2093649,"401 taylor st, amarillo, tx 79101, usa","Geocoded"
"4962","Grand St. Adult Theatre & Bookstore","(Some M,W,YC)(Glory Holes)","903 S. Grand","Amarillo","TX","(M),(W),(YC)","Theatre,Book Store",NA,1985,"","","12/5/2021 12:17pm","903 S. Grand, Amarillo, TX",-101.7949786,35.2017233,"903 s grand st, amarillo, tx 79104, usa","Geocoded"
"3727","Club Buffalo Baths","","44 Alameda","Amherst","NY","","Bathhouses",NA,1985,"","","12/5/2021 12:17pm","44 Alameda, Amherst, NY",-78.7922335,42.9754691,"amherst, ny, usa","Geocoded"
"75","D Street Book Mart","(Cruisy)","419 'D' St.","Anchorage","AK","","Book Store,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","419 'D' St., Anchorage, AK",-149.8894184,61.2180588,"419 d st, anchorage, ak 99501, usa","Geocoded"
"74","Anchorage Books","(Cruisy)","477 'C' St.","Anchorage","AK","","Book Store,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","477 'C' St., Anchorage, AK",-149.886957,61.2176963,"477 c st, anchorage, ak 99501, usa","Geocoded"
"77","Jade Room","(2 floors)","701 'I' St.","Anchorage","AK","(D),(PT),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","701 'I' St., Anchorage, AK",-149.899603,61.2155855,"701 i st, anchorage, ak 99501, usa","Geocoded"
"78","M.C.C","","602 W. 10th Ave.","Anchorage","AK","(MCC)","Religious Institution",NA,1985,"checked","","12/5/2021 12:17pm","602 W. 10th Ave., Anchorage, AK",-149.8937712,61.2123448,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
"80","The Village","(Disco) (Some L)","225 E. 5th Ave.","Anchorage","AK","(YC),(D),(L),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
"3095","Franks","(Good for breakfast & lunch)","334 Maynard","Ann Arbor","MI","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","334 Maynard, Ann Arbor, MI",-83.742325,42.2782594,"334 maynard st, ann arbor, mi 48104, usa","Geocoded"
"3098","Rubaiyat","(Disco)","102 S. 1st","Ann Arbor","MI","(D),(YC),(M)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","102 S. 1st, Ann Arbor, MI",-83.7512458,42.2813251,"102 s 1st st, ann arbor, mi 48104, usa","Geocoded"
"3097","M.C.C.","","1679 Broadway","Ann Arbor","MI","(MCC)","Religious Institution",NA,1985,"","","12/5/2021 12:17pm","1679 Broadway, Ann Arbor, MI",-83.7268454,42.2964825,"1679 broadway st, ann arbor, mi 48105, usa","Geocoded"
"3255","Vapors Steam Baths","(Cl. 11pm)(Nude sunbathing)(WE*)","1864 Bunker Lake Dr. N.W.","Anoka","MN","(WE),(*)","Bathhouses",NA,1985,"","","12/5/2021 12:17pm","1864 Bunker Lake Dr. N.W., Anoka, MN",-93.3871758,45.1977428,"anoka, mn, usa","Geocoded"
"5600","Perkins","","2505 College Ave.","Appleton","WI","(M),(R),(C),(AH)","Restaurant",NA,1985,"","","12/10/2021 7:16pm","2505 College Ave., Appleton, WI",-88.4460284,44.2611146,"2505 w college ave, appleton, wi 54914, usa","Geocoded"
"5599","1101 West","(Disco)(Some L)","1101 W. Wisconsin Ave.","Appleton","WI","(D),(L),(PT),(*)","Bars/Clubs",NA,1985,"","","12/10/2021 7:16pm","1101 W. Wisconsin Ave., Appleton, WI",-88.4226292,44.2728309,"1101 w wisconsin ave, appleton, wi 54914, usa","Geocoded"
"4974","Tarant County Mining Co.","","735 N. Collins","Arlington","TX","(R),(PT),(*)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","735 N. Collins, Arlington, TX",-97.0973518,32.7454502,"735 n collins st, arlington, tx 76011, usa","Geocoded"
"4972","651 Arlington","","1851 W. Division","Arlington","TX","(*),(C&W),(D),(PT)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","1851 W. Division, Arlington, TX",-97.1376413,32.7360816,"1851 w division st, arlington, tx 76012, usa","Geocoded"
"3591","Blue Note","","707 Bangs Ave.","Asbury Park","NJ","(OC),(E),(PT),(WE),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","707 Bangs Ave., Asbury Park, NJ",-74.0118049,40.2174449,"707 bangs ave, asbury park, nj 07712, usa","Geocoded"
"3590","Archie's","(Cruisy late afternoons with beach crowd)(Patio)","312 Cookman Ave.","Asbury Park","NJ","","Bars/Clubs,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","312 Cookman Ave., Asbury Park, NJ",-74.0063926,40.2175576,"312 cookman ave, asbury park, nj 07712, usa","Geocoded"
"3592","Boots","","224 Cookman Ave.","Asbury Park","NJ","(SM),(W),(D),(PT),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","224 Cookman Ave., Asbury Park, NJ",-74.002974,40.2182752,"224 cookman ave, asbury park, nj 07712, usa","Geocoded"
"3593","Cookman Plaza Hotel","","401 Cookman Ave.","Asbury Park","NJ","","Hotel",NA,1985,"","","12/5/2021 12:17pm","401 Cookman Ave., Asbury Park, NJ",-74.0069478,40.217521,"401 cookman ave, asbury park, nj 07712, usa","Geocoded"
"3596","Gardner Hotel","","321 Seawall","Asbury Park","NJ","(M),(H)","Hotel",NA,1985,"","","12/5/2021 12:17pm","321 Seawall, Asbury Park, NJ",-74.0120817,40.2203907,"asbury park, nj 07712, usa","Geocoded"
"3595","Flo's Luncheonette","(Magazines, bus tickets)","400 Cookman Ave.","Asbury Park","NJ","(R),(M)","Restaurant,Book Store",NA,1985,"","","1/7/2022 12:00pm","400 Cookman Ave., Asbury Park, NJ",-74.0072208,40.2169449,"400 cookman ave, asbury park, nj 07712, usa","Geocoded"
"3598","Odyssey","(Disco)(The bar!)","427 Cookman Ave.","Asbury Park","NJ","(D),(E),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","427 Cookman Ave., Asbury Park, NJ",-74.0113783,40.2160017,"427 cookman ave, asbury park, nj 07712, usa","Geocoded"
"3600","Rascals","(Some YC,M,B) (Disco)(L- 3rd floor WE) (just off Cookman)","611 Heck St.","Asbury Park","NJ","(YC),(M),(B),(D),(L),(WE)","Bars/Clubs",NA,1985,"","","1/31/2022 4:59am","611 Heck St., Asbury Park, NJ",-74.0062758,40.2175794,"611 heck st, asbury park, nj 07712, usa","Geocoded"
"3597","Key West Motel","","109 2nd Ave.","Asbury Park","NJ","(M),(L)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","109 2nd Ave., Asbury Park, NJ",-74.001021,40.220874,"109 2nd ave, asbury park, nj 07712, usa","Geocoded"
"3599","Owl & Pussycat","Key West Motel","109 2nd Ave.","Asbury Park","NJ","(L),(E),(WE),(*)","Bars/Clubs",NA,1985,"","","1/31/2022 12:24pm","109 2nd Ave., Asbury Park, NJ",-74.001021,40.220874,"109 2nd ave, asbury park, nj 07712, usa","Geocoded"
"4097","Craig's","(Disco)","46 Wall St.","Asheville","NC","(P),(YC),(D),(*)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","46 Wall St., Asheville, NC",-82.5559625,35.5943967,"46 wall st, asheville, nc 28801, usa","Geocoded"
"4096","Cockatoo","(Disco)","45 Cherry St.","Asheville","NC","(P),(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","45 Cherry St., Asheville, NC",-82.556627,35.5991209,"45 cherry st n, asheville, nc 28804, usa","Geocoded"
"4099","O'Henry's","","59 Hayward St.","Asheville","NC","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","59 Hayward St., Asheville, NC",-82.5549094,35.5963644,"59 haywood st, asheville, nc 28801, usa","Geocoded"
"4100","Piccolo Mendo","","23 Page Ave.","Asheville","NC","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","23 Page Ave., Asheville, NC",-82.5561845,35.5959384,"23 page ave, asheville, nc 28801, usa","Geocoded"
"4098","Howard Johnson's","","190 Hendersonville Rd.","Asheville","NC","(M),(R),(C),(AH)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","190 Hendersonville Rd., Asheville, NC",-82.5408615,35.5636018,"190 hendersonville rd, asheville, nc 28803, usa","Geocoded"
"4476","Cook's Tavern","(Disco)","66 E. Main","Ashland","OR","(M),(D)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","66 E. Main, Ashland, OR",-122.714412,42.1966821,"66 e main st, ashland, or 97520, usa","Geocoded"
"1970","Barnett's Book Store","","147 College Ave.","Athens","GA","(M)","Book Store",NA,1985,"","","12/5/2021 12:17pm","147 College Ave., Athens, GA",-83.3756502,33.9580449,"147 college ave, athens, ga 30601, usa","Geocoded"
"1972","Hobbit Habit","(Books)","146 E. Clayton","Athens","GA","","Book Store",NA,1985,"","","12/5/2021 12:17pm","146 E. Clayton, Athens, GA",-83.3764045,33.9581495,"146 e clayton st, athens, ga 30601, usa","Geocoded"
"4224","Graduate","","24 W. Union","Athens","OH","(M)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","24 W. Union, Athens, OH",-82.1023336,39.3276975,"24 w union st, athens, oh 45701, usa","Geocoded"
"1981","Arney's","","2345 Cheshire Bridge Rd.","Atlanta","GA","(D),(L)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","2345 Cheshire Bridge Rd., Atlanta, GA",-84.3503435,33.8191337,"2345 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"1986","Books'n'Gifts","","134 Baker","Atlanta","GA","","Book Store",NA,1985,"","","12/5/2021 12:17pm","134 Baker, Atlanta, GA",-84.3919429,33.762287,"134 baker st nw, atlanta, ga 30313, usa","Geocoded"
"1985","Books'n'Gifts","","73 Walton St.","Atlanta","GA","","Book Store",NA,1985,"","","12/5/2021 12:17pm","73 Walton St., Atlanta, GA",-84.3907626,33.7563803,"73 walton st nw, atlanta, ga 30303, usa","Geocoded"
"1988","Bulldog & Co","(Cruisy)(Enter thru rear parking lot)","893 Peachtree St. N.E.","Atlanta","GA","(W),(SM),(FFA)","Bars/Clubs,Cruising Areas",NA,1985,"","","12/5/2021 12:17pm","893 Peachtree St. N.E., Atlanta, GA",-84.3839993,33.779027,"893 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"1987","Books'n'Gifts","","2150 Stewart Ave.","Atlanta","GA","","Book Store",NA,1985,"","","12/5/2021 12:17pm","2150 Stewart Ave., Atlanta, GA",-84.4086582,33.7406045,"metropolitan pkwy sw, atlanta, ga 30310, usa","Geocoded"
"1990","Club Baths of Atlanta","","76 4th St. N.W.","Atlanta","GA","(*)","Bathhouses",NA,1985,"","","12/5/2021 12:17pm","76 4th St. N.W., Atlanta, GA",-84.3897265,33.7748718,"76 4th st nw, atlanta, ga 30308, usa","Geocoded"
"1989","Christopher's Kind","(Books)","70 13th St. N.E.","Atlanta","GA","(*)","Book Store",NA,1985,"","","12/5/2021 12:17pm","70 13th St. N.E., Atlanta, GA",-84.3852354,33.7856295,"70 13th st ne, atlanta, ga 30309, usa","Geocoded"
"1991","Club Body Center","(Health Club)","549 Amsterdam Ave. N.E.","Atlanta","GA","(*)","Gym",NA,1985,"","","1/7/2022 11:58am","549 Amsterdam Ave. N.E., Atlanta, GA",-84.3691861,33.7879564,"549 amsterdam ave ne, atlanta, ga 30306, usa","Geocoded"
"1993","Cove","(Open Sun.)(Cruisy AH*)(Disco)","586 Worchester Dr. N.E.","Atlanta","GA","(R),(PT),(AH),(*)","Restaurant,Cruising Areas,Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","586 Worchester Dr. N.E., Atlanta, GA",-84.368002,33.79113,"586 worchester dr ne, atlanta, ga 30306, usa","Geocoded"
"1995","Crazy Rays","(Sun. brunch) (Ansley Square)","1492-B Piedmont","Atlanta","GA","(*)","Restaurant",NA,1985,"","","1/26/2022 1:45pm","1492-B Piedmont, Atlanta, GA",-84.370409,33.8021855,"1492 piedmont way ne b, atlanta, ga 30324, usa","Geocoded"
"2001","Festival Lounge","","142 Spring St.","Atlanta","GA","(B),(E)","Bars/Clubs",NA,1985,"","","12/5/2021 12:17pm","142 Spring St., Atlanta, GA",-84.3913157,33.7645276,"142 spring st nw, atlanta, ga 30313, usa","Geocoded"
"1999","Dusty's","","1815 Briar Cliff Rd.","Atlanta","GA","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","1815 Briar Cliff Rd., Atlanta, GA",-84.3359842,33.8056706,"1815 briarcliff rd ne, atlanta, ga 30329, usa","Geocoded"
"1998","Dunk & Dine","(Open late)","2305 Cheshire Bridge Rd.","Atlanta","GA","(M),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","2305 Cheshire Bridge Rd., Atlanta, GA",-84.3516172,33.8179715,"2305 cheshire bridge rd ne, atlanta, ga 30324, usa","Geocoded"
"2004","Gallus","(R upstairs)(Downstairs cruise bar- Hustlers)","49 6th St. N.E.","Atlanta","GA","(*),(R)","Bars/Clubs,Restaurant",NA,1985,"","","12/5/2021 12:17pm","49 6th St. N.E., Atlanta, GA",-84.3856992,33.7772586,"49 6th st ne, atlanta, ga 30308, usa","Geocoded"
"2005","Gay Center","(404)876-5372","848 Peachtree St. N.E.","Atlanta","GA","","Community Center/Support Groups",NA,1985,"","","1/7/2022 12:17pm","848 Peachtree St. N.E., Atlanta, GA",-84.3847178,33.7778634,"848 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"2003","Flex Hotel","","826 Peachtree St. N.E.","Atlanta","GA","(M),(H)","Hotel",NA,1985,"","","12/5/2021 12:17pm","826 Peachtree St. N.E., Atlanta, GA",-84.3855205,33.7771592,"826 peachtree st ne, atlanta, ga 30308, usa","Geocoded"
"2002","Fitness 1st","(Gym)","1407 Peachtree St. N.E.","Atlanta","GA","(M)","Gym",NA,1985,"","","1/7/2022 11:52am","1407 Peachtree St. N.E., Atlanta, GA",-84.3865922,33.7931197,"1407 peachtree st ne, atlanta, ga 30309, usa","Geocoded"
"2006","Gene & Gabe's","(Very M)","1578 Piedmont Rd. N.E.","Atlanta","GA","(M),(PE),(R)","Restaurant",NA,1985,"","","12/5/2021 12:17pm","1578 Piedmont Rd. N.E., Atlanta, GA",-84.3658599,33.8082403,"1578 piedmont rd ne, atlanta, ga 30324, usa","Geocoded"
