"ID","title","streetaddress","description","amenityfeatures","type","city","state","unclear_address","uncleartype","notes","Year","Last.Modified","full.address","lon","lat","geoAddress","status"
14,"The Station","2025 Morris Ave","(at 21st) 205/254-3750 10pm-6am Sat, patio","(*),(MW),(D),(WC),($)","Nightclubs","Birmingham","AL",NA,"","",2000,NA,"2025 Morris Ave ,  Birmingham ,  AL",-86.8040176,33.5143285,"2025 morris ave, birmingham, al 35203, usa","Geocoded"
15,"Anthony's","2131 7th Ave S","(at 20th) 205/324-1215 6pm-midnight, clsd Sun-Mon, cont'l/ Italian, full bar","(WC)","Restaurants","Birmingham","AL",NA,"","",2000,NA,"2131 7th Ave S ,  Birmingham ,  AL",-86.797088,33.5068572,"2131 7th ave s, birmingham, al 35233, usa","Geocoded"
16,"Bottega Cafe & Restaurant","2240 Highland Ave","(btwn 22nd & 23rd) 205/939-1000 lunch & dinner, clsd Sun, full bar","","Restaurants","Birmingham","AL",NA,"","",2000,NA,"2240 Highland Ave ,  Birmingham ,  AL",-86.789974,33.5024605,"2240 highland ave, birmingham, al 35205, usa","Geocoded"
17,"Crestwood Grill","5500 Crestwood Blvd","205/595-1995 lunch & dinner, full bar, live jazz Sat","","Restaurants","Birmingham","AL",NA,"","",2000,NA,"5500 Crestwood Blvd ,  Birmingham ,  AL",-86.7481196,33.5288322,"5500 crestwood blvd, birmingham, al 35212, usa","Geocoded"
18,"Highlands Bar & Grill","2011 11th Ave S","(20th) 205/939-1400 6pm-midnight, bar from 4pm, clsd Sun-Mon","(WC)","Restaurants","Birmingham","AL",NA,"","",2000,NA,"2011 11th Ave S ,  Birmingham ,  AL",-86.7954871,33.5005864,"2011 11th ave s, birmingham, al 35205, usa","Geocoded"
19,"John's","112 21st St N","(at 1st Ave N) 205/322-6014 11am-10pm, clsd Sun, full bar","(WC)","Restaurants","Birmingham","AL",NA,"","",2000,NA,"112 21st St N ,  Birmingham ,  AL",-86.822209,33.5425441,"21st st n, birmingham, al, usa","Geocoded"
20,"PT's Sports Grill","350 Hollywood","(at Hwy 280 S) 205/879-8519 from 11am daily","(WC)","Restaurants","Birmingham","AL",NA,"","",2000,NA,"350 Hollywood ,  Birmingham ,  AL",NA,NA,"NA","Geocoded"
21,"Sarvac's","401 18th St S","(btwn 4th & 5th) 205/251-0347 10:30am-3pm, clsd Sat, Southern cuisine","(WC)","Restaurants","Birmingham","AL",NA,"","",2000,NA,"401 18th St S ,  Birmingham ,  AL",-86.8047846,33.507856,"401 18th st s, birmingham, al 35233, usa","Geocoded"
22,"Terrific New Theater","2821 2nd Ave S","205/328-0868","","Entertainment & Recreation","Birmingham","AL",NA,"","",2000,NA,"2821 2nd Ave S ,  Birmingham ,  AL",-86.7909213,33.5162953,"2821 2nd ave s, birmingham, al 35233, usa","Geocoded"
23,"Lodestar Books","2020-B 11th Ave S","(btwn 20th & 21st) 205/939-3356 11am-6pm, clsd Sun-Mon, lesbigay","(WC)","Bookstores","Birmingham","AL",NA,"","",2000,NA,"2020-B 11th Ave S ,  Birmingham ,  AL",-86.7950963,33.500939,"2020 11th ave s b, birmingham, al 35205, usa","Geocoded"
24,"Bad Seed","2030 11th Ave S","(btwn 20th & 21st) 205/933-7333 noon-8pm, music, videos & gifts","(GO)","Retail Shops","Birmingham","AL",NA,"","",2000,NA,"2030 11th Ave S ,  Birmingham ,  AL",-86.7949271,33.5008856,"2030 11th ave s, birmingham, al 35205, usa","Geocoded"
27,"Alabama Adult Books","801 3rd Ave N","(at 8th) 205/322-7323 24hrs","","Erotica","Birmingham","AL",NA,"","",2000,NA,"801 3rd Ave N ,  Birmingham ,  AL",NA,NA,"NA","Geocoded"
28,"Birmingham Adult Books","7610 1st Ave N","205/836-1580 24hrs, booths","(*)","Erotica","Birmingham","AL",NA,"","",2000,NA,"7610 1st Ave N ,  Birmingham ,  AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
29,"The Downtown Bookstore","2731 8th Ave N","205/328-5525 video arcade, booths","","Erotica","Birmingham","AL",NA,"","",2000,NA,"2731 8th Ave N ,  Birmingham ,  AL",-86.799534,33.5265168,"2731 reverend abraham woods jr boulevard, birmingham, al 35203, usa","Geocoded"
30,"Pleasure Books","7606 1st Ave N","(at 77th St) 205/836-7379 video arcade, booths","","Erotica","Birmingham","AL",NA,"","",2000,NA,"7606 1st Ave N ,  Birmingham ,  AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa","Geocoded"
31,"Top Hat Cinema","9221 Todd Dr","205/833-8221 theater w/ arcades, booths","","Erotica","Birmingham","AL",NA,"","",2000,NA,"9221 Todd Dr ,  Birmingham ,  AL",-86.700455,33.5878074,"9221 todd ave, birmingham, al 35206, usa","Geocoded"
34,"Days Inn","810 6th Ave NE","(at Church) 256/355-3520, 800/DAYS-INN","(GF),(SW),(WC)","Accommodations","Decatur","AL",NA,"","",2000,NA,"810 6th Ave NE ,  Decatur ,  AL",-86.978019,34.608006,"810 6th ave ne, decatur, al 35601, usa","Geocoded"
35,"The Waffle House","710 6th Ave NE","(btwn Layfayette & Walnut) 205/355-2871 24hrs, popular after hours","","Restaurants","Decatur","AL",NA,"","",2000,NA,"710 6th Ave NE ,  Decatur ,  AL",-86.9789689,34.6076248,"710 6th ave ne, decatur, al 35601, usa","Geocoded"
36,"The Vault","111 E Main St","(at Foster) 334/794-0230 7pm-close, clsd Sun","(MW),(D),(S),(19+),(WC)","Nightclubs","Dothan","AL",NA,"","",2000,NA,"111 E Main St ,  Dothan ,  AL",-85.3918809,31.223744,"111 e main st, dothan, al 36301, usa","Geocoded"
37,"Nitro","2461 E Meighan Blvd","256/492-9724 8pm-close Wed & Fri, til 2am Sat","(MW),(D),(TG),(S)","Nightclubs","Gadsden","AL",NA,"","",2000,NA,"2461 E Meighan Blvd ,  Gadsden ,  AL",-85.9634515,33.9848364,"2461 e meighan blvd, gadsden, al 35903, usa","Geocoded"
38,"Vieux Carre","1204 Posey","(at Larkin) 256/534-5970 7pm-2am, DJ Fri-Sat, shows Sun, patio","(MW),(NH),(D),(E),(WC)","Bars","Huntsville","AL",NA,"","",2000,NA,"1204 Posey ,  Huntsville ,  AL",-86.6005067,34.7379893,"1204 posey st nw, huntsville, al 35816, usa","Geocoded"
39,"Rainbow's Ltd","522 Jordan Ln","(at Homes) 256/536-5900 11am-8pm Tue-Sat, clsd Sun-Mon, lesbigay","(WC)","Bookstores","Huntsville","AL",NA,"","",2000,NA,"522 Jordan Ln ,  Huntsville ,  AL",-86.6275091,34.7268284,"522 jordan ln nw, huntsville, al 35805, usa","Geocoded"
41,"B-Bob's","6157 Airport Blvd #201","334/341-0102 5pm-close, CW Th, shows Fro, home bar of 'Gulf Coast Bears,' also lesbigay giftshop","(MW),(D),(S),(YC),(PC),(WC)","Bars","Mobile","AL",NA,"","",2000,NA,"6157 Airport Blvd #201 ,  Mobile ,  AL",-88.1834797,30.6749486,"6157 airport blvd unit 201, mobile, al 36608, usa","Geocoded"
42,"Gabriel's Downtown","55 S Joachim St","(at Government) 334/432-4900 5pm-close, from 3pm Sun","(MW),(V),(PC)","Bars","Mobile","AL",NA,"","",2000,NA,"55 S Joachim St ,  Mobile ,  AL",-88.0433197,30.6901695,"55 s joachim st, mobile, al 36602, usa","Geocoded"
43,"Society Lounge","51 S Conception","(at Conti) 334/433-8141 noon-close","(*),(MW),(D),(S),(PC),(WC)","Bars","Mobile","AL",NA,"","",2000,NA,"51 S Conception ,  Mobile ,  AL",-88.0424123,30.6906949,"51 s conception st, mobile, al 36602, usa","Geocoded"
44,"On The Roxx","20 S Conception","334/432-9056 4pm-close, clsd Mon-Tue","(W),(D),(E)","Nightclubs","Mobile","AL",NA,"","",2000,NA,"20 S Conception ,  Mobile ,  AL",-88.0428469,30.6908403,"20 s conception st, mobile, al 36602, usa","Geocoded"
45,"Troopers","215 Conti St","(nr Joachim) 334/433-7436 8pm-close, shows Th (open since 1965!)","(MW),(D),(PC)","Nightclubs","Mobile","AL",NA,"","",2000,NA,"215 Conti St ,  Mobile ,  AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
46,"Big E's Delicatessen","274 Dauphin St","(at S Jackson St) 334/694-0585 brkfst & lunch Mon-Fri, dinner Th-Sat, clsd Sun","(WC)","Cafes","Mobile","AL",NA,"","",2000,NA,"274 Dauphin St ,  Mobile ,  AL",-88.0446568,30.6910876,"274 dauphin st, mobile, al 36602, usa","Geocoded"
49,"Area 51","211 Lee St","(nr Civic Ctr) 334/264-5933 7pm-close","(MW),(D),(PC)","Nightclubs","Montgomery","AL",NA,"","",2000,NA,"211 Lee St ,  Montgomery ,  AL",-86.3107825,32.3772197,"211 lee st, montgomery, al 36104, usa","Geocoded"
50,"The Fountain","62 Dexter Ave","334/263-3100 6pm-close, DJ Fri-Sat, shows Sun","(MW),(K),(PC),(WC)","Nightclubs","Montgomery","AL",NA,"","",2000,NA,"62 Dexter Ave ,  Montgomery ,  AL",-86.3078613,32.3770491,"62 dexter ave, montgomery, al 36104, usa","Geocoded"
51,"The Plex","121 Coosa St","(at Madison Ave) 334/269-9672 8pm-close, til 2am Sat","(MW),(D),(S),(PC)","Nightclubs","Montgomery","AL",NA,"","",2000,NA,"121 Coosa St ,  Montgomery ,  AL",-86.310477,32.3800868,"121 coosa st, montgomery, al 36104, usa","Geocoded"
52,"Michael's","2201 6th St","(at 22nd Ave) 205/758-9223 6pm-close, clsd Sun","(MW),(D),(S)","Bars","Tuscaloosa","AL",NA,"","",2000,NA,"2201 6th St ,  Tuscaloosa ,  AL",-87.5651985,33.2096394,"2201 6th st, tuscaloosa, al 35401, usa","Geocoded"
56,"IMRU2","640 W 36th Ave","(at 'Q' Cafe,' in back lounge) 807/566-4678 5:30pm-7:30pm 1st & 3rd Wed, lesbigay-trans youth support group","","Info Lines & Services","Anchorage","AK",NA,"","",2000,NA,"640 W 36th Ave ,  Anchorage ,  AK",-149.894785,61.1878601,"640 w 36th ave, anchorage, ak 99503, usa","Geocoded"
57,"Alaska Bear Company B&B","535 E 6th Ave","(at Fairbanks) 907/277-2327 in downtown Anchorage","(GF)","Accommodations","Anchorage","AK",NA,"","",2000,NA,"535 E 6th Ave ,  Anchorage ,  AK",-149.7806366,61.2170602,"535 e 6th ave, anchorage, ak 99508, usa","Geocoded"
58,"Aurora Winds Resort B&B","7501 Upper O'Malley","907/346-2533 on a hillside above Anchorage","(MW)","Accommodations","Anchorage","AK",NA,"","",2000,NA,"7501 Upper O'Malley ,  Anchorage ,  AK",-149.7420846,61.1246881,"7501 upper o'malley rd, anchorage, ak 99507, usa","Geocoded"
59,"Cheney Lake B&B","6333 Colgate Dr","(at Baxter) 907/337-4391, 888/337-4391","(GF),(NS)","Accommodations","Anchorage","AK",NA,"","",2000,NA,"6333 Colgate Dr ,  Anchorage ,  AK",-149.7622436,61.1991615,"6333 colgate dr, anchorage, ak 99504, usa","Geocoded"
60,"Gallery B&B","1229 'G' St","(at 12th) 907/274-2567","(GF)","Accommodations","Anchorage","AK",NA,"","",2000,NA,"1229 'G' St ,  Anchorage ,  AK",-149.8949009,61.2101276,"1229 g st, anchorage, ak 99501, usa","Geocoded"
61,"Mad Myrna's","530 E 5th Ave","(at Fairbanks) 907/276-9762 3pm-3am, noon-close Sun","(MW),(NH),(D),(F),(S)","Bars","Anchorage","AK",NA,"","",2000,NA,"530 E 5th Ave ,  Anchorage ,  AK",-149.8736996,61.2172988,"mad myrna's, 530 e 5th ave, anchorage, ak 99501, usa","Geocoded"
62,"Raven","618 Gambell St","(at 6th Ave) 907/276-9672 11am-3am","(MW),(NH),(WC)","Bars","Anchorage","AK",NA,"","",2000,NA,"618 Gambell St ,  Anchorage ,  AK",-149.8716273,61.2162443,"618 gambell st, anchorage, ak 99501, usa","Geocoded"
63,"At Last A Deli","701 W 36th Ave","(at Arctic Blvd) 907/563-3354 7:30am-6pm, 11am-4pm, Sat, clsd Sun","","Restaurants","Anchorage","AK",NA,"","",2000,NA,"701 W 36th Ave ,  Anchorage ,  AK",-149.8963972,61.1888341,"701 w 36th ave, anchorage, ak 99503, usa","Geocoded"
64,"China Lights","12110 Business Blvd","Eagle River 907/694-8080 10:30am-10pm","","Restaurants","Anchorage","AK",NA,"","",2000,NA,"12110 Business Blvd ,  Anchorage ,  AK",-149.5698511,61.330285,"12110 business blvd, eagle river, ak 99577, usa","Geocoded"
66,"Kodiak Kafe & Dinner House","225 E 5th Ave","(btwn Cordova & Barrow)  907/258-5233 brkfst, lunch & dinner","","Restaurants","Anchorage","AK",NA,"","",2000,NA,"225 E 5th Ave ,  Anchorage ,  AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
67,"O'Brady's Burgers & Brew","6901 E Tudor Rd","(in Chugach Sq) 907/338-1080 11am-midnight, noon-10pm Sun, also at 800 E Diamond (in Diamond Ctr), 907/344-8033","","Restaurants","Anchorage","AK",NA,"","",2000,NA,"6901 E Tudor Rd ,  Anchorage ,  AK",-149.7503016,61.1821371,"6901 e tudor rd, anchorage, ak 99507, usa","Geocoded"
101,"O'Brady's Burgers & Brew","800 E Diamond","(in Diamond Ctr) 907/344-8033","","Restaurants","Anchorage","AK",NA,"","location from previous entry's description",2000,NA,"800 E Diamond ,  Anchorage ,  AK",-149.8672893,61.1434921,"800 e dimond blvd, anchorage, ak 99515, usa","Geocoded"
68,"Simon & Seafort's","420 'L' St","(btwn 4th & 5th) 
907/274-3502 seafood & prime rib","","Restaurants","Anchorage","AK",NA,"","",2000,NA,"420 'L' St ,  Anchorage ,  AK",-149.9043855,61.2179832,"420 l st, anchorage, ak 99501, usa","Geocoded"
69,"Capri","3425 E Tudor","(at Dale) 907/561-0064 often shows lesbigay & alternative films","","Entertainment & Recreation","Anchorage","AK",NA,"","",2000,NA,"3425 E Tudor ,  Anchorage ,  AK",-149.8158911,61.1818125,"3425 e tudor rd, anchorage, ak 99507, usa","Geocoded"
70,"Cyrano's Bookstore & Cafe","413 'D' St","(btwn 1st & 5th) 
 907/274-2599 11am-7pm, from 10am summer, open later on wknds","(F),(S),(BW),(WC)","Bookstores","Anchorage","AK",NA,"","",2000,NA,"413 'D' St ,  Anchorage ,  AK",-149.889225,61.2182137,"413 d st, anchorage, ak 99501, usa","Geocoded"
75,"Ace's","305 W Diamond Blvd","907/522-1987 24hrs","","Erotica","Anchorage","AK",NA,"","",2000,NA,"305 W Diamond Blvd ,  Anchorage ,  AK",-149.8847755,61.1449671,"305 w dimond blvd, anchorage, ak 99515, usa","Geocoded"
76,"Swingers Books & Gifts","710 W Northern Lights Blvd","(at Arctic) 907/561-5039 24hrs","","Erotica","Anchorage","AK",NA,"","",2000,NA,"710 W Northern Lights Blvd ,  Anchorage ,  AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa","Geocoded"
78,"Ah, Rose Marie B&B","302 Cowles St","(at 3rd Ave) 907/456-2040 full brkfst","(GS),(GO)","Accommodations","Fairbanks","AK",NA,"","",2000,NA,"302 Cowles St ,  Fairbanks ,  AK",-147.7299693,64.8438216,"302 cowles st, fairbanks, ak 99701, usa","Geocoded"
79,"Billie's Backpackers Hostel","2895 Mack Rd","907/457-2034 B&B, hostel & campsites","(GF),(F)","Accommodations","Fairbanks","AK",NA,"","",2000,NA,"2895 Mack Rd ,  Fairbanks ,  AK",-147.7868412,64.8593395,"2895 mack blvd, fairbanks, ak 99709, usa","Geocoded"
80,"Crabtree Guest House","724 College Rd","907/451-6501 kitchens, shared baths","(M)","Accommodations","Fairbanks","AK",NA,"","",2000,NA,"724 College Rd ,  Fairbanks ,  AK",-147.7237825,64.8592874,"724 college rd, fairbanks, ak 99701, usa","Geocoded"
81,"Fairbanks Hotel","517 3rd Ave","(btwn Cushman & Lacey) 907/456-6411, 888/329-4685 recently restored to art deco style","(GF),(GO)","Accommodations","Fairbanks","AK",NA,"","",2000,NA,"517 3rd Ave ,  Fairbanks ,  AK",-147.7182478,64.8428654,"517 3rd ave, fairbanks, ak 99701, usa","Geocoded"
82,"Palace Saloon","3175 College Rd","(at Alaskaland) 907/451-1858, 907/456-5960 til 3am Fri-Sat (seasonal), gay after 11pm Fri-Sat only","(GF),(D),(S)","Bars","Fairbanks","AK",NA,"","",2000,NA,"3175 College Rd ,  Fairbanks ,  AK",-147.7945307,64.8588131,"3175 college rd, fairbanks, ak 99709, usa","Geocoded"
83,"Club G","150 Farmers Loop Rd","907/451-7625 9pm-2am Th, till 3:30am Fri-Sat, clsd Sun-Wed, eclectic style-from fire eaters to swing dancers","(GF),(D),(A),(E),(WC)","Nightclubs","Fairbanks","AK",NA,"","",2000,NA,"150 Farmers Loop Rd ,  Fairbanks ,  AK",-147.6777391,64.8650496,"150 farmers loop rd, fairbanks, ak 99712, usa","Geocoded"
84,"Into the Woods Bookshop","3560 College Rd","907/479-7701 11am-midnight, til 2am Fri-Sat, 6pm-10pm Mon, new/used titles, also coffeehouse","(WC)","Bookstores","Fairbanks","AK",NA,"","",2000,NA,"3560 College Rd ,  Fairbanks ,  AK",-147.8099889,64.856446,"3560 college rd, fairbanks, ak 99709, usa","Geocoded"
85,"Fantasyland Video","1765 Richardson Hwy","907/488-0879 24hrs","","Erotica","Fairbanks","AK",NA,"","",2000,NA,"1765 Richardson Hwy ,  Fairbanks ,  AK",-147.5150134,64.7879453,"1765 richardson hwy, north pole, ak 99705, usa","Geocoded"
86,"Island Watch B&B","4241 Claudia St","(at West Hill Rd) 907/235-2265 full brkfst, kitchens","(GF),(NS),(WC)","Accommodations","Homer","AK",NA,"","",2000,NA,"4241 Claudia St ,  Homer ,  AK",-151.5818835,59.6513392,"4241 claudia st, homer, ak 99603, usa","Geocoded"
87,"The Shorebird Guest House","4774 Kachemak Dr","907/235-2107 cottage rental, beach access","(GS),(WC)","Accommodations","Homer","AK",NA,"","",2000,NA,"4774 Kachemak Dr ,  Homer ,  AK",-151.4421641,59.6609763,"4774 kachemak dr, homer, ak 99603, usa","Geocoded"
88,"Skyline B&B","60855 Skyline Dr","907/235-3823 full brkfst, hot tub","(GF),(GO)","Accommodations","Homer","AK",NA,"","",2000,NA,"60855 Skyline Dr ,  Homer ,  AK",-151.4273653,59.6940914,"60855 skyline dr, homer, ak 99603, usa","Geocoded"
91,"Pearson's Pond Luxury Inn","4541 Sawa Cir","907/789-3772, 888/658-6328 hot tub","(GF),(NS)","Accommodations","Juneau","AK",NA,"","",2000,NA,"4541 Sawa Cir ,  Juneau ,  AK",-134.5902398,58.4002312,"4541 sawa cir, juneau, ak 99801, usa","Geocoded"
92,"Inn at the Summit Waterfront Cafe","455 S Franklin St","907/586-2050 5pm-10pm, full bar","","Restaurants","Juneau","AK",NA,"","",2000,NA,"455 S Franklin St ,  Juneau ,  AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa","Geocoded"
93,"Millar Street House","1430 Millar St","907/225-1258, 800/287-1607 also kayak tours","(GF)","Accommodations","Ketchikan","AK",NA,"","",2000,NA,"1430 Millar St ,  Ketchikan ,  AK",-131.660324,55.347439,"1430 millar st, ketchikan, ak 99901, usa","Geocoded"
95,"A Crescent Harbor Hideaway","709 Lincoln St","907/747-4900 restored historic waterfront home, wildlife & marine tours","(GF)","Accommodations","Sitka","AK",NA,"","",2000,NA,"709 Lincoln St ,  Sitka ,  AK",-135.327029,57.0513057,"709 lincoln st, sitka, ak 99835, usa","Geocoded"
96,"Rookie's","1617 Sawmill Creek Rd","907/747-7607 11am-11pm, til 2am Th-Sat, patio, also restaurant","(GF),(D),(GO)","Bars","Sitka","AK",NA,"","",2000,NA,"1617 Sawmill Creek Rd ,  Sitka ,  AK",-135.293105,57.047323,"1617 sawmill creek rd, sitka, ak 99835, usa","Geocoded"
97,"The Marina Restaurant","205 Harbor Dr","907/747-8840 11am-10pm, seafood, gay-owned/run","","Restaurants","Sitka","AK",NA,"","",2000,NA,"205 Harbor Dr ,  Sitka ,  AK",-135.3363418,57.049353,"205 harbor dr, sitka, ak 99835, usa","Geocoded"
98,"The Airport Video (Adult Resort)","10145 E Apache Tr","(exit Crimson Rd off I-60 east, 30 min from Phoenix) 480/380-9843 24hrs","(SW),(AYOR)","Erotica","Apache Junction","AZ",NA,"","",2000,NA,"10145 E Apache Tr ,  Apache Junction ,  AZ",-111.6114659,33.4145398,"10145 e apache trail, apache junction, az 85120, usa","Geocoded"
99,"St Elmo's","36 Brewery Gulch Ave","520/432-5578 10am-1am, live bands Fri-Sat","(GF)","Bars","Bisbee","AZ",NA,"","",2000,NA,"36 Brewery Gulch Ave ,  Bisbee ,  AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
100,"The Lariat Saloon","1161 Hancock Rd","(at 95) 520/758-8479","(MW),(NH),(MR),(WC)","Bars","Bullhead City","AZ",NA,"","",2000,NA,"1161 Hancock Rd ,  Bullhead City ,  AZ",-114.607297,35.1082907,"1161 hancock rd, bullhead city, az 86442, usa","Geocoded"
106,"Hotel Monte Vista","100 N San Francisco St","520/779-6971, 800/545-3068 full bar, cafe, historic 1927 lodging","(GF),(F)","Accommodations","Flagstaff","AZ",NA,"","",2000,NA,"100 N San Francisco St ,  Flagstaff ,  AZ",-111.6473011,35.1982704,"100 n san francisco st, flagstaff, az 86001, usa","Geocoded"
107,"Charlie's","23 N Leroux","(at Aspen) 520/779-1919 noon-1am","(GF),(F),(WC)","Bars","Flagstaff","AZ",NA,"","",2000,NA,"23 N Leroux ,  Flagstaff ,  AZ",-111.6490479,35.1984555,"23 n leroux st, flagstaff, az 86001, usa","Geocoded"
108,"Monte Vista Lounge","100 N San Francisco St","(at Aspen) 520/779-6971 11am-1am, cafe from 6am","(GF),(E)","Bars","Flagstaff","AZ",NA,"","",2000,NA,"100 N San Francisco St ,  Flagstaff ,  AZ",-111.6473011,35.1982704,"100 n san francisco st, flagstaff, az 86001, usa","Geocoded"
109,"Cafe Olé","119 S San Francisco","(at Butler)  520/774-8272 till 8pm","(BW)","Restaurants","Flagstaff","AZ",NA,"","",2000,NA,"119 S San Francisco ,  Flagstaff ,  AZ",-111.6494088,35.1947557,"119 s san francisco st, flagstaff, az 86001, usa","Geocoded"
110,"Pasto","19 E Aspen","(at San Francisco) 520/779-1937 dinner only, Italian","(BW),(WC)","Restaurants","Flagstaff","AZ",NA,"","",2000,NA,"19 E Aspen ,  Flagstaff ,  AZ",-111.6481046,35.1981305,"19 e aspen ave, flagstaff, az 86001, usa","Geocoded"
111,"Aradia Books","116 W Cottage","(at Beaver) 520/779-3817 10:30am-5:30pm, clsd Sun, some gay men's titles","","Bookstores","Flagstaff","AZ",NA,"","",2000,NA,"116 W Cottage ,  Flagstaff ,  AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa","Geocoded"
112,"Karen's Adult Bookstore & Ladies Lingerie","4350 Hwy 95 #1","520/763-5600","","Erotica","Fort Mohave","AZ",NA,"","",2000,NA,"4350 Hwy 95 #1 ,  Fort Mohave ,  AZ",-114.5974016,35.0304866,"4350 s hwy 95 #1, fort mohave, az 86426, usa","Geocoded"
114,"Kings Inn Best Western","2930 E Andy Devine","520/753-6101, 800/528-1234 non-smoking rms available, bakery on premises","(GF),(SW),(F)","Accommodations","Kingman","AZ",NA,"","",2000,NA,"2930 E Andy Devine ,  Kingman ,  AZ",-114.0148392,35.2121662,"2930 e andy devine ave, kingman, az 86401, usa","Geocoded"
115,"Castle Superstore","8315 E Apache Trail","480/986-6114 24hrs","","Erotica","Mesa","AZ",NA,"","",2000,NA,"8315 E Apache Trail ,  Mesa ,  AZ",-111.6518659,33.4148495,"8315 e apache trail, mesa, az 85207, usa","Geocoded"
116,"Eros Adult Emporium","10185 Harbor Ave","520/768-6300","","Erotica","Mohave Valley","AZ",NA,"","",2000,NA,"10185 Harbor Ave ,  Mohave Valley ,  AZ",-114.6040493,34.8607145,"10185 harbor ave, mohave valley, az 86440, usa","Geocoded"
117,"AA Lambda Club","2622 N 16th St","602/264-1341 6pm & 8pm","","Info Lines & Services","Phoenix","AZ",NA,"","",2000,NA,"2622 N 16th St ,  Phoenix ,  AZ",-112.047963,33.4764329,"2622 north 16th street (at virginia ave) phoenix, az 85006, 2622 n 16th st, phoenix, az 85006, usa","Geocoded"
