"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"Persian Virgin",NA,"14 King St.","Frederiksted, St. Croix","VI","","Bars/Clubs",1971,NA,"14 King St., Frederiksted, St. Croix, ",-64.8824811,17.7113441,"king st, frederiksted, st croix 00840, usvi","Google Verified Location",NA,"1971-VI-0023"
"Andy's","In alley off Main Street (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1977,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1977-VI-0024"
"Andy's","In alley off Main St. (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1976,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1976-VI-0025"
"Bar at Frenchman's Reef","(Can be cruisy in season)","","Charlotte Amalie, St. Thomas","VI","(M)","Cruising Areas,Bars/Clubs",1980,"",", ",-64.920792,18.323221,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0026"
"Castaways","On the Waterfront","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1971,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1971-VI-0027"
"Castaways","On the waterfront","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1973,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1973-VI-0028"
"Castaways","On the waterfront","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1972,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1972-VI-0029"
"Castaways","On the Waterfront","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1974,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1974-VI-0030"
"Castaways","On the Waterfront","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1975,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1975-VI-0031"
"Danish Inn Guest House","9E &9J Gamble Norisideve's Tel: 809-774-5764","","Charlotte Amalie, St. Thomas","VI","(M),(H)","Hotels",1978,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0032"
"Danish Inn Guest House","9E & 9J Gamble Norisdeve's Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","VI","(M),(H)","Hotels",1979,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1979-VI-0033"
"Danish Inn Guest House","Gamble Norisideve's Tel: (809)774-5764","","Charlotte Amalie, St. Thomas","VI","(M)","Hotels,Bars/Clubs",1980,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0034"
"Do Drop Inn","Inquire locally","","Charlotte Amalie, St. Thomas","VI","(B)","Bars/Clubs",1975,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1975-VI-0035"
"Driftwood","(Italian R) nr. Mafolie Hotel on Abortion Hill. Tel: (809)774-5764 for reservations & directions","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1979,"approximate location",", ",-64.931519,18.348732,"unclear_coded_by_hand","Verified Location",NA,"1979-VI-0036"
"Driftwood","(Italian R) nr Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1978,"approximate location",", ",-64.931519,18.348732,"unclear_coded_by_hand","Verified Location",NA,"1978-VI-0037"
"Driftwood Inn","(Italian) Nr. Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations and directions","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1976,"approximate location",", ",-64.931519,18.348732,"unclear_coded_by_hand","Verified Location",NA,"1976-VI-0038"
"Driftwood Inn","(Italian R) nr. Mafolir Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1977,"approximate location",", ",-64.931519,18.348732,"unclear_coded_by_hand","Verified Location",NA,"1977-VI-0039"
"Eccentric Egret","(Looks promising) Strand St.","","Christiansted, St. Croix","VI","(M),(R)","Restaurant",1980,"",", ",-64.707195,17.744276,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0040"
"Fat City","On Raadets Gade, betw. Back Street (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","VI","(HIP),(M),(YC)","Bars/Clubs",1977,"approximate location",", ",-64.932552,18.342657,"unclear_coded_by_hand","Verified Location",NA,"1977-VI-0041"
"Fat City","On Raadets Gade, betw. Back St. (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","VI","(HIP),(M),(YC)","Bars/Clubs",1976,"approximate location",", ",-64.932552,18.342657,"unclear_coded_by_hand","Verified Location",NA,"1976-VI-0042"
"Galleon House","P.O. Box 1189, St. Thomas, V.I. Call (809) 774-1445","","Charlotte Amalie, St. Thomas","VI","(H),(R),(E),(D)","Restaurant,Hotels",1977,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1977-VI-0043"
"Galleon House","(This is the place- your hosts Larry & Jerry) (Bar) (Disco) (Swim pool) next to Hotel 1829 Tel: 809-774-1445. Box 1189 St. Thomas, V.I. 00801","","Charlotte Amalie, St. Thomas","VI","(H),(R),(E),(D),(*)","Hotels,Restaurant,Bars/Clubs",1978,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0044"
"Galleon House","(This is the place- your hosts Larry & Jerry (Bar) (Disco) (Swim pool) next to Hotel 1829. Box 1189, St. Thomas, V.I. 00801. Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","VI","(*),(H),(R),(E),(D)","Bars/Clubs,Hotels,Restaurant",1979,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1979-VI-0045"
"Good Old Times","(Some OC)(Best cocktail hour or late) (above the Safari)","","Charlotte Amalie, St. Thomas","VI","(*),(OC)","Bars/Clubs",1980,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0046"
"Grand Hotel","On the Square","","Charlotte Amalie, St. Thomas","VI","(H)","Hotels",1975,"",", ",-64.949961,18.338535,"unclear_coded_by_hand","Verified Location",NA,"1975-VI-0047"
"Greenhouse","On the Waterfront","","Charlotte Amalie, St. Thomas","VI","(M),(R),(E)","Restaurant",1979,"",", ",-64.933258,18.340352,"unclear_coded_by_hand","Verified Location",NA,"1979-VI-0048"
"Greenhouse","(Disco) On the Waterfront","","Charlotte Amalie, St. Thomas","VI","(M),(R),(D),(E)","Bars/Clubs,Restaurant",1980,"",", ",-64.933258,18.340352,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0049"
"Harbour View","(Best at cocktail hour) (Inquire locally)","","Charlotte Amalie, St. Thomas","VI","(PE),(R),(E)","Restaurant",1980,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0050"
"Hotel 1829","Government Hill above Post Office","","Charlotte Amalie, St. Thomas","VI","(M),(H)","Hotels",1980,"approximate location",", ",-64.929034,18.344123,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0051"
"Indies House","(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge Best during cocktail hour of late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations.","","Charlotte Amalie, St. Thomas","VI","(M),(H),(*)","Bars/Clubs,Restaurant,Hotels",1976,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1976-VI-0052"
"Indies House","(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge best during cocktail hour or late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations","","Charlotte Amalie, St. Thomas","VI","(M),(H),(PE),(R),(*)","Hotels,Restaurant,Bars/Clubs",1977,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1977-VI-0053"
"Jerry's Place","(Natives) (Some G) just off Waterfront Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","VI","(M),(D),(G)","Bars/Clubs",1977,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1977-VI-0054"
"Jerry's Place","(natives) (some G) just off Waterfront  Hwy. in Creques Alley No. 3 (behind the Carousel)","","Charlotte Amalie, St. Thomas","VI","(M),(D),(G)","Bars/Clubs",1976,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1976-VI-0055"
"Katie's","('Sing along') (Best late) Below the Safari","","Charlotte Amalie, St. Thomas","VI","(OC),(E),(*)","Bars/Clubs",1979,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1979-VI-0056"
"Katie's","","1 Nelike Gade","Charlotte Amalie, St. Thomas","VI","(*)","Bars/Clubs",1973,"","1 Nelike Gade, ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1973-VI-0057"
"Katie's","","1 Nelike Gade","Charlotte Amalie, St. Thomas","VI","(*)","Bars/Clubs",1971,"","1 Nelike Gade, ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1971-VI-0058"
"Katie's","","1 Nelike Gade","Charlotte Amalie, St. Thomas","VI","(*)","Bars/Clubs",1972,"","1 Nelike Gade, ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1972-VI-0059"
"Katie's","('Sing along')(Best late) Below the Safari","","Charlotte Amalie, St. Thomas","VI","(*),(OC),(E)","Bars/Clubs",1978,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0060"
"Lime Tree Beach Hotel","box 4986, St. Thomas, V.I.","","Charlotte Amalie, St. Thomas","VI","(M),(H)","Hotels",1975,"",", ",-64.911835,18.318005,"unclear_coded_by_hand","Verified Location",NA,"1975-VI-0061"
"Lime Tree Beach Hotel","Box 4986, St. Thomas, V.I.","","Charlotte Amalie, St. Thomas","VI","(M)","Hotels",1974,"",", ",-64.911835,18.318005,"unclear_coded_by_hand","Verified Location",NA,"1974-VI-0062"
"Maison Greaux Guest House","Solburg Tel: 809-774-0063","","Charlotte Amalie, St. Thomas","VI","(H),(*)","Hotels",1978,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0063"
"Maison Greaux Guest House","Solburg Tel: (809) 774-0063","","Charlotte Amalie, St. Thomas","VI","(H),(*)","Hotels",1979,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1979-VI-0064"
"Maison Greaux Guest House","Solburg Tel: (809)774-0063","","Charlotte Amalie, St. Thomas","VI","(H)","Hotels",1980,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0065"
"Midtown Hotel","Centrally located","","Charlotte Amalie, St. Thomas","VI","(H)","Hotels",1975,"",", ",-64.930701,18.3419,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1975-VI-0066"
"Morning Star Beach Hotel","(Private beach $2.00 admn. Bar is (M) days, but * nights)","","Charlotte Amalie, St. Thomas","VI","(M),(H),(*)","Hotels,Bars/Clubs",1975,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1975-VI-0067"
"Morningstar Beach Hotel","(Private beach, $2 adm. charge. Bar is (M) days but * nights)","","Charlotte Amalie, St. Thomas","VI","(M),(*),(H)","Hotels,Bars/Clubs",1974,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1974-VI-0068"
"Morningstar Beach Resort","($3.00 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: 809-774-2650","","Charlotte Amalie, St. Thomas","VI","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1978,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1978-VI-0069"
"Morningstar Beach Resort","($3. adm. to (P) Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of harbor. Call (809) 774-2650","","Charlotte Amalie, St. Thomas","VI","(M),(H),(R),(*),(P)","Bars/Clubs,Hotels,Restaurant",1977,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1977-VI-0070"
"Morningstar Beach Resort","($3 adm. to (P) Beach*) Bar is (M) days but good late. 10 min. drive from town at E. end of harbor. Tel: (809) 774-2650","","Charlotte Amalie, St. Thomas","VI","(M),(H),(R),(*)","Hotels,Restaurant,Bars/Clubs",1980,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0071"
"Morningstar Beach Resort","($3.00 adm. to (P Beach*) Bar is (M) days but * late. 10 min. drive from town at E. end of Charlotte Amalie Harbor. Call 774-2650 for reservations","","Charlotte Amalie, St. Thomas","VI","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1976,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1976-VI-0072"
"Morningstar Beach Resort","($3. adm. to (P) Beach*) Bar is (M) says but good late. 10 min. drive from town at E. end of harbor. Tel:(809) 774-2650","","Charlotte Amalie, St. Thomas","VI","(M),(H),(R),(P),(*)","Bars/Clubs,Hotels,Restaurant",1979,"",", ",-64.919808,18.320466,"unclear_coded_by_hand","Verified Location",NA,"1979-VI-0073"
"Most anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1975,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1975-VI-0074"
"Most anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1977,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1977-VI-0075"
"Most anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1976,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1976-VI-0076"
"Most anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1979,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1979-VI-0077"
"Most anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1978,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1978-VI-0078"
"Mostly anywhere","discretion","","Charlotte Amalie, St. Thomas","VI","Cruisy Area","Cruisy Areas",1980,"",", ",-64.894095,18.338097,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0079"
"Paul's on the Waterfront","(Lunch) Center of town on the Waterfront","","Charlotte Amalie, St. Thomas","VI","(R)","Restaurant",1978,"",", ",-64.932498,18.340511,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0080"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1975,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1975-VI-0081"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1974,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1974-VI-0082"
"Persian Virgin","","14 King Street","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1977,"","14 King Street, ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1977-VI-0083"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1980,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1980-VI-0084"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1976,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1976-VI-0085"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","","Bars/Clubs",1972,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1972-VI-0086"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1978,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1978-VI-0087"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","(M)","Bars/Clubs",1979,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1979-VI-0088"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","","Bars/Clubs",1971,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1971-VI-0089"
"Persian Virgin","","14 King St.","Frederiksted, St. Croix","VI","","Bars/Clubs",1973,"","14 King St., ",-64.881535,17.712475,"unclear_coded_by_hand","Verified Location",NA,"1973-VI-0090"
"Safari Lounge","(Some B)(Disco) On Tronpeter (an exit of Drake's Passage_ opp. & just above John Silver's on Vimmelskaft Gade (back street)","","Charlotte Amalie, St. Thomas","VI","(B),(D),(AYOR),(*)","Bars/Clubs",1980,"",", ",-64.933336,18.343002,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0091"
"Safari Lounge","On Tronpeter (an extension of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","VI","(D),(*)","Bars/Clubs",1977,"",", ",-64.933336,18.343002,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1977-VI-0092"
"Safari Lounge","On Tronpeter (an extension of Drake's Passage) opp. & just above the Sandbox on Vimmelskafts Gade (Back St.)","","Charlotte Amalie, St. Thomas","VI","(D),(*)","Bars/Clubs",1976,"",", ",-64.933336,18.343002,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1976-VI-0093"
"Safari Lounge","(Some B) On Trompeter (an ext. of Drake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","VI","(M),(B),(D),(*)","Bars/Clubs",1978,"",", ",-64.933336,18.343002,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0094"
"Safari Lounge","(Some B) On Tronpeter (an exit of DRake's Passage) opp. & just above the 'Sandbox' on Vimmelskafts Gade (Back Street)","","Charlotte Amalie, St. Thomas","VI","(M),(B),(D),(*)","Bars/Clubs",1979,"",", ",-64.933336,18.343002,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1979-VI-0095"
"Sebastian's","Veterans Drive","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1972,"",", ",-64.93534,18.339578,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1972-VI-0096"
"Sebastian's","Veterans Drive","","Charlotte Amalie, St. Thomas","VI","(R),(M)","Restaurant",1973,"",", ",-64.93534,18.339578,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1973-VI-0097"
"Sebastian's","Veterans Drive","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1974,"",", ",-64.93534,18.339578,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1974-VI-0098"
"Sebastian's","Veterans Drive","","Charlotte Amalie, St. Thomas","VI","(R),(M)","Restaurant",1971,"",", ",-64.93534,18.339578,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1971-VI-0099"
"Sebastian's","Veterans Drive","","Charlotte Amalie, St. Thomas","VI","(M),(R)","Restaurant",1975,"",", ",-64.93534,18.339578,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1975-VI-0100"
"Sparky's Waterfront Saloon","(Very M) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1980,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1980-VI-0101"
"Sparky's Waterfront Saloon","(Very M) (Mostly sailors) On Waterfront betw. Creques Alleys 1 & 2","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1978,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1978-VI-0102"
"Sparky's Waterfront Saloon","(mostly sailors) On Waterfront betw. Creques Aleys No. 1 & No. 2","","Charlotte Amalie, St. Thomas","VI","(M)","Bars/Clubs",1976,"",", ",-64.939312,18.338567,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used.",NA,"1976-VI-0103"
