ID,title,description,amenityfeatures,streetaddress,type,city,state,unclearaddress,Year,uncleartype,notes,lastmodified,full.address,lon,lat,geoAddress,status
27,Rushton Park,,Cruisy Area,2130 5th Ave N,Cruising Areas,Birmingham,AL,checked,1989,NA,,1/19/2023 4:52pm,"2130 5th Ave N, AL",-86.780064,33.506402,unclear_coded_by_hand,Found
28,Western Super Market,,"(AYOR),Cruisy Area",2230 Highland Ave.,Cruising Areas,Birmingham,AL,checked,1989,NA,,1/19/2023 5:08pm,"2230 Highland Ave., AL",-86.790606,33.501784,unclear_coded_by_hand,Found
29,Point Mallard Inn,,"(M),(H)",,Hotel,Decatur,AL,checked,1989,NA,16th & Johnson,1/19/2023 5:27pm,", AL",-86.93589,34.57121,unclear_coded_by_hand,Found
30,Victor's,"Gateway Shopping Center, Hwy 31 S.",(M),,Bars/Clubs,Decatur,AL,checked,1989,NA,,1/27/2023 1:06pm,", AL",-86.975861,34.573998,unclear_coded_by_hand,Found
31,'The Pumps',,"Cruisy Area,(AYOR)",,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:19pm,", AL",-86.983342,34.605925,unclear_coded_by_hand,General Coordinates Used
32,Amtrak & Greyhound Depots,,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:19pm,", AL",-86.983342,34.605925,unclear_coded_by_hand,General Coordinates Used
33,"Beltline Mall Castman,",Knott Store,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:25pm,", AL",-87.017448,34.572401,unclear_coded_by_hand,Found
34,Delano Park,nr. Picnic Tables,Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:25pm,", AL",-86.976437,34.597248,unclear_coded_by_hand,Found
35,Point Mallard Park,Swimmin' Hole (Summers),Cruisy Area,,Cruising Areas,Decatur,AL,checked,1989,NA,,1/19/2023 5:27pm,", AL",-86.93589,34.57121,unclear_coded_by_hand,Found
36,Scooter McGee's,Ross Clark Circle at Montgomery Hwy,(M),,Bars/Clubs,Dothan,AL,checked,1989,NA,,1/27/2023 1:10pm,", AL",-85.390489,31.223231,unclear_coded_by_hand,General Coordinates Used
37,St. Andrews Alley,,"(*),(D),(S)",134-A N. Foster St.,Bars/Clubs,Dothan,AL,NA,1989,NA,,6/8/2022 12:52pm,"134-A N. Foster St., Dothan, AL",-85.3918718,31.2240874,"134 n foster st a, dothan, al 36303, usa",Geocoded
38,Electric Cowboy,,(R),111 E. Limestone,Restaurant,Florence,AL,NA,1989,NA,,6/8/2022 12:52pm,"111 E. Limestone, Florence, AL",-87.6728881,34.7971172,"111 e limestone st, florence, al 35630, usa",Geocoded
39,TVA Reservations,(Summers),Cruisy Area,,Cruising Areas,Florence,AL,checked,1989,NA,,1/27/2023 1:10pm,", AL",-87.634863,34.782849,unclear_coded_by_hand,Found
40,Veterans Park,(Days),Cruisy Area,,Cruising Areas,Florence,AL,checked,1989,NA,,3/1/2023 9:40am,", AL",-87.625245,34.811018,unclear_coded_by_hand,Found
41,Wilson Park,(Nights),Cruisy Area,,Cruising Areas,Florence,AL,checked,1989,NA,,1/27/2023 1:13pm,", AL",-87.675219,34.80322,unclear_coded_by_hand,Found
42,Fat's,"(Some M, YC) (WE*) (S-WE)","(P),(M),(YC),(WE),(*),(S)",315 S. 2nd St.,Bars/Clubs,Gadsden,AL,NA,1989,NA,,6/8/2022 12:52pm,"315 S. 2nd St., Gadsden, AL",-85.9906143,34.0105828,"315 2nd st n, gadsden, al 35903, usa",Geocoded
43,Head Quarters,,(S),217 S. 4th St.,Bars/Clubs,Gadsden,AL,NA,1989,NA,,6/8/2022 12:52pm,"217 S. 4th St., Gadsden, AL",-86.0044489,34.011755,"217 s 4th st, gadsden, al 35901, usa",Geocoded
44,Vieux Carre,,(N),1204 Posey,Bars/Clubs,Gadsden,AL,NA,1989,NA,,6/8/2022 12:52pm,"1204 Posey, Gadsden, AL",-86.0066386,34.014264,"gadsden, al, usa",Geocoded
45,Atlantis,"(Some YC, L) (T-Sun)","(YC),(L),(D),(S),(*)",2572 Sparkman,Bars/Clubs,Huntsville,AL,NA,1989,NA,,6/8/2022 12:52pm,"2572 Sparkman, Huntsville, AL",-86.5975022,34.763722,"2572 sparkman dr nw, huntsville, al 35810, usa",Geocoded
46,Gay Helpline,(205) 539-3424,,,Hotline,Huntsville,AL,checked,1989,NA,,1/27/2023 1:14pm,", AL",-86.586104,34.730369,unclear_coded_by_hand,General Coordinates Used
47,Observation Point,(The Overlook) On Governer Dr.,Cruisy Area,,Cruising Areas,Huntsville,AL,checked,1989,NA,,1/27/2023 1:14pm,", AL",-86.586104,34.730369,unclear_coded_by_hand,General Coordinates Used
48,Pizitz Dept. Store,Parkway City Mall,Cruisy Area,,Cruising Areas,Huntsville,AL,checked,1989,NA,,1/27/2023 1:15pm,", AL",-86.588209,34.704207,unclear_coded_by_hand,Found
49,The Mall Upstairs,(Days),Cruisy Area,,Cruising Areas,Huntsville,AL,checked,1989,NA,,1/27/2023 1:15pm,", AL",-86.586104,34.730369,unclear_coded_by_hand,General Coordinates Used
50,Germania Springs,,Cruisy Area,,Cruising Areas,Jacksonville,AL,checked,1989,NA,,1/27/2023 1:17pm,", AL",-85.757482,33.8478,unclear_coded_by_hand,Found
51,Jacksonville State U.,Bibb Graves Hall,Cruisy Area,,Cruising Areas,Jacksonville,AL,checked,1989,NA,,1/27/2023 1:19pm,", AL",-85.765343,33.822939,unclear_coded_by_hand,Found
52,Jacksonville State U.,Ayer Hall 2nd floor,Cruisy Area,,Cruising Areas,Jacksonville,AL,checked,1989,NA,,1/27/2023 1:19pm,", AL",-85.765878,33.824104,unclear_coded_by_hand,Found
53,Club Park Ave,(V-Downstairs) (Disco-Upstrs) (Patio),"(*),(YC),(V),(P)",7 S. Joachim,Bars/Clubs,Mobile,AL,NA,1989,NA,,7/25/2022 1:37pm,"7 S. Joachim, Mobile, AL",-88.042733,30.6882644,"7 s joachim st, mobile, al 36602, usa",Geocoded
54,Corral,"(Some W, OC, L) (Cruisy) (Late*)","(W),(OC),(L),(*)",54 S. Conception,"Bars/Clubs,Cruising Areas",Mobile,AL,NA,1989,NA,,6/8/2022 12:53pm,"54 S. Conception, Mobile, AL",-88.0426607,30.6903954,"54 s conception st, mobile, al 36602, usa",Geocoded
55,M.C.C.,(205) 476-9142,(MCC),,Religious Institution,Mobile,AL,checked,1989,NA,,1/27/2023 1:32pm,", AL",-88.057628,30.684647,unclear_coded_by_hand,Found
56,Golden Rod,(Cruisy),(P),135 Joachin,"Bars/Clubs,Cruising Areas",Mobile,AL,NA,1989,NA,,6/8/2022 12:54pm,"135 Joachin, Mobile, AL",-88.0451712,30.6934834,"135 n joachim st, mobile, al 36602, usa",Geocoded
57,Society Lounge,,"(L),(B)",53 Conception,Bars/Clubs,Mobile,AL,NA,1989,NA,,6/8/2022 12:52pm,"53 Conception, Mobile, AL",-88.0423188,30.6905321,"53 s conception st, mobile, al 36602, usa",Geocoded
58,Troopers,(Disco),,215 Court St.,Bars/Clubs,Mobile,AL,NA,1989,NA,,6/8/2022 12:52pm,"215 Court St., Mobile, AL",-88.0774994,30.7639363,"215 court st, chickasaw, al 36611, usa",Geocoded
59,Bel Air Mall,Sears,"Cruisy Area,(AYOR)",,Cruising Areas,Mobile,AL,checked,1989,NA,,1/27/2023 1:20pm,", AL",-88.122408,30.673764,unclear_coded_by_hand,Found
60,Mid Town Cinema,,"Cruisy Area,(AYOR)",,Cruising Areas,Mobile,AL,checked,1989,NA,,1/27/2023 1:23pm,", AL",-88.044599,30.691199,unclear_coded_by_hand,Found
61,Old State Park,(opp. Holiday Inn - off causeway),Cruisy Area,,Cruising Areas,Mobile,AL,checked,1989,NA,,1/27/2023 1:23pm,", AL",-88.039891,30.695366,unclear_coded_by_hand,General Coordinates Used
62,BWMT,,(BWMT),"Box 603, 36101",Organization,Montgomery,AL,checked,1989,NA,,1/27/2023 1:34pm,"Box 603, 36101, AL",-86.307737,32.379223,unclear_coded_by_hand,General Coordinates Used
63,M.C.C. & Gay Helpline,(205) 264-7887,(MCC),,"Hotline,Religious Institution",Montgomery,AL,checked,1989,NA,,1/27/2023 1:36pm,", AL",-86.307737,32.379223,unclear_coded_by_hand,General Coordinates Used
64,RGee's,,"(P),(D),(PT),(AH)",211 Lee St.,Bars/Clubs,Montgomery,AL,NA,1989,NA,,6/8/2022 12:52pm,"211 Lee St., Montgomery, AL",-86.2720375,32.3785912,"225 ann st, montgomery, al 36107, usa",Geocoded
65,Rumors,(Disco),"(AH),(*)",207 Dexter Ave.,Bars/Clubs,Montgomery,AL,NA,1989,NA,,6/8/2022 12:52pm,"207 Dexter Ave., Montgomery, AL",-86.3059453,32.3777771,"207 dexter ave, montgomery, al 36104, usa",Geocoded
66,Skeeters,(Some L) (AH-Weekdays*),"(D),(L),(AH),(*)",150 Lee St.,Bars/Clubs,Montgomery,AL,NA,1989,NA,,6/8/2022 12:52pm,"150 Lee St., Montgomery, AL",-86.3095465,32.3765465,"150 lee st, montgomery, al 36104, usa",Geocoded
67,Auburn U./Mont.,Bell Rd.,Cruisy Area,,Cruising Areas,Montgomery,AL,checked,1989,NA,,1/27/2023 1:33pm,", AL",-86.178834,32.369595,unclear_coded_by_hand,Found
68,Block,around Post Office,Cruisy Area,,Cruising Areas,Montgomery,AL,checked,1989,NA,,1/27/2023 1:38pm,", AL",-86.307737,32.379223,unclear_coded_by_hand,General Coordinates Used
69,Lee St.,"betw,. Bus Depots & Church St.",Cruisy Area,,Cruising Areas,Montgomery,AL,checked,1989,NA,,1/27/2023 1:34pm,", AL",-86.307737,32.379223,unclear_coded_by_hand,General Coordinates Used
70,Oak Park,(days only-AYOR),"Cruisy Area,(AYOR)",,Cruising Areas,Montgomery,AL,checked,1989,NA,,1/27/2023 1:36pm,", AL",-86.278857,32.367361,unclear_coded_by_hand,Found
71,Prattville Park,,Cruisy Area,,Cruising Areas,Prattville,AL,checked,1989,NA,,1/27/2023 1:48pm,", AL",-86.466914,32.453906,unclear_coded_by_hand,Found
72,Selma Mall,Broad St.,Cruisy Area,,Cruising Areas,Selma,AL,checked,1989,NA,,1/27/2023 1:47pm,", AL",-87.016506,32.43312,unclear_coded_by_hand,Found
73,Chucker's,,"(YC),(M),(PT),(*)",2121 6th St.,Bars/Clubs,Tuscaloosa,AL,NA,1989,NA,,6/8/2022 12:52pm,"2121 6th St., Tuscaloosa, AL",-87.5641622,33.209905,"2121 6th st, tuscaloosa, al 35401, usa",Geocoded
74,Bus Station,,Cruisy Area,,Cruising Areas,Tuscaloosa,AL,checked,1989,NA,,1/27/2023 1:36pm,", AL",-87.569173,33.209841,unclear_coded_by_hand,General Coordinates Used
75,U. of Alabama at Tus.,Ferguson Center,Cruisy Area,,Cruising Areas,Tuscaloosa,AL,checked,1989,NA,,1/27/2023 1:45pm,", AL",-87.545665,33.214516,unclear_coded_by_hand,Found
76,U. of Alabama at Tus.,Library,Cruisy Area,,Cruising Areas,Tuscaloosa,AL,checked,1989,NA,,1/27/2023 1:46pm,", AL",-87.545974,33.211827,unclear_coded_by_hand,Found
77,U. of Alabama at Tus.,Old Union Bldg.,Cruisy Area,,Cruising Areas,Tuscaloosa,AL,checked,1989,NA,,1/27/2023 1:45pm,", AL",-87.548999,33.209563,unclear_coded_by_hand,Found
78,Union 76 Truck Stop,I-20 & US 59,Cruisy Area,,Cruising Areas,Tuscaloosa,AL,checked,1989,NA,,1/27/2023 1:46pm,", AL",-87.569173,33.209841,unclear_coded_by_hand,General Coordinates Used
79,Adults Only Bookstore,(Cruisy),,3956 Spenard Rd.,"Book Store,Cruising Areas,Erotic Shop",Anchorage,AK,NA,1989,NA,,7/19/2022 12:52pm,"3956 Spenard Rd., Anchorage, AK",-149.9262816,61.184545,"3956 spenard rd, anchorage, ak 99517, usa",Geocoded
80,Anchorage Book Mart,(Cruisy),,137 E. 5th St.,"Book Store,Cruising Areas",Anchorage,AK,NA,1989,NA,,6/8/2022 12:54pm,"137 E. 5th St., Anchorage, AK",-149.8848271,61.2176917,"137 e 5th ave, anchorage, ak 99501, usa",Geocoded
81,French Quarter,(Books),,4028 Mountain View,Book Store,Anchorage,AK,NA,1989,NA,,6/8/2022 12:52pm,"4028 Mountain View, Anchorage, AK",-149.8056056,61.2239302,"4028 mountain view dr, anchorage, ak 99508, usa",Geocoded
82,Identity & Gay Hotline,(907) 276-3909,,"P.O. Box 4-2791, 99509",Hotline,Anchorage,AK,checked,1989,NA,,1/27/2023 7:16pm,"P.O. Box 4-2791, 99509, AK",-149.850373,61.218923,unclear_coded_by_hand,General Coordinates Used
83,M.C.C.,,(MCC),602 W. 10th Ave.,Religious Institution,Anchorage,AK,NA,1989,NA,,7/25/2022 1:58pm,"602 W. 10th Ave., Anchorage, AK",-149.8937558,61.2122999,"602 w 10th ave, anchorage, ak 99501, usa",Geocoded
84,One in Ten,(Publication),,"328 Bonaface Pkwy. #2499, 99504",Publication,Anchorage,AK,checked,1989,NA,,1/27/2023 7:18pm,"328 Bonaface Pkwy. #2499, 99504, AK",-149.779281,61.222065,unclear_coded_by_hand,Found
85,Raven,(Enter through parking lot on 6th),"(*),(YC),(W),(SM),(D),(PT)",618 Gambell,Bars/Clubs,Anchorage,AK,NA,1989,NA,,6/8/2022 12:52pm,"618 Gambell, Anchorage, AK",-149.8715911,61.2162358,"618 gambell st, anchorage, ak 99501, usa",Geocoded
86,Swinger Book Store,,,710 W. Northern Lights Blvd.,Book Store,Anchorage,AK,NA,1989,NA,,6/8/2022 12:52pm,"710 W. Northern Lights Blvd., Anchorage, AK",-149.897326,61.1951308,"710 w northern lights blvd, anchorage, ak 99503, usa",Geocoded
87,The Village,(Disco) (Some L),"(YC),(L),(*)",225 E. 5th Ave.,Bars/Clubs,Anchorage,AK,NA,1989,NA,,6/8/2022 12:52pm,"225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa",Geocoded
88,Women's Resource Center Books,,,111 W. 9th St.,"Organization,Book Store",Anchorage,AK,NA,1989,NA,,7/25/2022 1:58pm,"111 W. 9th St., Anchorage, AK",-149.8838751,61.2138966,"111 w 9th ave, anchorage, ak 99501, usa",Geocoded
89,'C' St.,at 4th Ave.,Cruisy Area,,Cruising Areas,Anchorage,AK,checked,1989,NA,,1/27/2023 1:50pm,", AK",-149.887673,61.218718,unclear_coded_by_hand,Found
90,Fred Myers Dept. Store,,Cruisy Area,,Cruising Areas,Anchorage,AK,checked,1989,NA,,1/27/2023 7:16pm,", AK",-149.735829,61.211142,unclear_coded_by_hand,Found
91,Park Strip,at 9th & 'L' Sts,Cruisy Area,,Cruising Areas,Anchorage,AK,checked,1989,NA,,1/27/2023 7:19pm,", AK",-149.903704,61.213666,unclear_coded_by_hand,Found
92,Penney's Mall,,Cruisy Area,,Cruising Areas,Anchorage,AK,checked,1989,NA,,1/27/2023 7:19pm,", AK",-149.890085,61.216996,unclear_coded_by_hand,Found
93,Sears Mall,,Cruisy Area,,Cruising Areas,Anchorage,AK,checked,1989,NA,,1/27/2023 7:20pm,", AK",-149.872276,61.19426,unclear_coded_by_hand,Found
94,Gay Info Line,(907) 456-3353,,,Hotline,Fairbanks,AK,checked,1989,NA,,1/27/2023 7:34pm,", AK",-147.716389,64.837778,unclear_coded_by_hand,General Coordinates Used
95,International Bookstore,(Cruisy),(F&S),106 Old Richardson Hwy.,"Book Store,Cruising Areas",Fairbanks,AK,NA,1989,NA,,6/8/2022 12:54pm,"106 Old Richardson Hwy., Fairbanks, AK",-147.7064459,64.8192129,"106 old richardson hwy, fairbanks, ak 99701, usa",Geocoded
96,Bentley Mall,,Cruisy Area,,Cruising Areas,Fairbanks,AK,checked,1989,NA,,1/27/2023 7:34pm,", AK",-149.888942,61.216889,unclear_coded_by_hand,Found
97,"U. of Alaska,",Gym,Cruisy Area,,Cruising Areas,Fairbanks,AK,checked,1989,NA,,1/28/2023 11:52am,", AK",-147.820022,64.856934,unclear_coded_by_hand,Found
98,"U. of Alaska,",Wood Ctr.,Cruisy Area,,Cruising Areas,Fairbanks,AK,checked,1989,NA,,1/28/2023 11:51am,", AK",-147.823517,64.857341,unclear_coded_by_hand,Found
99,"U. of Alaska,",Lib,Cruisy Area,,Cruising Areas,Fairbanks,AK,checked,1989,NA,,1/28/2023 11:51am,", AK",-147.820022,64.856934,unclear_coded_by_hand,Found
100,Red Dog Saloon,,"(M),(*)",175 S. Franklin St.,Bars/Clubs,Juneau,AK,NA,1989,NA,,6/8/2022 12:52pm,"175 S. Franklin St., Juneau, AK",-134.4047656,58.3001935,"175 s franklin st, juneau, ak 99801, usa",Geocoded
101,Summit Hotel Bar,(rear),(M),455 S. Franklin St.,"Bars/Clubs,Hotel",Juneau,AK,NA,1989,NA,,1/18/2023 9:26am,"455 S. Franklin St., Juneau, AK",-134.400941,58.297064,"455 s franklin st, juneau, ak 99801, usa",Geocoded
102,Merchants Wharf,,Cruisy Area,,Cruising Areas,Juneau,AK,checked,1989,NA,,2/3/2023 9:47pm,", AK",-134.407901,58.299399,unclear_coded_by_hand,Found
103,Tom Sawyer's,"(Jewelry, gifts, etc.)",,,Book Store,Ketchikan,AK,checked,1989,NA,Front & Mission Sts.,2/3/2023 9:48pm,", AK",-131.646876,55.341232,unclear_coded_by_hand,Found
104,Hitch-hikers,along Tongass Hwy,Cruisy Area,,Cruising Areas,Ketchikan,AK,checked,1989,NA,,2/3/2023 9:47pm,", AK",-131.646111,55.342222,unclear_coded_by_hand,General Coordinates Used
105,Frontier,"No gay bars, but some downtown bars such as, can be cruisy",Cruisy Area,,Cruising Areas,Ketchikan,AK,checked,1989,NA,,2/3/2023 9:47pm,", AK",-131.646111,55.342222,unclear_coded_by_hand,General Coordinates Used
106,Kodiak Gay Alliance,,,"P.O. Box 2253, 99615",Organization,Kodiak Island,AK,checked,1989,NA,,2/3/2023 10:45pm,"P.O. Box 2253, 99615, AK",-153.495022,57.491246,unclear_coded_by_hand,General Coordinates Used
107,Arkansas Gay/ Lesbian Rights,,,"P.O. Box 2897, 72702",Organization,Fayetteville,AR,checked,1989,NA,,2/3/2023 11:36pm,"P.O. Box 2897, 72702, AR",-94.157853,36.066242,unclear_coded_by_hand,General Coordinates Used
108,M.C.C. Ozarks,(501) 443-4278,(MCC),,Religious Institution,Fayetteville,AR,checked,1989,NA,Kenray at Plainview,2/3/2023 11:36pm,", AR",-94.157853,36.066242,unclear_coded_by_hand,General Coordinates Used
109,St. Johns Disco,(Disco),"(*),(YC)",214 N.W. Ave.,Bars/Clubs,Fayetteville,AR,NA,1989,NA,,6/8/2022 12:52pm,"214 N.W. Ave., Fayetteville, AR",-94.1654805,36.0649938,"214 n west ave, fayetteville, ar 72701, usa",Geocoded
110,Flat Rock 'BA' Beach,"(Active) 18mi. S.E. on Ark. 23, L. at Madison Co. line, cross White River to 1st metal gate on R., trail 3/4 mi.",Cruisy Area,,Cruising Areas,Fayetteville,AR,checked,1989,NA,,2/3/2023 11:36pm,", AR",-94.157853,36.066242,unclear_coded_by_hand,General Coordinates Used
111,Lake Fayetteville,,Cruisy Area,,Cruising Areas,Fayetteville,AR,checked,1989,NA,,2/3/2023 11:36pm,", AR",-94.144443,36.135807,unclear_coded_by_hand,Found
112,U. of Arkansas,(Fine arts building-basement),Cruisy Area,,Cruising Areas,Fayetteville,AR,checked,1989,NA,,2/3/2023 11:37pm,", AR",-94.172907,36.068685,unclear_coded_by_hand,Found
113,Court Garden,,"(D),(P)",305 Garrison Ave.,Bars/Clubs,Ft. Smith,AR,NA,1989,NA,,6/8/2022 12:52pm,"305 Garrison Ave., Ft. Smith, AR",-94.4275591,35.3891928,"305 garrison ave, fort smith, ar 72901, usa",Geocoded
114,M.C.C.,,(MCC),1007 S. 25th St.,Religious Institution,Ft. Smith,AR,NA,1989,NA,,7/25/2022 1:58pm,"1007 S. 25th St., Ft. Smith, AR",-94.4055869,35.3737743,"1007 s 25th st, fort smith, ar 72901, usa",Geocoded
115,Village Landing,(Disco) (Some L),"(*),(YC),(L)",3028 N. 6th St.,Bars/Clubs,Ft. Smith,AR,NA,1989,NA,,6/8/2022 12:52pm,"3028 N. 6th St., Ft. Smith, AR",-94.4003782,35.4090865,"3028 n 6th st, fort smith, ar 72904, usa",Geocoded
116,'The Block',around Tradewinds Motel,Cruisy Area,,Cruising Areas,Ft. Smith,AR,checked,1989,NA,,2/3/2023 11:41pm,", AR",-94.398547,35.385924,unclear_coded_by_hand,General Coordinates Used
117,6th & Garrison,,Cruisy Area,,Cruising Areas,Ft. Smith,AR,checked,1989,NA,,2/3/2023 11:41pm,", AR",-94.425237,35.387237,unclear_coded_by_hand,Found
118,Ft. Smith Park,,Cruisy Area,,Cruising Areas,Ft. Smith,AR,checked,1989,NA,,2/3/2023 11:41pm,", AR",-94.398547,35.385924,unclear_coded_by_hand,General Coordinates Used
119,Creekman Park,,Cruisy Area,,Cruising Areas,Ft. Smith,AR,checked,1989,NA,,2/3/2023 11:41pm,", AR",-94.398265,35.370889,unclear_coded_by_hand,Found
120,Tiles Park,,Cruisy Area,,Cruising Areas,Ft. Smith,AR,checked,1989,NA,,2/3/2023 11:41pm,", AR",-94.39163,35.386442,unclear_coded_by_hand,Found
