"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"Delta Service Station","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Quest","Found","(Cruisy)
","416 24th St. S. at 5th Ave. S.
",33.510844,-86.796173,"Birmingham","AL","(C&W),(*)","Cruising Areas",1988,"checked","",NA,NA
"Fort McClellan Mall","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Lagarde Park","Found","","",33.692729,-85.823936,"Anniston","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Noble St. betw. 8th & 16th","Found","","",33.658482,-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Haley Center","Found","(4th floor)","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Autaugaville Rec. Park","General Coordinates Used","","",32.434025,-86.654702,"Autaugaville","AL","Cruisy Area,(B),(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"Jr. Food Store","General Coordinates Used","(Late nights)","",32.434025,-86.654702,"Autaugaville","AL","(B),Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Alabama Forum ","General Coordinates Used","(Publication)","Box 55913, Birm. 35255",33.518589,-86.810357,"Birmingham","AL","","Bars/Clubs",1988,"checked","",NA,NA
"The Downtown Bookstore ","General Coordinates Used","","8th Ave. ",33.518589,-86.810357,"Birmingham","AL","","Book Store",1988,"checked","",NA,NA
"Rushton Park","Found","","",33.506402,-86.780064,"Birmingham","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Woodrow Wilson Park ","Found","(AYOR-'Fuzz')","",33.520773,-86.809888,"Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"Gay Awareness","General Coordinates Used","","P.O Box 821, Birm. 35255",32.609857,-85.480782,"Auburn","AL","","Organization",1988,"checked","",NA,NA
"Point Mallard Inn","Found","","16th & Johnston",34.57121,-86.93589,"Decatur","AL","(M),(H)","Hotel",1988,"checked","",NA,NA
"Victor's Gateway Shopping Center","Found","","Hwy. 31 S.",34.573998,-86.975861,"Decatur","AL","(M)","Business",1988,"checked","",NA,NA
"Amtrak & Greyhound Depots","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Beltine Mall","Found","","",34.572401,-87.017448,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Castman","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Knott Store","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Delano Park","Found","(Nr. Picnic Tables)","",34.597248,-86.976437,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Point Mallard Park","Found","(Swimmin Hole) (Summers)","",34.57121,-86.93589,"Decatur","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"The 'Pumps'","General Coordinates Used","(Fuzz- AYOR)","",34.605925,-86.983342,"Decatur","AL","Cruisy Area,(AYOR)","Cruising Areas",1988,"checked","",NA,NA
"Scooter McGee's","General Coordinates Used","","",31.223231,-85.390489,"Dothan","AL","(M)","Bars/Clubs",1988,"checked","",NA,NA
"Ross Clark Circle","Found","","Montgomery Hwy.",31.203634,-85.419622,"Dothan","AL","","Bars/Clubs",1988,"checked","",NA,NA
"St. Andrews Alley ","Found","","134-A N. Foster St.",31.224087,-85.391872,"Dothan","AL","(*),(D),(S)","Bars/Clubs",1988,"checked","",NA,NA
"TVA Reservation","Found","(Summers)","",34.782849,-87.634863,"Florence","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Veterans Park","Found","(Days)","",34.810267,-87.624912,"Florence","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
"Wilson Park","Found","(Nights)","",34.80322,-87.675219,"Florence","AL","Cruisy Area","Cruising Areas",1988,"checked","",NA,NA
