ID2,title,streetaddress,description,city,state,amenityfeatures,Year,type,unclear_address,unclear type or question,notes,Last Modified
1,Lagarde Park,,,Anniston,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:35pm
2,Noble St. betw. 8th & 16th,,,Anniston,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
3,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U),,,Auburn,AL,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
4,Autaugaville Rec. Park,,,Autaugaville,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
22,Rushton Park,,,Birmingham,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
23,'The Pumps',,,Decatur,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
24,Amtrak & Greyhound Depots,,,Decatur,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
25,Beltline Mall,,,Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
26,Delano Park nr. Picnic Tables,,,Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
27,Point Mallard Park-Swimmin' Hole,,(Summers),Decatur,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
29,Veterans Park,,(Days),Florence,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
30,Wilson Park,,(Nights),Florence,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
32,Gay Helpline,,539-3424 24hrs and AIDS referral service,Huntsville,AL,,1990,Info Lines & Services,checked,,(205) area code,4/24/2023 12:37pm
33,Pink Triangle Alliance ,"P.O. Box 784, 35804",539-4235 resource & info line until 10pm,Huntsville,AL,,1990,Info Lines & Services,checked,,(205) area code,4/24/2023 12:37pm
36,MCC,"P.O Box 10021, 35801",533-6220 worship 11am Sun,Huntsville,AL,(MCC),1990,Religious Organizations,checked,,(205) area code,4/24/2023 12:37pm
37,Observation Point,,On Governer Dr. (The Overlook),Huntsville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
38,Germania Springs,,,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
39,Jacksonville State U. ,,Bibb Graves Hall,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
40,Jacksonville State U. ,,Ayer Hall 2nd floor,Jacksonville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
46,MCC,,476-9142 group meets weekly,Mobile,AL,(MCC),1990,Religious Organizations,checked,,(205) area code,4/24/2023 12:37pm
47,Old State Park,,"(Opp, Holiday Inn- off causeway)",Mobile,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
50,Lee St.,,betw. Bus Depots & Church St.,Montgomery,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
51,Oak Park,,(Days only),Montgomery,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
52,Prattville Park,,,Prattville,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
53,Selma Mall-Broad St.,,,Selma,AL,Cruisy Area,1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
54,Gay/Lesbain Support Service,"P.O. Box 4595, 35486, ",348-8494 taped info,Tuscaloosa,AL,,1990,Info Lines & Services,checked,,(205) area code,4/24/2023 12:37pm
55,Bus Station,,,Tuscaloosa,AL,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(205) area code,4/24/2023 12:37pm
56,AA Gay/Lesbian ,,272-2312 call for times and location,Anchorage,AK,,1990,Info Lines & Services,checked,,(907) area code,4/24/2023 12:37pm
65,Park Strip at 9th & 'L' Sts,,,Anchorage,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
66,Gay Info Line,,456-3353 message machine ,Fairbanks,AK,,1990,Info Lines & Services,checked,,(907) area code,4/24/2023 12:37pm
68,Bentley Mall,,,Fairbanks,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
69,"U. of Alaska, ",,Gym,Fairbanks,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
70,"U. of Alaska, ",,Wood Ctr.,Fairbanks,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
71,"U. of Alaska, ",,Lib.,Fairbanks,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
72,S.E. Alaska Gay/Lesbian Switchboard,"P.O. Box 211371, Auke Bay 99821","586-4297 social group, 7pm-9pm Tue, call for more info",Juneau,AK,,1990,Info Lines & Services,checked,,(907) area code,4/24/2023 12:37pm
74,Merchants Wharf,,,Juneau,AK,Cruisy Area,1990,Cruising Areas,checked,,(907) area code,4/24/2023 12:37pm
76,Rest Stops N. on I-10,,,Casa Grande,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
77,Gay Alliance of Northern Arizona ,,525-1199,Flagstaff,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
78,Gay Social Group ,,meets 3rd Tues at Holiday Inn 7:30,Flagstaff,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
79,N.A.U. Gay Academic Union,,"525-1199 meets 1st & 3rd Thurs, call for location",Flagstaff,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
82,GANA Newsletter,"P.O. Box 183, 86002",monthly newsletter,Flagstaff,AZ,,1990,Publications,checked,,(602) area code,4/24/2023 12:37pm
83,Thorp Park,,Sunset & WE,Flagstaff,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
84,Bowling Alley & Rec Centerc,,,Ft. Huachuca,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
86,London Bridge,,,Lake Havasu City,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
87,Reed & Pioneer Park,,,Mesa,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
88,AA Gay/Lesbian ,,Sat 8pm at Humanspace Books,Phoenix,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
89,AA Gay/Lesbian ,,"264-1341 (AA#) Mon 8:30pm, Tue, Thur, Fri, Sat 8pm, Fri 12 midnight, Sun 4, 7pm",Phoenix,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
90,AA Gay/Lesbian ,,"at Casa de Cristo Evangelical Church, Mon 6pm, Sun 2:30pm",Phoenix,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
91,Gay/Lesbian Assistance Switchboard,,234-2752 10am-10pm,Phoenix,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
92,Open Quest Institute,,(800)992-9239 24 hour Crisis Hotline,Phoenix,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
93,Old Town Bed & Breakfast,,"257-1606 b&b, open year round, may change in spring '89",Phoenix,AZ,(SW),1990,Accommodations,checked,,(602) area code,4/24/2023 12:37pm
95,Westways,"P.O. Box 41624, 85080","582-3868 private desert resort, advance reservations only",Phoenix,AZ,"(*),(MW),(SW),(IGTA)",1990,Accommodations,checked,,(602) area code,4/24/2023 12:37pm
104,Durango's,,271-9017 opens 1pm,Phoenix,AZ,(D),1990,Bars,checked,,at Flex Complex (602) area code,4/24/2023 12:37pm
108,Little Jim's 307,,222 E. Roosevelt 252-0001 open 6am-1am,Phoenix,AZ,(S),1990,Bars,checked,,(602) area code,4/24/2023 12:37pm
121,Affirmation Mormon,,"921-4025 mtgs 2nd Mon 7:30pm, call for location",Phoenix,AZ,,1990,Religious Organizations,checked,,(602) area code,4/24/2023 12:37pm
123,Dignity/Integrity ,,258-2556 Mass 1st & 3rd Sun,Phoenix,AZ,,1990,Religious Organizations,checked,,(602) area code,4/24/2023 12:37pm
125,Mishpachat-AM,,996-5001 Jewish group,Phoenix,AZ,,1990,Religious Organizations,checked,,(602) area code,4/24/2023 12:37pm
127,Phoenix Resource,"P.O. Box 5948,85010",256-7476,Phoenix,AZ,,1990,Publications,checked,,(602) area code,4/24/2023 12:37pm
128,Western Express,"P.O. Box 5950, 85010-5950",254-1324,Phoenix,AZ,,1990,Publications,checked,,(602) area code,4/24/2023 12:37pm
136,Encanto Park,,,Phoenix,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
137,Metro Center,,,Phoenix,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
138,Moeur Park,,,Phoenix,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
139,Papago Park,,,Phoenix,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
140,Thunderbird Park 59th Ave. & Pinnacle Peak Rd.,,,Phoenix,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
142,A.S.U. Student Union-Library,,,Tempe,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
143,Papago Park (Southern part),,,Tempe,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
144,City Park,,,Tombstone,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
145,AA Gay/Lesbian ,,"624-4183 meets 8:15pm Mon & Thurs, 8pm Fri & men only Sat (Call for time)",Tucson,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
146,Couples of Tucson,"P.O. Box 78613, 85703 ",888-8694,Tucson,AZ,,1990,Info Lines & Services,checked,,(602) area code,4/24/2023 12:37pm
148,Back Pocket,,at Joshua Tree bar quiet bar,Tucson,AZ,,1990,Bars,checked,,(602) area code,4/24/2023 12:37pm
160,Dignity ,"P.O. Box 27929, 85726",,Tucson,AZ,,1990,Religious Organizations,checked,,(602) area code,4/24/2023 12:37pm
161,Lutherans Concerned ,,322-6334 meets 3rd Sat of each month,Tucson,AZ,,1990,Religious Organizations,checked,,(602) area code,4/24/2023 12:37pm
163,The Observer,"P.O. Box 50733, 85703",662-7176,Tucson,AZ,,1990,Publications,checked,,(602) area code,4/24/2023 12:37pm
165,Himmel Park,,,Tucson,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
166,Reid Park,,,Tucson,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
167,U. of Arizona ,,(Econ bld.),Tucson,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
168,U. of Arizona ,,(1st flr. library),Tucson,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
169,Rest Stop I-40 15 mi. west Both Sides,,,Winslow,AZ,Cruisy Area,1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
172,Joe Henry Park,,,Yuma,AZ,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(602) area code,4/24/2023 12:37pm
173,BeBe's,Hwy. 7 North,862-6969,El Dorado,AR,"(MX),(MW),(D),(S)",1990,Bars,checked,,(501) area code,4/24/2023 12:37pm
178,AA Gay/Lesbian ,,"253-9337 (MCC#) 7:30pm Mon, call for location",Fayetteville,AR,,1990,Info Lines & Services,checked,,(501) area code,4/24/2023 12:37pm
180,Flat Rock 'BA Beach ,,(Mixed crowd but fun),Fayetteville,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
181,Lake Fayetteville,,,Fayetteville,AR,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
182,U. of Arkansas Fine art building-basement,,,Fayetteville,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
185,6th & Garrison Sts.,,,Ft. Smith,AR,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
186,Ft. Smith Park,,,Ft. Smith,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
187,Creekman Park,,,Ft. Smith,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
188,Tiles Park,,,Ft. Smith,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
190,DeSoto Park,,,Hot Springs,AR,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
192,Gay/Lesbian Switchboard,PO Box 45053 ,666-3340 6:30pm-10:30pm,Little Rock,AR,,1990,Info Lines & Services,checked,,(501) area code,4/24/2023 12:37pm
193,Open Quest Institute,,(800) 992-9239 24 hour Crisis Hotline,Little Rock,AR,,1990,Info Lines & Services,checked,,(501) area code,4/24/2023 12:37pm
196,Chris's Saloon,,(at the Little Rock Inn) 376-8301 ,Little Rock,AR,"(MX),(MW),(D),(CW)",1990,Bars,checked,,(501) area code,4/24/2023 12:37pm
200,Travel by Philip,"PO Box 5119, 72225,",663-5119,Little Rock,AR,(IGTA),1990,Travel/Tour Operators,checked,,(501) area code,4/24/2023 12:37pm
203,Arkansas Advisor,"PO Box  4397, 72214",666-6900,Little Rock,AR,,1990,Publications,checked,,(501) area code,4/24/2023 12:37pm
205,Boyle Park,,,Little Rock,AR,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
206,'Rest Stop'-Prairie Creek Rec. area,,,Prairie Creek,AR,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
207,"Russellville State Park, Lake Dardanelle ",,,Russellville,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
208,'Mary Sue' Rest Stop I-10 E. 1 1/2 mi. E. of State Line Ave.,,,Texarkana,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
209,'Ruth Ann' Rest Stop I-30 W. 1/2 mi. W. of State Line Ave.,,,Texarkana,AR,Cruisy Area,1990,Cruising Areas,checked,,(501) area code,4/24/2023 12:37pm
210,Double Tree Ranch,"P.O. Box 52, 72474",239-9031 RV park and camp sites,Walcott,AR,(MW),1990,Accommodations,checked,,(501) area code,4/24/2023 12:37pm
213,Atascadero Lake County Pk.-nr zoo,,,Atascadero,CA,Cruisy Area,1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
214,'BA' beach on American River-downstream,,,Auburn,CA,Cruisy Area,1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
216,Friends ,,871-0228 support group and community outreach,Bakersfield,CA,,1990,Info Lines & Services,checked,,(805) area code,4/24/2023 12:37pm
217,Gay/Lesbian Phone Line,,"328-0729 (Message machine), support & social info",Bakersfield,CA,,1990,Info Lines & Services,checked,,(805) area code,4/24/2023 12:37pm
220,Gay/Lesbian Catholics,,664-1744 7pm 1st & 3rd Sun Call for location,Bakersfield,CA,,1990,Religious Organizations,checked,,(805) area code,4/24/2023 12:37pm
221,Grace Community Chapel (Evangelicals),,832-0837 call for times and location,Bakersfield,CA,,1990,Religious Organizations,checked,,(805) area code,4/24/2023 12:37pm
226,Beach Park-21st & Oak Sts.,,(Nights),Bakersfield,CA,Cruisy Area,1990,Cruising Areas,checked,,(805) area code,4/24/2023 12:37pm
227,Bus Depot,,,Bakersfield,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(805) area code,4/24/2023 12:37pm
228,Valley Plaza,,,Bakersfield,CA,Cruisy Area,1990,Cruising Areas,checked,,(805) area code,4/24/2023 12:37pm
229,Barstow Mall,,,Barstow,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
230,Bus Depot,,,Barstow,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
231,Fruit Punch,,94.1-FM gay/lesbian radio 10pm Wed,Berkeley,CA,,1990,Info Lines & Services,checked,,,4/24/2023 12:37pm
232,Gay Switchboard ,,"(At Pacific Center) 841-6224 10am-10pm Mon-Fri 1pm-4pm Sat, clsd Sun",Berkeley,CA,,1990,Info Lines & Services,checked,,(415) area code,4/24/2023 12:37pm
234,White Horse,,See Oakland Listings,Berkeley,CA,,1990,Bars,checked,,(415) area code,4/24/2023 12:37pm
239,Aquatic Park,,,Berkeley,CA,Cruisy Area,1990,Cruising Areas,checked,,(415) area code,4/24/2023 12:37pm
240,U. of CA. Hearst Gym,,,Berkeley,CA,Cruisy Area,1990,Cruising Areas,checked,,(415) area code,4/24/2023 12:37pm
242,Grey Squirrel Cabins,"Box 5404, 92315","866-4335 cabins & rooms, jacuzzi, pets by arrangement",Big Bear,CA,(SW),1990,Accommodations,checked,,(714) area code,4/24/2023 12:37pm
243,Brea Mall,,,Brea,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
246,Buena Park Mall,,,Buena Park,CA,Cruisy Area,1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
249,Bus Depot,,,Calexico,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
250,Carmel Park Beach from Dunes to N. end,,,Carmel,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
251,Gay Hotline,,891-5718 taped info,Chico,CA,,1990,Info Lines & Services,checked,,(916) area code,4/24/2023 12:37pm
253,"Bidwell Park Cedar Grove & upper part, by the river",,,Chico,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(916) area code,4/24/2023 12:37pm
260,Austin Beach Park-Clear Lake Highlands,,,Clear Lake,CA,Cruisy Area,1990,Cruising Areas,checked,,(707) area code,4/24/2023 12:37pm
261,Kneeling Park,,(Fun),Clear Lake,CA,Cruisy Area,1990,Cruising Areas,checked,,(707) area code,4/24/2023 12:37pm
262,Library Park-Lakeport,,,Clear Lake,CA,Cruisy Area,1990,Cruising Areas,checked,,(707) area code,4/24/2023 12:37pm
263,Bay Area Network Gay/Lesbian Educators,,827-2960 1st Thurs 7:30pm at MCC location,Concord,CA,,1990,Info Lines & Services,checked,,(415) area code,4/24/2023 12:37pm
264,GLAD Alliance,,"827-2960 at MCC location, community support group social events",Concord,CA,,1990,Info Lines & Services,checked,,(415) area code,4/24/2023 12:37pm
274,Orange Coast College ,,Fine Arts bldg,Costa Mesa,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
275,Orange Coast College ,,Men's P.E. bldg,Costa Mesa,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
276,South Coast Plaza Shopping Center,,,Costa Mesa,CA,Cruisy Area,1990,Cruising Areas,checked,,(714) area code,4/24/2023 12:37pm
278,Henry Dana St. Park,,,Dana Point,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
281,Wells Park,,,El Cajon,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
282,Adams Park,,,El Centro,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
283,El Centro Park,,,El Centro,CA,"Cruisy Area,(AYOR)",1990,Cruising Areas,checked,,,4/24/2023 12:37pm
288,Grape Day Park-Heritage section,,,Escondido,CA,Cruisy Area,1990,Cruising Areas,checked,,(619) area code,4/24/2023 12:37pm
289,Gay Men's Support Group,"PO Box 73, 94533",448-1010 rap&social meeting 7:30pm Thurs,Fairfield,CA,,1990,Info Lines & Services,checked,,(707) area code,4/24/2023 12:37pm
290,Solano County Gay/Lesbian Info Line,,"448-1010 6pm-10pm Wed, tape other times",Fairfield,CA,,1990,Info Lines & Services,checked,,(707) area code,4/24/2023 12:37pm
291,Adult Book Store-Le Sex Shoppe,,24hrs,Fontana,CA,,1990,Erotica/Adult Groups,checked,,Valley Blvd. nr Cherry (714) area code,4/24/2023 12:37pm
292,Dehaven Valley Farm,,"10 mi. N. of Ft. Bragg 
 P.O. Box 211, 95488 961-1660 B&B",Fort Bragg,CA,"(MX),(MW),(IGTA)",1990,Accommodations,checked,,,4/24/2023 12:37pm
294,Coyote Hills Regional Park,,,Fremont,CA,Cruisy Area,1990,Cruising Areas,checked,,,4/24/2023 12:37pm
296,Gay/Lesbian Info Line,,264-1565 (tape),Fresno,CA,,1990,Info Lines & Services,checked,,(209) area code,4/24/2023 12:37pm
308,Radio Park 1st & Clinton,,,Fresno,CA,Cruisy Area,1990,Cruising Areas,checked,,(209) area code,4/24/2023 12:37pm
