ID,title,status,description,streetaddress,lat,lon,city,state,amenityfeatures,type,Year,unclear_address,uncleartype,notes,lastmodified
28,The 'Pumps' ,General Coordinates Used,( Fishing area aross bridge from Old Hwy 31 N.),,34.605925,-86.983342,Decatur,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/4/2022 3:55pm
29,Rodco's Holiday Inn,General Coordinates Used,,Ross Clark Circle,31.223231,-85.390489,Dothan,AL,,Hotel,1984,checked,,,2/8/2022 4:07am
31,Bus Depot,Found,,,34.79981,-87.677251,Florence,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/4/2022 3:56pm
32,J.C. Penney's ,Found,Regency Square Mall,,34.837386,-87.634945,Florence,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/4/2022 3:59pm
33,Wilson Dam Overlook,Found,MacLaughlin Park,,34.783895,-87.684,Florence,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 3:32am
34,Exchange Lounge,Found,,Gadsen Mall,33.99569,-86.007024,Gadsen,AL,"(M),(YC),(R)",Restaurant,1984,checked,,,2/8/2022 4:05am
40,Square at Franklin & Randolph ,Found,(AYOR-'Fuzz'),,34.730369,-86.586104,Huntsville,AL,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/13/2022 2:20pm
38,Holiday Inn Bar,General Coordinates Used,,3810 University,34.730369,-86.586104,Huntsville,AL,Cruisy Area,"Cruising Areas,Bars/Clubs,Hotel",1984,checked,,,2/4/2022 4:14pm
39,Lee Mall ,General Coordinates Used,(Cl. 4pm) (Upstairs T-Room),,34.730369,-86.586104,Huntsville,AL,"Cruisy Area,(*)",Cruising Areas,1984,checked,,,2/4/2022 4:17pm
41,Trailways Bus Depot,General Coordinates Used,,,34.730369,-86.586104,Huntsville,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 3:36am
43,Jacksonville St. U. ,Found,(Ayer Hall- 2nd floor T-Rooms),,33.824104,-85.765878,Jacksonville,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 3:42am
42,Jacksonville St. U. ,Found,(Bibb Graves Hall- 2nd floor T-Rooms),,33.822939,-85.765343,Jacksonville,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 3:42am
48,Beinville Square,Found,(AYOR at night) (Fuzz) (Many B),,30.692229,-88.042546,Mobile,AL,"(AYOR),(B),Cruisy Area",Cruising Areas,1984,checked,,,2/7/2022 3:44am
50,Luscher Park,Found,,,30.628862,-88.102592,Mobile,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 3:46am
49,MidTown Cinema,Found,,,30.691199,-88.044599,Mobile,AL,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/7/2022 3:50am
51,Woolworth's ,General Coordinates Used,'T-Room',,30.695366,-88.039891,Mobile,AL,Cruisy Area,Cruising Areas,1984,checked,,it was located somewhere on Dauphin St. :https://www.pinterest.com/pin/126452702013172999/,2/7/2022 3:55am
57,Church St. betw. Lee & Molton,Found,,,32.37535,-86.309754,Montgomery,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/13/2022 2:27pm
56,Block around Post Office,General Coordinates Used,,,32.379223,-86.307737,Montgomery,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 4:00am
53,Gat Help Line & U.B.U. ,General Coordinates Used,(9am-10pm) (205) 277-5103,,32.379223,-86.307737,Montgomery,AL,,Hotline,1984,checked,,,2/7/2022 9:58am
58,Lee St. ,General Coordinates Used,(Betw. Bus Depots),,32.379223,-86.307737,Montgomery,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:00am
55,M.C.C.,General Coordinates Used,,"P.O. Box 603, Montgomery, AL 36101",32.379223,-86.307737,Montgomery,AL,(MCC),Religious Institution,1984,checked,,,2/7/2022 10:06am
59,Omelet Shop ,Found,,1017 Columbus Pkwy.,32.643038,-85.351635,Opelika,AL,"(M),(R),(C),(AH),(AYOR),Cruisy Area","Restaurant,Cruising Areas",1984,checked,,,2/8/2022 4:03am
60,Cap'n Hook's ,Found,(Cruisy) (Holiday Inn I-28- Bypass),,32.461534,-85.018611,Phenix City,AL,(M),"Hotel,Cruising Areas",1984,checked,,,2/7/2022 10:12am
65,U. of Alabama at Tuscaloosa,Found,(Ferguson Center),,33.214516,-87.545665,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:26am
65 copy,U. of Alabama at Tuscaloosa,Found,(Library T-Rooms),,33.211827,-87.545974,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:28am
63,Bus Station,General Coordinates Used,,,33.209841,-87.569173,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:19am
66,U. of Alabama at Tuscaloosa ,General Coordinates Used,(2nd floor T-Room) (Old Union Bldg.),,33.214023,-87.539142,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:31am
64,Union 76 Truck Stop at I-20 & US 59 ,General Coordinates Used,(T-Room),,33.209841,-87.569173,Tuscaloosa,AL,Cruisy Area,Cruising Areas,1984,checked,,,2/7/2022 10:33am
76,Fred Myers Dept. Store,Found,(T-Room),,61.211142,-149.735829,Anchorage,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:11am
77,Park Strip at 9th & 'L' Sts.,Found,,,61.213666,-149.903704,Anchorage,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:15am
78,Penney's & Sear Mall,Found,,,61.216996,-149.890085,Anchorage,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:16am
75,'C' St. at 4th Ave.,General Coordinates Used,,,61.218923,-149.850373,Anchorage,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:10am
70,Gay Community Center & Hot Line ,General Coordinates Used,(907) 276-3909,,61.218923,-149.850373,Anchorage,AK,,"Community Centers/Support Groups,Hotline",1984,checked,,,2/8/2022 4:11am
73,Raven ,General Coordinates Used,"(Some YC, W, SM) (Cruisy)(Good afternoons) (Also H-Apt. above)",618 Gambell nr. 6th,61.218056,-149.900278,Anchorage,AK,"(YC),(W),(SM),(D),(*)",Cruising Areas,1984,checked,,,4/27/2022 4:42am
81,U. of Alaska,Found,(Library),,64.856934,-147.820022,Fairbanks,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:43am
81 copy,U. of Alaska,Found,(Constitution Hall),,64.857396,-147.821832,Fairbanks,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:38am
83,U. of Alaska ,Found,(Wood Ctr.),,64.857341,-147.823517,Fairbanks,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:42am
80,Fairbanks Organ. of Gays and Lesbians,General Coordinates Used,,"P.O. Box 55285, Anchorage, AK 99705",64.837778,-147.716389,Fairbanks,AK,,Organization,1984,checked,,,2/8/2022 4:44am
82,U. of Alaska,General Coordinates Used,(Gym),,64.837778,-147.716389,Fairbanks,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:43am
86,Federal Office Bldgs.,Found,,,58.30117,-134.411637,Juneau,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:45am
88,Merchants Wharf ,Found,T-Rooms,,58.299399,-134.407901,Juneau,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:48am
87,State Office Bldgs.,Found,,,58.30117,-134.411637,Juneau,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:46am
89,Hitch-hikers along Tongass Hwy.,General Coordinates Used,"(No gay bars, but some downtown bars such as Frontier & 108 Club on Main St. can be cruisy)",,55.342222,-131.646111,Ketchikan,AK,Cruisy Area,Cruising Areas,1984,checked,,,2/8/2022 4:51am
91,Northern Arizona Univ. ,Found,Library - Basement T-Room,,35.190062,-111.657545,Flagstaff,AZ,Cruisy Area,Cruising Areas,1984,checked,,,4/27/2022 4:49am
93,Thorp Park,Found,(Sunset & WE),,35.203668,-111.658355,Flagstaff,AZ,"Cruisy Area,(WE)",Cruising Areas,1984,checked,,,2/9/2022 3:26pm
92,'Rest Stop' NW on Hwy. 80 ,General Coordinates Used,,,35.198284,-111.651302,Flagstaff,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 3:19pm
94,Schoolhouse Disco,General Coordinates Used,Old Schoolhouse Shops at top of Hill,,34.748911,-112.113772,Jerome,AZ,"(M),(D)",Bars/Clubs,1984,checked,,,2/14/2022 3:13am
95,The Library,General Coordinates Used,,,34.748911,-112.113772,Jerome,AZ,"(M),(R)",Restaurant,1984,checked,,,2/14/2022 3:13am
97,Pioneer Park,Found,,,33.417059,-111.819293,Mesa,AZ,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/9/2022 3:31pm
96,Reed Park,Found,,,33.40753,-111.796167,Mesa,AZ,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,Found this on Mesa P&R website: https://www.mesaparks.com/parks-facilities/parks/reed-park,2/9/2022 3:34pm
98,Tri-City Mall,Found,,,33.414851,-111.873996,Mesa,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 3:35pm
143,Encanto Park,Found,,,33.476672,-112.089974,Phoenix,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/9/2022 3:57pm
146,Greyhound Park,Found,Sundays are cruisy at Park 'n' Swamp,,33.448021,-111.995404,Phoenix,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 3:59pm
148,Metro Center - Shopping Complex - ,Found,nr. ice rink,,33.575048,-112.121702,Phoenix,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 4:08pm
149,Papago Park,Found,,,33.453877,-111.953395,Phoenix,AZ,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/9/2022 4:15pm
144,'Hitch-hikers' 2nd Sts. & Roosevelt Sts.,General Coordinates Used,,2nd & Roosevelt Sts.,33.448377,-112.074037,Phoenix,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 3:41pm
100,Alternative Relations Center ,General Coordinates Used,(602) 274-0927,,33.448377,-112.074037,Phoenix,AZ,,Community Centers/Support Groups,1984,checked,,,2/9/2022 3:41pm
101,Arizona Escort Service ,General Coordinates Used,(Transportantion available) (602) 246-1692,,33.448377,-112.074037,Phoenix,AZ,,Escort Services,1984,checked,,,2/9/2022 3:42pm
103,Best Dirtributing ,General Coordinates Used,,"P.O. Box 27073, Phoenix, AZ 85061",33.448377,-112.074037,Phoenix,AZ,,Book Store,1984,checked,,,2/9/2022 3:45pm
104,Book Cellars ,General Coordinates Used,(Books etc.) (& other locations),2103 E. Camelback Rd.,33.448377,-112.074037,Phoenix,AZ,,Book Store,1984,checked,,,2/9/2022 3:48pm
104 copy,Book Cellars ,General Coordinates Used,(Books etc.) (& other locations),402 W. Hatcher,33.448377,-112.074037,Phoenix,AZ,,Book Store,1984,checked,,,2/9/2022 3:48pm
111,Dignity ,General Coordinates Used,(602) 866-1035,,33.448377,-112.074037,Phoenix,AZ,,Religious Institution,1984,checked,,,2/9/2022 3:53pm
112,Directory ,General Coordinates Used,(Publication) (602) 274-4768,,33.448377,-112.074037,Phoenix,AZ,,Publications,1984,checked,,,2/9/2022 3:53pm
117,Gay Roommate Service ,General Coordinates Used,(602) 938-3972,,33.448377,-112.074037,Phoenix,AZ,,Organization,1984,checked,,,2/9/2022 3:58pm
116,Gay/Lesbian Assistance & Info ,General Coordinates Used,(602) 957-0363,,33.448377,-112.074037,Phoenix,AZ,,Hotline,1984,checked,,,2/9/2022 3:58pm
147,Indian School Rd. ,General Coordinates Used,"56th to 68th- Canal Joggers
",,33.448377,-112.074037,Phoenix,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/9/2022 4:06pm
127,Preferred Escorts ,General Coordinates Used,(602) 258-EDEN,,33.448377,-112.074037,Phoenix,AZ,,Escort Services,1984,checked,,,2/9/2022 4:16pm
141,Western Express ,General Coordinates Used,(Publication) ,"P.O. Box 32575, Phoenix, AZ 85064",33.448377,-112.074037,Phoenix,AZ,,Publications,1984,checked,,,2/9/2022 4:23pm
154,"89A, 18mi. So. of Sedona",General Coordinates Used,bet. Sedona & Cottonwood. Reservations call (602) 634-6152,,34.86974,-111.76099,Sedona,AZ,,Hotel,1984,checked,,,2/9/2022 4:26pm
152,Oak Creek Owl,General Coordinates Used,(1/2 mi. S. of 89A on Ariz.),,34.86974,-111.76099,Sedona,AZ,"(M),(R)",Restaurant,1984,checked,,,2/9/2022 4:26pm
153,Willow Country Guest House,General Coordinates Used,Off Hwy.,179 Point ,34.86974,-111.76099,Sedona,AZ,(H),Hotel,1984,checked,,,2/9/2022 4:29pm
155,'K' Mart T-Room,General Coordinates Used,,,31.5455,-110.277286,Sierra Vista,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 6:45am
159,A.S.U.,Found,(Student Union T-Room),,33.417703,-111.934353,Tempe,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:00am
160,A.S.U.,Found,(Library T-Room),,33.41999,-111.930687,Tempe,AZ,Cruisy Area,Cruising Areas,1984,checked,,,4/27/2022 4:57am
162,Papago Park,Found,(Southern part),,33.453632,-111.948693,Tempe,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:03am
163,'Rest Stop',General Coordinates Used,Hwy 80 N.,,33.42551,-111.940005,Tempe,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/10/2022 6:46am
161,A.S.U.,General Coordinates Used,(Old Gym T-Room),,33.42424,-111.928053,Tempe,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:00am
164,City Park ,Found,T-Room,,31.713073,-110.068154,Tombstone,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:04am
187,'Hitch-hikers' on E. Prince.,Found,,,32.235665,-110.840906,Tucson,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:05am
166,Back Pocket ,Found,(Behind Joshua Tree) (Lunches too),,32.260772,-110.961409,Tucson,AZ,"(R),(*)",Restaurant,1984,checked,,,2/10/2022 7:06am
169,Book Cellar,Found,,3844 E. Grant,32.250306,-110.910989,Tucson,AZ,,Book Store,1984,checked,,,2/10/2022 7:07am
169 copy,Book Cellar,Found,,2505 N. Stone,32.25252,-110.972342,Tucson,AZ,,Book Store,1984,checked,,,2/10/2022 7:07am
188,Himmel Park,Found,,,32.233876,-110.93315,Tucson,AZ,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/10/2022 7:22am
189,Reid Park ,Found,Northside,,32.21032,-110.919078,Tucson,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:25am
190,Sears ,Found,(T-Room - Park Mall),,32.219844,-110.865518,Tucson,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/10/2022 7:26am
192,U. of Arizona,Found,Library,,32.230875,-110.948848,Tucson,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 3:05am
191,U. of Arizona ,Found,Econ. Bldg. -1st floor T-Room,,32.237007,-110.954547,Tucson,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/11/2022 10:56am
165,AGN ,General Coordinates Used,(Publication) ,"P.O. Box 5002 Tucson, AZ 85703",32.222607,-110.974711,Tucson,AZ,,Publications,1984,checked,,,2/10/2022 7:05am
171,Club Europa ,General Coordinates Used,(Drag S in rear) Trying for SM in Front- See Stockade 2308 N. Stone,,32.222607,-110.974711,Tucson,AZ,"(S),(SM)",Bars/Clubs,1984,checked,,,2/10/2022 7:08am
173,Dignity,General Coordinates Used,(Church) ,"Box 27929, Tucson, AZ 85726",32.222607,-110.974711,Tucson,AZ,,Religious Institution,1984,checked,,,2/10/2022 7:11am
198,'Hitch-hikers' on 4th Ave. & Hwy. 8,Found,,,32.692651,-114.627692,Yuma,AZ,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/13/2022 2:30pm
195,Owl Bookstore,General Coordinates Used,,4th Ave. at 24th St.,32.692651,-114.627692,Yuma,AZ,(M),Book Store,1984,checked,,,2/11/2022 11:13am
199,Saddle Club & Backroom,General Coordinates Used,,,32.692651,-114.627692,Yuma,AZ,Cruisy Area,Cruising Areas,1984,checked,,,2/12/2022 7:12am
200,Hideaway ,General Coordinates Used,(Some L) (Spur off Hampton Hwy. -US 167),Old Calion Road,33.20763,-92.666267,El Dorado,AR,"(L),(PT),(D),(*)",Bars/Clubs,1984,checked,,,2/15/2022 9:01am
201,French Quarter,Found,(Downstairs) Old New Orleans Hotel,,36.401183,-93.737971,Eureka Springs,AR,(M),Hotel,1984,checked,,,2/14/2022 3:24am
203,S. Main St.,General Coordinates Used,,,36.401183,-93.737971,Eureka Springs,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:06am
207,Sambo's,Found,,,36.082156,-94.171854,Fayetteville,AR,"(M),(R),(C),(AH),Cruisy Area","Cruising Areas,Restaurant",1984,checked,,,2/14/2022 4:10am
208,U. of Arkansas ,Found,Old Main Hall 'T-Room,,36.068685,-94.172907,Fayetteville,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:12am
204,Arkansas Gay/Lesbian Rights ,General Coordinates Used,,"P.O. Box 2897 , Fayetteville, Ark. 72702",36.066242,-94.157853,Fayetteville,AR,,Organization,1984,checked,,,2/14/2022 4:07am
205,M.C.C. Ozarks,General Coordinates Used,(501) 433-4278-4278- Kenray at Plainview,,36.066242,-94.157853,Fayetteville,AR,(MCC),Religious Institution,1984,checked,,,2/14/2022 4:09am
212,6th & Garrison,Found,,,35.387237,-94.425237,Ft. Smith,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:14am
213,'The Block' ,General Coordinates Used,around Tradewinds Motel,,35.385924,-94.398547,Ft. Smith,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:13am
211,Ft. Smith Park,General Coordinates Used,,N. 6th St.,35.385924,-94.398547,Ft. Smith,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:14am
216,DeSoto Park ,Found,, T-Room,34.536275,-93.029602,Hot Springs,AR,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/14/2022 4:20am
215,Bath House Row,General Coordinates Used,(Central Ave),,34.5037,-93.055179,Hot Springs,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:15am
224,Alsop Park,Found,(AYOR-'Fuzz' crackdown),,34.762634,-92.315196,Little Rock,AR,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/14/2022 4:23am
225,Boyle Park,Found,,,34.731298,-92.355545,Little Rock,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 7:01am
226,Burns Park,Found,N. Little Rock,,34.797696,-92.309918,Little Rock,AR,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/15/2022 7:03am
227,MacArthur Park,Found,,,34.735846,-92.264886,Little Rock,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 7:07am
228,Movie Arcade ,Found,('Peep show'),3500 Asher,34.728235,-92.312977,Little Rock,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 7:09am
229,'Rest Stop' ,General Coordinates Used,(Gazebos) (W. on I-40),,34.746481,-92.289595,Little Rock,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/14/2022 4:21am
217,Arkansas Gay Writes ,General Coordinates Used,(Publication) ,"P.O. Box 3115, L.R., Ark. 72203",34.746481,-92.289595,Little Rock,AR,,Publications,1984,checked,,,2/14/2022 4:25am
218,Crisis Center ,General Coordinates Used,(501) 664-8834,,34.746481,-92.289595,Little Rock,AR,,Community Centers/Support Groups,1984,checked,,,2/15/2022 7:04am
221,M.C.C.,General Coordinates Used,(501) 664-3749,,34.746481,-92.289595,Little Rock,AR,(MCC),Religious Institution,1984,checked,,,2/15/2022 7:04am
230,'Rest Stop',General Coordinates Used,(on I-40),,35.48703,-93.827696,Ozark,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 8:56am
231,Lake Atlanta T-Room,Found,,,36.338302,-94.098619,Rogers,AR,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:04am
232,Granada Park,Found,Clemente at Park,,34.068202,-118.145728,Alhambra,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 11:49am
233,Kenton Mine Lodge ,General Coordinates Used,(916) 287-3212,,39.469231,-120.842993,Alleghanny,CA,"(M),(H)",Hotel,1984,checked,,,3/5/2022 11:09am
235,La Palma Park T-Room,Found,(Summers),,33.84846,-117.922333,Anaheim,CA,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/15/2022 9:13am
236,Pearson Park T-Room,Found,,,33.836903,-117.919087,Anaheim,CA,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,2/15/2022 9:14am
241,Beach Park,Found,,21st & Oak Sts.,35.379936,-119.040635,Bakersfield,CA,"(*),Cruisy Area",Cruising Areas,1984,checked,,,2/15/2022 9:16am
242,Central Park,Found,,21st & 'R' Sts.,35.374352,-119.008922,Bakersfield,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:27am
243,Weil Park,Found,,,35.383413,-119.011125,Bakersfield,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:31am
247,Aquatic Park,Found,Campers & vans,,37.859681,-122.298756,Berkeley,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:34am
248,Lake Tamescal Park & Beach,Found,,,37.844054,-122.227332,Berkeley,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:36am
249,U. of C.,Found,(Hearst Gym),,37.869593,-122.256686,Berkeley,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:41am
250,U. of C. ,Found,(Doe Library 3rd Floor T-Room),,37.872207,-122.259237,Berkeley,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 9:41am
246,White Horse ,Found,(See Oakland),,37.851827,-122.260559,Berkeley,CA,(*),Bars/Clubs,1984,checked,,White Horse Bar Website: https://whitehorsebar.com/  ;article about the nation's second oldest gay bar: https://bancroft.berkeley.edu/collections/gaybears/whitehorse/,2/15/2022 9:45am
512,La Cienega Park,Found,Behind Tennis courts-Beverly Hills,,34.062182,-118.375702,Beverly Hills,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/20/2022 7:42am
251,"United Lesbian & Gay Christian Scientists, Inc.",General Coordinates Used,National Headquarters,"Box 7467 256 N. Robertson Blvd., B.H., CA 90211",34.07362,-118.400356,Beverly Hills,CA,,"Religious Institution,Organization",1984,checked,,,3/4/2022 4:24am
252,Grey Squirrel Cabins ,Found,,"Box 5404 Big Bear Lake, CA 92315",34.238706,-116.94295,Big Bear Lake,CA,"(M),(H)",Hotel,1984,checked,,,2/15/2022 9:46am
253,Buena Park Mall,Found,Mall-May Co. T-Room,,33.846378,-117.987244,Buena Park,CA,"(AYOR),Cruisy Area",Cruising Areas,1984,checked,,,3/4/2022 4:15am
254,'Truck Stop' ,General Coordinates Used,on US 101 S. - east side,,37.57787,-122.34809,Burlingame,CA,"Cruisy Area,(AYOR)",Cruising Areas,1984,checked,,,2/15/2022 1:46pm
677,Alligator Grill,General Coordinates Used,(Cathedral City),"68-572 Hwy. 111
",33.780539,-116.466804,Cathedral City,CA,"(M),(R),(C)",Restaurant,1984,checked,,,2/21/2022 3:47am
679,Blu Foxx,General Coordinates Used,(Liquor) (was closed -may be re-opening...)(Cathedral City),68-599 Hwy. 111 ,33.780539,-116.466804,Cathedral City,CA,(R),Restaurant,1984,checked,,,2/21/2022 3:48am
681,BUN'S,General Coordinates Used,(Cathedral City),68-657 Hwy 111,33.780539,-116.466804,Cathedral City,CA,(PT),Bars/Clubs,1984,checked,,,2/21/2022 3:51am
694,Double Bar,General Coordinates Used,(Disco) (Cathedral City),68-655 Hwy. 111,33.780539,-116.466804,Cathedral City,CA,,Bars/Clubs,1984,checked,,,2/21/2022 3:56am
258,Bidwell Park,Found,"Cedar Grove & upper part, by the river",,39.810313,-121.722796,Chico,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 1:50pm
255,Butte County Fellowship,General Coordinates Used,(914) 543-9773,,39.728494,-121.837478,Chico,CA,,Organization,1984,checked,,Looks like a religious organization ,5/20/2022 3:01pm
263,Austin Beach Park,Found,T-Room (Clear Lake Highlands),,38.96021,-122.647879,Clear Lake,CA,Cruisy Area,Cruising Areas,1984,checked,,,2/15/2022 2:03pm
