"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","geoAddress"
"Fred Myers Dept. Store T-Room
","Found","","",61.211142,-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Penny's & Sears Mall","Found","","",61.216996,-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'C' St. at 4th Ave.","General Coordinates Used","","",61.218923,-149.850373,"Anchorage","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Anchorage Book Mart","General Coordinates Used","","419 'D' St.",61.218923,-149.850373,"Anchorage","AK","","Book Store",1981,"",NA,NA,NA
"Hal's Place","General Coordinates Used","(Some YC, W, SM) (D) (Cruisy) (Good afternoons)(Also apts-H above)","618 Gambell nr. 6th",61.218923,-149.850373,"Anchorage","AK","(YC),(W),(SM),(D)","Cruising Areas,Bars/Clubs",1981,"",NA,NA,NA
"Pussy Cat","General Coordinates Used","(Books, etc.)","Arctic at International",61.218056,-149.900278,"Anchorage","AK","","Book Store",1981,"",NA,NA,NA
"Bently & Gaviota Malls ","Found","","",61.216889,-149.888942,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"State Office Bldg. (T-Rooms)","Found","","",64.84045,-147.725983,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U. of Alaska","Found","Wood Ctr.","",64.857341,-147.823517,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U. of Alaska, ","Found","","",64.857396,-147.821832,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U. of Alaska, Library","Found","","",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U. of Alaska","General Coordinates Used"," Gym","",64.837778,-147.716389,"Fairbanks","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
" Merchants Wharf - T-Rooms","Found","","",58.299399,-134.407901,"Juneau","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Federal & State Office Bldgs.","Found","","",58.30117,-134.411637,"Juneau","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Red Dog Saloon ","General Coordinates Used","","S. Franklin St.",58.301944,-134.419722,"Juneau","AK","(M)","Bars/Clubs",1981,"",NA,NA,NA
"Hitch-hikers along Tongass Hwy. ","General Coordinates Used","(No gay bars, but some downtown bars such as Frontier & 108 Club on Main St. can be cruisy)","",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Northern Arizona Univ. Library","Found","Basement T-Room","",35.190062,-111.657545,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Starlight ","General Coordinates Used","(Disco)","Inquire Locally",35.189443,-114.053006,"Kingman","AZ","(M)","Bars/Clubs",1981,"",NA,NA,NA
"Reed & Pioneer Parks","Found","","",33.416972,-111.819674,"Mesa","AZ","(AYOR),Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Tri-City Mall","Found","","",33.414851,-111.873996,"Mesa","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Encanto Park","Found","","",33.476672,-112.089974,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Grehound Park","Found","- Sundays are cruisy at Park 'n' Swap","",33.448021,-111.995404,"Phoenix","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Metro Center - Shopping Complex ","Found","nr. ice rink","",33.575048,-112.121702,"Phoenix","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Papago Park","Found","","",33.453877,-111.953395,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Three-O-Seven Lounge","Found","","222 E. Roosevelt at N. 3rd St. ",33.458785,-112.070155,"Phoenix","AZ","(OC),(PT)","Bars/Clubs",1981,"",NA,NA,NA
"Unlimited","Found","","2320 N. 32nd at Oak",33.473851,-112.013194,"Phoenix","AZ","(R),(L)","Bars/Clubs,Restaurant",1981,"",NA,NA,NA
"Woman's Place","Found","(Books, etc.)","32nd & Oak",33.473114,-112.012932,"Phoenix","AZ","","Book Store",1981,"",NA,NA,NA
"'Hitch-hikers' 2nd & Roosevelt Sts.","General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Rest Stop' 35 mi. S. on I-10 (Northbound and Southbound)","General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Scott's of Prescot","General Coordinates Used","3 mi. NW on Iron Springs Rd.","",34.540024,-112.468502,"Prescott","AZ","(P),(H)","Hotel",1981,"",NA,NA,NA
"'Rest Stop' at Cactus City - W on I-10","General Coordinates Used","","",33.663914,-114.229949,"Quartzite","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Oak Creek Owl","General Coordinates Used","","1/2 mi. S. of 89A on Ariz. 179",34.86974,-111.76099,"Sedona","AZ","(M),(R)","Bars/Clubs,Restaurant",1981,"",NA,NA,NA
"A.S.U. ","Found","Student Union","",33.417703,-111.934353,"Tempe","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"A.S.U. ","Found","Library","",33.41999,-111.930687,"Tempe","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Rest Stop' ","General Coordinates Used","","Hwy 80 N. ",33.42551,-111.940005,"Tempe","AZ","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"A.S.U. ","General Coordinates Used","Old Gym T-Rooms","",33.42424,-111.928053,"Tempe","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Union 76 Truck Stop","General Coordinates Used","","",32.773731,-111.617776,"Toltec","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Hitch-hikers' on E. Speedway","Found","","",32.235665,-110.840906,"Tucson","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Back Pocket","Found","(Behind Joshua Tree)(Lunches too)","",32.251978,-110.972295,"Tucson","AZ","(R)","Restaurant",1981,"",NA,NA,NA
"Book Cellar","Found","(Books)","",32.25252,-110.972342,"Tucson","AZ","(M)","Book Store",1981,"",NA,NA,NA
"Catalina Park","Found","","",32.23361,-110.96641,"Tucson","AZ","(AYOR),Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"De Anza Park","Found","","",32.235065,-110.971028,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Himmel Park","Found","#NAME?","",32.233876,-110.93315,"Tucson","AZ","(AYOR),Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Santa Cruz MCC ","Found","#NAME?","P.O. Box 40364 Tucson, AZ 85717",32.260884,-110.997332,"Tucson","AZ","MCC","Religious Institution",1981,"",NA,NA,NA
"U. of Arizona","Found","- Econ. Bld. - 1st floor T-Room","",32.230875,-110.948848,"Tucson","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Walgreen's ","Found","#NAME?","",32.221874,-110.971264,"Tucson","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Hitch-hikers' on 4th Ave. & Hwy 8","Found","","",32.731581,-114.624535,"Yuma","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Birdcage Lounge","Found","","Downtown Yuma Mall",32.723533,-114.617525,"Yuma","AZ","(M),(YC),(E)","Bars/Clubs",1981,"",NA,NA,NA
"J.F.K. Park","Found","","",32.686673,-114.60857,"Yuma","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Riverside Park ","Found","(Marines)(AYOR)","",32.72506,-114.611635,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Yuma Downtown mall","General Coordinates Used","","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"French Quarter","Found","(Downstairs)","Old New Orleans Hotel",36.401183,-93.737971,"Eureka Springs","AR","(M)","Bars/Clubs",1981,"",NA,NA,NA
"Sambo's","Found","","",36.082156,-94.171854,"Fayetteville","AR","Cruisy Area,(M),(R),(C),(AH)","Restaurant,Cruising Areas",1981,"",NA,NA,NA
"U. of Arkansas ","Found","- Old Main Hall 'T-Room'","",36.068685,-94.172907,"Fayetteville","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"6th & Garrison

","Found","","",35.387237,-94.425237,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Rest Stop' on I-30, 5 mi. S","General Coordinates Used","","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'The Block' around Tradewinds Motel","General Coordinates Used","","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"DeSoto Park T-Room","Found","","",34.536275,-93.029602,"Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Bath House Row","General Coordinates Used","","(Central Ave)",34.5037,-93.055179,"Hot Springs","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Alsop Park
","Found","","",34.762634,-92.315196,"Little Rock","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Boyle Park","Found","","",34.731298,-92.355545,"Little Rock","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Burns Park","Found","#NAME?","",34.797696,-92.309918,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"MacArthur Park","Found","","",34.735846,-92.264886,"Little Rock","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Movie Arcade ","Found","('Peep shows')","3500 Asher",34.728235,-92.312977,"Little Rock","AR","Cruisy Area","Cruising Areas,Theatre",1981,"",NA,NA,NA
"Discovery ","General Coordinates Used","(Disco)","6323 Asher at University",34.717527,-92.342125,"Little Rock","AR","(YC),(R),(S),(D),(*)","Restaurant",1981,"",NA,NA,NA
"Hollywood Cinema","General Coordinates Used","","",34.746481,-92.289595,"Little Rock","AR","Cruisy Area","Cruising Areas,Theatre",1981,"",NA,NA,NA
"Silver Dollar ","General Coordinates Used","(Some L)(501)663-9886","Asher St.",34.746481,-92.289595,"Little Rock","AR","(L)","Bars/Clubs",1981,"",NA,NA,NA
"'Info center 'Rest Stop' T-Room","Found","","",33.516905,-93.936326,"Texarkana","AR","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Alhambra Park
","Found","#NAME?","",34.097197,-118.146304,"Alhambra","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Granada Park","Found","#NAME?","",34.068202,-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"La Palma Park T-Room","Found","","",33.84846,-117.922333,"Anaheim","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Pearson Park T-Room","Found","","",33.836903,-117.919087,"Anaheim","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"21st & 'K' Sts.","Found","","",35.378138,-119.017595,"Bakersfield","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Beach Park","Found","","21st & Oak Sts. ",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area,(*)","Cruising Areas",1981,"",NA,NA,NA
"Casablanca","Found","(Disco)","1927 'K' St. ",35.376914,-119.017743,"Bakersfield","CA","(YC),(D)","Bars/Clubs",1981,"",NA,NA,NA
"Central Park","Found","","21st & 'R' Sts.
 ",35.374352,-119.008922,"Bakersfield","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Weill Park ","Found","","26th & 'Q' Sts. ",35.383413,-119.011125,"Bakersfield","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Mackerel Flats","Found","","100 Main St., at foot of Balboa Pier",33.601359,-117.89952,"Balboa","CA","(M),(R)","Restaurant",1981,"",NA,NA,NA
"Aquatic Park","Found","#NAME?","",37.859681,-122.298756,"Berkeley","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Lake Tamescal Park & Beach","Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Steam Works","Found","(Baths)(Hot tub)(See ad next page)","2107 4th St., 1 block off University Ave.",37.865964,-122.298857,"Berkeley","CA","","Bathhouses",1981,"",NA,NA,NA
"U. of C. ","Found","Hearst Gym ","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U. of C. ","Found","Doe Library 3rd floor T-Room","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Discovery Park","Found","","",38.605763,-121.50348,"Bryte","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Truck Stop' ","General Coordinates Used","US 101 S. - East Side","",37.57787,-122.34809,"Burlingame","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Twin Oaks Ranch ","General Coordinates Used","Rooms, Bunkhouse, RV space, swim pool & sports (805) 867-2326 (See ad p. 23)","Star Rte. Box 58 Caliente 93518",35.291243,-118.628667,"Caliente","CA","(P),(H),(BYOB),(R)","Restaurant,Hotel",1981,"",NA,NA,NA
"Bidwell Park ","Found","#NAME?","",39.810313,-121.722796,"Chico","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Sunset Point Resort ","Found","(Bunkhouse)(Beer & wine bar)(Campground, hot tubs, etc.)(See ad p. 22)","12037 Hwy. 20, Clear Lake Oaks, 95423",39.019599,-122.685485,"Clear Lake","CA","(H),(*)","Bars/Clubs,Hotel",1981,"",NA,NA,NA
"Mr. M's (Disco)","Found","","500 S. Citrus at Roland",34.081446,-117.890128,"Covina","CA","(YC),(D)","Bars/Clubs",1981,"",NA,NA,NA
"The Company ","Found","(Disco)","2nd & 'G' Sts. ",38.544907,-121.740517,"Davis","CA","(M),(YC),(D)","Bars/Clubs",1981,"",NA,NA,NA
"U.C.D. ","Found"," Shields Library (4th floor)","",38.539647,-121.74959,"Davis","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"U.C.D.","General Coordinates Used","TB5 Bldg. T-Rooms","",38.538232,-121.761712,"Davis","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Stallion Oak Ranch","General Coordinates Used","(Resort)","P.O. Box 155, Descanso 92016",32.852829,-116.615852,"Decanso","CA","(P),(H)","Hotel",1981,"",NA,NA,NA
"Greyhound Bus Depot, T-Room","General Coordinates Used","","",32.792,-115.563051,"El Centro","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Baths","Found","(Thru bar - closes 12 midnight or 1am)","7th & 'A' Sts. ",40.799555,-124.170905,"Eureka","CA","(M)","Bars/Clubs,Bathhouses",1981,"",NA,NA,NA
"Eureka Boat Basin - T-Room","Found","","",40.803738,-124.177284,"Eureka","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Sequoia Park","Found","'- (Dull) ","",40.774763,-124.144787,"Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Trinidad Beach St. Park ","Found","- 21 mi. N. of Eureka 'BA' beach - 7/10 mi. N. of Park entrance","",41.058433,-124.149553,"Eureka","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Truck Stop' on US 101 S.","General Coordinates Used","","",40.802071,-124.163673,"Eureka","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Old Town ","General Coordinates Used","- 'Nights'","",40.802071,-124.163673,"Eureka","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Radio Park ","Found","","1st & Clinton",36.771684,-119.773827,"Fresno","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Roeding Park","Found","","",36.755454,-119.823977,"Fresno","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Shaw Exit off US 101 ","General Coordinates Used","","",36.737798,-119.787125,"Fresno","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Hillcrest Park T-Rooms","Found","","",33.88271,-117.921239,"Fullerton","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Maze Stone County Park","Found","","4 1/2 mi. W. on Hwy. 74",33.781393,-117.056477,"Hemet","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Rest Stop' on I-280, just N. of Bunker Hill Dr. exit","General Coordinates Used","","",37.574103,-122.379416,"Hillsborough","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Alley behind Book Circus","Found","","8200 Blk of Santa Monica",34.09056,-118.367141,"Hollywood","CA","Cruisy Area,(*)","Cruising Areas",1981,"",NA,NA,NA
"Arthur J's","Found","","Highland & Santa Monica Blvd.",34.090711,-118.338612,"Hollywood","CA","(M),(R),(C),(AH),(AYOR),(RT)","Restaurant",1981,"",NA,NA,NA
"Griffith Park","Found","#NAME?","",34.136554,-118.2942,"Hollywood","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"L.A.C.C.","Found","#NAME?","",34.086507,-118.292767,"Hollywood","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Melrose Ave around Drake Theatre","Found","","",34.072678,-118.373418,"Hollywood","CA","Cruisy Area","Cruising Areas,Theatre",1981,"",NA,NA,NA
"Phoenix","Found","(Physical fitness center)","807 N. San Vicente Blvd. at Santa Monica",34.085076,-118.384393,"Hollywood","CA","(P)","Gym",1981,"",NA,NA,NA
"Robertson Blvd.","Found","- 'The Bushes' betwe. Beverly & Melrose ","",34.079078,-118.384466,"Hollywood","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Robertson Park","Found","(Days)","",34.079078,-118.384466,"Hollywood","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Santa Monica Blvd. ","Found","-'Hitch-hikers' from La Brea to Beverly HIlls","",34.090711,-118.337459,"Hollywood","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Studio One","Found","(Disco)(E in 'Backlot')(L.A.'s 'top' super bar)(Cabaret - several bars)","652 La Peer, betw. Santa Monica & Melrose",34.082553,-118.386339,"Hollywood","CA","(*),(YC),(E),(D),(R)","Bars/Clubs,Restaurant",1981,"",NA,NA,NA
"Sunset Blvd.","Found","-'Hitch-hikers' W. of Highland","",34.080667,-118.413141,"Hollywood","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Vista Theatre","Found","","4473 Sunset Dr. at Hollywood",34.09817,-118.287088,"Hollywood","CA","(*)","Theatre",1981,"",NA,NA,NA
"West Hollywood","Found","-'Boys Town' area aff Santa Monica Blvd. nr. Rascals & Studio One","",34.090009,-118.361744,"Hollywood","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Zoo","Found","(Sun. brunch)(Liqour)","4322 Melrose at Heliotrope",34.083384,-118.294925,"Hollywood","CA","(R)","Restaurant",1981,"",NA,NA,NA
"Hollywood Blvd.","General Coordinates Used","#NAME?","",34.101592,-118.333351,"Hollywood","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Lamp Lighter","General Coordinates Used","","44-731 N. Jackson St. ",33.720577,-116.215562,"Indio","CA","(M),(PT)","Bars/Clubs",1981,"",NA,NA,NA
"Beach & Steps by Coast Inn","Found","","",33.531121,-117.77548,"Laguna Beach","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Book Boutique","Found","","1495 Glenneyre St. at Calliope & Coast Hwy.",33.531482,-117.773505,"Laguna Beach","CA","(*)","Book Store",1981,"",NA,NA,NA
"Boom Boom Room ","Found","(Game room)(Cruisy)(Enter thru side door or thru Tap Room) ","Coast Inn - 1401 S. Coast Hwy",33.531573,-117.774944,"Laguna Beach","CA","(*),(YC),(PT)","Bars/Clubs,Cruising Areas",1981,"",NA,NA,NA
"Heisler Park","Found","","",33.543401,-117.790111,"Laguna Beach","CA","Cruisy Area,(AYOR)","Cruising Areas",1981,"",NA,NA,NA
"Ninth St. Beach (the 'Thousand Steps') S. Laguna","Found","","",33.49784,-117.740971,"Laguna Beach","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"'Hitch-hikers' on Coast Hwy. from Myrtle St. to Bluebird Canyon Rd.","General Coordinates Used","","",33.542719,-117.785357,"Laguna Beach","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"West St. Beach ","General Coordinates Used","nr. Laguna Royal Motel S. Laguna","",33.542719,-117.785357,"Laguna Beach","CA","Cruisy Area","Cruising Areas",1981,"",NA,NA,NA
"Bear Pen ","Found","","Squaw Valley",39.197607,-120.235442,"Lake Tahoe","CA","(M),(R),(*)","Restaurant",1981,"",NA,NA,NA
"Guest House ","General Coordinates Used","(916) 541-6073","Box 9559, S. Lake Tahoe, Ca 95731",39.096849,-120.032351,"Lake Tahoe","CA","(H)","Hotel",1981,"",NA,NA,NA
