"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"Fred Myers Dept. Store ","Found","(T-Rooms)","",61.211142,-149.735829,"Anchorage","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Park Strip at 9th & 'L' Sts.","Found","","",61.213666,-149.903704,"Anchorage","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Penny's & Sears Mall","Found","","",61.216996,-149.890085,"Anchorage","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'C' St. at 4th Ave.","General Coordinates Used","","",61.218923,-149.850373,"Anchorage","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Anchorage Book Mart","General Coordinates Used","","419 'D' St.",61.218923,-149.850373,"Anchorage","AK","","Book Store",1982,"checked","",NA,NA
"Hal's Place","General Coordinates Used","(Some YC, W, SM) (Cruisy) (Good Afternoons) (Also apts-H above) (nr. 6th)","618 Gambell ",61.218923,-149.850373,"Anchorage","AK","(YC),(W),(SM),(D),(H),(*)","Bars/Clubs,Cruising Areas",1982,"checked","",NA,NA
"Bently & Gaviota Malls","Found","","",61.216889,-149.888942,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"State Office Bldg. ","Found","(T-Rooms)","",64.84045,-147.725983,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","Found","(Wood Ctr.)","",64.857341,-147.823517,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"","",NA,NA
"U. of Alaska","Found","(Constitution Hall)","",64.857396,-147.821832,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"","",NA,NA
"U. of Alaska","Found","(Library)","",64.856934,-147.820022,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","Found","(Wood Ctr.)","",64.857341,-147.823517,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","Found","(Constitution Hall)","",64.857396,-147.821832,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","Found","(Constitution Hall)","",64.857396,-147.821832,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","Found","(Wood Ctr.)","",64.857341,-147.823517,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","General Coordinates Used","(Gym)","",64.837778,-147.716389,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"","",NA,NA
"U. of Alaska","General Coordinates Used","(Gym)","",64.837778,-147.716389,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of Alaska","General Coordinates Used","(Gym)","",64.837778,-147.716389,"Fairbanks","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Federal & State Office Bldgs.","Found","","",58.30117,-134.411637,"Juneau","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Merchants Wharf","Found","(T-Rooms)","",58.299399,-134.407901,"Juneau","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Red Dog Saloon","General Coordinates Used","","S. Franklin St.",58.301944,-134.419722,"Juneau","AK","(M)","Bars/Clubs",1982,"checked","",NA,NA
"Hitch-hikers ","General Coordinates Used","(No gay bars, but some downtown bars such as Frontier & 108 Club on Main St. can be cruisy) (along Tongass Hwy)","",55.342222,-131.646111,"Ketchikan","AK","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Copper Queen Saloon","Found","(Hip) (Some L)","Howell Ave.",31.442428,-109.914471,"Bisbee","AZ","(M),(Hip),(YC),(L)","Bars/Clubs",1982,"checked","Hotel is still operating: https://www.copperqueen.com/",NA,NA
"Northern Arizona Univ. Library ","Found","(Basement T-Room)","",35.190062,-111.657545,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Rest Stop' NW on Hwy. 80","General Coordinates Used","","",35.198284,-111.651302,"Flagstaff","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Airbase Newstand ","General Coordinates Used","","13722 W. Glendale",33.538652,-112.185987,"Glendale","AZ","","Book Store",1982,"checked","",NA,NA
"Reed & Pioneer Parks ","Found","(AYOR)","",33.416972,-111.819674,"Mesa","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Tri-City Mall","Found","","",33.414851,-111.873996,"Mesa","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Encanto Park","Found","(STRICTLY AYOR)","",33.476672,-112.089974,"Phoenix","AZ","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Greyhound Park","Found","(Sundays are Cruisy at Park 'n' Swap)","",33.448021,-111.995404,"Phoenix","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Metro Center","Found","(Shopping Complex- nr. ice rink)","",33.575048,-112.121702,"Phoenix","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Papago Park ","Found","(STRICTLY AYOR)","",33.453877,-111.953395,"Phoenix","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Unlimited","Found","","2320 N. 32nd at Oak",33.473851,-112.013194,"Phoenix","AZ","(R),(L)","Bars/Clubs,Restaurant",1982,"checked","",NA,NA
"'Hitch-hikers' 2nd & Roosevelt Sts.","General Coordinates Used","","",33.448377,-112.074037,"Phoenix","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Preferred Escorts","General Coordinates Used","(602) 258-EDEN","",33.448377,-112.074037,"Phoenix","AZ","","Escort Services",1982,"checked","",NA,NA
"Travel Studio ","General Coordinates Used","(602) 996-6109","",33.448377,-112.074037,"Phoenix","AZ","","Travel Service",1982,"checked","",NA,NA
"United Services Mailing Etc. ","General Coordinates Used","(602) 249-6109","",33.448377,-112.074037,"Phoenix","AZ","","Business",1982,"checked","",NA,NA
"Scott's of Prescott","General Coordinates Used","(3 mi. NW)","Iron Springs Rd.",34.540024,-112.468502,"Prescott","AZ","(P),(H)","Hotel",1982,"checked","",NA,NA
"Munchie's Copper Cooker","General Coordinates Used","","4333 Brown",33.49417,-111.926052,"Scottsdale","AZ","(M),(R)","Restaurant",1982,"checked","",NA,NA
"Oak Creek Owl","General Coordinates Used","(1/2 mi. S. of 89A on Ariz. 179)","",34.86974,-111.76099,"Sedona","AZ","(M),(R)","Bars/Clubs,Restaurant",1982,"checked","",NA,NA
"'K' Mart","General Coordinates Used","(T-Room)","",31.5455,-110.277286,"Sierra Vista","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"A.S.U.","Found","(Student Union)","",33.417703,-111.934353,"Tempe","AZ","Cruisy Area","Cruising Areas,Gymnasium",1982,"checked","",NA,NA
"A.S.U.","Found","(Library)","",33.41999,-111.930687,"Tempe","AZ","Cruisy Area","Cruising Areas,Gymnasium",1982,"checked","",NA,NA
"Papago Park","Found","(Southern part)","",33.453632,-111.948693,"Tempe","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Rest Stop' ","General Coordinates Used","(Hwy 80 N.) (AYOR)","",33.42551,-111.940005,"Tempe","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"A.S.U.","General Coordinates Used","(Old Gym T-Rooms)","",33.42424,-111.928053,"Tempe","AZ","Cruisy Area","Cruising Areas,Gymnasium",1982,"checked","",NA,NA
"City Park ","Found","T-Room","",31.713073,-110.068154,"Tombstone","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Hitch-hikers' ","Found","(on E. Speedway)","",32.235665,-110.840906,"Tucson","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Back Pocket ","Found","(Behind Joshua Tree) (Lunches Too) ","",32.260772,-110.961409,"Tucson","AZ","(*),(R)","Bars/Clubs,Restaurant",1982,"checked","",NA,NA
"Catalina Park","Found","(Parks have 10:30pm curfew) (AYOR)","",32.23361,-110.96641,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"De Anza Park","Found","(Parks have 10:30pm curfew) (AYOR)","",32.235065,-110.971028,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Himmel Park","Found","(Parks have 10:30pm curfew) (AYOR)","",32.233876,-110.93315,"Tucson","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Sambo's ","Found","(Across from Jekyll's)","",32.260884,-110.997332,"Tucson","AZ","(M),(R),(C),(AH)","Bars/Clubs,Restaurant",1982,"checked","",NA,NA
"U. of Arizona ","Found","Econ. Bldg. - 1st floor T-Room","",32.237007,-110.954547,"Tucson","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"AGN","General Coordinates Used"," (Newspaper)","P.O. Box 5002 Tucson, AZ 85703",32.222607,-110.974711,"Tucson","AZ","","Publication",1982,"checked","",NA,NA
"'Hitch-hikers'","Found","(4th Ave. & Hwy. 8) (AYOR) ","",32.731581,-114.624535,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Downtown Coffee Shop","Found","(Lee Hotel) (AYOR)","",32.721118,-114.61821,"Yuma","AZ","(M),(R),(RT),(AYOR)","Hotel,Restaurant",1982,"checked","Listed as a historic haunted hotel: https://en.wikipedia.org/wiki/Lee_Hotel",NA,NA
"Joe Henry Park","Found","(AYOR)","",32.728158,-114.648609,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Pantry","Found","(AYOR) (Del Sol Hotel)","",32.722586,-114.616367,"Yuma","AZ","(M),(R),(AYOR)","Hotel,Bars/Clubs,Restaurant",1982,"checked","Del Hotel is being remodeled into a transportation hub: https://kyma.com/news/2020/06/09/hotel-del-sol-could-get-new-life-as-transportation-hub/",NA,NA
"Yuma County Library","Found","","",32.673971,-114.645177,"Yuma","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Downtown ","General Coordinates Used","(Madison) betw. Giss Pkwy & Main St.) (AYOR)","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Yuma Downtown Mall","General Coordinates Used","","",32.692651,-114.627692,"Yuma","AZ","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"French Quarter ","Found","(Downstairs) (Old New Orleans Hotel)
","",36.401183,-93.737971,"Eureka Springs","AR","(M)","Hotel,Bars/Clubs",1982,"checked","",NA,NA
"Sambo's ","Found","","",36.082156,-94.171854,"Fayetteville","AR","Cruisy Area,(M),(R),(C),(AH)","Cruising Areas,Restaurant",1982,"checked","",NA,NA
"U. of Arkansas ","Found","(Old main Hall 'T-Room')","",36.068685,-94.172907,"Fayetteville","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"6th & Garrison  ","Found","","",35.387237,-94.425237,"Ft. Smith","AR","Cruisy Area","Bars/Clubs,Cruising Areas",1982,"checked","",NA,NA
"'The Block' ","General Coordinates Used","(around Tradewinds Motel)","",35.385924,-94.398547,"Ft. Smith","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"DeSoto Park ","Found","(T-Room) (AYOR)","",34.536275,-93.029602,"Hot Springs","AR","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Bath House Row ","General Coordinates Used","(Central Ave)","",34.5037,-93.055179,"Hot Springs","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Alsop Park","Found","(AYOR-'Fuzz' crackdown)","",34.762634,-92.315196,"Little Rock","AR","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Boyle Park","Found","","",34.731298,-92.355545,"Little Rock","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Burns Park","Found","(AYOR)","N. Little Rock",34.797696,-92.309918,"Little Rock","AR","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"MacArthur Park","Found","","",34.735846,-92.264886,"Little Rock","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Movie Arcade ","Found","('Peep Shows') ","3500 Asher",34.728235,-92.312977,"Little Rock","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Rest Top'","General Coordinates Used","(W. on I-40) (Gazebos)","",34.746481,-92.289595,"Little Rock","AR","","Cruising Areas",1982,"checked","",NA,NA
"Hollywood Cinema ","General Coordinates Used","","",34.746481,-92.289595,"Little Rock","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Rest Top'","General Coordinates Used","(on I-40)","",35.48703,-93.827696,"Ozark","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Info center ","Found","('Rest Top' T-Room)","",33.516905,-93.936326,"Texarkana","AR","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Naughty Night Lounge ","General Coordinates Used","(Some L) (Hickory at E. 7th St.)","",33.441792,-94.037688,"Texarkana","AR","(PT),(L)","Bars/Clubs",1982,"checked","",NA,NA
"Alhambra Park","Found","(at Larch nr. tennis courts)","Palm Rd.",34.097197,-118.146304,"Alhambra","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Granada Park","Found","(Clemente at Park)","",34.068202,-118.145728,"Alhambra","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"La Palma Park","Found","(T-Room) (AYOR) ","",33.84846,-117.922333,"Anaheim","CA","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Pearson Park ","Found","(T-Room) (AYOR)","",33.836903,-117.919087,"Anaheim","CA","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Beach Park","Found","(21st & Oak Sts.)","",35.379936,-119.040635,"Bakersfield","CA","Cruisy Area,(*)","Cruising Areas",1982,"checked","",NA,NA
"Central Park","Found","(21st & 'R' Sts.)","",35.374352,-119.008922,"Bakersfield","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Aquatic Park","Found","(Campers and vans)","",37.859681,-122.298756,"Berkeley","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Lake Tamescal Park & Beach","Found","","",37.844054,-122.227332,"Berkeley","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of C.","Found","(3rd Floor T-Room) (Doe Library)","",37.872207,-122.259237,"Berkeley","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U. of C. ","Found","(3rd Floor T-Room) (Hearst Gym)","",37.869593,-122.256686,"Berkeley","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Grey Squirrel Cabins","Found","","Box 5404, Big Bear Lake, CA 92315",34.238706,-116.94295,"Big Bear Lake","CA","(M),(H)","Hotel",1982,"checked","",NA,NA
"Discovery Park","Found","","",38.605763,-121.50348,"Bryte","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Truck Stop'","General Coordinates Used","(on US 101 S. - east side) (AYOR)","",37.57787,-122.34809,"Burlingame","CA","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Twin Oaks Ranch","General Coordinates Used","(Rooms, bunkhouse, RV space, swim pool & sports) (BYOB) ((805) 867-2326 Star Rte.)","",35.291243,-118.628667,"Caliente","CA","(P),(H),(BYOB),(R)","Hotel,Restaurant",1982,"checked","",NA,NA
"Aunt Hattie's","Found","(Disco) (Many L) (Liquor) ","68-999 Broadway, Hwy 111",33.771925,-116.447434,"Cathedral City","CA","(D),(WE),(L)","Bars/Clubs",1982,"checked","",NA,NA
"His & Hers","Found","(Liquor) ","68-599 Hwy. 111",33.133454,-115.514228,"Cathedral City","CA","(R),(E),(*)","Restaurant",1982,"checked","",NA,NA
"BUN's ","General Coordinates Used","(Liquor) ","68-657 Hwy 111",33.780539,-116.466804,"Cathedral City","CA","","Bars/Clubs",1982,"checked","",NA,NA
"C.C. Construction Co.","General Coordinates Used","(Disco) (Liquor) (Cruisy)","68-449 Perez Rd.",33.780539,-116.466804,"Cathedral City","CA","(W),(YC),(D),(*)","Bars/Clubs,Cruising Areas",1982,"checked","",NA,NA
"Bidwell Park","Found","(Cedar Grove)","",39.810313,-121.722796,"Chico","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Madison Beer Gardens","Found","(No gay bars but you can luck out)","",39.729099,-121.842517,"Chico","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Oaks Bar & Grill","General Coordinates Used","(2nd & Salem)","",39.728494,-121.837478,"Chico","CA","(M)","Bars/Clubs",1982,"checked","",NA,NA
"Austin Beach Park","Found","(T-Room) (Clear Lake Highlands)","",38.96021,-122.647879,"Clear Lake","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"El Mar Resort ","Found","","10553 Hwy. 20, Clear Lakes Oaks",39.021402,-122.713251,"Clear Lake","CA","(H),(M)","Hotel",1982,"checked","",NA,NA
"Family Kitchen ","Found","","10561 Hwy. 20, Clear Lake Oaks",39.021454,-122.713159,"Clear Lake","CA","(M),(R)","Restaurant",1982,"checked","",NA,NA
"Kneeling Park","Found","(T-Room) (Nice)","",39.121909,-122.855206,"Clear Lake","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Library Park ","Found","(Lakeport) ","",39.043103,-122.913873,"Clear Lake","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"South Shore Shopping Center","Found","(T-Room) (Lakeport)","",37.756594,-122.251475,"Clear Lake","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Vista Point ","General Coordinates Used","(Hwy 20. - T-Room) (Clear Lake Highlands)","",39.05819,-122.831015,"Clear Lake","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"South Coast Plaza Shopping Center","Found","(AYOR)","",33.68892,-117.88779,"Costa Mesa","CA","(AYOR),Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Sister Suds","Found","(10762-1/2 Washington Blvd.)","",34.021122,-118.396466,"Culver City","CA","(L)","Bars/Clubs",1982,"checked","",NA,NA
"The Company","Found","(Disco) (2nd & 'G' Sts)","",38.544907,-121.740517,"Davis","CA","(M),(YC),(D)","Bars/Clubs",1982,"checked","",NA,NA
"U.C.D.","Found","(Shields Library-4th floor)","",38.539647,-121.74959,"Davis","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"U.C.D.","General Coordinates Used","(TB5 Bldg. T-Rooms)","",38.538232,-121.761712,"Davis","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Stallion Oak Ranch ","Found","(Resort) ","(P.O. Box 155, Descanso 92016)",32.881859,-116.642473,"Descanso","CA","(P),(H)","Hotel",1982,"checked","",NA,NA
"Grossmont College ","Found","(Quad Library)","",32.816782,-117.006292,"El Cajon","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Grossmont College ","Found","(Student Center)","",32.815608,-117.005201,"El Cajon","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","(T-Room)","",32.792,-115.563051,"El Centro","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Baths","Found","(Thur bar - closes 12 midnight or 1am) (7th & 'A' Sts.","",40.799555,-124.170905,"Eureka","CA","(M),(PT)","Bars/Clubs,Bathhouses",1982,"checked","",NA,NA
"Eureka Boat Basin ","Found","(T-Room) (AYOR)","",40.803738,-124.177284,"Eureka","CA","Cruisy Area,(AYOR)","Cruising Areas",1982,"checked","",NA,NA
"Trinidad Beach St. Park","Found","(21 mi. N of Eureka 'BA' beach - 7/10 mi. N. of park entrance)","",41.058433,-124.149553,"Eureka","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Truck Stop'","General Coordinates Used","(on US 101 S.)","",40.802071,-124.163673,"Eureka","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Driftwood Tavern ","General Coordinates Used","(Hip) (WE*) (1st & 'C' St.)","",40.802071,-124.163673,"Eureka","CA","(D),(L),(PT),(W),(WE),(*)","Bars/Clubs",1982,"checked","",NA,NA
"Old Town ","General Coordinates Used","('Nights')","",40.802071,-124.163673,"Eureka","CA","Cruisy Area","Cruising Areas",1982,"checked","Old city district: https://visiteureka.com/activities/old-town-waterfront/",NA,NA
"Radio Park","Found","(1st & Clinton)","",36.771684,-119.773827,"Fresno","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Roeding Park","Found","","",36.755454,-119.823977,"Fresno","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"Hillcrest Park","Found","(T -Rooms)","",33.88271,-117.921239,"Fullerton","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"River Village ","General Coordinates Used","(Cabins, bar, and R)","P.O. Box 368 Guerneville, CA 95446",38.501858,-122.99611,"Guerneville","CA","(H),(R)","Hotel,Bars/Clubs,Restaurant",1982,"checked","",NA,NA
"Maze Stone County Park ","Found","(4-1/2 mi. W. on Hwy. 74)","",33.781393,-117.056477,"Hemet","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
"'Rest Stop'","General Coordinates Used","(on I-280, just N. of Bunker Hill Dr. exit)","",37.574103,-122.379416,"Hillsborough","CA","Cruisy Area","Cruising Areas",1982,"checked","",NA,NA
