ID,Title,status,lat,lon,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified
2,Noble St. btw 8th & 16th,Found,33.658482,-85.829655,,,Anniston,AL,1992,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 11:39am
1,Lagarde Park,Found,33.692729,-85.823936,,,Anniston,AL,1992,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 11:35am
3,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U) ,Found,32.603395,-85.486793,,,Auburn,AL,1992,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 11:39am
5,AA Gay/Lesbian (at Lambda Resource Center) ,General Coordinates Used,33.518589,-86.810357,"933-8964(AA#) 8pm Wed, 11am Sat, 6pm Sun",,Birmingham,AL,1992,,Info Lines & Services,checked,,,,6/12/2023 11:57am
7,Gay Information Line,General Coordinates Used,33.38376,-87.122124 ,326-8600 6pm-10pm Mon-Sat,,Birmingham,AL,1992,,Info Lines & Services,checked,,,,6/12/2023 11:59am
19,Alabama Forum,General Coordinates Used,33.518589,-86.810357,"Box 55894, 35255, 326-8600 monthly",,Birmingham,AL,1992,,Publication,checked,,,,6/12/2023 11:54am
6,Barnes Memorial Library,General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) gay/lesbian library,,Birmingham,AL,1992,,Info Lines & Services,checked,,,,6/12/2023 11:58am
16,Men's Night at Lambda Resource Center,General Coordinates Used,33.38376,-87.122124 ,2nd Mon 7pm,,Birmingham,AL,1992,,Men's Services,checked,,,,6/12/2023 11:59am
27,Rushton Park,Found,33.506402,-86.780064,,,Birmingham,AL,1992,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 12:24pm
17,"BCC (Birmingham Community Church)
",General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) 326-8600 11am Sun,,Birmingham,AL,1992,,Religious Organization,checked,,,,6/12/2023 11:58am
28,Amtrack & Greyhound Depots,General Coordinates Used,34.605925,-86.983342,,,Decatur,AL,1992,"(AYOR),Cruisy Area",Cruising Areas,checked,,,,6/12/2023 12:25pm
30,Delano Park,Found,34.597248,-86.976437,nr. Picnic Tables,,Decatur,AL,1992,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 12:26pm
31,Point Mallard Park - Swimmin' Hole (Summers),Found,34.57121,-86.93589,,,Decatur,AL,1992,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 12:27pm
29,Beltline Mall,Found,34.572401,-87.017448,,,Decatur,AL,1992,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 12:26pm
32,'The Pumps',General Coordinates Used,34.605925,-86.983342,,,Decatur,AL,1992,"(AYOR),Cruisy Area",Cruising Areas,checked,,,,6/12/2023 12:25pm
33,Klub Karosel,General Coordinates Used,31.223231,-85.390489,794-7860 9pm til-? Tues-Sat,405 Blvd.,Dothan,AL,1992,"(MW),(D),(E)",Bars,checked,,,,6/12/2023 12:34pm
