"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"2324 Lombard (in church bsmnt) 425/252-2525 7pm Mon","","Everett","WA","","Info Lines & Services","Found",47.986242,"-122.203203",1999,"",NA,NA,NA,NA
"803/254-5301 call for mtg schedule","","Columbia","SC","","Info Lines & Services","General Coordinates Used",34.00071,"-81.034814",1999,"",NA,NA,NA,NA
"505/527-1803","","Las Cruces","NM","","Info Lines & Services","General Coordinates Used",32.31994,"-106.763654",1999,"",NA,NA,NA,NA
"614/253-8501 call for mtg schedule","","Columbus","OH","","Info Lines & Services","General Coordinates Used",39.961176,"-82.998794",1999,"",NA,NA,NA,NA
"408/475-5782 call for mtgs","","Santa Cruz","CA","","Erotica","General Coordinates Used",36.974117,"-122.030796",1999,"",NA,NA,NA,NA
"318/234-7814 call for mtg schedule","","Lafayette","LA","","Info Lines & Services","General Coordinates Used",30.22409,"-92.019843",1999,"",NA,NA,NA,NA
"760/324-4880 (AA#) call for mtg schedule","","Palm Springs","CA","","Info Lines & Services","General Coordinates Used",33.830296,"-116.545292",1999,"",NA,NA,NA,NA
"315/463-5011 (AA#) call for mtg schedule","","Syracuse","NY","","Info Lines & Services","General Coordinates Used",43.048122,"-76.147424",1999,"",NA,NA,NA,NA
"520/624-4183 many mtgs, call for schedule","","Tucson","AZ","","Info Lines & Services","General Coordinates Used",32.222607,"-110.974711",1999,"",NA,NA,NA,NA
"3rd & Pulaski (at Capitol View Methodist) 501/664-7303 8pm Wed & 6pm Sun","","Little Rock","AR","","Info Lines & Services","General Coordinates Used",34.827811,"-92.345685 ",1999,"",NA,NA,NA,NA
"319/338-9111 (AA#)","","Iowa City","IA","","Info Lines & Services","General Coordinates Used",41.661128,"-91.530168",1999,"",NA,NA,NA,NA
"615/831-1050 call for mtg schedule","","Nashville","TN","","Info Lines & Services","General Coordinates Used",36.162664,"-86.781602",1999,"",NA,NA,NA,NA
"SMS University at Ecumenical Ctr (at National off Cherry) 417/823-7125 6pm Sat","","Springfield","MO","","Info Lines & Services","Found",37.20387,"-93.276101",1999,"",NA,NA,NA,NA
"215/574-6900 call for mtg schedule","","Philadelphia","PA","","Info Lines & Services","General Coordinates Used",39.946719,"-75.168902",1999,"",NA,NA,NA,NA
"801/322-5869 8pm Tue & Fri, call for locations","","Salt Lake City","UT","","Info Lines & Services","General Coordinates Used",40.760779,"-111.891047",1999,"",NA,NA,NA,NA
"505/266-1900 call for mtg schedule","","Albuquerque","NM","NS,(WC)","Info Lines & Services","General Coordinates Used",35.075459,"-106.564133",1999,"",NA,NA,NA,NA
"St Paul's Church on Cherry St 802/658-4221 7pm Th","","Burlington","VT","","Info Lines & Services","General Coordinates Used",44.475883,"-73.212072",1999,"",NA,NA,NA,NA
"215/862-0327, 215/574-6900 (AA#)","","New Hope","PA","","Info Lines & Services","General Coordinates Used",40.369499,"-74.953453",1999,"",NA,NA,NA,NA
"804/355-1212 call for mtg schedule","","Richmond","VA","","Info Lines & Services","General Coordinates Used",37.540725,"-77.436048",1999,"",NA,NA,NA,NA
"909/825-4700 call for times","","San Bernardino","CA","","Info Lines & Services","General Coordinates Used",34.108345,"-117.289765",1999,"",NA,NA,NA,NA
"402/345-9916 call for mtg schedule","","Omaha","NE","","Info Lines & Services","General Coordinates Used",41.256537,"-95.934503",1999,"",NA,NA,NA,NA
"317/632-7864 call for mtg times & locations, gay men's","","Indianapolis","IN","","Info Lines & Services","General Coordinates Used",39.768403,"-86.158068",1999,"",NA,NA,NA,NA
"at MCC location 406/245-7066 8pm Sat","","Billings","MT","","Info Lines & Services","General Coordinates Used",45.783286,"-108.50069",1999,"",NA,NA,NA,NA
"408/374-8511 call for mtg schedule","","San Jose","CA","","Info Lines & Services","General Coordinates Used",37.33874,"-121.885252",1999,"",NA,NA,NA,NA
"28th & 'S' (at 'The Meeting Place') 402/438-5214 7:30pm Mon","","Lincoln","NE","","Info Lines & Services","Found",40.818128,"-96.681028",1999,"",NA,NA,NA,NA
"757/495-3113","","Norfolk","VA","","Info Lines & Services","General Coordinates Used",36.850769,"-76.285873",1999,"",NA,NA,NA,NA
"505/982-8932","","Santa Fe","NM","","Info Lines & Services","General Coordinates Used",35.686975,"-105.937799",1999,"",NA,NA,NA,NA
"504/924-0030 call for mtg schedule","","Baton Rouge","LA","","Info Lines & Services","General Coordinates Used",30.451468,"-91.187147",1999,"",NA,NA,NA,NA
"1601 Hillsboro St (at YMCA), Raleigh 919/783-6144 8pm","","Raleigh ","NC","","Info Lines & Services","Found",35.784,"-78.65931",1999,"City listed as ""Raleigh/Durham/Chapel Hill"".",NA,NA,NA,NA
"at Lesbian/Gay Community Ctr 212/647-1680 call for mtg schedule","","New York City","NY","","Info Lines & Services","Found",40.740044,"-74.007318",1999,"Listed under ""NYC--Overview"".",NA,NA,NA,NA
"618/549-4633","","Carbondale","IL","","Info Lines & Services","General Coordinates Used",37.727273,"-89.21675",1999,"",NA,NA,NA,NA
"801/533-0927 full brkfst, hot tub","","Salt Lake City","UT","(GF),NS,(WC)","Accommodations","General Coordinates Used",40.760779,"-111.891047",1999,"",NA,NA,NA,NA
"St Stephen's Episcopal on Anson St 803/762-2433, 803/747-8774 (AA#) 8pm Tue & 6:30pm Sat","","Charleston","SC","","Info Lines & Services","Found",32.784948,"-79.931185",1999,"",NA,NA,NA,NA
"319/232-6805 weekly info & support","","Waterloo","IA","","Info Lines & Services","General Coordinates Used",42.492786,"-92.342577",1999,"",NA,NA,NA,NA
"319/232-6805 statewide lesbigay newspaper","","Waterloo","IA","","Publications","General Coordinates Used",42.492786,"-92.342577",1999,"",NA,NA,NA,NA
"Rte 130 & Richey Ave 609/854-4566","","Collingswood","NJ","","Erotica","Found",39.917586,"-75.089538",1999,"",NA,NA,NA,NA
"N Riverfront Dr 24hrs","","Mankato","MN","","Erotica","General Coordinates Used",44.163578,"-93.9994 ",1999,"",NA,NA,NA,NA
"1744 Dixie ","","Radcliff","KY","Cruisy Area,(AYOR)","Cruisy Areas","Found",37.818543,"-85.924286",1999,"",NA,NA,NA,NA
"Old Rte 220 (Bellwood exit off I-99) 814/742-7781","","Altoona","PA","","Erotica","General Coordinates Used",40.518681,"-78.394736",1999,"",NA,NA,NA,NA
"Rtes 202 & 309 215/362-9560","","Montgomeryville","PA","","Erotica","General Coordinates Used",40.238557,"-75.229839",1999,"",NA,NA,NA,NA
"Fairfax (btwn Olympic & Pico) many Ethiopian, Nigerian & other African restaurants to choose from on this block","","Los Angeles","CA","","Restaurants","General Coordinates Used",34.049962,"-118.30676",1999,"Listed under ""LA--West Hollywood.""",NA,NA,NA,NA
"785/762-4747 24hrs","","Junction City","KS","","Erotica","General Coordinates Used",39.028609,"-96.831398",1999,"",NA,NA,NA,NA
"209/533-1401","","Columbia","CA","","Entertainment & Recreation","General Coordinates Used",38.036312,"-120.401306",1999,"",NA,NA,NA,NA
"summers","","La Grange","IL","Cruisy Area,(AYOR)","Cruisy Areas","Found",41.768373,"-87.87216",1999,"",NA,NA,NA,NA
"nr Waikiki Yacht Club ","","Honolulu, Oahu","HI","Cruisy Area,(AYOR)","Cruisy Areas","Found",21.289969,"-157.847657",1999,"Listed under ""Oahu""",NA,NA,NA,NA
"334/242-4169, 800/252-2262","","Montgomery","AL","","Info Lines & Services","General Coordinates Used",32.373798,"-86.311007",1999,"",NA,NA,NA,NA
"205/328-9228 statewide paper","","Birmingham","AL","","Publications","General Coordinates Used",33.518589,"-86.810357",1999,"",NA,NA,NA,NA
"off white Sands Blvd, nights","","Alamogordo","NM","Cruisy Area,(AYOR)","Cruisy Areas","Found",32.90011,"-105.960865",1999,"",NA,NA,NA,NA
"800/478-7777","","Homer","AK","","Entertainment & Recreation","General Coordinates Used",59.648086,"-151.529924",1999,"",NA,NA,NA,NA
"907/465-2010","","Juneau","AK","","Info Lines & Services","General Coordinates Used",58.300493,"-134.420131",1999,"",NA,NA,NA,NA
"","","Miami","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found",25.748332,"-80.206401",1999,"",NA,NA,NA,NA
"802/259-2596 full brkfst","","Belmont","VT","(GF),(SW)","Accommodations","General Coordinates Used",43.414846,"-72.821155",1999,"",NA,NA,NA,NA
"512/472-2001 6:30pm 3rd Th","","Austin","TX","","Info Lines & Services","General Coordinates Used",30.267153,"-97.743061",1999,"",NA,NA,NA,NA
"207/874-6595","","Portland","ME","","Info Lines & Services","General Coordinates Used",43.659099,"-70.256819",1999,"",NA,NA,NA,NA
"S Hwy 27 Daniel Boone Nat'l Forest ","","Somerset","KY","Cruisy Area,(AYOR)","Cruisy Areas","Found",36.915212,"-84.516126",1999,"",NA,NA,NA,NA
"941/252-2576 (PAPER) gay, lesbian & bisexual youth, confidential weekly mtgs","","Sarasota","FL","","Info Lines & Services","General Coordinates Used",27.336465,"-82.531012",1999,"",NA,NA,NA,NA
"11.5 Mile Elliott Hwy 907/389-2582, 907/457-0246 full brkfst, private/shared baths, log home above Chatanika River","","Fairbanks","AK","(MW)","Accommodations","General Coordinates Used",64.840051,"-147.719976",1999,"",NA,NA,NA,NA
"WAIF FM 88.3 513/333-9243, 513/961-8900 3pm Sat, lesbigay public affairs radio program","","Cincinnati ","OH","","Entertainment & Recreation","General Coordinates Used",39.103118,"-84.51202",1999,"",NA,NA,NA,NA
"505/345-6484 pansexual S/M group","","Albuquerque","NM","","Info Lines & Services","General Coordinates Used",35.075459,"-106.564133",1999,"",NA,NA,NA,NA
"WRFG 89.7 FM 404/523-8989 6pm 2nd & 4th Fri, radio program for Atlanta's African-American lesbigay community","","Atlanta","GA","","Entertainment & Recreation","General Coordinates Used",33.748752,"-84.387684",1999,"",NA,NA,NA,NA
"808/537-9427, 800/388-6933 lesbigay commitment ceremonies","","Honolulu, Oahu","HI","","Info Lines & Services","General Coordinates Used",21.309885,"-157.85814",1999,"Listed under ""Oahu""",NA,NA,NA,NA
"805/239-2073 rural setting","","San Luis Obispo ","CA","(GF)","Accommodations","General Coordinates Used",35.282752,"-120.659616",1999,"",NA,NA,NA,NA
"504/522-8049 lesbigay newspaper","","New Orleans","LA","","Publications","General Coordinates Used",29.951066,"-90.071532",1999,"",NA,NA,NA,NA
"405/495-1111 reservation service for private homes","","Oklahoma City","OK","GO","Accommodations","General Coordinates Used",35.46756,"-97.516428 ",1999,"",NA,NA,NA,NA
"off La Rivers Dr nr Howe Ave & Watt Ave ","","Sacramento","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",38.565615,"-121.382507",1999,"",NA,NA,NA,NA
"607/723-4661, 607/729-1921","","Binghamton","NY","","Publications","General Coordinates Used",42.098687,"-75.917974",1999,"",NA,NA,NA,NA
"907-258-4777 6pm-11pm","","Anchorage","AK","","Info Lines & Services","General Coordinates Used",61.217576,"-149.899678",1999,"",NA,NA,NA,NA
"907/561-7737 alternative paper","","Anchorage","AK","","Publications","Found",61.217374,"-149.873389",1999,"",NA,NA,NA,NA
"","","South Padre Island","TX","Cruisy Area,(AYOR)","Cruisy Areas","Found",26.140921,"-97.171766",1999,"",NA,NA,NA,NA
"301/294-9514 guided tours","","Washington","DC","","Entertainment & Recreation","General Coordinates Used",38.907192,"-77.036871",1999,"",NA,NA,NA,NA
"213/737-0731, 800/788-5046 rental condo nr ocean, hot tub","","Kihei, Maui","HI","GS,(SW),GO","Accommodations","General Coordinates Used",20.739941,"-156.454187",1999,"Listed under ""Maui""",NA,NA,NA,NA
"314/577-2626, 314/843-1700 all-American kitsch in-town & out: see Clydesdales in their air-conditioned stables or visit the Busch family estate that was once the home of Ulysses S Grant","","St. Louis","MO","","Entertainment & Recreation","General Coordinates Used",38.627003,"-90.199404",1999,"",NA,NA,NA,NA
"nr baseball fields ","","Boise","ID","Cruisy Area,(AYOR)","Cruisy Areas","Found",43.610906,"-116.220551",1999,"",NA,NA,NA,NA
"410/263-1316 referrals, occasional socials","","Annapolis","MD","","Info Lines & Services","General Coordinates Used",38.978445,"-76.492183",1999,"",NA,NA,NA,NA
"next door to Leather Master","","Key West","FL","","Erotica","General Coordinates Used",24.555059,"-81.779987",1999,"",NA,NA,NA,NA
"805/942-2812 call for events","","Lancaster","CA","","Info Lines & Services","General Coordinates Used",34.703947,"-118.148102",1999,"",NA,NA,NA,NA
"","","Lincoln","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.78253,"-96.707529",1999,"",NA,NA,NA,NA
"(aka Waterfront Park)","","Bradenton","FL","Cruisy Area","Cruisy Areas","Found",27.499211,"-82.569794",1999,"",NA,NA,NA,NA
"PO Box 226 Kauai, HI 96746-0226 808/823-8335, 888/371-7716 plantation house & cottage w/ 360 degree ocean & mtn views","","Kapaa, Kauai","HI","(M)","Accommodations","General Coordinates Used",22.094739,"-159.324593",1999,"Listed under ""Kauai""",NA,NA,NA,NA
"415/701-7977 'the bisexual magazine with heart'","","San Francisco","CA","","Publications","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Overview.""",NA,NA,NA,NA
"off 'M' St ","","Merced","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",37.313099,"-120.479231",1999,"",NA,NA,NA,NA
"Ave 'G' & 50 W ","","Lancaster","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",34.740631,"-118.203863",1999,"",NA,NA,NA,NA
"days","","Seattle","WA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",47.633936,"-122.299483",1999,"",NA,NA,NA,NA
"802/888-9147","","Hyde Park","VT","(MW),(SW),NS","Accommodations","General Coordinates Used",44.592528,"-72.614841",1999,"",NA,NA,NA,NA
"505/982-2621, 800/735-8453 3 adobe casitas, hot tub, patio","","Santa Fe","NM","GS,GO","Accommodations","Found",NA,"",1999,"",NA,NA,NA,NA
"800/628-8725","","Little Rock","AR","","Info Lines & Services","Found",34.752012,"-92.282065",1999,"",NA,NA,NA,NA
"703/522-7660 monthly mtgs","","Arlington","VA","","Info Lines & Services","General Coordinates Used",38.87997,"-77.10677",1999,"",NA,NA,NA,NA
"Rte 7A 802/375-6532, 800/443-9442 clsd Sun-Mon, cont'l","","Arlington","VT","","Restaurants","Found",43.074822,"-73.15332",1999,"",NA,NA,NA,NA
"Berrick Rd (18 miles west of Center) 207/361-1100 seasonal, 6pm-9pm, clsd Mon","","Ogunquit","ME","(*)","Restaurants","Found",43.248343,"-70.621817",1999,"",NA,NA,NA,NA
"602/561-1200 hot tub","","Phoenix","AZ","(MW),(SW),TA","Accommodations","General Coordinates Used",33.538652,"-112.185987",1999,"",NA,NA,NA,NA
"Capital & St Paul Rd ","","Grand Island","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.947086,"-98.357449",1999,"",NA,NA,NA,NA
"213-980-7874 call for events","","Los Angeles","CA","","Info Lines & Services","General Coordinates Used",34.052234,"-118.243685",1999,"Listed under ""LA--Overview.""",NA,NA,NA,NA
"503/232-6408 educational/social/support group","","Portland","OR","","Info Lines & Services","General Coordinates Used",45.515232,"-122.678385",1999,"",NA,NA,NA,NA
"202/387-2742 Tue happy hour 6:30pm-8pm at 'Cobalt', call for more info","","Washington","DC","","Info Lines & Services","General Coordinates Used",38.907192,"-77.036871",1999,"",NA,NA,NA,NA
"at Lesbian/Gay Community Ctr 8pm 3rd Sat","","New York City","NY","","Info Lines & Services","Found",40.740044,"-74.007318",1999,"Listed under ""NYC--Overview"".",NA,NA,NA,NA
"412/361-1839","","Pittsburgh","PA","","Info Lines & Services","General Coordinates Used",40.440625,"-79.995886",1999,"",NA,NA,NA,NA
"970/925-9249 8pm-midnight (live) & recorded local info & events","","Aspen","CO","","Info Lines & Services","General Coordinates Used",39.191098,"-106.817539",1999,"",NA,NA,NA,NA
"773/918-5067 social/support group for gay/bi/trans Latinos, call for events","","Chicago","IL","","Info Lines & Services","General Coordinates Used",41.878114,"-87.629798",1999,"Listed under ""Chicago--Overview"".",NA,NA,NA,NA
"Hwy 258 inquire locally","","Jacksonville","NC","","Nightclubs","General Coordinates Used",34.754052,"-77.430241",1999,"",NA,NA,NA,NA
"202/331-4422 dance parties, locations vary, call for info","","Washington","DC","","Nightclubs","General Coordinates Used",38.907192,"-77.036871",1999,"",NA,NA,NA,NA
"","","South Padre Island","TX","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",26.11184,"-97.168126",1999,"",NA,NA,NA,NA
"215/790-1179 lesbigay newspaper","","Philadelphia","PA","","Publications","General Coordinates Used",39.946719,"-75.168902",1999,"",NA,NA,NA,NA
"summers","","Henderson","KY","Cruisy Area,(AYOR)","Cruisy Areas","Found",37.881203,"-87.564203",1999,"",NA,NA,NA,NA
"at 'Bob Alder's Celebrity Lounge' 808/933-7600 7:30pm-close 1st Fri","","Hilo","HI","(D)","Nightclubs","Found",19.713507,"-155.073625",1999,"Listed under ""Hawaii (Big Island)""",NA,NA,NA,NA
"601/346-4379","","Florence","MS","","Info Lines & Services","General Coordinates Used",32.154416,"-90.12394",1999,"",NA,NA,NA,NA
"888/892-2237","","Colorado Springs","CO","","Accommodations","General Coordinates Used",38.833882,"-104.821363",1999,"",NA,NA,NA,NA
"Hwy 23 S 501/253-7734 5pm-9pm, clsd Sun, cont'l","","Eureka Springs","AR","","Restaurants","General Coordinates Used",36.406288,"-93.73469",1999,"",NA,NA,NA,NA
"by Fwy 99, evenings","","Visalia","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",36.30546,"-119.364537",1999,"",NA,NA,NA,NA
"trails in woods behind the mall ","","Glen Falls","NY","Cruisy Area,(AYOR)","Cruisy Areas","Found",43.326754,"-73.67773",1999,"",NA,NA,NA,NA
"","","Johnstown","PA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",40.326741,"-78.92197",1999,"",NA,NA,NA,NA
"downstairs at 'Back Door Pub' 202/544-1931 opens 10pm, clsd Mon","","Washington","DC","(M),(D),MR-AF,(S),(WC)","Nightclubs","Found",38.877242,"-76.994699",1999,"",NA,NA,NA,NA
"in the 'Crown & Anchor' accommodations, 508/487-1430 seasonal, 10:30pm-1am","","Provincetown","MA","(*),(MW),(D),(YC)","Nightclubs","Found",42.049893,"-70.188507",1999,"",NA,NA,NA,NA
"617/227-4313 youth talkline, ask about other services","","Boston","MA","","Info Lines & Services","General Coordinates Used",42.360083,"-71.05888",1999,"",NA,NA,NA,NA
"","","Danville","VA","Cruisy Area,(AYOR)","Cruisy Areas","Found",36.572536,"-79.419015",1999,"",NA,NA,NA,NA
"415/861-5019 the weekly lesbigay newspaper","","San Francisco","CA","","Publications","General Coordinates Used",37.77493,"-122.419415",1999,"Listed under ""SF--Overview.""",NA,NA,NA,NA
"208/354-2906, 800/244-1444 seasonal, authentic working cattle ranch","","Jackson","WI","(MW)","Accommodations","General Coordinates Used",43.323892,"-88.16676",1999,"",NA,NA,NA,NA
"Oak Park 708/848-9140","","Chicago","IL","","Bookstores","General Coordinates Used",41.885032,"-87.784502",1999,"Listed under ""Chicago--Overview"".",NA,NA,NA,NA
"Bard College 914/758-6822 (GENERAL SWITCHBOARD), 914/758-7454 (DEAN OF STUDENTS) active during school year","","Annandale-on-Hudson","NY","","Info Lines & Services","Found",42.023073,"-73.909314",1999,"",NA,NA,NA,NA
"by the bridge 207/967-5050 seasonal, 11am-10pm, seafood, full bar","","Kennebunkport","ME","(WC)","Restaurants","General Coordinates Used",43.361733,"-70.476727",1999,"",NA,NA,NA,NA
"Congress Ave Bridge (at Barton Springs Dr), everything's bigger in Texas--especially the colony of bats that flies out from under this bridge every evening Mar-Oct","","Austin","TX","","Entertainment & Recreation","Found",30.259192,"-97.746127",1999,"",NA,NA,NA,NA
"Rincon Point, N beyond the sea wall (btwn Venture & Santa Barbara)","","Ventura","CA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",34.280492,"-119.29452",1999,"",NA,NA,NA,NA
"Hirasawa Lounge, Chase Hall, Bates College 207/786-6255 8:30pm Sun","","Lewiston","ME","","Info Lines & Services","Found",44.104506,"-70.203833",1999,"",NA,NA,NA,NA
"by rock wall going to river","","Mishawaka","IN","Cruisy Area,(AYOR)","Cruisy Areas","Found",41.665581,"-86.188208",1999,"",NA,NA,NA,NA
"trails too","","Arlington","VT","Cruisy Area,(N),(AYOR)","Cruisy Areas","General Coordinates Used",43.074442,"-73.160465",1999,"",NA,NA,NA,NA
"N Public Beach ","","Burlington","VT","Cruisy Area,(AYOR)","Cruisy Areas","Found",44.481301,"-73.219886",1999,"",NA,NA,NA,NA
"s edge of town","","Port Oxford","OR","Cruisy Area,(AYOR)","Cruisy Areas","Found",42.742901,"-124.492401",1999,"",NA,NA,NA,NA
"Terry Rd (at Hwy 80) afternoons","","Jackson","MS","Cruisy Area,(AYOR)","Cruisy Areas","Found",32.287206,"-90.200437",1999,"",NA,NA,NA,NA
"Rte 1, PO Box 148, Milbridge 860/289-8026, 888/309-8026 private waterfront home on over 6 acres w/ 500 ft of frontage; 1/2 mile from quaint seaport village","","Ellsworth","ME","(M),GO","Accommodations","General Coordinates Used",44.545049,"-67.878008",1999,"",NA,NA,NA,NA
"617/266-6670 lesbigay newspaper","","Boston","MA","","Publications","General Coordinates Used",42.360083,"-71.05888",1999,"",NA,NA,NA,NA
"opposite Claridge's ","","Atlantic City","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found",39.355963,"-74.430157",1999,"",NA,NA,NA,NA
"18th Ave S ","","Naples","FL","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",26.142036,"-81.79481 ",1999,"",NA,NA,NA,NA
"at end of N 10th St, off Richards Blvd","","Sacramento","CA","Cruisy Area,(AYOR)","Cruisy Areas","Found",38.600118,"-121.484667",1999,"",NA,NA,NA,NA
"along RR tracks","","Seattle","WA","Cruisy Area,(N),(AYOR)","Cruisy Areas","Found",47.761987,"-122.38202",1999,"",NA,NA,NA,NA
"","","Myrtle Beach","SC","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used",33.746985,"-78.808642",1999,"",NA,NA,NA,NA
"East Hampton go left","","Long Island","NY","Cruisy Area,(AYOR)","Cruisy Areas","Found",40.956311,"-72.160627",1999,"Listed under ""Long Island--Suffolk County"".",NA,NA,NA,NA
