"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Airport Motel Bar","Found","Birmingham Airport
","5900 Messer Airport Hwy","","Birmingham","AL","(M)","Hotels,Bars/Clubs",1974,NA,NA,NA,NA,NA
"Cruisy Area","Found","","5th Ave N & 20th St N","","Birmingham","AL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Jewel Box","Found","Dinkler-Tutwiler Hotel","5th Ave N & 20th St N","","Birmingham","AL","(M),(PE)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Jewel Box","Found","Dinkler-Tutwiler Hotel
","5th Ave N & 20th St N","","Birmingham","AL","(M),(PE)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Jewel Box","Found","Dinkler-Tutwiler Hotel","5th Ave N & 20th St N","","Birmingham","AL","(M),(PE)","Hotels",1966,NA,NA,NA,NA,NA
"Jewel Box","Found","Dinkler-Tutwiler Hotel","5th Ave N & 20th St N","","Birmingham","AL","(M),(PE)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"5th Ave. N. at 20th St. near bus stops","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Woodrow Wilson Park ","Found","","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Focus Phase II","Found","(Many G) (Disco)","117 ½ N. 21st St.","","Birmingham","AL","(D),(S),(WE),(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Venus Adult Entertainment","General City Coordinates Used","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Rushton Park ","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Airport Motel Bar","Found","Birmingham Airport
","5900 Messer Airport Hwy","","Birmingham","AL","Cruisy Area","Hotels,Cruising Areas",1979,NA,NA,NA,NA,NA
"Dutchman","Found","","Magnolia Pt. at 22nd St. S.  ","","Birmingham","AL","(M)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Outer Focus","Found","(upstairs)","117 ½ N. 21st St.","","Birmingham","AL","(YC),(D),(*)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Dutchman","Found","","Magnolia Pt. at 22nd St. S.","","Birmingham","AL","(M)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"5th Ave. N. at 20th St. near bus stops","Found","","","","Birmingham","AL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Woodrow Wilson Park","Found","","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area,(HOT)","Cruising Areas",1976,NA,NA,NA,NA,NA
"5th Ave N. at 20th St. nr bus depot","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Airport Motel Bar","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Airport Motel Bar ","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"5th Avenue North at 20th Street near Bus Depot","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Redmont Hotel Lounge","Found","","5th Avenue North at 22nd Street","","Birmingham","AL","(M),(RT),(PT),(G)","Hotels,Bars/Clubs",1977,NA,NA,NA,NA,NA
"Woodrow Wilson Park ","Found","","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area,(HOT)","Cruising Areas",1977,NA,NA,NA,NA,NA
"Airport Motel Bar","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas,Hotels",1975,NA,NA,NA,NA,NA
"Woodrow Wilson Park","Found","","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"5th Ave N. at 20th St., near bus depot","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Airport Motel Bar","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas,Hotels",1978,NA,NA,NA,NA,NA
"Rushton Park","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Woodrow Wilson Park","Found","(HOT)","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"5th Ave. No. at 20th St. nr. Bus Depot","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Redmont Hotel Lounge","Found","","5th Ave. N. at 22nd St.","","Birmingham","AL","(M),(RT),(B),(PT)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Airport Motel Bar","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Woodrow Wilson Park","Found","","","Renamed to Linn Park.","Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Rushton Park","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Felicia Del Rio","General City Coordinates Used","Reject shipped back from Sa Francisco - FFA/water sports","","","Birmingham","AL","Cruisy Area,(FFA)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Pitt Grill","Found","","6th Ave. S. at 24th St. ","","Birmingham","AL","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA
"5th Ave. N. at 20th St. nr. Bus Depot","Found","","","","Birmingham","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"King Cotton","General City Coordinates Used","(may be opening summer '73 - Inquire locally)","","","Mobile","AL","","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Dolphin Island","Found","(summers only)","","Coordinates for Dauphin Island due to unlcear location.","Mobile","AL","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Flamingo Room","General City Coordinates Used","Mobile Steak House","","Coordinates for Mobile due to unclear address.","Mobile","AL","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Dolphin Island - nr. Old Casino & Bird Sanctuary ","Found","","","","Mobile","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Y. M. C. A. Dormitory ","General City Coordinates Used","","","","Mobile","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"King Cotton","General City Coordinates Used","(Maybe opening downtown by summer ’72 – Inquire locally)","","","Mobile","AL","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Dolphin Island","Found","Near ‘old’ Casino & bird sanctuary (Summers only)","","","Mobile","AL","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"'Rest Area' nr. Mississippi State Line (I-10)","General City Coordinates Used","","","","Mobile","AL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Dolphin Island","Found","(near old casino & bird sanctuary, summers only)","","","Mobile","AL","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Dolphin Island – near Old Casino & Bird Sanctuary ","Found","","","","Mobile","AL","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Patio Club ","General City Coordinates Used","","Conti St. in back of Fireside ","","Mobile","AL","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Dolphin Island - near Old Casino & bird sanctuary","Found","(summers only)","","","Mobile","AL","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Dolphin Island","Found","nr. Old Casino & Bird Sancturary ","","","Mobile","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Central Cafe","General City Coordinates Used","('Market Place') (Some western cowboy types, motorcycle, blacks)
(Go-go boys)","Springhill & Dauphin","","Mobile","AL","(W),(B),(D)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Cental Cafe ","General City Coordinates Used","('Market Place') (May be moving or closing)","Springhill & Dauphin","","Mobile","AL","","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Dolphin Island","Found","nr. Old Casino & Bird Sanctuary
","","","Mobile","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Bienville Square","Found","","","","Mobile","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Y.M.C.A. Dormitory","General City Coordinates Used","","","","Mobile","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Luscher Park","Found","","","","Mobile","AL","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"The Club","General City Coordinates Used","(about 5 miles out)","","Coordinates for Montogomery due to vague address.","Montgomery","AL","(P),(D)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Exchange Bar ","Found","Exchange Hotel","201 Tallapoosa St","Address updated. Location still exists.","Montgomery","AL","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Jefferson Davis Hotel Bar","Found","","","Coordinates for cross street.","Montgomery","AL","(M)","Bars/Clubs,Hotels",1968,NA,NA,NA,NA,NA
"Jefferson Davis Hotel Bar","Found","","","Coordinates for cross street.","Montgomery","AL","(M)","Bars/Clubs,Hotels",1966,NA,NA,NA,NA,NA
"Jefferson Davis Hotel Bar","Found","","","Coordinates for cross street.","Montgomery","AL","(M)","Bars/Clubs",1965,NA,NA,NA,NA,NA
"Lee St. betw. Bus Depots","General City Coordinates Used","","","","Montgomery","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Church St. Betw. Lee & Molton","Found","","","","Montgomery","AL","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Filibuster Lounge","Found","Governor's House Motel","","See https://abandonedsoutheast.com/2019/03/25/governors-house-motel/","Montgomery","AL","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Exchange Bar","Found","Exchange Hotel
","Montgomery & Court Sq.","","Montgomery","AL","","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Outpost ","General City Coordinates Used","(may be closing)","Atlanta Hwy. at Eastern By-pass","","Montgomery","AL","(BYOB)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Quinn’s ","Found","(“Subtle” – like an old-style ‘speak easy’) ","80 Commerce at Madison ","","Montgomery","AL","(M),(AH)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Am-Vets Club ","General City Coordinates Used","","Bibb & Montgomery ","Unclear because Bibb and Montgomery don't intersect.","Montgomery","AL","(M),(R),(C),(AH)","Restaurant",1977,NA,NA,NA,NA,NA
"Outpost ","General City Coordinates Used","","Atlanta Hwy. at Eastern By-pass","","Montgomery","AL","(BYOB),(*)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"Church St. Betw. Lee & Molton","Found","","","","Montgomery","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Lee St.","General City Coordinates Used","betw. bus depot","","","Montgomery","AL","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
