"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"General Coordinates Used","In alley off Main Street (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","In alley off Main St. (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Can be cruisy in season)","","Charlotte Amalie, St. Thomas","(M)","Cruising Areas,Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On the Waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On the waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On the waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On the Waterfront ","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","On the Waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","9E &9J Gamble Norisideve's Tel: 809-774-5764","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","9E & 9J Gamble Norisdeve's Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Gamble Norisideve's Tel: (809)774-5764","","Charlotte Amalie, St. Thomas","(M)","Hotels,Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire locally","","Charlotte Amalie, St. Thomas","(B)","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Italian R) nr. Mafolie Hotel on Abortion Hill. Tel: (809)774-5764 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1979,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(Italian R) nr Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1978,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(Italian) Nr. Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations and directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1976,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","(Italian R) nr. Mafolir Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1977,"approximate location",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Looks promising) Strand St.","","Christiansted, St. Croix","(M),(R)","Restaurant",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","On Raadets Gade, betw. Back Street (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","(HIP),(M),(YC)","Bars/Clubs",1977,"approximate location",NA,NA,NA,NA,NA,NA,NA
"Found","On Raadets Gade, betw. Back St. (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","(HIP),(M),(YC)","Bars/Clubs",1976,"approximate location",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","P.O. Box 1189, St. Thomas, V.I. Call (809) 774-1445","","Charlotte Amalie, St. Thomas","(H),(R),(E),(D)","Restaurant,Hotels",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(This is the place- your hosts Larry & Jerry) (Bar) (Disco) (Swim pool) next to Hotel 1829 Tel: 809-774-1445. Box 1189 St. Thomas, V.I. 00801","","Charlotte Amalie, St. Thomas","(H),(R),(E),(D),(*)","Hotels,Restaurant,Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
