"status","lat","lon","description","streetaddress","city","state","Year","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
"Found",33.658482,"-85.829655","btwn 8th & 16th ","","Anniston","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.692729,"-85.823936","","","Anniston","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",33.501342,"-86.807159","PO Box 34, Hill University Center, 35294","","Birmingham","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.38376,"-87.122124 ","(800)-346-5592 gay realtor at your service, no rentals ","","Birmingham","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.518589,"-86.810357","(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun","","Birmingham","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",34.57121,"-86.93589","swimmin' hole","","Decatur","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.605925,"-86.983342","","","Decatur","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",34.597248,"-86.976437","","","Decatur","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",34.80322,"-87.675219","nights","","Florence","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",34.811018,"-87.625245","days","","Florence","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",34.730369,"-86.586104","all overlooks","","Huntsville","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",34.711624,"-86.597645","PO Box 914, 35804 517-6127 meets 4th Th at 2400 Bob Wallace","","Huntsville","AL",1996,"","Info Lines & Services","Possible address is in description",NA,NA,NA,NA
"General Coordinates Used",34.729901,"-86.59007","539-4235 resource & info line 9am-9pm","","Huntsville","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",33.8478,"-85.757482","","","Jacksonville","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",30.695366,"-88.039891","opposite Holiday Inn off causeaway ","","Mobile","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",32.377599,"-86.309296","","","Montgomery","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.292786,"-86.252829","","","Montgomery","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",32.429394,"-86.400732","","","Montgomery","AL",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.379223,"-86.307737","","","Montgomery","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.379223,"-86.307737","PO Box 603, 36101 284-2421","","Montgomery","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",32.292786,"-86.252829","244-9623 transgender info line; contact: Christine","","Montgomery","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",33.214516,"-87.545433","UA Ferguson Student Center, 3rd flr. 348-7210","","Tuscaloosa","AL",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",32.43312,"-87.016506","Broad St.","","Selma","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.413842,"-87.022179","","","Selma","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",32.434025,"-86.654702","","","Autaugaville","AL",1996,"(AYOR)","Cruising Areas","",NA,NA,NA,NA
"Found",32.453906,"-86.466914","","","Prattville","AL",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"Found",61.213666,"-149.903704","at 9th & 'L' Sts. ","","Anchorage","AK",1996,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",61.196105,"-149.915966","PO Box 104858, 99510 monthly men's social club","","Anchorage","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",61.218923,"-149.850373","PO Box 202054, 99520 leather/bear club","","Anchorage","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",61.218923,"-149.850373","PO Box 200070, 99520 258-4777 monthly newsletter; also sponsors Fourth Fri Potluck","","Anchorage","AK",1996,"","Publications","",NA,NA,NA,NA
"General Coordinates Used",61.199372,"-149.918675","PO Box 90154, 99509 278-7575 self-catering 3-bdrm vacation home on 2 acres, deck, hot tub","","Anchorage","AK",1996,"(IGTA)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",61.196105,"-149.915966","258-4777 irregular hrs, leave message","","Anchorage","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",61.218923,"-149.850373","258-5266, 7:30pm Th, youth group","","Anchorage","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",64.840051,"-147.719976","PO Box 82290, 99708 389-2582/457-0246 log home in beautiful birch forest setting above Chatanika River","","Fairbanks","AK",1996,"(MW)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",64.839827,"-147.719466","457-0246 UAF student group","","Fairbanks","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",64.837778,"-147.716389","456-5960 4pm-9pm, 11pm-4am Fri-Sat (seasonal) mainly tourists, more gay after 11pm","Alaskaland ","Fairbanks","AK",1996,"(GF),(D),(E)","Bars","",NA,NA,NA,NA
"General Coordinates Used",59.648086,"-151.529924","PO Box 1394, 99603 235-2265 cabin & suite","","Homer","AK",1996,"(WC)","Accommodations","",NA,NA,NA,NA
"General Coordinates Used",58.395068,"-134.658307","PO Box 211371, 99821 publishes monthly newsletter","","Auke Bay","AK",1996,"","Info Lines & Services","",NA,NA,NA,NA
"Found",35.203668,"-111.658355","","","Flagstaff","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
"General Coordinates Used",35.198284,"-111.651302","(800)-346-5592 gay realtor at your service, no rentals ","","Flagstaff","AZ",1996,"","Info Lines & Services","",NA,NA,NA,NA
"General Coordinates Used",33.415184,"-111.831472","PO Box 42151, 85274 898-0098/(800)382-1113","","Mesa","AZ",1996,"(IGTA)","Travel/Tour Operators","",NA,NA,NA,NA
"Found",33.416972,"-111.819674","","","Mesa","AZ",1996,"Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
