"description","streetaddress","city","state","amenityfeatures","type","status","lat","lon","Year","notes","title","unclear_address","full.address","geoAddress"
"KPFT-FM 90.1 713/526-4000 midnight-3am Sat, lesbigay radio, also 'Lesbian/Gay Voices', 6pm Fri ",NA,"Houston","TX","","Entertainment & Recreation","General Coordinates Used","29.760427","-95.369803",2000,"",NA,NA,NA,NA
"E bank of the Mississippi btwn the Franklin Ave & I-94 bridges, Minneapolis  esp summer afternoons",NA,"Minneapolis","MN","Cruisy Area,(AYOR)","Cruisy Areas","Found","44.965539","-93.223122",2000,"",NA,NA,NA,NA
"pier at end of Reynolds St late",NA,"Key West","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found","24.547154","-81.788282",2000,"",NA,NA,NA,NA
"WXPN-FM 88.5 215/898-6677 10pm Sun, lesbigay radio",NA,"Philadelphia","PA","","Entertainment & Recreation","General Coordinates Used","39.946719","-75.168902",2000,"",NA,NA,NA,NA
"617/471-8454 full brkfst, Euro-American B&B",NA,"Boston","MA","(MW),(NS)","Accommodations","General Coordinates Used","42.360083","-71.05888",2000,"",NA,NA,NA,NA
"Ice Harbor area ",NA,"Dubuque","IA","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","42.495735","-90.665043",2000,"",NA,NA,NA,NA
"by the boat house  ",NA,"Clifton","NJ","Cruisy Area,(AYOR)","Cruisy Areas","Found","40.849558","-74.137958",2000,"",NA,NA,NA,NA
"323/650-7772 club listings",NA,"Los Angeles","CA","","Publications","General Coordinates Used","34.052234","-118.243685",2000,"",NA,NA,NA,NA
"S to boardwalk",NA,"Jacksonville Beach","FL","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","30.282958","-81.394154",2000,"",NA,NA,NA,NA
"btwn Shipley & Tetnell  ",NA,"Wilmington","DE","Cruisy Area,(AYOR)","Cruisy Areas","Found","39.743921","-75.550549",2000,"",NA,NA,NA,NA
"600 block of W Market ",NA,"York","PA","(MW)","Bars","General Coordinates Used","39.957182","-76.74318",2000,"",NA,NA,NA,NA
"from 'A' St to State Capitol ",NA,"Lincoln","NE","Cruisy Area,(AYOR)","Cruisy Areas","Found","40.796693","-96.699676",2000,"",NA,NA,NA,NA
"",NA,"Miami Beach","FL","Cruisy Area,(AYOR)","Cruisy Areas","Found","25.797743","-80.126006",2000,"",NA,NA,NA,NA
"btwn N & M Sts  ",NA,"Washington","DC","Cruisy Area,(AYOR)","Cruisy Areas","General Coordinates Used","38.906185","-77.053301",2000,"",NA,NA,NA,NA
