"title","status","description","streetaddress","lat","lon","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","geoAddress"
"Noble St.","Found","betw. 8th & 6th","",33.658482,-85.829655,"Anniston","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Greyhound Bus Depot","General Coordinates Used","","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Penny's T-Room ","General Coordinates Used","(Quintard)","",33.659826,-85.831632,"Anniston","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Haley Center","Found","(4th floor T-room) (Auburn Univ.)","",32.603395,-85.486793,"Auburn","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"Sanford Park ","Found","(Auburn Univ.) (nr. Langton Hall)
","",32.604862,-85.482511,"Auburn","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
"5th Ave. N. ","Found","at 20th St. nr. Bus Depot ","",33.518077,-86.808184,"Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Rushton Park","Found","","",33.506402,-86.780064,"Birmingham","AL","Cruisy Area,(*)","Cruising Areas",1983,"checked","",NA,NA
"Western Super Market ","Found","(Late Sat. nights*)","2230 Highland Ave.",33.501784,-86.790606,"Birmingham","AL","Cruisy Area,(*)","Cruising Areas",1983,"checked","",NA,NA
"Woodrow Wilson Park","Found","(AYOR-'Fuzz')","",33.520773,-86.809888,"Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas",1983,"checked","",NA,NA
"Gay Info Line","General Coordinates Used","(205) 251-0682","",33.518589,-86.810357,"Birmingham","AL","","Hotlines",1983,"checked","",NA,NA
"Amtrak & Greyhound Depots","General Coordinates Used","","",34.605925,-86.983342,"Decatur","AL","Cruisy Area","Cruising Areas",1983,"checked","",NA,NA
