"Year","status","lat","lon","description","streetaddress","city","state","amenityfeatures","type","notes","title","unclear_address","full.address","geoAddress"
2003,"General Coordinates Used",32.379223,-86.307737,"205/328-9228 lgbt newspaper","","","AL","","Publications","(statewide)",NA,NA,NA,NA
2003,"General Coordinates Used",32.379223,-86.307737,"404/876-1819 weekly lgbt newspaper for AL, FL (panhandle), GA, LA, MS, TN w/resource listings","","","AL","","Publications","(statewide)",NA,NA,NA,NA
2003,"General Coordinates Used",32.318231,-86.902298,"727/526-0585 bi-weekly magazine for gay men","","","AL","","Publications","(statewide)",NA,NA,NA,NA
2003,"Found",33.478594,-85.809389,"Cheaha Scenic Dr. head towards the walking trail","","Anniston","AL","Cruisy Area","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.518589,-86.810357,"7pm-10pm Mon-Sat","","Birmingham","AL","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",33.518589,-86.810357,"at Jefferson/Shelby county line (on Hwy 280 E, exit before Cahaba River bridge & turn left)","","Birmingham","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",33.518589,-86.810357,"205/595-3388 Local Live Chat & Voice Personals! Hot local Men are waiting to meet you. FREE to Record, Browse, & Respond to voice ads. Use code 5051","","Birmingham","AL","","Men's Services","",NA,NA,NA,NA
2003,"Found",33.506402,-86.780064,"Highland Park area hustlers","","Birmingham","AL","Cruisy Area,(AYOR),(H)","Cruising Areas","",NA,NA,NA,NA
2003,"General Coordinates Used",30.695366,-88.039891,"800/289-1489 Call for local # nearest you! Hot men waiting to meet you! FREE to Record, Browse, & Respond to voice ads. Use code 5051","","Mobile","AL","","Men's Services","",NA,NA,NA,NA
2003,"Found",30.684659,-88.057654,"at Cornerstone MCC 251/479-9994 (AA#), 251/476-4621 (church) 7pm Th & Sat","","Mobile","AL","","Info Lines & Services","",NA,NA,NA,NA
2003,"Found",33.218149,-87.557662,"along Black Warrior River also check out the nature trails on the other side of the park","","Tuscaloosa","AL","Cruisy Area,(AYOR)","Cruising Areas","",NA,NA,NA,NA
2003,"Found",61.214906,-149.899314,"907/561-7737 alternative paper","","Anchorage","AK","","Publications","",NA,NA,NA,NA
2003,"General Coordinates Used",61.199372,-149.918675,"907/258-4777, 888/901-9876 6pm-11pm","","Anchorage","AK","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",61.218923,-149.850373,"907/928-4528 community center, also 'Northview' newsletter, Fourth Fri coffeehouse & dessert social","","Anchorage","AK","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",61.218923,-149.850373,"907/563-6338 The hottest local guys! 18+ Record & Listen FREE! Use access code 499","","Anchorage","AK","","Men's Services","",NA,NA,NA,NA
2003,"General Coordinates Used",64.840051,-147.719976,"907/458-8288 24hrs","","Fairbanks","AK","","Info Lines & Services","",NA,NA,NA,NA
2003,"General Coordinates Used",59.648086,-151.529924,"800/478-7777 deluxe cabin cruiser for big-game fishing (halibut)","","Homer","AK","","Entertainment & Recreation","",NA,NA,NA,NA
2003,"General Coordinates Used",58.300493,-134.420131,"907/586-4297 also publishes newsletter","","Juneau","AK","","Info Lines & Services","",NA,NA,NA,NA
