ID,Title,status,lat,lon,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified
3,Noble St.,Found,33.658482,-85.829655,,btwn. 8th & 16th,Anniston,AL,1994,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 11:36am
2,Lagarde Park,Found,33.692729,-85.823936,,,Anniston,AL,1994,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 11:35am
5,Haley Center Library & Sanford Park ,Found,32.603395,-85.486793,nr. Langton Hall (Auburn U),,Auburn,AL,1994,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 11:39am
8,Barnes Memorial Library ,General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) lesbigay library ,,Birmingham,AL,1994,,Info Lines & Services,checked,,Center address is 205 32nd St. S. ,,6/12/2023 11:58am
19,Alabama Forum,General Coordinates Used,33.518589,-86.810357,"Box 55894, 35255 328-9228",,Birmingham,AL,1994,,Publications,checked,,,,6/12/2023 11:54am
7,AA Gay/Lesbian,General Coordinates Used,33.518589,-86.810357,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed, 11am Sat, 6pm Sun",,Birmingham,AL,1994,,Info Lines & Services,checked,,Center address is 205 32nd St. S. ,,6/12/2023 11:57am
11,Men's Night,General Coordinates Used,33.518589,-86.810357,(at Lambda Resource Center) 326-8600 2nd Mon 7pm ,,Birmingham,AL,1994,,Info Lines & Services,checked,,Center address is 205 32nd St. S. ,,6/12/2023 11:59am
9,Gay Information Line ,General Coordinates Used,33.38376,-87.122124 ,"326-8600, 6pm-10pm, from 1pm wknds ",,Birmingham,AL,1994,,Info Lines & Services,checked,,,,6/12/2023 11:59am
28,"""The Pumps""",General Coordinates Used,34.605925,-86.983342,,,Decatur,AL,1994,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 12:25pm
26,Delano Park,Found,34.597248,-86.976437,,,Decatur,AL,1994,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 12:27pm
27,Point Mallard Park,Found,34.57121,-86.93589,'- Swimmin' Hole (Summers),,Decatur,AL,1994,Cruisy Area,Cruising Areas,checked,,,,6/12/2023 12:27pm
30,Wilson Park ,Found,34.80322,-87.675219,(Nights),,Florence,AL,1994,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 12:38pm
29,Veterans Park,Found,34.811018,-87.625245,(Days),,Florence,AL,1994,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,,6/12/2023 12:38pm
33,Pink Triangle Alliance,General Coordinates Used,34.729901,-86.59007,"P.O. Box 2334, 35804 539-4235 resource & info line, 10am-early evenings only",,Huntsville,AL,1994,,Info Lines & Services,checked,,,,6/12/2023 12:42pm
32,Huntsville Help Line,General Coordinates Used,34.730369,-86.586104,"P.O. Box 92, 35804 539-1000, 24hrs, some lesbigay resources",,Huntsville,AL,1994,,Info Lines & Services,checked,,,,6/12/2023 12:40pm
