ID2,title,type,city,state,description,streetaddress,amenityfeatures,unclear_address,Year,unclear type or question,notes,Last Modified
1,Lagarde Park,Cruising Areas,Anniston,AL,,,Cruisy Area,checked,,,,7/6/2022 7:34pm
2,Noble St.,Cruising Areas,Anniston,AL,btw. 8th & 16th,,Cruisy Area,checked,,,,7/6/2022 7:34pm
3,Haley Center Library,Cruising Areas,Auburn,AL,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U),,Cruisy Area,checked,,,,7/6/2022 7:34pm
4,Sanford Park,Cruising Areas,Auburn,AL,Haley Center Library & Sanford Park nr. Langton Hall (Auburn U),,Cruisy Area,checked,,,,7/6/2022 7:34pm
5,Autaugaville Rec. Park,Cruising Areas,Autaugaville,AL,,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 7:34pm
6,AA Gay/Lesbian,Info Lines & Services,Birmingham,AL,"(at Lambda Resource Center) 933- 8964(AA#) 8pm Wed, 11am Sat, 6pm Sun",,,checked,,,,4/14/2023 2:55pm
7,Barnes Memorial Library,Info Lines & Services,Birmingham,AL,(at Lambda Resource Cen­ter) gay/lesbian library,,,checked,,,,4/14/2023 2:55pm
8,Gay Information Line,Info Lines & Services,Birmingham,AL,326-8600 6pm-10pm Mon-Sat,,,checked,,,,4/14/2023 2:55pm
16,Men's Night at Lambda Resource Center,Men's Services,Birmingham,AL,Mon 7pm,,,checked,,,,4/14/2023 2:55pm
17,BCC (Birmingham Community Church) ,Religious Organizations,Birmingham,AL,(at Lambda Resource Center) 326-8600 11am Sun,,,checked,,,,4/14/2023 2:55pm
19,Alabama Forum,Publications,Birmingham,AL,"35255, 326-8600 bi­ monthly","Box 55913, Birm.",,checked,,,,4/21/2023 9:06am
27,Ruston Park,Cruising Areas,Birmingham,AL,,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 7:34pm
28,The Pumps',Cruising Areas,Decatur,AL,,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 7:34pm
29,Amtrak Depots,Cruising Areas,Decatur,AL,,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 7:34pm
30,Greyhound Depots,Cruising Areas,Decatur,AL,,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 7:34pm
31,Beltline Mall,Cruising Areas,Decatur,AL,,,Cruisy Area,checked,,,,7/6/2022 7:34pm
32,Delano Park,Cruising Areas,Decatur,AL,nr. Picnic Tables,,Cruisy Area,checked,,,,7/6/2022 7:34pm
33,Point Mallard Park,Cruising Areas,Decatur,AL,Swimmin' Hole (Summers),,Cruisy Area,checked,,,,7/6/2022 7:34pm
35,Veterans Park,Cruising Areas,Florence,AL,(Days),,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 7:34pm
36,Wilson Park,Cruising Areas,Florence,AL,(Nights),,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 7:34pm
38,Gay Helpline,Info Lines & Services,Huntsville,AL,539-3424 24 hrs & AIDS referral service,,,checked,,,,4/14/2023 1:04pm
39,Pink Triangle Alliance,Info Lines & Services,Huntsville,AL,"P.O. Box 2334,35804,539-4235 resource & info line until 10pm",,,checked,,,,4/21/2023 9:06am
44,Observation Point ,Cruising Areas,Huntsville,AL,On Governer Dr. (The Over­ look),,Cruisy Area,checked,,,,7/6/2022 7:34pm
45,Germania Springs,Cruising Areas,Jacksonville,AL,,,Cruisy Area,checked,,,,7/6/2022 7:34pm
46,Jacksonville State U.,Cruising Areas,Jacksonville,AL,Bibb Graves Hall & Ayer Hall 2nd fir,,Cruisy Area,checked,,,,4/21/2023 9:06am
52,Old State Park,Cruising Areas,Mobile,AL, (opp. Holiday Inn -off causeway),,Cruisy Area,checked,,,,4/14/2023 2:51pm
53,Gay Helpline,Info Lines & Services,Montgomery,AL,(at MCC) 326-8529,,,checked,,,,4/14/2023 2:55pm
56,Black & White Men Together,Men's Services,Montgomery,AL,P.O. Box 603 284-2421,,(BWMT),checked,,,,4/14/2023 2:55pm
58,Auburn University,Cruising Areas,Montgomery,AL,,,Cruisy Area,checked,,,,7/6/2022 7:55pm
59,Block,Cruising Areas,Montgomery,AL,around Post Office after 5pm,,Cruisy Area,checked,,,,7/6/2022 7:55pm
60,Cooter's Pond ,Cruising Areas,Montgomery,AL,,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 7:56pm
61,Court Square,Cruising Areas,Montgomery,AL,,,Cruisy Area,checked,,,,7/6/2022 7:56pm
62,Eastdale Mall,Cruising Areas,Montgomery,AL,everday,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 7:59pm
63,Lee St.,Cruising Areas,Montgomery,AL,betw. Bus Depots ,,Cruisy Area,checked,,,,7/6/2022 7:59pm
64,Church St.,Cruising Areas,Montgomery,AL,,,Cruisy Area,checked,,,,7/6/2022 7:59pm
65,Mclnnis area,Cruising Areas,Montgomery,AL,,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 8:00pm
66,Montgomery Mall,Cruising Areas,Montgomery,AL,everyday,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 8:00pm
67,Riverfront Park ,Cruising Areas,Montgomery,AL,,,"Cruisy Area,(AYOR)",checked,,,,7/6/2022 8:00pm
68,Prattville Park,Cruising Areas,Prattville,AL,,,Cruisy Area,checked,,,,7/6/2022 8:01pm
69,Selma Mall-Broad St.,Cruising Areas,Selma,AL,,,Cruisy Area,checked,,,,7/6/2022 8:05pm
70,Washington St.,Cruising Areas,Selma,AL,,,Cruisy Area,checked,,,,7/6/2022 8:05pm
72,Bus Station,Cruising Areas,Tuscaloosa,AL,,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 8:06pm
73,AA Gay/Lesbian,Info Lines & Services,Anchorage,AK,272-2312 call for times and location,,,checked,,,,7/6/2022 11:35pm
82,Park Strip,Cruising Areas,Anchorage,AK,at 9th & 'L' Sts.,,Cruisy Area,checked,,,,7/6/2022 11:38pm
83,Gay Info Line,Info Lines & Services,Fairbanks,AK,488-6636 leave message on machine,,,checked,,,,4/14/2023 2:55pm
84,Fantasyland Video,Erotica,Fairbanks,AK,Seven Mile Richardson Hwy. 488- 0879 24hrs,,,checked,,,,4/14/2023 2:55pm
85,Bentley Mall,Cruising Areas,Fairbanks,AK,,,Cruisy Area,checked,,,,7/6/2022 11:40pm
86,University of Alaska library,Cruising Areas,Fairbanks,AK,,,Cruisy Area,checked,,,,7/6/2022 11:40pm
87,Juno Crisis Line ,Info Lines & Services,Juneau,AK,586-4357,,Cruisy Area,checked,,,,4/14/2023 1:50pm
90,Rest Stops,Cruising Areas,Casa Grande,AZ,N. on 1-10,,"(AYOR),Cruisy Area",checked,,,,7/6/2022 11:53pm
91,Gay Alliance of Northern Arizona ,Info Lines & Services,Flagstaff,AZ,525-1199 crisis & info line,,,checked,,,,4/14/2023 2:55pm
92,Gay Social Group,Info Lines & Services,Flagstaff,AZ,meets 3rd Tues at Holiday Inn 7:30pm,,,checked,,,,4/14/2023 2:55pm
93,N.A.U. Gay Academic Union,Info Lines & Services,Flagstaff,AZ,"525-1199 meets 1st & 3rd Thurs 7pm, call for location",,,checked,,,,4/21/2023 9:06am
97,GANA Newsletter,Publications,Flagstaff,AZ,"P.O. Box 183, 86002monthly news­ letter",,,checked,,,,4/14/2023 2:55pm
98,Thorp Park,Cruising Areas,Flagstaff,AZ,Sunset & WE ,,"(AYOR),(WE),Cruisy Area",checked,,,,7/7/2022 12:03am
99,Bowling Alley & Rec Center,Cruising Areas,Ft. Huachuca,AZ,,,Cruisy Area,checked,,,,4/14/2023 1:51pm
102,London Bridge,Cruising Areas,Lake Havasu City,AZ,(is going down!),,Cruisy Area,checked,,,,7/7/2022 12:07am
103,Park of Canals,Cruising Areas,Mesa,AZ,on N. Horne St.,,Cruisy Area,checked,,,,7/7/2022 12:08am
104,Reed & Pioneer Park,Cruising Areas,Mesa,AZ,,,"(AYOR),Cruisy Area",checked,,,,7/7/2022 12:08am
105,AA Gay/Lesbian,Info Lines & Services,Phoenix,AZ,Sat 8pm at Humanspace Books,,,checked,,,,7/7/2022 12:09am
106,AA Gay/Lesbian,Info Lines & Services,Phoenix,AZ,"264-1341 (AA#) 8pm Tues/Thur, 8:30pm Wed, Fri, Sat, midnight Fri",,,checked,,,,4/21/2023 9:06am
107,AA Gay/Lesbian,Info Lines & Services,Phoenix,AZ,"at Casa de Cristo Evangelical Church, mtgs 6pm Mon, 2:30pm Sun",,,checked,,,,4/21/2023 9:06am
