ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
369,Parking lot at 20th & Broadway,Found,,," 39.748927,-104.987384",Denver,CO,Cruisy Area,Cruising Areas,checked,,1974,,4/8/2020 11:44pm,4/8/2020 11:45pm
336,Denny's,Found,(after hours),I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1974,,4/8/2020 11:21pm,4/9/2020 1:27am
334,Off campus,Found,,around 13th & College,"40.007308,-105.276212 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1974,,4/8/2020 11:21pm,4/8/2020 11:45pm
288,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 10:28pm,4/8/2020 11:17pm
317,Rocky Mountain Bar,Found,"(was closed, may be re-opening)",7th & Water,"39.75199,-105.014748",Denver,CO,"(RT),(G)",Bars/Clubs,checked,,1975,,4/8/2020 10:53pm,4/8/2020 11:17pm
289,Buffalo Park,General Coordinates Used,,Manitou Springs,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 10:28pm,4/8/2020 11:17pm
282,Denny's,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1975,,4/8/2020 10:20pm,4/9/2020 1:27am
305,Denny's,Found,,16th & Federal,"39.742742,-105.025233",Denver,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1975,,4/8/2020 10:49pm,4/8/2020 11:17pm
325,Parking lot at 20th & Broadway,Found,,," 39.748927,-104.987384",Denver,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 11:09pm,4/8/2020 11:17pm
324,Cheeseman Park ,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 11:08pm,4/8/2020 11:17pm
326,'Sodomy Circle',Found,(HOT),State Capitol grounds,"39.739325,-104.984807",Denver,CO,"Cruisy Area,(HOT)",Cruising Areas,checked,,1975,,4/8/2020 11:16pm,7/14/2020 9:31am
329,Slope,Found,,Top of Bridge St.," 39.640301,-106.37361",Vail,CO,"(M),(YC)",Bars/Clubs,checked,,1975,,4/8/2020 11:17pm,4/8/2020 11:17pm
285,Jinx's Place,Found,(Sign says Silver Lounge) Acacia Hotel,Tejon & Platt,"38.838108,-104.823298",Colorado Springs,CO,,"Bars/Clubs,Hotels",checked,,1975,,4/8/2020 10:27pm,7/14/2020 9:31am
327,Washington Park,Found,,N. Lake Pavilion,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 11:16pm,4/8/2020 11:17pm
323,White Spot,Found,,Colfax & Pearl," 39.740022,-104.979911 ",Denver,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1975,,4/8/2020 11:03pm,4/9/2020 1:27am
280,Norlin Library,Found,,,"40.008717,-105.270784 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 10:20pm,4/8/2020 11:17pm
308,Genovicci Pizzarea ,General Coordinates Used,Next door to the Brew,,"39.739236,-104.990251 ",Denver,CO,(R),Restaurant,checked,,1975,,4/8/2020 10:50pm,4/8/2020 11:17pm
281,Off campus ,Found,,around 13th & College,"40.007308,-105.276212 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1975,,4/8/2020 10:20pm,4/8/2020 11:17pm
287,M.C.C. ,General Coordinates Used,,P.O. Box 1892,"38.833882,-104.821363",Colorado Springs,CO,M.C.C.,Church,checked,,1975,,4/8/2020 10:27pm,4/8/2020 11:17pm
258,M.C.C.,Found,,31st & Lawrence,"39.762561,-104.978432",Denver,CO,M.C.C.,Church,checked,,1976,,4/8/2020 9:35pm,4/8/2020 9:42pm
272,Hole-In-The-Wall,General Coordinates Used,(Some G) (late) inquire locally,,"38.254447,-104.609141 ",Pueblo,CO,"(M),(G)",Bars/Clubs,checked,,1976,,4/8/2020 9:40pm,4/8/2020 9:42pm
235,Denny's,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1976,,4/8/2020 9:25pm,4/9/2020 1:27am
271,Washington Park,Found,,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:40pm,4/8/2020 9:42pm
241,Buffalo Park,General Coordinates Used,Manitou Springs,,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:29pm,4/8/2020 9:42pm
269,Parking Lot,Found,,20th & Broadway," 39.748927,-104.987384",Denver,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:39pm,4/8/2020 9:42pm
232,Bunk House,Found,"(Ski resort guest house) Tel: 303-453-6475. Box 6, Breckenridge, Colo.",,"39.52572,-106.046361",Breckenridge,CO,"(H),(*),(W),(YC)",Hotels,checked,,1976,,4/8/2020 9:24pm,4/8/2020 9:42pm
240,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:28pm,4/8/2020 9:42pm
275,Slope,Found,,Top of Bridge St.," 39.640301,-106.37361",Vail,CO,"(M),(YC)",Bars/Clubs,checked,,1976,,4/8/2020 9:41pm,4/8/2020 9:42pm
270,'Sodomy Circle',Found,(HOT),State Capitol grounds,"39.739325,-104.984807",Denver,CO,"Cruisy Area,(HOT)",Cruising Areas,checked,,1976,,4/8/2020 9:39pm,7/14/2020 9:31am
238,Jinx's Place,Found,(sign says 'Silver Lounge' Acacia Hotel - Tejon & Platt),,"38.838108,-104.823298",Colorado Springs,CO,(M),"Bars/Clubs,Hotels",checked,,1976,,4/8/2020 9:28pm,7/14/2020 9:31am
267,Cheesman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:39pm,4/8/2020 9:42pm
230,Norlin Library,Found,,,"40.008717,-105.270784 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:24pm,4/8/2020 9:42pm
268,City Park,Found,,E. end off Colorado,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:39pm,4/8/2020 9:42pm
231,Off campus ,Found,,around 13th & College,"40.007308,-105.276212 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1976,,4/8/2020 9:24pm,4/8/2020 9:42pm
169,Alice's Alley & The Slope ,General Coordinates Used,"(Both bars share the same entrance downstairs below the Aspen Mine Company) Both are very M, HIP but can be interesting ",," 39.191098,-106.817539",Aspen,CO,"(M),(YC),(R),(HIP)","Restaurant,Bars/Clubs",checked,,1977,,4/2/2020 9:06pm,4/2/2020 9:11pm
178,Denny's ,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1977,,4/2/2020 9:17pm,4/9/2020 1:28am
173,Norlin Library,Found,,,"40.008717,-105.270784 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:14pm,4/2/2020 9:47pm
218,"""Sodomy Circle"" ",Found,State Capitol Grounds (HOT),,"39.739325,-104.984807",Denver,CO,"Cruisy Area,(HOT)",Cruising Areas,checked,,1977,,4/2/2020 9:44pm,7/14/2020 9:31am
175,Bunk House,Found,"(Ski resort - guest house) Telephone (303) 453-6475; Box 6, Breckenridge, Colorado",,"39.52572,-106.046361",Breckenridge,CO,"(H),(W),(YC)",Hotels,checked,,1977,,4/2/2020 9:15pm,4/2/2020 9:47pm
217,City Park - East end of Colorado,Found,,,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:44pm,4/2/2020 9:47pm
225,Slope,Found,Top of Bridge St.,," 39.640301,-106.37361",Vail,CO,"(M),(YC)",Bars/Clubs,checked,,1977,,4/2/2020 9:47pm,4/2/2020 9:47pm
182,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:29pm,4/2/2020 9:47pm
224,Mineral Palace Park,Found,,,"38.28112,-104.607067",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:46pm,4/2/2020 9:47pm
216,Chessman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:44pm,4/2/2020 9:47pm
222,Side Walk Cafe,Found,(Open 24 hours),Main at 7th St.,"38.273425,-104.608643",Pueblo,CO,"(M),(R),(C)",Restaurant,checked,,1977,,4/2/2020 9:46pm,4/9/2020 1:28am
180,Jinx's Place,Found,"(Sign says ""Silver Lounge"" Acacia Hotel)",Tejon & Platt,"38.838108,-104.823298",Colorado Springs,CO,(M),"Bars/Clubs,Hotels",checked,,1977,,4/2/2020 9:28pm,7/14/2020 9:30am
215,White Spot,Found,,Colfax & Pearl," 39.740022,-104.979911 ",Denver,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1977,,4/2/2020 9:44pm,4/9/2020 1:28am
219,Washington Park,Found,,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:45pm,4/2/2020 9:47pm
174,Off Campus,Found,around 13th & College,,"40.007308,-105.276212 ",Boulder,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:15pm,4/2/2020 9:47pm
183,Buffalo Park,General Coordinates Used,Mantou Springs,,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1977,,4/2/2020 9:29pm,4/2/2020 9:47pm
167,Pueblo Mall T-Rooms,Found,,,"38.302551,-104.608073",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:42am,4/2/2020 3:44am
120,Denny's,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1978,,4/2/2020 3:19am,4/9/2020 1:28am
160,Washington Park,Found,,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:40am,4/2/2020 3:44am
125,Buffalo Park,General Coordinates Used,Manitou Springs,,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:21am,4/2/2020 3:44am
118,Bunk House ,Found,"(Ski resort - guest house) 303-453-6475 Box 6, Breckenridge, Colo.",,"39.52572,-106.046361",Breckenridge,CO,"(H),(W),(YC)",Hotels,checked,,1978,,4/2/2020 3:17am,4/2/2020 3:44am
166,Mineral Palace Park,Found,,,"38.28112,-104.607067",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:42am,4/2/2020 3:44am
159,Sodomy Circle,Found,State Capitol grounds - sure suicide ,,"39.739325,-104.984807",Denver,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:40am,4/2/2020 3:44am
165,City Park,Found,,,"38.262068,-104.655327",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:42am,4/2/2020 3:44am
162,Hawthrone Park,Found,,,"39.073869,-108.56524",Grand Junction,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:41am,4/2/2020 3:44am
158,City Park ,Found,East end of Colorado,,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:40am,4/2/2020 3:44am
157,Cheeseman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:38am,4/2/2020 3:44am
124,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1978,,4/2/2020 3:21am,4/2/2020 3:44am
104,Cheesman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:04am,4/2/2020 3:11am
110,U. of N. Colo. ,Found,Top floor T-Room,," 40.40328,-104.700231 ",Greeley,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:08am,4/2/2020 3:11am
75,Buffalo Park,General Coordinates Used,Manitou Springs,,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 2:23am,4/2/2020 3:11am
115,Pueblo Mall ,Found,T-Rooms,,"38.302551,-104.608073",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:11am,4/2/2020 3:11am
74,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 2:23am,4/2/2020 3:11am
108,Hawthrone Park,Found,,,"39.073869,-108.56524",Grand Junction,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:07am,4/2/2020 3:11am
114,Mineral Palace Park,Found,T-Rooms,,"38.28112,-104.607067",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:10am,4/2/2020 3:11am
107,Adult Books ,General Coordinates Used,North Ave.,,"39.063871,-108.550649",Grand Junction,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:07am,4/2/2020 3:11am
105,City Park ,Found,E. end of Colorado,,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:04am,4/2/2020 3:11am
106,Washington Park,Found,,,"39.700242,-104.964044",Denver,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:06am,4/2/2020 3:11am
109,Island Grove Park,Found,nr. T-Rooms,,"40.438617,-104.702579",Greeley,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:07am,4/2/2020 3:11am
69,Denny's,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1979,,4/2/2020 2:20am,4/9/2020 1:28am
113,Las Vegas Cinema ,General Coordinates Used,,,"38.254447,-104.609141 ",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1979,,4/2/2020 3:10am,4/2/2020 3:11am
40,Man to Man,General Coordinates Used,(Escorts) (303) 831-1104,,"39.739236,-104.990251 ",Denver,CO,,Business,checked,,1980,,4/2/2020 12:10am,4/2/2020 12:45am
10,Acacia Park,Found,,,"38.837355,-104.822445 ",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/1/2020 2:48pm,4/2/2020 12:45am
5,Denny's ,Found,,I-25 at Bijou,"38.849248,-104.860657",Colorado Springs,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1980,,4/1/2020 2:44pm,4/9/2020 1:28am
11,Buffalo Park,General Coordinates Used,Manitou Springs,,"38.857558,-104.912818",Colorado Springs,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/1/2020 2:48pm,4/2/2020 12:45am
62,Las Vegas Cinema,General Coordinates Used,,,"38.254447,-104.609141 ",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:44am,4/2/2020 12:45am
64,Pueblo Mall,Found,T-Rooms,,"38.302551,-104.608073",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:45am,4/2/2020 12:45am
55,City Park - E. end of Colorado ,Found,,,"39.747635,-104.940835",Denver,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:41am,4/2/2020 12:45am
63,Mineral Palace Park,Found,T-Rooms,,"38.28112,-104.607067",Pueblo,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:44am,4/2/2020 12:45am
60,U. of N. Colorado,Found,Top floor T-Rooms,," 40.40328,-104.700231 ",Greeley,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:43am,4/2/2020 12:45am
59,Island Grove Park,Found,nr. T-Rooms,,"40.438617,-104.702579",Greeley,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:43am,4/2/2020 12:45am
58,Hawthrone & Lincoln Parks,Found,(Cl. 12 midnight),,"39.075019,-108.544832",Grand Junction,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:43am,4/2/2020 12:45am
54,Cheesman Park,Found,,,"39.733468,-104.964417",Denver,CO,Cruisy Area,Cruising Areas,checked,,1980,,4/2/2020 12:41am,4/2/2020 12:45am
56,Odyssey,General Coordinates Used,(Disco) Inquire locally,,"37.469449,-105.870021 ",East Alamosa,CO,"(YC),(D)",Bars/Clubs,checked,,1980,,4/2/2020 12:41am,4/2/2020 12:45am
35,Grist Mill,Found,,8th & Speer,"39.729055,-104.989894 ",Denver,CO,"(M),(R),(C),(AH)",Restaurant,checked,,1980,,4/1/2020 3:59pm,4/9/2020 1:28am
2,Bunk House,Found,(Ski resort guest house) (303) 453-6475,,"39.52572,-106.046361",Breckenridge,CO,"(H),(W),(YC),(*)",Hotels,checked,,1980,,3/30/2020 3:34pm,4/2/2020 12:45am
