"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","U.S. Hwy. 1","Westport","CT","(G)","Bars/Clubs",1965,"Considered the oldest gay bar in the US when it closed in 2010",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","State Hwy 25","Newtown","CT","","Bars/Clubs",1966,"",NA,NA,NA,NA,NA,NA
"Found","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1966,"Considered the oldest gay bar in the US when it closed in 2010",NA,NA,NA,NA,NA,NA
"Found","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1968,"Considered the oldest gay bar in the US when it closed in 2010",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","Church St. ","Hartford","CT","(*)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","State Hwy 25","Newtown","CT","","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","(Maybe moving to Hotel Hartford on Church St.)","Trumbull & Church","Hartford","CT","(D),(*)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found","","U.S. Hwy. 1","Westport","CT","","Bars/Clubs",1969,"Considered the oldest gay bar in the US when it closed in 2010",NA,NA,NA,NA,NA,NA
"Found","","Trumbull & Church","Hartford","CT","(D),(*)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","inquire locally ","","Waterbury","CT","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","42 Grand St. ","Waterbury","CT","(D),(*)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(after hours)(weekends) Across from Cinerama Theatre","Farmington Ave. ","Hartford","CT","(C),(R),(YC),(HIP)","Restaurant",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","(burned- supposedly re-opening)","Route 25","Newtown","CT","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","New Haven","CT","","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","","","New Haven","CT","","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA
"Found","","","New Haven","CT","","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
"Found","","","Hartford","CT","","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA
