"description","streetaddress","city","state","amenityfeatures","unclear_address","notes","full.address","lon","lat","geoAddress"
"Ybor City  Lunch & dinner, 4 course Sun brunch, 2 full bars","20th & 7th ave","Ybor City","FL","",NA,"Listed under ""Tampa""","20th & 7th ave, Ybor City, FL",NA,NA,NA
"(back room in Beauty College) 363-6618 11am Sun","Lancaster Dr & Silverton Rd","Salem","OR","(*),(NS)",NA,"","Lancaster Dr & Silverton Rd, Salem, OR",NA,NA,NA
"(Capitol View Methodist) 664-7303 8pm Wed & 6pm Sun","3rd & Pulaski","Little Rock","AK","",NA,"","3rd & Pulaski, Little Rock, AK",NA,NA,NA
"Guerneville 869-9566","4th & Mill St","Guerneville","CA","(GF),(SW)",NA,"Listed under ""Russian River, CA""","4th & Mill St, Guerneville, CA",NA,NA,NA
"922-4566","4th & Race St","Philadelphia","PA","(*),(NS)",NA,"","4th & Race St, Philadelphia, PA",NA,NA,NA
"(Most Holy Trinity) 961-4818 6pm Sun","6th & Porter St","Detroit","MI","",NA,"","6th & Porter St, Detroit, MI",NA,NA,NA
"(First United Methodist Church) 561-2257 5pm 2nd Sun, social group for mature gay & bisexual men 40+","8th & Tryon","Charlotte","NC","",NA,"","8th & Tryon, Charlotte, NC",NA,NA,NA
"534-6373 til midnight, 24hrs on wknds, full bar","11th & Washington","Miami Beach","FL","",NA,"Listed under ""Miami Beach/South Beach""","11th & Washington, Miami Beach, FL",NA,NA,NA
"(united Church) 352-7344 7pm Th","11th & Washington","Olympia","WA","(*),(NS)",NA,"","11th & Washington, Olympia, WA",NA,NA,NA
"","12th St & Ocean","Miami Beach","FL","",NA,"Listed under ""Miami Beach/South Beach""","12th St & Ocean, Miami Beach, FL",NA,NA,NA
"232-6969 4pm-2am, til 3am Fri-Sat also 'La Fonda' resturants","17th & R St NW","Washington","DC","(MW),(D),(V)",NA,"","17th & R St NW, Washington, DC",NA,NA,NA
"Hanouver Presb. Church 764-1594 1st & 3rd Sun, dinner 5:30pm & worship 6:45pm","18th & Baynard","Wilmington","DE","",NA,"","18th & Baynard, Wilmington, DE",NA,NA,NA
"985-1836 dinner, full bar","20th & Lombard St","Philadelphia","PA","(WC)",NA,"","20th & Lombard St, Philadelphia, PA",NA,NA,NA
"329-2590 8:15pm 2nd & 4th Fri lesbigay Shabbat services","20th Ave E & E Prospect","Seattle","WA","(*),(NS)",NA,"","20th Ave E & E Prospect, Seattle, WA",NA,NA,NA
"(1st Congregational Church) 345-5963 4pm Sun","23rd & Harris","Eugene","OR","(*),(NS)",NA,"","23rd & Harris, Eugene, OR",NA,NA,NA
"(ACCT office) 684-2140 8pm Tue & Th & 7pm Sun","23rd & Ursula","Galveston","TX","(*),(NS)",NA,"","23rd & Ursula, Galveston, TX",NA,NA,NA
"(First Cong. Church) 344-6611 8pm Sun & Tue","23rd & Woodlawn","Boise","ID","",NA,"","23rd & Woodlawn, Boise, ID",NA,NA,NA
"426-7878 lunch & dinner, upscale dining","272 Boylston St","Boston","MA","",NA,"","272 Boylston St, Boston, MA",NA,NA,NA
"631-0588, Wed-Sun","301 W 39th S","New York City","NY","(M),(D),(MR-L),(TG),(S)",NA,"Listed under ""N.Y.C. -- Midtown""","301 W 39th S, New York City, NY",NA,NA,NA
"563-8841 lunch & dinner, Italian, full bar gay-owned/run","347 Presidio","San Francisco","CA","(WC)",NA,"Listed under ""S.F.-Haight, Fillmore & West""","347 Presidio, San Francisco, CA",NA,NA,NA
"443-5030/(800) 443-5039","531 N York Rd","Warminster","PA","(TA)",NA,"","531 N York Rd, Warminster, PA",NA,NA,NA
"lunch & dinner, full bar","555 Peachtree St","Atlanta","GA","",NA,"","555 Peachtree St, Atlanta, GA",NA,NA,NA
"River North 829-4449 dinner nightly, til 4am Th-Sat, Italian, full bar","700 N Milwaukee","River North","IL","",NA,"Listed under ""Chicago - Near North""","700 N Milwaukee, River North, IL",NA,NA,NA
"24hrs, 3flrs","845 Peachtree St NE","Atlanta","GA","(M),(NH)",NA,"","845 Peachtree St NE, Atlanta, GA",NA,NA,NA
"","870 Peachtree St","Atlanta","GA","(GF)",NA,"","870 Peachtree St, Atlanta, GA",NA,NA,NA
"call for events","917 Peachtree St","Atlanta","GA","(GF),(D),(S)",NA,"","917 Peachtree St, Atlanta, GA",NA,NA,NA
"771-9774","4229 SE & 82nd Ave","Portland","OR","(*),(NS)",NA,"","4229 SE & 82nd Ave, Portland, OR",NA,NA,NA
"#240 457-6696/(800) 786-6402","5446 Peachtree Industrial Bld","Atlanta","GA","(TA)",NA,"","5446 Peachtree Industrial Bld, Atlanta, GA",NA,NA,NA
"Glendale 939-0528 11am-1am","5542 N 43rd Ave","Glendale","AZ","(MW),(D),(S),(WC)",NA,"Listed under Phoenix, AZ.","5542 N 43rd Ave, Glendale, AZ",NA,NA,NA
"652-3820 1pm-2am, fom 3pm Mon-Tue, popular Fri night","6651 Telegraph Ave","Oakland","CA","(MW),(D),(WC)",NA,"Listed under ""East Bay""","6651 Telegraph Ave, Oakland, CA",NA,NA,NA
"Sylmar 834-2125","11632 Luanda St","Sylmar","CA","(TA)",NA,"Listed under ""L.A.-Valley""","11632 Luanda St, Sylmar, CA",NA,NA,NA
