ID,title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified,lastmodified 2
283,Adult Bookstore on E. Main,Found,,,"46.872128,-113.994031",Missoula,MT,Cruisy Areas,"Crusing Areas,book store",1980,checked,,,,,
281,Adult Shop ,Found,,3rd & Central,"47.507802,-111.316696",Great Falls,MT,Cruisy Areas,Crusing Areas,1980,checked,,,,,
274,Adult Shop ,Found,,3rd & Central,"47.507802,-111.316696",Great Falls,MT,Cruisy Areas,Crusing Areas,1979,checked,,,,,
253,Crystal Lounge,Found,,Broadway & 1st Ave. N.,"45.782093,-108.505746",Billings,MT,"(M) - Mixed Crowds,(*) - Very popular",Bars/Clubs,1976,checked,,,,,
261,Crystal Lounge,Found,,Broadway and 1st Ave No.,"45.782093,-108.505746",Billings,MT,"(M) - Mixed Crowds,(*) - Very popular","Hotels,Bars/Clubs",1978,checked,,,,,
250,Crystal Lounge,Found,,Broadway at 1st Ave. N.,"45.782093,-108.505746",Billings,MT,"(M) - Mixed Crowds,(*) - Very popular",Bars/Clubs,1974,checked,,,,,
266,Crystal Lounge,Found,,Broadway & 1st Ave N.,"45.782093,-108.505746",Billings,MT,(M) - Mixed Crowds,"Bars/Clubs,Hotels",1979,checked,,,,,
251,Crystal Lounge,Found,,Broadway & 1st Ave N.,"45.782093,-108.505746",Billings,MT,(M) - Mixed Crowds,Bars/Clubs,1975,checked,,,,,
249,Dave's Health Club Baths,General Coordinates Used,,(inquire locally)," 45.783286,-108.50069",Billings,MT,,Baths,1971,checked,,,,,
278,Diamond S Ranch & Hot Springs - Spteambath can be interesting,Found,,,"46.199742,-112.095301",Boulder,MT,"(M) - Mixed Crowds,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,1980,checked,,See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location,,,
268,Diamond S. Ranch & Hot Springs,Found,Steambath can be interesting,,"46.199742,-112.095301",Boulder,MT,"(M) - Mixed Crowds,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,1979,checked,,See https://boulderhotsprings.com/about-the-inn/history-of-boulder-hot-springs/ for a history of the location,,,
272,Gibson Park,Found,,,"47.51029,-111.304544",Great Falls,MT,"(AYOR) - At Your Own Risk,Cruisy Areas",Crusing Areas,1979,checked,,,,,
262,Gibson Park,Found,,,"47.51029,-111.304544",Great Falls,MT,"Cruisy Areas,(AYOR) - At Your Own Risk",Crusing Areas,1978,checked,,,,,
282,Gibson Park,Found,,,"47.51029,-111.304544",Great Falls,MT,Cruisy Areas,,1980,checked,,,,,
254,Harrington's,General Coordinates Used,,On Broadway nr. Bus Depot,"46.003823,-112.534777",Butte,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types",Bars/Clubs,1976,checked,,,,,
259,Harrington's,General Coordinates Used,,Broadway nr. Bus Depot,"46.003823,-112.534777",Butte,MT,(M) - Mixed Crowds,Bars/Clubs,1978,checked,,,,,
252,Harrington's ,General Coordinates Used,,on Broadway nr. Bus Depot,"46.003823,-112.534777",Butte,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types",Bars/Clubs,1975,checked,,,,,
277,Import Depot,Found,,Old Milwaukee Road," 47.507084,-111.308691",Great Falls,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types,(R),(D) - Dancing","Restaurant,Bars/Clubs",1980,checked,,,,,
269,Import Depot,Found,,Old Milwaukee Road R.R. Depot," 47.507084,-111.308691",Great Falls,MT,"(M) - Mixed Crowds,(YC) - Young and/or collegiate types,(R),(D) - Dancing",Restaurant,1979,checked,,,,,
264,Intermountain Bus Depot,General Coordinates Used,,,"47.505285,-111.300771",Great Falls,MT,Cruisy Areas,Crusing Areas,1978,checked,,,,,
248,Northern Hotel Bar,Found,,28th & 1st Ave,"45.782093,-108.505746",Billings,MT,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs,Hotels",1966,checked,,,,,
267,Northern Hotel Bar,Found,,Broadway & 1st Ave N.,"45.782093,-108.505746",Billings,MT,(M) - Mixed Crowds,"Bars/Clubs,Hotels",1979,checked,,,,,
260,Northern Hotel Bar,Found,,Broadway & 1st Ave No. ,"45.782093,-108.505746",Billings,MT,(M) - Mixed Crowds,"Hotels,Bars/Clubs",1978,checked,,,,,
280,Placer Hotel - Basement T-Room,Found,,,"46.587345,-112.038844",Helena,MT,Cruisy Areas,"Hotels,Cruisy Areas",1980,checked,,See http://www.helenahistory.org/placer_hotel.htm for a history of the hotel. Was the hub for lobbyists and legislators at one time.,,,
