"title","description","streetaddress","lon","lat","city","state","amenityfeatures","type","Year","notes","status","unclear_address","full.address","geoAddress"
"Barn","(after hours) (above Louie's)","305 9th St. NW",-77.0236663,38.8923768,"Washington","District of Columbia","(R),(D),(L)","Bars/Clubs,Restaurant",1974,NA,"Google Verified Location",NA,NA,NA
"Barn","(above Louie's)","305 9th St. NW",-77.0236663,38.8923768,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Barn","(above Louie's)","305 9th St. NW",-77.0236663,38.8923768,"Washington","District of Columbia","(S),(WE),(*)","Bars/Clubs,Restaurant",1976,NA,"Google Verified Location",NA,NA,NA
"Barn","(Above Louie's) (S-WE*)","305 9th St. ",-77.0236663,38.8923768,"Washington","District of Columbia","(S),(WE),(*)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Barn","(Above Louie's) (S-WE*)","305 9th St. ",-77.0236663,38.8923768,"Washington","District of Columbia","(S),(WE),(*)","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Barn","(Above Louie's) (WE*)","305 9th St. ",-77.0236663,38.8923768,"Washington","District of Columbia","(AH),(WE),(SM)","Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Bijou Theatre","","411 L St.",-77.0163994,38.9038982,"Washington","District of Columbia","(C),(R),(D),(AH)","Theatre",1977,NA,"Google Verified Location",NA,NA,NA
"Blue Plains Dance Palace","(No booze now, but may be adding liquor) (Disco) (Could be a winner)","1345 High St. SE",-76.9863269,38.8627177,"Washington","District of Columbia","(C),(R),(D)","Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Brass Rail","(across the street from the Court Jesters)","809 13th St. N.W.",-77.029588,38.900301,"Washington","District of Columbia","(C),(R),(D)","Bars/Clubs",1971,"","Verified Location",NA,NA,NA
"Brass Rail","13th St. at New York Ave. N.W.","",-77.029588,38.900301,"Washington","District of Columbia","","Bars/Clubs",1972,"","Verified Location",NA,NA,NA
"Brass Rail","13th St. at New York Ave. N.W.","809 13th St. N.W.",-77.029588,38.900301,"Washington","District of Columbia","(D)","Bars/Clubs",1973,"","Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. N.W.",-77.029588,38.900301,"Washington","District of Columbia","(M),(B),(RT)","Bars/Clubs",1974,"","Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. N.W.",-77.0295879,38.9003005,"Washington","District of Columbia","(M),(B),(RT)","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. N.W.",-77.0295879,38.9003005,"Washington","District of Columbia","(M),(B),(RT)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. NW",-77.0295879,38.9003005,"Washington","District of Columbia","(M),(RT),(B)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. NW",-77.0295879,38.9003005,"Washington","District of Columbia","(M),(RT),(B)","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Brass Rail","","809 13th St. NW",-77.0295879,38.9003005,"Washington","District of Columbia","(M),(RT),(B)","Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Buffalo Bill's","","2000 P St. N.W.",-77.0452638,38.9094409,"Washington","District of Columbia","(M),(RT),(B)","Restaurant,Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","(M),(RT)","Cruising Areas",1973,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","(M)","Cruising Areas",1974,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","(M),(R),(HIP),(*)","Cruising Areas",1975,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","Cruisy Area,(AYOR)","Cruising Areas",1976,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"Pin placed on K St.","Verified Location",NA,NA,NA
"Canal & 'K' Sts. N.W.","","",-77.037293,38.902422,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1980,"Pin placed on K St.","Verified Location",NA,NA,NA
"Cap 'n' Guy's","","1212 New York Ave. NW",-77.0288013,38.9001057,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1974,NA,"Google Verified Location",NA,NA,NA
"Cap 'n' Guy's","","1212 New York Ave. NW",-77.0288013,38.9001057,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Cap 'n' Guys","","1212 New York Ave NW",-77.0288013,38.9001057,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Cap 'n' Guys","","1212 New York Ave NW",-77.0288013,38.9001057,"Washington","District of Columbia","(M),(RT)","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Cap 'n' Guys","","1212 New York Ave. NW",-77.0288013,38.9001057,"Washington","District of Columbia","(M),(RT)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Cap N' Guy's","","1212 New York Ave NW",-77.0288013,38.9001057,"Washington","District of Columbia","(M),(RT)","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Cap n' Guys","","1212 New York Ave NW",-77.0288013,38.9001057,"Washington","District of Columbia","(M),(RT)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","(RT)","Cruising Areas",1972,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","(RT)","Cruising Areas",1973,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","(M),(RT),(*)","Cruising Areas",1974,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill","Hitch-hikers bet. 6th & 9th on Pennsylvania
","",-76.996525,38.884444,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"Pin placed between 6th and 9th St.","Verified Location",NA,NA,NA
"Capitol Hill Townhouse","(looks promising)","506 8th St. SE",-76.994739,38.8825187,"Washington","District of Columbia","Cruisy Area","Restaurant",1977,NA,"Google Verified Location",NA,NA,NA
"Capitol Hill Townhouse","","506 8th St. SE",-76.994739,38.8825187,"Washington","District of Columbia","Cruisy Area","Restaurant",1978,NA,"Google Verified Location",NA,NA,NA
"Capitol Hill Townhouse","","506 8th St. SE",-76.994739,38.8825187,"Washington","District of Columbia","Cruisy Area","Restaurant",1979,NA,"Google Verified Location",NA,NA,NA
"Capitol Hill Townhouse","(Was closed - may be reopening)","506 8th St. SE",-76.994739,38.8825187,"Washington","District of Columbia","(R)","Restaurant",1980,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th Ave NW",-77.0243098,38.8967636,"Washington","District of Columbia","(R)","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th Ave NW",-77.0243098,38.8967636,"Washington","District of Columbia","(R)","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th Ave NW",-77.0243098,38.8967636,"Washington","District of Columbia","(R)","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1973,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT),(R)","Bars/Clubs",1974,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1976,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1977,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1978,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1979,NA,"Google Verified Location",NA,NA,NA
"Carroll's Tavern","(Lunch*) (RT nights)","510 9th St NW",-77.0243098,38.8967636,"Washington","District of Columbia","(*),(RT)","Bars/Clubs,Restaurant",1980,NA,"Google Verified Location",NA,NA,NA
"Charleroi","(Disco) (WE*) (Some G) (Open for lunch)","529 8th St. SE",-76.9953419,38.88189,"Washington","District of Columbia","(*)","Restaurant,Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Chesapeake House","(Nude go go boys) (Some 'hustlers')","746 9th St NW",-77.0243753,38.8996045,"Washington","District of Columbia","(SM)","Bars/Clubs,Restaurant",1979,NA,"Google Verified Location",NA,NA,NA
"Chesapeake House","(Nude go go boys) (Some 'hustlers')","746 9th St NW",-77.0243753,38.8996045,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1980,NA,"Google Verified Location",NA,NA,NA
"Chicken Hut","(also called DeSanto's or Lafayette)","1720 H St. NW",-77.0405115,38.8999563,"Washington","District of Columbia","(WE),(*),(D),(S),(G),(R)","Bars/Clubs",1965,NA,"Google Verified Location",NA,NA,NA
"Cinema Follies","(Theater)","37 L St. SE",-77.0080904,38.8772448,"Washington","District of Columbia","(R),(*)","Theatre",1977,NA,"Google Verified Location",NA,NA,NA
"Cinema Follies","(Theater) ('wild back room')","37 L St. SE",-77.0080904,38.8772448,"Washington","District of Columbia","(R)","Theatre",1978,NA,"Google Verified Location",NA,NA,NA
"Circus","(Disco) (Too new to tell how it will go) (basement) Anthony House Hotel","1823 L St. NW",-77.0426388,38.9040125,"Washington","District of Columbia","(*)","Bars/Clubs,Hotels",1979,NA,"Google Verified Location",NA,NA,NA
"Club de Sade ","Tel: 331-WHIP","",-77.036871,38.907192,"Washington","District of Columbia","","Bars/Clubs",1978,"","Location could not be verified. General city or location coordinates used.",NA,NA,NA
"Club East II","(Upstairs) (Tues. is leather/levi night) (Some SM)","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","","Baths",1979,NA,"Google Verified Location",NA,NA,NA
"Club East II","(Upstairs) (Tues. is leather/levi night) (Some SM)","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(D),(M),(S)","Baths",1980,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(P),(SM)","Baths",1972,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*),(SM),(P)","Baths",1973,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*),(SM)","Baths",1974,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*)","Baths",1975,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*)","Baths",1976,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*)","Baths",1977,NA,"Google Verified Location",NA,NA,NA
"Club East II Baths","(Upstairs)","20 O St. S.E.",-77.009877,38.908314,"Washington","District of Columbia","(*)","Baths",1978,NA,"Google Verified Location",NA,NA,NA
"Club Madame","at 'E' St.","506 8th St. SE ",-76.994739,38.8825187,"Washington","District of Columbia","(*)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Club Madame","(Disco) at 'E' St.","506 8th St. SE ",-76.994739,38.8825187,"Washington","District of Columbia","(*)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Club Madame","(Popular Ms. bar, but poor P.R. & management)  at 'E' St.","500 8th St. SE ",-76.9947048,38.8825789,"Washington","District of Columbia","(*)","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Club Madame","","500 8th St. SE ",-76.9947048,38.8825789,"Washington","District of Columbia","(G),(D),(E)","Bars/Clubs",1979,NA,"Google Verified Location",NA,NA,NA
"Community Book Store","","2325 18th St. NW",-77.0416155,38.9203988,"Washington","District of Columbia","(G),(D),(E),(*)","Book Store",1976,NA,"Google Verified Location",NA,NA,NA
"Community Books","","2028 P St. NW",-77.0461446,38.90941,"Washington","District of Columbia","(G),(D),(E),(*)","Book Store",1977,NA,"Google Verified Location",NA,NA,NA
"Court Jester","(looks promising)","2321 Wisconsin Ave. N.W.",-77.0715367,38.9208592,"Washington","District of Columbia","(G),(D),(E),(*)","Bars/Clubs,Restaurant",1978,NA,"Google Verified Location",NA,NA,NA
"Court Jester","(Cruisy)","2321 Wisconsin Ave. N.W.",-77.0715367,38.9208592,"Washington","District of Columbia","","Bars/Clubs,Restaurant,Cruising Areas",1979,NA,"Google Verified Location",NA,NA,NA
"Court Jester's","","823 13th St.",-77.0295818,38.9004306,"Washington","District of Columbia","","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D),(R),(YC),(*)","Bars/Clubs",1966,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D),(R)","Bars/Clubs",1968,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(M),(S),(RT),(*)","Bars/Clubs",1969,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(B),(D)","Bars/Clubs",1970,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D),(B)","Bars/Clubs",1971,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D),(B)","Bars/Clubs",1972,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D),(B)","Bars/Clubs",1973,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(D)","Bars/Clubs",1974,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(B)","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(B)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave NW",-77.0224559,38.9161869,"Washington","District of Columbia","(B)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Cozy Corner","","708 Florida Ave. NW",-77.0224559,38.9161869,"Washington","District of Columbia","","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
"Curiosity Book Shop","","1219 I St. NW",-77.0289605,38.9014923,"Washington","District of Columbia","","Book Store",1973,NA,"Google Verified Location",NA,NA,NA
"Curiosity Book Shop","","1219 I St. NW",-77.0289605,38.9014923,"Washington","District of Columbia","","Book Store",1974,NA,"Google Verified Location",NA,NA,NA
"Curiosity Book Shop","","1219 I St. NW",-77.0289605,38.9014923,"Washington","District of Columbia","","Book Store",1975,NA,"Google Verified Location",NA,NA,NA
"Cy's","(Cruisy)","2412 Wisconsin Ave. NW",-77.072512,38.9213819,"Washington","District of Columbia","","Bars/Clubs,Cruising Areas",1979,NA,"Google Verified Location",NA,NA,NA
"Cy's","(Cruisy)","2412 Wisconsin Ave. NW",-77.072512,38.9213819,"Washington","District of Columbia","","Bars/Clubs,Cruising Areas",1980,NA,"Google Verified Location",NA,NA,NA
"D.C. Eagle","(3 rooms) (Cruisy) betw. 'H' St. & New York Ave","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","","Bars/Clubs,Cruising Areas",1979,NA,"Google Verified Location",NA,NA,NA
"D.C. Eagle","(3 rooms) (Cruisy) betw. 'H' St. & New York Ave","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","(W),(SM),(*)","Bars/Clubs,Cruising Areas,Restaurant",1980,NA,"Google Verified Location",NA,NA,NA
"Dignity","(Catholic group)","2210 F St.",-77.0493838,38.8971668,"Washington","District of Columbia","(W),(SM),(*)","Church,Organizations",1978,NA,"Google Verified Location",NA,NA,NA
"Dollie's","","1200 block New York Ave. NW",-77.02865,38.900874,"Washington","District of Columbia","(*),(SM),(W),(PT),(R)","Bars/Clubs",1970,"","Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","(SM),(PT),(*),(W)","Bars/Clubs,Restaurant",1971,NA,"Google Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1972,NA,"Google Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","","Bars/Clubs,Restaurant",1973,NA,"Google Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","(R),(M),(RT)","Bars/Clubs,Restaurant",1974,NA,"Google Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","(R),(M),(RT)","Bars/Clubs,Restaurant",1975,NA,"Google Verified Location",NA,NA,NA
"Dolly's","","1215 New York Ave. N.W.",-77.0286374,38.9008519,"Washington","District of Columbia","(R),(M),(RT)","Bars/Clubs,Restaurant",1976,NA,"Google Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","(Georgetown)","",-77.060186,38.907643,"Washington","District of Columbia","(R),(M),(RT)","Cruising Areas",1972,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","(Georgetown)","",-77.060186,38.907643,"Washington","District of Columbia","(R),(M),(RT)","Cruising Areas",1973,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","(Georgetown)","",-77.060186,38.907643,"Washington","District of Columbia","(R),(M),(RT)","Cruising Areas",1974,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","(Georgetown)","",-77.060186,38.907643,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","(Georgetown)","",-77.060186,38.907643,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","","",-77.060186,38.907643,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dumbarton St. Between 30th & 31st Sts. N.W.","","",-77.060186,38.907643,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"Pin placed in middle of block","Verified Location",NA,NA,NA
"Dupont Circle--Connecticut Ave. at 'P' St. N.W.","","",-77.043339,38.909694,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1973,"","Verified Location",NA,NA,NA
"Dupont Circle--Connecticut Ave. at 'P' St. N.W.","","",-77.043339,38.909694,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"","Verified Location",NA,NA,NA
"Dupont Circle--Connecticut Ave. at 'P' St. N.W.","","",-77.043339,38.909694,"Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"","Verified Location",NA,NA,NA
"Eagle","9th St. bet. New York & H Sts. NW","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1973,"","Verified Location",NA,NA,NA
"Eagle","","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1974,"","Verified Location",NA,NA,NA
"Eagle","between H St. & New York Avenue","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","Cruisy Area","Bars/Clubs",1975,NA,"Google Verified Location",NA,NA,NA
"Eagle","between H St. & New York Avenue","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","(SM),(PT),(*)","Bars/Clubs",1976,NA,"Google Verified Location",NA,NA,NA
"Eagle","(2 rooms) between H St. & New York Avenue","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","(SM),(*),(PT)","Bars/Clubs",1977,NA,"Google Verified Location",NA,NA,NA
"Eagle","(3 rooms) betw. 'H' St. & New York Ave","904 9th St. NW",-77.0239838,38.901359,"Washington","District of Columbia","(SM),(*)","Bars/Clubs",1978,NA,"Google Verified Location",NA,NA,NA
