"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Brewery","","1889 Lincoln Ave.","Ogden","UT",1980,"(M),(HIP),(YC)","Bars/Clubs","","1889 Lincoln Ave., Ogden, UT",-111.976416,41.2336304,"1889 lincoln ave, ogden, ut 84401, usa","Geocoded",NA
"Odgen Books","(Cruisy arcade)","2212 Washington St.","Ogden","UT",1980,"","Book Store,Cruising Areas","","2212 Washington St., Ogden, UT",-111.9698445,41.2264728,"2212 washington blvd, ogden, ut 84401, usa","Geocoded",NA
"Old Mill","(Disco)","1251 Canyon Rd.","Ogden","UT",1980,"(M),(HIP),(YC),(D)","Bars/Clubs","","1251 Canyon Rd., Ogden, UT",-111.9467111,41.2426595,"1251 canyon rd, ogden, ut 84404, usa","Geocoded",NA
"Sambo's","","3670 Washington Blvd.","Ogden","UT",1980,"(M),(R),(C),(AH)","Restaurant","","3670 Washington Blvd., Ogden, UT",-111.9706469,41.1960764,"3670 washington blvd, south ogden, ut 84403, usa","Geocoded",NA
"Comeback","(Semi-P) (Disco) (Occ. S) (C-AH) (See ad previous pg.)","551 S. 300 West","Salt Lake City","UT",1980,"(P),(D),(PT),(R),(S),(*)","Bars/Clubs,Restaurant","","551 S. 300 West, Salt Lake City, UT",-111.8995932,40.7571849,"551 s 300 w, salt lake city, ut 84101, usa","Geocoded",NA
"Cosmic Aeroplane","(Books, etc.)","258 E. 1st S. ","Salt Lake City","UT",1980,"","Book Store","","258 E. 1st S. , Salt Lake City, UT",-111.8817667,40.7703255,"258 e 1st ave, salt lake city, ut 84103, usa","Geocoded",NA
"Crazy Pete's Rail","(Cruisy afternoons)","363 West South Temple","Salt Lake City","UT",1980,"(*),(PT)","Bars/Clubs,Cruising Areas","","363 West South Temple, Salt Lake City, UT",-111.9011338,40.7683583,"363 w s temple, salt lake city, ut 84101, usa","Geocoded",NA
"Jeff's Gym","(Dull baths)","727 W. 17th St.","Salt Lake City","UT",1980,"(OC)","Baths","","727 W. 17th St., Salt Lake City, UT",-111.9159385,40.8042047,"727 w 17th n, salt lake city, ut 84116, usa","Geocoded",NA
"Magazine Shop","(Books)","228 S. Main","Salt Lake City","UT",1980,"(M)","Book Store","","228 S. Main, Salt Lake City, UT",-111.8915277,40.7642899,"228 s main st, salt lake city, ut 84101, usa","Geocoded",NA
"M.C.C.","","2555 Highland Dr.","Salt Lake City","UT",1980,"(MCC)","Church","","2555 Highland Dr., Salt Lake City, UT",-111.855767,40.71578,"2555 highland dr, salt lake city, ut 84106, usa","Geocoded",NA
"Radio City","(Some W, OC) (Can enter thru parking lot in rear)","147 S. State St.","Salt Lake City","UT",1980,"(W),(*),(OC),(D),(PT)","Bars/Clubs","","147 S. State St., Salt Lake City, UT",-111.88773,40.7659083,"147 s state st, salt lake city, ut 84111, usa","Geocoded",NA
"Studio 8 Disco","(Liquor) (Show Address Book for adm.)","8 West 200 South","Salt Lake City","UT",1980,"(P),(YC),(D),(*),(R),(PT)","Bars/Clubs,Restaurant","","8 West 200 South, Salt Lake City, UT",-111.8914289,40.7650181,"8 w 200 s, salt lake city, ut 84101, usa","Geocoded",NA
