"ID","title","amenityfeatures","description","streetaddress","type","city","state","Year","unclear_address","uncleartype","notes","lastmodified","full.address","lon","lat","geoAddress","status"
1,"Bill's Club","(*),(L),(D),(S)","(Many L)","208 N. 23rd St.","Bars/Clubs","Birmingham","AL",1988,NA,"","","1/24/2022 2:11pm","208 N. 23rd St., Birmingham, AL",-86.8025428,33.5176803,"208 23rd st n, birmingham, al 35203, usa","Geocoded"
10,"Alabama Adult Books","","","901 5th Ave. N.","Book Store,Erotic Shop","Birmingham","AL",1988,NA,"","","6/8/2022 10:50am","901 5th Ave. N., Birmingham, AL",-86.8232546,33.5108847,"901 5th ave n, birmingham, al 35203, usa","Geocoded"
12,"Birmingham Adult Books","","","7610 1st Ave. N.","Book Store,Erotic Shop","Birmingham","AL",1988,NA,"","","6/8/2022 10:50am","7610 1st Ave. N., Birmingham, AL",-86.7298765,33.5607905,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
13,"Club 21","(YC),(D),(S)","(Looks promising) (Disco)","117 1/2 21st St. N.","Bars/Clubs","Birmingham","AL",1988,NA,"","","1/27/2022 8:53pm","117 1/2 21st St. N., Birmingham, AL",-86.9487751,33.4034806,"1 21st st n #117, bessemer, al 35020, usa","Geocoded"
14,"Gizmo","(D),(W),(SM)","","909 S. 22nd St.","Bars/Clubs","Birmingham","AL",1988,NA,"","","1/31/2022 11:21pm","909 S. 22nd St., Birmingham, AL",-86.8713719,33.48036,"909 22nd st sw, birmingham, al 35211, usa","Geocoded"
15,"Lodestar Books","(L)","(Some L)","2020 11th Ave. S.","Book Store","Birmingham","AL",1988,NA,"","","1/25/2022 8:35pm","2020 11th Ave. S., Birmingham, AL",-86.7950963,33.500939,"2020 11th ave s, birmingham, al 35205, usa","Geocoded"
16,"M.C.C","(MCC)","","2024 8th Ct. S.","Religious Institution","Birmingham","AL",1988,NA,"","","2/10/2022 8:51pm","2024 8th Ct. S., Birmingham, AL",-86.7983847,33.5040809,"2024 8th ct s, birmingham, al 35205, usa","Geocoded"
17,"Mabel's Beauty Shop & Chain Saw Repair","(C&W),(*)","(Bar)","318 S. 14th St.","Bars/Clubs","Birmingham","AL",1988,NA,"","","1/25/2022 8:50pm","318 S. 14th St., Birmingham, AL",-86.8107608,33.5053745,"318 14th st s, birmingham, al 35233, usa","Geocoded"
18,"Neon's","","(Cards & Gifts)","2835 Highland Ave","Business","Birmingham","AL",1988,NA,"","","1/25/2022 8:51pm","2835 Highland Ave, Birmingham, AL",-86.7819782,33.5058099,"2835 highland ave, birmingham, al 35205, usa","Geocoded"
19,"Pleasure Books","","","7606 1st Ave. N.","Book Store","Birmingham","AL",1988,NA,"","","1/25/2022 8:52pm","7606 1st Ave. N., Birmingham, AL",-86.7301122,33.5608404,"7606 1st ave n, birmingham, al 35206, usa","Geocoded"
20,"Steak 'n' Egg","(M),(R),(C),(AH)","","1717 10th Ave. S.","Restaurant","Birmingham","AL",1988,NA,"","","1/25/2022 8:53pm","1717 10th Ave. S., Birmingham, AL",-86.8003532,33.5001606,"1717 10th ave s, birmingham, al 35205, usa","Geocoded"
22,"The Rage","(P),(D),(*)","(Disco) (Quiet Bar)","620 29th St. S.","Bars/Clubs","Birmingham","AL",1988,NA,"","","1/25/2022 8:57pm","620 29th St. S., Birmingham, AL",-86.7881814,33.5122879,"620 29th st s, birmingham, al 35233, usa","Geocoded"
24,"Western Super Market","Cruisy Area","(Late Sat. nights)","2230 Highland Ave","Cruising Areas","Birmingham","AL",1988,NA,"","","1/25/2022 9:00pm","2230 Highland Ave, Birmingham, AL",-86.7906272,33.5017875,"2230 highland ave, birmingham, al 35205, usa","Geocoded"
39,"Electric Cowboy","(R)","","111 E. Limestone","Restaurant","Florence","AL",1988,NA,"","","1/29/2022 6:02pm","111 E. Limestone, Florence, AL",-87.6728881,34.7971172,"111 e limestone st, florence, al 35630, usa","Geocoded"
43,"Fat's","(P),(M),(YC),(WE),(*),(S)","(Some M, YC) (S-WE)","315 S. 2nd St.","Bars/Clubs","Gadsden","AL",1988,NA,"","","1/29/2022 6:02pm","315 S. 2nd St., Gadsden, AL",-85.9906143,34.0105828,"315 2nd st n, gadsden, al 35903, usa","Geocoded"
44,"Atlantis","(YC),(L),(D),(S),(*)","(Some YC,L)","2572 Sparkman Dr.","Bars/Clubs","Huntsville","AL",1988,NA,"","","1/29/2022 6:03pm","2572 Sparkman Dr., Huntsville, AL",-86.5975022,34.763722,"2572 sparkman dr nw, huntsville, al 35810, usa","Geocoded"
51,"Club Park Avenue","(YC),(D),(P),(*)","(Video downstairs, Disco-D-upstairs) (Patio)","7 S. Joachim","Bars/Clubs","Mobile","AL",1988,NA,"","","1/28/2022 3:35pm","7 S. Joachim, Mobile, AL",-88.042733,30.6882644,"7 s joachim st, mobile, al 36602, usa","Geocoded"
52,"Corral","(W),(OC),(L),Cruisy Area,(*)","(Some W, OC, L) (Late*)","54 S. Conception","Bars/Clubs","Mobile","AL",1988,NA,"","","2/10/2022 8:54pm","54 S. Conception, Mobile, AL",-88.0426607,30.6903954,"54 s conception st, mobile, al 36602, usa","Geocoded"
55,"Society Lounge","(L),(B)","(L, B)","53 Conception","Bars/Clubs","Mobile","AL",1988,NA,"","","2/10/2022 8:55pm","53 Conception, Mobile, AL",-88.0423188,30.6905321,"53 s conception st, mobile, al 36602, usa","Geocoded"
56,"Troopers","(D)","(Disco)","215 Conti St.","Bars/Clubs","Mobile","AL",1988,NA,"","","1/28/2022 3:43pm","215 Conti St., Mobile, AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
64,"RGee's","(P),(D),(PT),(AH)","(Also AH)","211 Lee St.","Bars/Clubs","Montgomery","AL",1988,NA,"","","1/28/2022 3:58pm","211 Lee St., Montgomery, AL",-86.2720375,32.3785912,"225 ann st, montgomery, al 36107, usa","Geocoded"
