"title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year","notes","full.address","lon","lat","geoAddress","status"
"Desert Sun","(Some W)","408 N. Blackstone","Fresno","CA","(W),(PT),(WE),(*)","Bars/Clubs",NA,1985,"","408 N. Blackstone, Fresno, CA",-119.7902138,36.7488355,"408 n blackstone ave, fresno, ca 93701, usa","Geocoded"
"Denny's","","3120 N. Blackstone","Fresno","CA","(M),(R),(C),(AH)","Restaurant",NA,1985,"","3120 N. Blackstone, Fresno, CA",-119.7901564,36.77922,"3120 n blackstone ave, fresno, ca 93703, usa","Geocoded"
"M.C.C.","(Unitarian Church)","4144 N. Millbrook","Fresno","CA","(MCC)","Religious Institution",NA,1985,"","4144 N. Millbrook, Fresno, CA",-119.762532,36.7927974,"4144 n millbrook ave, fresno, ca 93726, usa","Geocoded"
"Steam Works","(Baths)","1551 'E' St.","Fresno","CA","(WE),(*)","Bathhouses",NA,1985,"","1551 'E' St., Fresno, CA",-119.8023941,36.7352122,"1551 e st, fresno, ca 93706, usa","Geocoded"
"Front Runner","(Publication)","164 N. Blackstone #119","Fresno","CA","","Publications",NA,1985,"","164 N. Blackstone #119, Fresno, CA",NA,NA,NA,"Geocoded"
"Red Lantern","(Some W,SM,OC) (Cruisy)","4618 E. Belmont","Fresno","CA","(W),(SM),(OC),(PT),(WE),(*)","Bars/Clubs,Cruising Areas",NA,1985,"","4618 E. Belmont, Fresno, CA",-119.7446805,36.7502129,"4618 e belmont ave, fresno, ca 93702, usa","Geocoded"
"Palace Saloon","","4030 E. Belmont","Fresno","CA","(L),(D),(PT),(WE),(*)","Bars/Clubs",NA,1985,"","4030 E. Belmont, Fresno, CA",-119.7573238,36.7502101,"4030 e belmont ave, fresno, ca 93702, usa","Geocoded"
"Heritage Book Store","","1214 Central Ave.","Ft. Dodge","IA","(M)","Book Store",NA,1985,"","1214 Central Ave., Ft. Dodge, IA",-94.1821542,42.5061947,"1214 central ave, fort dodge, ia 50501, usa","Geocoded"
"A Adult Book Store","(AYOR- raids)","1915 S. Federal","Ft. Lauderdale","FL","(AYOR)","Book Store",NA,1985,"","1915 S. Federal, Ft. Lauderdale, FL",-80.1369128,26.0970558,"1915 s federal hwy, fort lauderdale, fl 33316, usa","Geocoded"
"Backstreet","(Liquor)(Adm.)","101 S.W. 2nd Ave.","Ft. Lauderdale","FL","(*),(YC),(D),(S),(E),(P)","Bars/Clubs",NA,1985,"","101 S.W. 2nd Ave., Ft. Lauderdale, FL",-80.146045,26.121314,"101 sw 2nd ave, fort lauderdale, fl 33301, usa","Geocoded"
"Beach Buoy Motel","(Friendly, small, nr. Marlin Beach)","2929 Cortez","Ft. Lauderdale","FL","(*)","Hotel",NA,1985,"","2929 Cortez, Ft. Lauderdale, FL",-80.1060367,26.1217353,"2929 cortez st, fort lauderdale, fl 33316, usa","Geocoded"
"Boots","(Some W,SM)(Adjoins Gym Club-rear)(Cruisy johns)","2708 S.W. 9th St.","Ft. Lauderdale","FL","(*),(W),(SM)","Bars/Clubs,Cruising Areas",NA,1985,"","2708 S.W. 9th St., Ft. Lauderdale, FL",-80.1780226,26.110262,"2708 sw 9th st, fort lauderdale, fl 33312, usa","Geocoded"
"Club Ft. Lauderdale Baths","(CBC)","400 W. Broward","Ft. Lauderdale","FL","(*)","Bathhouses,Bars/Clubs",NA,1985,"","400 W. Broward, Ft. Lauderdale, FL",-80.1477211,26.1217964,"400 w broward blvd, fort lauderdale, fl 33312, usa","Geocoded"
"Catho Ray","(Video)","1105 E. Las Olas Blvd.","Ft. Lauderdale","FL","(*),(YC),(E)","Bars/Clubs",NA,1985,"","1105 E. Las Olas Blvd., Ft. Lauderdale, FL",-80.1318763,26.1194229,"1105 e las olas blvd, fort lauderdale, fl 33301, usa","Geocoded"
"Club Pierre","(Slow D) (off Oakland Park)","3419 Andrews Ave.","Ft. Lauderdale","FL","(PE),(OC),(R),(D),(*)","Restaurant",NA,1985,"","3419 Andrews Ave., Ft. Lauderdale, FL",-80.1383548,26.0825493,"3419 s andrews ave, fort lauderdale, fl 33316, usa","Geocoded"
"Club House","(Baths)","2650 E. Oakland Park Blvd.","Ft. Lauderdale","FL","","Bathhouses,Bars/Clubs",NA,1985,"","2650 E. Oakland Park Blvd., Ft. Lauderdale, FL",-80.1124014,26.1667598,"2650 e oakland park blvd, fort lauderdale, fl 33306, usa","Geocoded"
"Connection Bar","(Go go boys)","3050 N.E. 26th Terrace","Ft. Lauderdale","FL","","Bars/Clubs",NA,1985,"","3050 N.E. 26th Terrace, Ft. Lauderdale, FL",-80.1124264,26.1669263,"3050 ne 26th terrace, fort lauderdale, fl 33306, usa","Geocoded"
"David","(Publication)","605 S.W. 12th Ave.","Ft. Lauderdale","FL","","Publications",NA,1985,"","605 S.W. 12th Ave., Ft. Lauderdale, FL",-80.158078,26.1138952,"605 sw 12th ave, fort lauderdale, fl 33312, usa","Geocoded"
"David's","(Neighborhood)","502 E. Sunrise Blvd.","Ft. Lauderdale","FL","(W)","Bars/Clubs",NA,1985,"","502 E. Sunrise Blvd., Ft. Lauderdale, FL",-80.1393046,26.1367694,"502 e sunrise blvd, fort lauderdale, fl 33304, usa","Geocoded"
"Downtown Adult Books","","1350 S.W. 1st Ave.","Ft. Lauderdale","FL","","Book Store",NA,1985,"","1350 S.W. 1st Ave., Ft. Lauderdale, FL",-80.1436942,26.1046483,"1350 sw 1st ave, fort lauderdale, fl 33315, usa","Geocoded"
"Embassy Club","","1800 E. Sunrise Blvd.","Ft. Lauderdale","FL","","Bars/Clubs",NA,1985,"","1800 E. Sunrise Blvd., Ft. Lauderdale, FL",-80.1218742,26.1371866,"1800 e sunrise blvd, fort lauderdale, fl 33304, usa","Geocoded"
"Everglades","","1931 Federal Hwy.","Ft. Lauderdale","FL","(W),(PT)","Bars/Clubs",NA,1985,"","1931 Federal Hwy., Ft. Lauderdale, FL",-80.1369595,26.0966953,"1931 s federal hwy, fort lauderdale, fl 33316, usa","Geocoded"
"Grotto","","1914 E. Oakland","Ft. Lauderdale","FL","(W),(OC)","Bars/Clubs",NA,1985,"","1914 E. Oakland, Ft. Lauderdale, FL",-80.1579011,26.1657398,"1100 w oakland park blvd, fort lauderdale, fl 33311, usa","Geocoded"
"Gym Club","(Baths)","901 S.W. 27th Ave.","Ft. Lauderdale","FL","(*),(P)","Bathhouses,Gym",NA,1985,"","901 S.W. 27th Ave., Ft. Lauderdale, FL",-80.1781123,26.1101732,"901 sw 27th ave, fort lauderdale, fl 33312, usa","Geocoded"
"Hannibal's","(Some Hustlers)","201 S.W. 2nd St.","Ft. Lauderdale","FL","(R),(E)","Restaurant",NA,1985,"","201 S.W. 2nd St., Ft. Lauderdale, FL",-80.1457493,26.1206241,"201 sw 2nd st, fort lauderdale, fl 33301, usa","Geocoded"
"Grand Central Cafe","","901 Progresso Dr.","Ft. Lauderdale","FL","(M),(R)","Restaurant",NA,1985,"","901 Progresso Dr., Ft. Lauderdale, FL",-80.1412447,26.1349422,"901 progresso dr, fort lauderdale, fl 33304, usa","Geocoded"
"Jaybirds Toybox","(Erotica) (On the patio in Tacky's)","","Ft. Lauderdale","FL","(*)","Erotic Shop",NA,1985,"",", Ft. Lauderdale, FL",-80.1373174,26.1224386,"fort lauderdale, fl, usa","Geocoded"
"J.J.'s Den","","2283 Wilton Dr.","Ft. Lauderdale","FL","(L),(D),(PT)","Bars/Clubs",NA,1985,"","2283 Wilton Dr., Ft. Lauderdale, FL",-80.1374938,26.1571585,"2283 wilton dr, wilton manors, fl 33305, usa","Geocoded"
"J. Mills","(Active Wear)","1023 E. Las Olas","Ft. Lauderdale","FL","","Business",NA,1985,"","1023 E. Las Olas, Ft. Lauderdale, FL",-80.1323488,26.1195491,"1023 e las olas blvd, fort lauderdale, fl 33301, usa","Geocoded"
"Johnny's Village Inn","(Hustlers)","219 S.W. 2nd St.","Ft. Lauderdale","FL","(PT),(*)","Bars/Clubs",NA,1985,"","219 S.W. 2nd St., Ft. Lauderdale, FL",-80.146123,26.1206749,"219 sw 2nd st, fort lauderdale, fl 33301, usa","Geocoded"
"Jimmy January's","(Liquor)","2135 W. Davie Blvd.","Ft. Lauderdale","FL","(R),(M)","Restaurant",NA,1985,"","2135 W. Davie Blvd., Ft. Lauderdale, FL",-80.1709204,26.1073665,"2135 davie blvd, fort lauderdale, fl 33312, usa","Geocoded"
"Lauderdale Terrace Resort","(Pool)('BA' sundeck)","3000 Castillo","Ft. Lauderdale","FL","(H),(*)","Hotel",NA,1985,"","3000 Castillo, Ft. Lauderdale, FL",-80.1054574,26.1234502,"3000 castillo st, fort lauderdale, fl 33304, usa","Geocoded"
"Lauderdale Manor","","2926 Valencia St.","Ft. Lauderdale","FL","(H),(M),(*)","Hotel",NA,1985,"","2926 Valencia St., Ft. Lauderdale, FL",-80.1058889,26.1225699,"2926 valencia st, fort lauderdale, fl 33304, usa","Geocoded"
"M.C.C.","","330 S.W. 27th St.","Ft. Lauderdale","FL","(MCC)","Religious Institution",NA,1985,"","330 S.W. 27th St., Ft. Lauderdale, FL",-80.1453578,26.0897627,"330 sw 27th st, fort lauderdale, fl 33315, usa","Geocoded"
"Lefty's","(Cruisy)(Liquor)","710 N. Federal Hwy.","Ft. Lauderdale","FL","(*)","Bars/Clubs,Cruising Areas",NA,1985,"","710 N. Federal Hwy., Ft. Lauderdale, FL",-80.1374295,26.1321873,"710 n federal hwy, fort lauderdale, fl 33304, usa","Geocoded"
"Little Jim's","","3038 N. Federal Hwy.","Ft. Lauderdale","FL","","Bars/Clubs",NA,1985,"","3038 N. Federal Hwy., Ft. Lauderdale, FL",-80.1156343,26.1664253,"3038 n federal hwy, fort lauderdale, fl 33306, usa","Geocoded"
"Marlin Beach","(Pools & bars)(Liquor)(Disco)(Ft.Lauderdale Beach)","17 S. Atlantic Blvd.","Ft. Lauderdale","FL","(*),(H),(R)","Hotel,Restaurant,Bars/Clubs",NA,1985,"","17 S. Atlantic Blvd., Ft. Lauderdale, FL",-80.1048419,26.1223583,"17 s atlantic blvd, fort lauderdale, fl 33316, usa","Geocoded"
"Ocean Walk Apts.","","3008 Castillo","Ft. Lauderdale","FL","(H),(*)","Hotel",NA,1985,"","3008 Castillo, Ft. Lauderdale, FL",-80.1054188,26.1234348,"3008 castillo st, fort lauderdale, fl 33304, usa","Geocoded"
"Oasis Motel","(Pool)","1200 S. Miami Rd.","Ft. Lauderdale","FL","(H),(*)","Hotel",NA,1985,"","1200 S. Miami Rd., Ft. Lauderdale, FL",-80.136338,26.1074918,"1200 miami rd, fort lauderdale, fl 33316, usa","Geocoded"
"Midnight Sea","","3016 Alhambra St.","Ft. Lauderdale","FL","(M),(H),(*)","Hotel",NA,1985,"","3016 Alhambra St., Ft. Lauderdale, FL",-80.104746,26.124811,"3016 alhambra st, fort lauderdale, fl 33304, usa","Geocoded"
"Omni Bookstore","","3224 W. Broward","Ft. Lauderdale","FL","(M)","Book Store",NA,1985,"","3224 W. Broward, Ft. Lauderdale, FL",-80.1891193,26.1209546,"3224 w broward blvd, fort lauderdale, fl 33312, usa","Geocoded"
"Rooftop","(Some OC)","3101 N. Federal Hwy.","Ft. Lauderdale","FL","(R),(E),(OC),(*)","Restaurant",NA,1985,"","3101 N. Federal Hwy., Ft. Lauderdale, FL",-80.1177545,26.1674967,"3101 n federal hwy, oakland park, fl 33306, usa","Geocoded"
"Riverside Pub","","602 S.W. 12th Ave.","Ft. Lauderdale","FL","","Bars/Clubs",NA,1985,"","602 S.W. 12th Ave., Ft. Lauderdale, FL",-80.157522,26.1140284,"602 sw 12th ave, fort lauderdale, fl 33312, usa","Geocoded"
"Trader Tom's","(Clothes) (Marlin Beach Hotel)","17 S. Atlantic Blvd.","Ft. Lauderdale","FL","","Business,Hotel",NA,1985,"","17 S. Atlantic Blvd., Ft. Lauderdale, FL",-80.1048419,26.1223583,"17 s atlantic blvd, fort lauderdale, fl 33316, usa","Geocoded"
"Poop Deck","(Lower deck Disco)(Afternoon T-D) (Marlin Beach Hotel)","17 S. Atlantic Blvd.","Ft. Lauderdale","FL","(*)","Bars/Clubs,Hotel",NA,1985,"","17 S. Atlantic Blvd., Ft. Lauderdale, FL",-80.1048419,26.1223583,"17 s atlantic blvd, fort lauderdale, fl 33316, usa","Geocoded"
"Saloon","","219 1/2 S.W. 1st Ave.","Ft. Lauderdale","FL","(OC)","Bars/Clubs",NA,1985,"","219 1/2 S.W. 1st Ave., Ft. Lauderdale, FL",-80.1446716,26.1203128,"219 sw 1st ave, fort lauderdale, fl 33301, usa","Geocoded"
"Saltaire Motel","","2831 Vistamar","Ft. Lauderdale","FL","(M),(H)","Hotel",NA,1985,"","2831 Vistamar, Ft. Lauderdale, FL",-80.1075027,26.1338298,"2831 vistamar st, fort lauderdale, fl 33304, usa","Geocoded"
"Shangra-La","(Some L)(Disco)","451 N.State Rd. 7","Ft. Lauderdale","FL","(L),(D),(R),(*)","Restaurant",NA,1985,"","451 N.State Rd. 7, Ft. Lauderdale, FL",-80.2029051,26.1275577,"451 n state rd 7, plantation, fl 33317, usa","Geocoded"
"Sans Souci Apt.-Motel","","618 N. Birch Rd.","Ft. Lauderdale","FL","","Hotel",NA,1985,"","618 N. Birch Rd., Ft. Lauderdale, FL",-80.1056265,26.1321473,"618 n birch rd, fort lauderdale, fl 33304, usa","Geocoded"
"S.I.R. Apts.","","705 S.E. 2nd St.","Ft. Lauderdale","FL","(H)","Hotel",NA,1985,"","705 S.E. 2nd St., Ft. Lauderdale, FL",-80.1362304,26.1209267,"705 se 2nd st, fort lauderdale, fl 33301, usa","Geocoded"
"Sir Nicholas Inn","(Polish R)","2209 Wilton Blvd.","Ft. Lauderdale","FL","(M),(R)","Restaurant",NA,1985,"","2209 Wilton Blvd., Ft. Lauderdale, FL",-80.138547,26.156486,"2209 wilton dr, wilton manors, fl 33305, usa","Geocoded"
"Studio X Books","(Cruisy)","2417 S.E. 6th Ave.","Ft. Lauderdale","FL","","Book Store,Cruising Areas",NA,1985,"","2417 S.E. 6th Ave., Ft. Lauderdale, FL",-80.1365548,26.0896138,"2417 se 6th ave, fort lauderdale, fl 33316, usa","Geocoded"
"Takcy's","(Some W,Levi & SM)(Cruisy Patio)(DJ-Video)(Open till 4am)","2509 W. Broward","Ft. Lauderdale","FL","(W),(SM)","Bars/Clubs,Cruising Areas",NA,1985,"","2509 W. Broward, Ft. Lauderdale, FL",-80.1753499,26.1219982,"2509 w broward blvd, fort lauderdale, fl 33312, usa","Geocoded"
"Surf & Sand Motel","","3009 Sebastian St.","Ft. Lauderdale","FL","(H)","Hotel",NA,1985,"","3009 Sebastian St., Ft. Lauderdale, FL",-80.1048524,26.1244709,"3009 sebastian street, fort lauderdale, fl 33316, usa","Geocoded"
"Taurus Apts.","","700 N.E. 6th St.","Ft. Lauderdale","FL","(H)","Hotel",NA,1985,"","700 N.E. 6th St., Ft. Lauderdale, FL",-80.1364955,26.129953,"700 ne 6th st, fort lauderdale, fl 33304, usa","Geocoded"
"Xanadu Apt.","(Motel)","538 Bayshore Dr.","Ft. Lauderdale","FL","(H)","Hotel",NA,1985,"","538 Bayshore Dr., Ft. Lauderdale, FL",-80.1083971,26.1300773,"538 bayshore dr, fort lauderdale, fl 33304, usa","Geocoded"
"Tunnel Bar","","545 S. Federal Hwy.","Ft. Lauderdale","FL","(PT)","Bars/Clubs",NA,1985,"","545 S. Federal Hwy., Ft. Lauderdale, FL",-80.1371832,26.1162532,"545 s federal hwy, fort lauderdale, fl 33301, usa","Geocoded"
"Waynesart","(Unique statues- See ad for brochure) (305)463-1666","900 S. Andrews Ave.","Ft. Lauderdale","FL","","Business",NA,1985,"","900 S. Andrews Ave., Ft. Lauderdale, FL",-80.1428802,26.1110935,"900 s andrews ave, fort lauderdale, fl 33316, usa","Geocoded"
"Club","","1514 Jackson","Ft. Myers","FL","","Bars/Clubs",NA,1985,"","1514 Jackson, Ft. Myers, FL",-81.8685249,26.6445573,"1514 jackson st, fort myers, fl 33901, usa","Geocoded"
"M.C.C.","(813)334-4443","1414 Dean St.","Ft. Myers","FL","(MCC)","Religious Institution",NA,1985,"","1414 Dean St., Ft. Myers, FL",-81.8708856,26.6441981,"1414 dean st, fort myers, fl 33901, usa","Geocoded"
"Gulf View Motel","","3523 Cleveland Ave.","Ft. Myers","FL","(M),(H)","Hotel",NA,1985,"","3523 Cleveland Ave., Ft. Myers, FL",-81.8714885,26.6131088,"3523 cleveland ave, fort myers, fl 33901, usa","Geocoded"
"Palm Leaflet","(Publication)","1414 Dean St.","Ft. Myers","FL","","Publications",NA,1985,"","1414 Dean St., Ft. Myers, FL",-81.8708856,26.6441981,"1414 dean st, fort myers, fl 33901, usa","Geocoded"
"Jolly Roger","(Disco)(Occ.S)","3679 Fowler Ave.","Ft. Myers","FL","(*),(YC),(D),(PT)","Bars/Clubs",NA,1985,"","3679 Fowler Ave., Ft. Myers, FL",-81.8614076,26.6087922,"3679 fowler st, fort myers, fl 33901, usa","Geocoded"
"VD Clinic","","3920 Michigan","Ft. Myers","FL","","Health Clinics",NA,1985,"","3920 Michigan, Ft. Myers, FL",-81.833451,26.6476666,"3920 michigan ave, fort myers, fl 33916, usa","Geocoded"
"Final Epic","","106 S. Depot St.","Ft. Pierce","FL","","Bars/Clubs",NA,1985,"","106 S. Depot St., Ft. Pierce, FL",-80.3244768,27.4470163,"106 s depot dr, fort pierce, fl 34950, usa","Geocoded"
"M.C.C.","","1007 S. 25th St.","Ft. Smith","AR","(MCC)","Religious Institution",NA,1985,"","1007 S. 25th St., Ft. Smith, AR",-94.4056002,35.3737814,"1007 s 25th st, fort smith, ar 72901, usa","Geocoded"
"Village Landing","(Some L) (Disco)","3028 N. 6th St.","Ft. Smith","AR","(YC),(*),(L),(D)","Bars/Clubs",NA,1985,"","3028 N. 6th St., Ft. Smith, AR",-94.4003877,35.409082,"3028 n 6th st, fort smith, ar 72904, usa","Geocoded"
"Garrison Club","(Looks promising)","6614 Rogers Ave.","Ft. Smith","AR","(P),(D),(AH)","Bars/Clubs",NA,1985,"","6614 Rogers Ave., Ft. Smith, AR",-94.3591526,35.3558886,"6614 rogers ave, fort smith, ar 72903, usa","Geocoded"
"Bachelor I","(Disco)(2 bars) (enter from Perry St.)","223 Miracle Mile Strip","Ft. Walton Beach","FL","(YC),(D),(S),(PT)","Bars/Clubs",NA,1985,"","223 Miracle Mile Strip, Ft. Walton Beach, FL",-86.6170308,30.4200708,"fort walton beach, fl, usa","Geocoded"
"Erotica House","(Books)","930 Broadway","Ft. Wayne","IN","","Book Store",NA,1985,"","930 Broadway, Ft. Wayne, IN",-85.148301,41.0760096,"930 broadway, fort wayne, in 46802, usa","Geocoded"
"Old Forge","","243 Pearl St.","Ft. Wayne","IN","(*),(S),(D),(R)","Restaurant,Bars/Clubs",NA,1985,"","243 Pearl St., Ft. Wayne, IN",-85.1431612,41.0804109,"243 pearl st, fort wayne, in 46802, usa","Geocoded"
"Leo's Up the Street","(Disco)","226 W. Main St.","Ft. Wayne","IN","(*),(YC),(D)","Bars/Clubs",NA,1985,"","226 W. Main St., Ft. Wayne, IN",-85.142439,41.080228,"226 w main st, fort wayne, in 46802, usa","Geocoded"
"Henry's","","536 W. Main St.","Ft. Wayne","IN","(R)","Restaurant",NA,1985,"","536 W. Main St., Ft. Wayne, IN",-85.14743,41.079291,"536 w main st, fort wayne, in 46802, usa","Geocoded"
"Rainbows of Life","(Books,etc.)","133 W. Columbia","Ft. Wayne","IN","","Book Store",NA,1985,"","133 W. Columbia, Ft. Wayne, IN",-85.1413895,41.0809501,"133 w columbia st, fort wayne, in 46802, usa","Geocoded"
"Agape M.C.C.","(Church)","4616 S.E. Loop 820","Ft. Worth","TX","(MCC)","Religious Institution",NA,1985,"","4616 S.E. Loop 820, Ft. Worth, TX",-97.2525849,32.6607005,"4616 se loop 820, forest hill, tx 76140, usa","Geocoded"
"Come Along Inn","(AH-WE)","515 S. Jennings","Ft. Worth","TX","(L),(AH),(WE)","Bars/Clubs",NA,1985,"","515 S. Jennings, Ft. Worth, TX",-97.3296944,32.7387252,"515 s jennings ave, fort worth, tx 76104, usa","Geocoded"
"Corral","(Leather shop)(Good days)","621 Hemphill","Ft. Worth","TX","(W),(PT),(*)","Erotic Shop",NA,1985,"","621 Hemphill, Ft. Worth, TX",-97.331635,32.7375589,"621 hemphill st, fort worth, tx 76104, usa","Geocoded"
"Music Box","","704 Carroll","Ft. Worth","TX","","Bars/Clubs",NA,1985,"","704 Carroll, Ft. Worth, TX",-97.3548918,32.7517357,"704 carroll st, fort worth, tx 76107, usa","Geocoded"
