"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Anchorage Book Mart","","419 D St.","Anchorage","AK","","Book Store",1980,NA,"419 D St., Anchorage, AK",-149.8894184,61.2180588,"419 d st, anchorage, ak 99501, usa","Geocoded",NA
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant",1980,NA,"3471 Tudor Rd., Anchorage, AK",-149.8146894,61.181719,"3471 e tudor rd, anchorage, ak 99507, usa","Geocoded",NA
"Cinema One","(Books & arcade)","324 W. 4th Ave.","Anchorage","AK","(*) - Very popular","Book Store,Theatre",1980,NA,"324 W. 4th Ave., Anchorage, AK",-149.888438,61.2182819,"324 w 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Disco Den","(Disco)","122 E. 4th Ave.","Anchorage","AK","(YC) - Young and/or collegiate types,(D) - Dancing","Bars/Clubs",1980,NA,"122 E. 4th Ave., Anchorage, AK",-149.8821749,61.2183952,"122 e 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Gay Info Services","(907) 276-8129","","Anchorage","AK","","Organizations",1980,NA,", Anchorage, AK",-149.9002778,61.2180556,"anchorage, ak, usa","Geocoded",NA
"Hal's Place","(Some YC, W, SM) (Cruisy) nr. 6th","618 Gambell ","Anchorage","AK","(YC) - Young and/or collegiate types,(*) - Very popular,(W) - Western or coyboy types,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. "",(D) - Dancing","Bars/Clubs,Cruising Areas",1980,NA,"618 Gambell , Anchorage, AK",-149.8716274,61.2162443,"618 gambell st, anchorage, ak 99501, usa","Geocoded",NA
"Jake's","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(*) - Very popular","Bars/Clubs",1980,NA,"111 W. 5th Ave., Anchorage, AK",-149.883783,61.2179155,"111 w 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Love Boutique","(Misc.)","2621 Spenard Rd.","Anchorage","AK","","Book Store,Business",1980,NA,"2621 Spenard Rd., Anchorage, AK",-149.9049446,61.1967259,"2621 spenard rd, anchorage, ak 99503, usa","Geocoded",NA
"M.C.C.","","602 W. 10th Ave.","Anchorage","AK","M.C.C. - Metropolitan Community Church","Church",1980,NA,"602 W. 10th Ave., Anchorage, AK",-149.8937712,61.2123448,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded",NA
"The Village","(Disco) (opening in '79 - should be a winner)","2225 5th Ave.","Anchorage","AK","(YC) - Young and/or collegiate types,(D) - Dancing","Bars/Clubs",1980,NA,"2225 5th Ave., Anchorage, AK",-149.8391747,61.2185462,"2225 e 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Crystal Saloon","","418 S. Franklin St.","Juneau","AK","(*) - Very popular,(D) - Dancing,(M) - Mixed Crowds - Some Straights","Bars/Clubs",1980,NA,"418 S. Franklin St., Juneau, AK",-134.4018519,58.2974416,"418 s franklin st, juneau, ak 99801, usa","Geocoded",NA
"Latch String Bar","Barnahof Hotel","127 Franklin","Juneau","AK","(M) - Mixed Crowds - Some Straights","Hotels,Bars/Clubs",1980,NA,"127 Franklin, Juneau, AK",-134.406268,58.3012224,"127 n franklin st, juneau, ak 99801, usa","Geocoded",NA
"Alaska Gay Community Center","","838 8th Ave.","Anchorage","AK","","Organizations",1979,NA,"838 8th Ave., Anchorage, AK",-149.8682106,61.2146085,"838 e 8th ave, anchorage, ak 99501, usa","Geocoded",NA
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant",1979,NA,"3471 Tudor Rd., Anchorage, AK",-149.8146894,61.181719,"3471 e tudor rd, anchorage, ak 99507, usa","Geocoded",NA
"Cinema One","(Books & arcade)","324 W. 4th Ave.","Anchorage","AK","(*) - Very popular","Book Store,Theatre",1979,NA,"324 W. 4th Ave., Anchorage, AK",-149.888438,61.2182819,"324 w 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Disco Den","(Disco)","122 E. 4th Ave.","Anchorage","AK","(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs",1979,NA,"122 E. 4th Ave., Anchorage, AK",-149.8821749,61.2183952,"122 e 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Jake's","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(*) - Very popular,(D) - Dancing","Bars/Clubs",1979,NA,"111 W. 5th Ave., Anchorage, AK",-149.883783,61.2179155,"111 w 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Spartacus House","(Baths) (Looks promising)","120 W. 4th St.","Anchorage","AK","","Baths",1979,NA,"120 W. 4th St., Anchorage, AK",-149.884144,61.218265,"120 w 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Latch String Bar","Barnahof Hotel","127 Franklin St.","Juneau","AK","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1979,NA,"127 Franklin St., Juneau, AK",-134.406268,58.3012224,"127 n franklin st, juneau, ak 99801, usa","Geocoded",NA
"Bonfire Lounge","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(D) - Dancing,(*) - Very popular","Bars/Clubs",1978,NA,"111 W. 5th Ave., Anchorage, AK",-149.883783,61.2179155,"111 w 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant",1978,NA,"3471 Tudor Rd., Anchorage, AK",-149.8146894,61.181719,"3471 e tudor rd, anchorage, ak 99507, usa","Geocoded",NA
"Cinema One","(Books & arcade)","324 W. 4th Ave.","Anchorage","AK","(*) - Very popular","Book Store,Theatre",1978,NA,"324 W. 4th Ave., Anchorage, AK",-149.888438,61.2182819,"324 w 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Rendezvous","(R Upstairs) (Some G)","531 E. 5th Ave.","Anchorage","AK","(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(E) - Entertainment,""(G) - Girls, but seldom exclusively""","Bars/Clubs,Restaurant",1978,NA,"531 E. 5th Ave., Anchorage, AK",-149.8740536,61.2177958,"531 e 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Elbow Room","","410 2nd Ave.","Fairbanks","AK","(M) - Mixed Crowds - Some Straights","Bars/Clubs",1978,NA,"410 2nd Ave., Fairbanks, AK",-147.716427,64.843874,"410 2nd ave, fairbanks, ak 99701, usa","Geocoded",NA
"Latch String Bar","Barnahof Hotel","127 Franklin St.","Juneau","AK","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels",1978,NA,"127 Franklin St., Juneau, AK",-134.406268,58.3012224,"127 n franklin st, juneau, ak 99801, usa","Geocoded",NA
"Bonfire Lounge","(Good afternoons)","111 W. 5th Ave.","Anchorage","AK","(D) - Dancing,(*) - Very popular","Bars/Clubs",1977,NA,"111 W. 5th Ave., Anchorage, AK",-149.883783,61.2179155,"111 w 5th ave, anchorage, ak 99501, usa","Geocoded",NA
"Cattleman's","(No booze)","3471 Tudor Rd.","Anchorage","AK","(M) - Mixed Crowds - Some Straights,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. ""","Restaurant",1977,NA,"3471 Tudor Rd., Anchorage, AK",-149.8146894,61.181719,"3471 e tudor rd, anchorage, ak 99507, usa","Geocoded",NA
"Cinema One","(Books & arcade)","324 W. 4th Ave.","Anchorage","AK","","Book Store,Theatre",1977,NA,"324 W. 4th Ave., Anchorage, AK",-149.888438,61.2182819,"324 w 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Rendezvous","('Tops in Alaska')","612 E. 4th Ave.","Anchorage","AK","(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs",1977,NA,"612 E. 4th Ave., Anchorage, AK",-149.872444,61.2184255,"612 e 4th ave, anchorage, ak 99501, usa","Geocoded",NA
"Elbow Room","","410 2nd Ave.","Fairbanks","AK","(M) - Mixed Crowds - Some Straights","Bars/Clubs",1977,NA,"410 2nd Ave., Fairbanks, AK",-147.716427,64.843874,"410 2nd ave, fairbanks, ak 99701, usa","Geocoded",NA
