"title","description","streetaddress","city","state","amenityfeatures","unclear_address","Year","type","notes","full.address","lon","lat","geoAddress"
"Bricktown Brewery Restaurant","232-2739 10am-midnight, til 2am Fri-Sat","1 N Oklahoma","Oklahoma City","OK","(D)",NA,1998,"Restaurants","","1 N Oklahoma, Oklahoma City, OK",-97.5108069,35.4667332,"1 n oklahoma ave, oklahoma city, ok 73104, usa"
"Grownups","862-9304 gay-owned/run","2 E Mechanic St","New Hope","PA","(*),(NS)",NA,1998,"Erotica","","2 E Mechanic St, New Hope, PA",-74.9504308,40.3619975,"2 e mechanic st, new hope, pa 18938, usa"
"The Arcade","722-5656 9:30pm-?, clsd Mon-Wed","5 Liberty St","Charleston","SC","(D),(A),(K),(S),(YC),(WC),(*),(M)",NA,1998,"Bars & Nightclubs","","5 Liberty St, Charleston, SC",-79.9350537,32.782803,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa"
"Ampersand Guesthouse","487-0959/(800) 574-9645","6 Cottage St","Provincetown","MA","(MW)",NA,1998,"Accommodations","","6 Cottage St, Provincetown, MA",-70.1930651,42.0440834,"historic district, 6 cottage st, provincetown, ma 02657, usa"
"Charleston Columns","722-7341","8 Vanderhorst St","Charleston","SC","(MW),(NS)",NA,1998,"Accommodations","","8 Vanderhorst St, Charleston, SC",-79.9380484,32.787303,"8 vanderhorst st, charleston, sc 29403, usa"
"Hydrangea House Inn","846-4435/(800) 945-4667 full brkfst, nr. beach, see ad page 587","16 Bellevue Ave","Newport","RI","(*),(GF)",NA,1998,"Accommodations","","16 Bellevue Ave, Newport, RI",-71.3092265,41.4874903,"16 bellevue ave, newport, ri 02840, usa"
"Pasto","779-1937 5pm-9:30pm, til 10pm Fri-Sat, Italian","19 E Aspen","Flagstaff","AZ","",NA,1998,"Restaurants","","19 E Aspen, Flagstaff, AZ",-111.6481046,35.1981305,"19 e aspen ave, flagstaff, az 86001, usa"
"Boca","Ybor City  Lunch & dinner, 4 course Sun brunch, 2 full bars","20th & 7th ave","Ybor City","FL","",NA,1998,"Restaurants","Listed under ""Tampa""","20th & 7th ave, Ybor City, FL",NA,NA,NA
"Charlie's","779-1919 noon-lam, Sun brunch, patio","23 N Leroux","Flagstaff","AZ","(GF),(F),(WC)",NA,1998,"Bars & Nightclubs","","23 N Leroux, Flagstaff, AZ",-111.6490426,35.1984359,"23 n leroux st, flagstaff, az 86001, usa"
"Mother’s","862-5270 9am-10pm","34 N Main St","New Hope","PA","(*),(NS)",NA,1998,"Restaurants","","34 N Main St, New Hope, PA",-74.9516122,40.3654945,"34 n main st, new hope, pa 18938, usa"
"The Khyber","238-5888 Wed gay night","56 S 2nd St","Philadelphia","PA","(GF),(F),(E)",NA,1998,"Bars & Nightclubs","","56 S 2nd St, Philadelphia, PA",-75.144226,39.948643,"56 s 2nd st, philadelphia, pa 19106, usa"
"65 Radcliff Street","577-6183","65 Radcliff St","Charleston","SC","(MW)",NA,1998,"Accommodations","","65 Radcliff St, Charleston, SC",-79.9438297,32.7873842,"65 radcliffe st, charleston, sc 29403, usa"
"Integrity","(Calvary Episcopal Church) 525-6602 3rd Tue 6pm","102 N Second St","Memphis","TN","(*),(NS)",NA,1998,"Spiritual Groups","","102 N Second St, Memphis, TN",-90.050123,35.1472895,"102 n 2nd st, memphis, tn 38103, usa"
"Havana","862-9897 11am-midnight, bar til 2am","105 S Main St","New Hope","PA","(E)",NA,1998,"Restaurants","","105 S Main St, New Hope, PA",-74.9504351,40.3609614,"105 s main st, new hope, pa 18938, usa"
"501 Club","274-8655 noon-3am, til 6am Fri-Sat, patio; also cruise bar","111 N Claybrook","Memphis","TN","(M),(D),(F),(S),(WC)",NA,1998,"Bars & Nightclubs","","111 N Claybrook, Memphis, TN",-90.0180475,35.1421709,"111 n claybrook st, memphis, tn 38104, usa"
"Aradia Books","779-3817 10:30am-5:30pm, clsd Sun, some gay men's titles","116 W Cottage","Flagstaff","AZ","",NA,1998,"Bookstores & Retail Shops","","116 W Cottage, Flagstaff, AZ",-111.6517029,35.1962402,"116 w cottage ave, flagstaff, az 86001, usa"
"Pekin Noodle Parlor","5pm-9pm, clsd Tue","117 S Main","Butte","MT","",NA,1998,"Restaurants","","117 S Main, Butte, MT",-112.5358696,46.0117131,"117 s main st, butte, mt 59701, usa"
"Club Body Center","735-9568 24hrs","120 S 13th St","Philadelphia","PA","(MO),(PC)",NA,1998,"Men's Clubs","","120 S 13th St, Philadelphia, PA",-75.1621831,39.9497053,"120 s 13th st, philadelphia, pa 19107, usa"
"Yukon Trading Co","274-6620 5pm-1am, til 2am Fri-Sat, uniform, bear bar","124 Snow St","Providence","RI","(D),(L),(*),(M)",NA,1998,"Bars & Nightclubs","","124 Snow St, Providence, RI",-71.4135527,41.8211684,"124 snow st, providence, ri 02903, usa"
"Latham Hotel","563-7474/(800) 528-4261","135 S 17th St","Philadelphia","PA","(GF)",NA,1998,"Accommodations","","135 S 17th St, Philadelphia, PA",-75.1689025,39.9501583,"135 s 17th st, philadelphia, pa 19102, usa"
"Mickey's","723-7121 24hrs","137 Market St","Charleston","SC","(*)",NA,1998,"Restaurants","","137 Market St, Charleston, SC",-79.9326481,32.7804828,"137 market st, charleston, sc 29401, usa"
"Down City Diner","331-9217 lunch & dinner, popular Sun brunch (very gay), full bar","151 Weybosset St","Providence","RI","(WC)",NA,1998,"Restaurants","","151 Weybosset St, Providence, RI",-71.4120311,41.8217565,"151 weybosset st, providence, ri 02903, usa"
"Global Excellence--The Travel Agency","732-8080/(800) 339-3600","155 Jefferson Blvd","Warwick","RI","(*),(NS)",NA,1998,"Travel Agents","","155 Jefferson Blvd, Warwick, RI",-71.4378758,41.7441952,"155 jefferson blvd, warwick, ri 02888, usa"
"Coffeeright","451-6976 hrs vary, clsd Sun","160 E Front St","Erie","PA","(WC)",NA,1998,"Cafes","","160 E Front St, Erie, PA",-80.0864932,42.1366863,"160 e front st, erie, pa 16507, usa"
"The Providence Eagle","421-1447 6pm-1am, til 2am Fri-Sat","200 Union St","Providence","RI","(M),(L),(WC)",NA,1998,"Bars & Nightclubs","","200 Union St, Providence, RI",-71.4120786,41.8223671,"200 union st, providence, ri 02903, usa"
"Upstairs Bookshop","272-3139","206 Washington","Providence","RI","(*),(NS)",NA,1998,"Erotica","","206 Washington, Providence, RI",-71.416184,41.8218476,"206 washington st, providence, ri 02903, usa"
"Rittenhouse Hotel","546-9000/(800) 635-1042","210 W Rittenhouse Sq","Philadelphia","PA","(GF),(F)",NA,1998,"Accommodations","","210 W Rittenhouse Sq, Philadelphia, PA",-75.1731018,39.9498228,"210 w rittenhouse square, philadelphia, pa 19103, usa"
"Millennium Coffee","731-9798 open til midnight","212 S 12th St","Philadelphia","PA","(*),(NS)",NA,1998,"Cafes","","212 S 12th St, Philadelphia, PA",-75.1608093,39.948081,"212 s 12th st, philadelphia, pa 19107, usa"
"Rhino Coffee Roastery & Cafe","923-2630 7am-midnight, from 8:30am wknds","212 South St","Philadelphia","PA","(*),(NS)",NA,1998,"Cafes","","212 South St, Philadelphia, PA",-75.146124,39.9411206,"212 south st, philadelphia, pa 19147, usa"
"The Frog’s Pond","Oakland 682-7707","223 Atwood St","Oakland","PA","(MW),(D),(K),(S),(F)",NA,1998,"Bars & Nightclubs","Listed under ""Pittsburgh, PA""","223 Atwood St, Oakland, PA",-79.9568001,40.4407156,"223 atwood st, pittsburgh, pa 15213, usa"
"Swingers Books","845-9803","226 W Market St","York","PA","(*),(NS)",NA,1998,"Erotica","","226 W Market St, York, PA",-76.7327567,39.960582,"226 w market st, york, pa 17401, usa"
"Grass Roots Bookstore","754-7668 9am-7pm, til 9pm Fri, til 5:30pm Sat, 11am-5pm Sun; also full music section, espresso bar","227 SW 2nd St","Corvallis","OR","(WC)",NA,1998,"Bookstores & Retail Shops","","227 SW 2nd St, Corvallis, OR",-123.2604967,44.5625066,"227 sw 2nd st, corvallis, or 97333, usa"
"Michael's","829-9126 5pm-9pm, til 10:30pm Fri-Sat, 11am-3pm Sun, clsd Mon, Italian","239 Chestnut St","Philadelphia","PA","(*),(NS)",NA,1998,"Restaurants","","239 Chestnut St, Philadelphia, PA",-75.1457168,39.9487136,"239 chestnut st, philadelphia, pa 19106, usa"
