"title","description","streetaddress","city","state","type","amenityfeatures","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Corral","","54 S. Conception","Mobile","AL","Bars/Clubs","(C&W),(D),(*)",1983,NA,"","54 S. Conception, Mobile, AL",-88.0426607,30.6903954,"54 s conception st, mobile, al 36602, usa","Geocoded"
"Crews Pub","(Cruisy)","301 St. Fancis","Mobile","AL","Bars/Clubs,Cruising Areas","(PT),(*),(P)",1983,NA,"","301 St. Fancis, Mobile, AL",-88.0454665,30.6917997,"301 st francis st, mobile, al 36602, usa","Geocoded"
"David's","(Disco)","1304 Spring Hill Ave.","Mobile","AL","Bars/Clubs","(PT),(D),(*)",1983,NA,"","1304 Spring Hill Ave., Mobile, AL",-88.0655054,30.6928444,"1304 springhill ave, mobile, al 36604, usa","Geocoded"
"French Quarter","(Disco)","215 Conti St.","Mobile","AL","Bars/Clubs","(*),(YC),(D)",1983,NA,"","215 Conti St., Mobile, AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
"Hard Act","(Disco)","5558 Old Shell Rd","Mobile","AL","Bars/Clubs","(YC),(D),(*)",1983,NA,"","5558 Old Shell Rd, Mobile, AL",-88.1712523,30.6898922,"5558 old shell rd, mobile, al 36608, usa","Geocoded"
"Society Lounge","(Disco) (Many L, B)","53 Conception","Mobile","AL","Bars/Clubs","(D),(S),(L),(B)",1983,NA,"","53 Conception, Mobile, AL",-88.0423188,30.6905321,"53 s conception st, mobile, al 36602, usa","Geocoded"
"HoJon's","(Liquor)","215 N. Court St.","Montgomery","AL","Bars/Clubs","(S),(D),(E),(PT),(*)",1983,NA,"","215 N. Court St., Montgomery, AL",-86.3091889,32.3803807,"215 n court st, montgomery, al 36104, usa","Geocoded"
"Rainbow Phase II","(Disco) (Open Sun. & AH-WE*)","211 Race St.","Montgomery","AL","Bars/Clubs","(Hip),(D),(AH),(WE),(*)",1983,NA,"","211 Race St., Montgomery, AL",-86.3143012,32.3986058,"211 race st, montgomery, al 36104, usa","Geocoded"
"Consolidated Mine Co.","Holiday Inn, (Disco)","3170 Victory Dr.","Phenix City","AL","Hotel,Bars/Clubs","(M),(D)",1983,NA,"","3170 Victory Dr., Phenix City, AL",-84.9567596,32.4335408,"3170 victory dr, columbus, ga 31903, usa","Geocoded"
"Chucker's","","2121 6th St.","Tuscaloosa","AL","Bars/Clubs","(YC),(M),(PT),(*)",1983,NA,"","2121 6th St., Tuscaloosa, AL",-87.5641622,33.209905,"2121 6th st, tuscaloosa, al 35401, usa","Geocoded"
"Tivoli's","(Very M, YC) (Disco)","832 Hargrove Rd","Tuscaloosa","AL","Bars/Clubs","(M),(YC),(D)",1983,NA,"","832 Hargrove Rd, Tuscaloosa, AL",-87.5481803,33.1929818,"832 hargrove rd, tuscaloosa, al 35401, usa","Geocoded"
"Alice's","","210 E. 5th Ave.","Anchorage","AK","Restaurant","(M),(AH),(R),(C)",1983,NA,"","210 E. 5th Ave., Anchorage, AK",-149.8810305,61.217568,"210 e 5th ave, anchorage, ak 99501, usa","Geocoded"
"D St.","Book Mart","419 'D' St.","Anchorage","AK","Book Store","",1983,NA,"","419 'D' St., Anchorage, AK",-149.8894184,61.2180588,"419 d st, anchorage, ak 99501, usa","Geocoded"
"Hal's Place","(Some YC, W, SM) (Cruisy) (Good afternoons) (also apts-H above), nr. 6th","618 Gambell","Anchorage","AK","Bars/Clubs,Cruising Areas","(*),(YC),(SM),(D),(W)",1983,NA,"","618 Gambell, Anchorage, AK",-149.8716273,61.2162443,"618 gambell st, anchorage, ak 99501, usa","Geocoded"
"Jade Room","(2 floors)","701 'I' St.","Anchorage","AK","Bars/Clubs","(D),(PT),(*)",1983,NA,"","701 'I' St., Anchorage, AK",-149.899603,61.2155855,"701 i st, anchorage, ak 99501, usa","Geocoded"
"M.C.C.","","602 W. 10th Ave.","Anchorage","AK","Religious Institution","(MCC)",1983,NA,"","602 W. 10th Ave., Anchorage, AK",-149.8937712,61.2123448,"602 w 10th ave, anchorage, ak 99501, usa","Geocoded"
"The Village","(Disco) (Some L)","225 E. 5th Ave.","Anchorage","AK","Bars/Clubs","(YC),(D),(L),(*)",1983,NA,"","225 E. 5th Ave., Anchorage, AK",-149.8801505,61.2177897,"225 e 5th ave, anchorage, ak 99501, usa","Geocoded"
"Pioneer Hotel","(Very M)","401 1st Ave.","Fairbanks","AK","Hotel","(M)",1983,NA,"","401 1st Ave., Fairbanks, AK",-147.7161934,64.8439544,"401 1st ave, fairbanks, ak 99701, usa","Geocoded"
"Crystal Saloon","","418 S. Franklin St.","Juneau","AK","Bars/Clubs","(M),(D)",1983,NA,"","418 S. Franklin St., Juneau, AK",-134.4018519,58.2974416,"418 s franklin st, juneau, ak 99801, usa","Geocoded"
"St. Elmo's","(E-WE)","36 Brewery Gulch Ave.","Bisbee","AZ","Bars/Clubs","(M),(W),(PT),(E),(WE)",1983,NA,"","36 Brewery Gulch Ave., Bisbee, AZ",-109.9133562,31.448586,"36 brewery gulch, bisbee, az 85603, usa","Geocoded"
"Airbase Newstand","","13722 W. Glendale","Glendale","AZ","Book Store","",1983,NA,"","13722 W. Glendale, Glendale, AZ",-112.3556058,33.5373763,"13722 w glendale ave, luke afb, az 85307, usa","Geocoded"
"Book Cellars","(Books etc.)","2103 W. Camelback Rd.","Phoenix","AZ","Book Store","(*)",1983,NA,"","2103 W. Camelback Rd., Phoenix, AZ",-112.1044816,33.5093936,"2103 w camelback rd, phoenix, az 85015, usa","Geocoded"
"Barney's Books","","1421 E. McDowell Rd.","Phoenix","AZ","Book Store","",1983,NA,"","1421 E. McDowell Rd., Phoenix, AZ",-112.0510021,33.4655526,"1421 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Book Cellars","(Books etc.)","402 W. Hatcher","Phoenix","AZ","Book Store","(*)",1983,NA,"","402 W. Hatcher, Phoenix, AZ",-112.0800765,33.5714788,"402 w hatcher rd, phoenix, az 85021, usa","Geocoded"
"Book Cellars","(Books etc.)","1838 Grand Ave.","Phoenix","AZ","Book Store","(*)",1983,NA,"","1838 Grand Ave., Phoenix, AZ",-112.099079,33.4655022,"1838 grand ave, phoenix, az 85007, usa","Geocoded"
"Book Cellars","(Books etc.)","1524 E. Van Buren","Phoenix","AZ","Book Store","(*)",1983,NA,"","1524 E. Van Buren, Phoenix, AZ",-112.047963,33.451619,"1524 e van buren st, phoenix, az 85006, usa","Geocoded"
"Book Cellars","(Books etc.)","6527 N. 59th Ave.","Phoenix","AZ","Book Store","(*)",1983,NA,"","6527 N. 59th Ave., Phoenix, AZ",-112.185953,33.5323141,"6527 n 59th ave, glendale, az 85301, usa","Geocoded"
"Book Cellars","(Books etc.)","4806 W. Glendale","Phoenix","AZ","Book Store","(*)",1983,NA,"","4806 W. Glendale, Phoenix, AZ",-112.1625698,33.5387294,"4806 w glendale ave, glendale, az 85301, usa","Geocoded"
"Bronco's","(Opens 12 noon)","3015 N. 16th St.","Phoenix","AZ","Bars/Clubs","(*),(W),(PT)",1983,NA,"","3015 N. 16th St., Phoenix, AZ",-112.0473847,33.4825335,"3015 n 16th st, phoenix, az 85016, usa","Geocoded"
"Club Phoenix Baths","","1517 S. Black Canyon Hwy.","Phoenix","AZ","Bathhouses","(P)",1983,NA,"","1517 S. Black Canyon Hwy., Phoenix, AZ",-112.1072675,33.4337502,"1517 s black canyon hwy, phoenix, az 85009, usa","Geocoded"
"Connection","(Cruisy) (Some W, SM, FFA) (Leather boutique)","4211 N. 7th St.","Phoenix","AZ","Bars/Clubs,Cruising Areas","(*),(W),(SM),(FFA)",1983,NA,"","4211 N. 7th St., Phoenix, AZ",-112.0648,33.4969979,"4211 n 7th st, phoenix, az 85014, usa","Geocoded"
"Denny's","","500 N. 7th St.","Phoenix","AZ","Restaurant","(M),(R),(C),(AH)",1983,NA,"","500 N. 7th St., Phoenix, AZ",-112.0652037,33.4539129,"500 n 7th st, phoenix, az 85004, usa","Geocoded"
"Erotica Motel & Book Store","","5200 E. Van Buren","Phoenix","AZ","Book Store,Hotel","(H)",1983,NA,"","5200 E. Van Buren, Phoenix, AZ",-111.9694447,33.4510194,"5200 e van buren st, phoenix, az 85008, usa","Geocoded"
"Farrah's","(Disco)","4017 E. Indian School Rd.","Phoenix","AZ","Bars/Clubs","(D),(*)",1983,NA,"","4017 E. Indian School Rd., Phoenix, AZ",-111.9946803,33.4947588,"4017 e indian school rd, phoenix, az 85018, usa","Geocoded"
"Full Moon","(Disco)","3108 E. McDowell Rd.","Phoenix","AZ","Bars/Clubs","(L),(D)",1983,NA,"","3108 E. McDowell Rd., Phoenix, AZ",-112.0154798,33.4660821,"3108 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Goog's","","1812 E. Camelback Rd.","Phoenix","AZ","Restaurant","(M),(R),(AH)",1983,NA,"","1812 E. Camelback Rd., Phoenix, AZ",-112.0425603,33.5095721,"1812 e camelback rd, phoenix, az 85016, usa","Geocoded"
"Hotbods","(AH-WE) ('Hottest' Disco in Phoenix)","3437 E. McDowell Rd.","Phoenix","AZ","Bars/Clubs","(YC),(AH),(WE),(*),(D)",1983,NA,"","3437 E. McDowell Rd., Phoenix, AZ",-112.0065107,33.4653293,"3437 e mcdowell rd, phoenix, az 85008, usa","Geocoded"
"Grand Camel","(Some L)","5105 N. 43rd Ave.","Phoenix","AZ","Restaurant","(R),(L),(*)",1983,NA,"","5105 N. 43rd Ave., Phoenix, AZ",-112.1508691,33.5118594,"5105 n 43rd ave, phoenix, az 85019, usa","Geocoded"
"Hot Duds","(Mens clothing)","842 E. Indian School Rd.","Phoenix","AZ","Business","",1983,NA,"","842 E. Indian School Rd., Phoenix, AZ",-112.0630802,33.4953277,"842 e indian school rd, phoenix, az 85014, usa","Geocoded"
"Incognito Lounge","","2424 E. Thomas Rd.","Phoenix","AZ","Bars/Clubs","(L),(D)",1983,NA,"","2424 E. Thomas Rd., Phoenix, AZ",-112.028937,33.4806218,"2424 e thomas rd, phoenix, az 85016, usa","Geocoded"
"Little Jims 307","","222 E. Roosevelt","Phoenix","AZ","Bars/Clubs","(OC),(PT)",1983,NA,"","222 E. Roosevelt, Phoenix, AZ",-112.0701697,33.458806,"222 e roosevelt st, phoenix, az 85004, usa","Geocoded"
"Nu Towne Saloon","(Some W, YC) (Patio with Sun. buffet, 'Mon. beer bust')","5002 E. Van Buren","Phoenix","AZ","Bars/Clubs,Restaurant","(W),(YC),(PT),(*)",1983,NA,"","5002 E. Van Buren, Phoenix, AZ",-111.9739771,33.4514023,"5002 e van buren st, phoenix, az 85008, usa","Geocoded"
"M.C.C.","(Casa de Cristo)","1029 E. Turney","Phoenix","AZ","Religious Institution","(MCC)",1983,NA,"","1029 E. Turney, Phoenix, AZ",-112.0585822,33.499427,"1029 e turney ave, phoenix, az 85014, usa","Geocoded"
"Raggedy Ann","(Many L) (Disco)","2320 N. 32nd St.","Phoenix","AZ","Bars/Clubs","(L),(D)",1983,NA,"","2320 N. 32nd St., Phoenix, AZ",-112.0132176,33.4738256,"2320 n 32nd st, phoenix, az 85008, usa","Geocoded"
"R. Hegyi","(Cards & Gifts)","5150 N. 7th St.","Phoenix","AZ","Business","",1983,NA,"","5150 N. 7th St., Phoenix, AZ",-112.0652657,33.5126824,"5150 n 7th st, phoenix, az 85012, usa","Geocoded"
"Ramrod","(Patio) (Sun. beer bust)","395 N. Black Canyon Rd.","Phoenix","AZ","Restaurant","(SM),(W),(PT)",1983,NA,"","395 N. Black Canyon Rd., Phoenix, AZ",-112.1485918,33.8047692,"n black canyon blvd, phoenix, az 85086, usa","Geocoded"
"Royal Villa Motel","(Swim Pool)","1102 E. Turney Ave.","Phoenix","AZ","Hotel","(*)",1983,NA,"","1102 E. Turney Ave., Phoenix, AZ",-112.0578603,33.5003315,"1102 e turney ave, phoenix, az 85014, usa","Geocoded"
"Sammy's Steak House & Saloon","(Disco)","2125 E. McDowell","Phoenix","AZ","Restaurant,Bars/Clubs","(*),(R),(D),(S)",1983,NA,"","2125 E. McDowell, Phoenix, AZ",-112.0360397,33.465498,"2125 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Sportsmen Lounge","(Disco)","4622 N. 7th St.","Phoenix","AZ","Bars/Clubs","(D),(PT)",1983,NA,"","4622 N. 7th St., Phoenix, AZ",-112.0653062,33.5044119,"4622 n 7th st, phoenix, az 85014, usa","Geocoded"
"Shamoos","(Looking up) (S-WE)","3025 N. 24th St.","Phoenix","AZ","Bars/Clubs","(S),(WE)",1983,NA,"","3025 N. 24th St., Phoenix, AZ",-112.0297986,33.4833131,"3025 n 24 th street ac, phoenix, az 85016, usa","Geocoded"
"Timbers","(Hustlers)","702 N. Central","Phoenix","AZ","Bars/Clubs","(OC)",1983,NA,"","702 N. Central, Phoenix, AZ",-112.0742314,33.455716,"702 n central ave, phoenix, az 85004, usa","Geocoded"
"Tommy & Clydes","(wed. strip nites)","5749 N. 7th St.","Phoenix","AZ","Bars/Clubs","(OC),(D),(*)",1983,NA,"","5749 N. 7th St., Phoenix, AZ",-112.0646603,33.5217412,"5749 n 7th st, phoenix, az 85014, usa","Geocoded"
"Taylor's","(Garden Room) (Sun. brunch)","4223 N. 7th St.","Phoenix","AZ","Restaurant","(*),(R)",1983,NA,"","4223 N. 7th St., Phoenix, AZ",-112.0650497,33.4974185,"4223 n 7th st, phoenix, az 85014, usa","Geocoded"
"Trax","(Some levi, W, SM) (D.J. but no D)","1724 E. McDowell","Phoenix","AZ","Bars/Clubs","(W),(SM),(PT),(*)",1983,NA,"","1724 E. McDowell, Phoenix, AZ",-112.0445398,33.4660592,"1724 e mcdowell rd, phoenix, az 85006, usa","Geocoded"
"Travel Studio","","13843 N. Tatum Blvd.","Phoenix","AZ","Travel Service","",1983,NA,"","13843 N. Tatum Blvd., Phoenix, AZ",-111.976795,33.613089,"13843 n tatum blvd, phoenix, az 85032, usa","Geocoded"
"Womansplace","(Books, etc.)","2401 N. 32nd St.","Phoenix","AZ","Book Store","(L)",1983,NA,"","2401 N. 32nd St., Phoenix, AZ",-112.012356,33.4742565,"2401 n 32nd st, phoenix, az 85008, usa","Geocoded"
"Desert Squire","(clothing)","7112 5th Ave.","Scottsdale","AZ","Business","",1983,NA,"","7112 5th Ave., Scottsdale, AZ",-111.9278738,33.4984402,"7112 e 5th ave, scottsdale, az 85251, usa","Geocoded"
"Zobra's Book Shop","","2924 N. Scottsdale Rd.","Scottsdale","AZ","Book Store","(*)",1983,NA,"","2924 N. Scottsdale Rd., Scottsdale, AZ",-111.9266701,33.4812106,"2924 n scottsdale rd, scottsdale, az 85251, usa","Geocoded"
"Annex 1043","(Mexican) (Looks promising)","1043 E. Lemon","Tempe","AZ","Restaurant","(PT),(R)",1983,NA,"","1043 E. Lemon, Tempe, AZ",-111.9224631,33.4161146,"1043 e lemon st, tempe, az 85281, usa","Geocoded"
"Modern World Adult Books","","1812 E. Apache","Tempe","AZ","Book Store","",1983,NA,"","1812 E. Apache, Tempe, AZ",-111.9083036,33.4150236,"1812 e apache blvd, tempe, az 85281, usa","Geocoded"
"Coffee Pot","","1070 N. Twain","Tuscon","AZ","Restaurant","(M),(R)",1983,NA,"","1070 N. Twain, Tuscon, AZ",-111.064149,32.3701536,"n twain st, countryside valley, az 85742, usa","Geocoded"
"Books Brothers","","3244 E. Speedway","Tuscon","AZ","Book Store","",1983,NA,"","3244 E. Speedway, Tuscon, AZ",-110.9237097,32.2357998,"3244 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Book Cellar","","3844 E. Grant","Tuscon","AZ","Book Store","",1983,NA,"","3844 E. Grant, Tuscon, AZ",-110.9109751,32.2503442,"3844 e grant rd, tucson, az 85716, usa","Geocoded"
"Caesar's Book Store","('Wild back room' - best early evenings)","2540 N. Miracle Mile","Tuscon","AZ","Book Store","",1983,NA,"","2540 N. Miracle Mile, Tuscon, AZ",-111.0000831,32.2608476,"2540 w miracle mile, tucson, az 85705, usa","Geocoded"
"Book Cellar","","2505 N. Stone","Tuscon","AZ","Book Store","",1983,NA,"","2505 N. Stone, Tuscon, AZ",-110.9723419,32.2525199,"2505 n stone ave, tucson, az 85705, usa","Geocoded"
"Blue Willow","(R & Gifts)","3616 N. Campbell","Tuscon","AZ","Restaurant,Business","(M),(R)",1983,NA,"","3616 N. Campbell, Tuscon, AZ",-110.9434043,32.2723815,"3616 n campbell ave, tucson, az 85719, usa","Geocoded"
"Fun Tyme Adult Books","","86 N. Stone","Tuscon","AZ","Book Store","",1983,NA,"","86 N. Stone, Tuscon, AZ",-110.971132,32.2228039,"86 n stone ave, tucson, az 85701, usa","Geocoded"
"Desert Deli","","5039 E. 5th","Tuscon","AZ","Restaurant","(R),(C),(AH)",1983,NA,"","5039 E. 5th, Tuscon, AZ",-110.8848719,32.2291876,"5039 east 5th street, tucson, az 85711, usa","Geocoded"
"Down & Dirty","('D.D.'s) (Trying for W, SM) (Disco)","2308 N. Stone","Tuscon","AZ","Bars/Clubs","(SM),(D),(W)",1983,NA,"","2308 N. Stone, Tuscon, AZ",-110.9715502,32.2495668,"2308 n stone ave, tucson, az 85705, usa","Geocoded"
"Graduate","(Something for everyone) (Cocktail hour)","23 W. University","Tuscon","AZ","Bars/Clubs","(*),(D)",1983,NA,"","23 W. University, Tuscon, AZ",-110.9724985,32.231604,"23 w university blvd, tucson, az 85705, usa","Geocoded"
"Congress","","311 E. Congress","Tuscon","AZ","Bars/Clubs","(M),(OC),(RT)",1983,NA,"","311 E. Congress, Tuscon, AZ",-110.9668233,32.222337,"311 e congress st, tucson, az 85701, usa","Geocoded"
"Naughty Nel's","","1927 E. Speedway","Tuscon","AZ","Restaurant","(R)",1983,NA,"","1927 E. Speedway, Tuscon, AZ",-110.9428865,32.2365496,"1927 e speedway blvd, tucson, az 85719, usa","Geocoded"
"Joshua Tree","(Most macho disco) (Cruisy) ('Back Pocket' & patio in rear)","2921 N. 1st Ave.","Tuscon","AZ","Bars/Clubs,Cruising Areas","(*),(YC)",1983,NA,"","2921 N. 1st Ave., Tuscon, AZ",-110.9614212,32.260779,"2921 n 1st ave, tucson, az 85719, usa","Geocoded"
"Holy Trinity Comm. Church","","2213 N. Columbus","Tuscon","AZ","Religious Institution","",1983,NA,"","2213 N. Columbus, Tuscon, AZ",-110.9015567,32.2486545,"2213 n columbus blvd, tucson, az 85712, usa","Geocoded"
"M.C.C.","","349 W. 35th St.","Tuscon","AZ","Religious Institution","(MCC)",1983,NA,"","349 W. 35th St., Tuscon, AZ",-110.9743444,32.1931522,"349 w 35th st, tucson, az 85713, usa","Geocoded"
"Michael's","(Disco) (Looking up)","140 S. Kolb","Tuscon","AZ","Bars/Clubs","(D),(S)",1983,NA,"","140 S. Kolb, Tuscon, AZ",-110.8415548,32.2195235,"broadway seven thousand shopping center, 140 s kolb rd, tucson, az 85710, usa","Geocoded"
"Ruby's","","2512 E. Grant Rd.","Tuscon","AZ","Restaurant,Bars/Clubs","(R),(L),(D),(PT)",1983,NA,"","2512 E. Grant Rd., Tuscon, AZ",-110.9347403,32.2499477,"2512 e grant rd, tucson, az 85716, usa","Geocoded"
"Pleasure World","(Books 'n' things - erotica)","3814 E. Speedway","Tuscon","AZ","Book Store,Erotic Shop","",1983,NA,"","3814 E. Speedway, Tuscon, AZ",-110.9111051,32.2355719,"3814 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Rita's Rendezvous","(Sun. brunch)","3455 E. Grant Rd.","Tuscon","AZ","Restaurant","(*),(R)",1983,NA,"","3455 E. Grant Rd., Tuscon, AZ",-110.9188336,32.2509259,"3455 e grant rd, tucson, az 85716, usa","Geocoded"
"Pleasure World","(Books 'n' things - erotica)","1904 S. Craycroft","Tuscon","AZ","Book Store,Erotic Shop","",1983,NA,"","1904 S. Craycroft, Tuscon, AZ",-110.8754227,32.1994213,"1904 s craycroft rd, tucson, az 85711, usa","Geocoded"
"Sambo's","","1400 N. Miracle Mile","Tuscon","AZ","Restaurant","(M),(R),(C),(AH)",1983,NA,"","1400 N. Miracle Mile, Tuscon, AZ",-110.9955386,32.2615885,"1400 w miracle mile, tucson, az 85705, usa","Geocoded"
"The Bookstore Southwest","","1400 S. Alvernon","Tuscon","AZ","Book Store","",1983,NA,"","1400 S. Alvernon, Tuscon, AZ",-110.9100088,32.2050379,"1400 s alvernon way, tucson, az 85711, usa","Geocoded"
"Stables","(Baths)","3820 E. 40th St.","Tuscon","AZ","Bathhouses","(P),(*)",1983,NA,"","3820 E. 40th St., Tuscon, AZ",-110.9104275,32.1890921,"3820 e 40th st, tucson, az 85713, usa","Geocoded"
"Speedway Books","","3660 E. Speedway","Tuscon","AZ","Book Store","",1983,NA,"","3660 E. Speedway, Tuscon, AZ",-110.914303,32.2356324,"3660 e speedway blvd, tucson, az 85716, usa","Geocoded"
"Baragain Box","(Books & flicks) (Cruisy*)","240 E. 16th St.","Yuma","AZ","Book Store,Cruising Areas","(*)",1983,NA,"","240 E. 16th St., Yuma, AZ",-114.618662,32.6985259,"240 e 16th st, yuma, az 85364, usa","Geocoded"
"Cameo Bar","","232 S. 4th Ave.","Yuma","AZ","Bars/Clubs","(*)",1983,NA,"","232 S. 4th Ave., Yuma, AZ",-114.6247879,32.7226306,"232 s 4th ave, yuma, az 85364, usa","Geocoded"
"Red's Bird Cage","","231 S. Main","Yuma","AZ","Bars/Clubs","(*)",1983,NA,"","231 S. Main, Yuma, AZ",-114.6175253,32.7235331,"231 s main st, yuma, az 85364, usa","Geocoded"
"Sambo's","(AH-WE)","1400 E. 16th St.","Yuma","AZ","Restaurant","(M),(R),(C),(AH),(WE)",1983,NA,"","1400 E. 16th St., Yuma, AZ",-114.6061603,32.699286,"1400 e 16th st, yuma, az 85365, usa","Geocoded"
"Sky Chief","(Bar only - WE)","1530 E> 32nd St.","Yuma","AZ","Bars/Clubs","(M),(WE)",1983,NA,"","1530 E> 32nd St., Yuma, AZ",-114.6062893,32.6699735,"1530 e 32nd st, yuma, az 85365, usa","Geocoded"
"Log Cabin Inn & County Store","(April-Nov.)","42 Kings Highway","Eureka Springs","AR","Restaurant,Hotel","(M),(H),(R)",1983,NA,"","42 Kings Highway, Eureka Springs, AR",-93.7461076,36.3990807,"42 kingshighway, eureka springs, ar 72632, usa","Geocoded"
