"title","description","streetaddress","city","state","amenityfeatures","type","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"Flame","","115 W. Washington","Ann Arbor","MI","","Bars/Clubs",1984,NA,"","115 W. Washington, Ann Arbor, MI",-83.7493372,42.2801472,"115 w washington st, ann arbor, mi 48104, usa","Geocoded"
"Holiday Inn Bar","","300 W. 'F' St.","Casper","WY","(M)","Bars/Clubs",1984,NA,"","300 W. 'F' St., Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded"
"Holdings' Little America Lodge","(jet. of 1-25 & 1-80)","2200 W. Lincoln Way","Cheyenne","WY","(M)","Bars/Clubs",1984,NA,"","2200 W. Lincoln Way, Cheyenne, WY",-104.8415909,41.1227296,"2200 w lincolnway, cheyenne, wy 82001, usa","Geocoded"
"O.P. Taylor's Liquor Locker","(Some L) (E-WE)","100 Central","Cheyenne","WY","(M),(L),(PT),(E),(WE)","Bars/Clubs",1984,NA,"","100 Central, Cheyenne, WY",-104.8078436,41.1198661,"100 central ave, cheyenne, wy 82007, usa","Geocoded"
"Buckhorn","('Best bet')","114 Ivinson","Laramie","WY","(M),(W)","Bars/Clubs",1984,NA,"","114 Ivinson, Laramie, WY",-105.5953206,41.3119437,"114 e ivinson ave, laramie, wy 82070, usa","Geocoded"
"Holiday Inn Bar","","1801 E. Cedar","Rawlins","WY","(M)","Bars/Clubs",1984,NA,"","1801 E. Cedar, Rawlins, WY",-107.2177419,41.7924803,"1801 e cedar st, rawlins, wy 82301, usa","Geocoded"
"Harry's Bar","(Best Late)","1106 Opelika Hwy.","Auburn","AL","(M),(PT),(AYOR)","Bars/Clubs",1984,NA,"","1106 Opelika Hwy., Auburn, AL",-85.4584678,32.6196424,"1106 opelika rd, auburn, al 36830, usa","Geocoded"
"Basics","(Wed-Sun, AH-WE) (Some L)","912 N. 19th St.","Birmingham","AL","(*),(P),(L)","Bars/Clubs",1984,NA,"","912 N. 19th St., Birmingham, AL",-86.813443,33.52257,"912 19th st n, birmingham, al 35203, usa","Geocoded"
"Bill's Club","(Many L)","208 N. 23rd St.","Birmingham","AL","(D),(S),(*),(L)","Bars/Clubs",1984,NA,"","208 N. 23rd St., Birmingham, AL",-86.8025486,33.5176685,"208 23rd st n, birmingham, al 35203, usa","Geocoded"
"Gizmo","","909 S. 22nd St.","Birmingham","AL","(D),(WE),(AH)","Bars/Clubs",1984,NA,"","909 S. 22nd St., Birmingham, AL",-86.871374,33.48036,"909 22nd st sw, birmingham, al 35211, usa","Geocoded"
"Mamma's Kitchen","","1107 S. 20th St.","Birmingham","AL","(M),(R),(C),(AH)","Restaurant",1984,NA,"","1107 S. 20th St., Birmingham, AL",-86.869648,33.478548,"1107 20th st sw, birmingham, al 35205, usa","Geocoded"
"M.C.C.","","1019 23rd St. S.","Birmingham","AL","(MCC)","Religious Institution",1984,NA,"","1019 23rd St. S., Birmingham, AL",-86.792282,33.504375,"1019 23rd st s, birmingham, al 35205, usa","Geocoded"
"Pleasure Books","","7606 1st Ave. N","Birmingham","AL","","Book Store",1984,NA,"","7606 1st Ave. N, Birmingham, AL",-86.7296391,33.5606649,"7606 1st ave n, birmingham, al 35206, usa","Geocoded"
"Pussycat Adult Books","","7610 1st Ave. N.","Birmingham","AL","","Book Store",1984,NA,"","7610 1st Ave. N., Birmingham, AL",-86.7298691,33.5608012,"7610 1st ave n, birmingham, al 35206, usa","Geocoded"
"Steak 'n' Egg","","1717 10th Ave. S","Birmingham","AL","(M),(R),(C),(AH)","Restaurant",1984,NA,"","1717 10th Ave. S, Birmingham, AL",-86.8003581,33.5001766,"1717 10th ave s, birmingham, al 35205, usa","Geocoded"
"Waffle House","(Open 24 hrs)","Hwy. 32 S.","Decatur","AL","(M),(R)","Restaurant",1984,NA,"","Hwy. 32 S., Decatur, AL",-86.902298,32.3182314,"alabama, usa","Geocoded"
"The Kettle","","111 E. Limestone","Florence","AL","(M),(R)","Restaurant",1984,NA,"","111 E. Limestone, Florence, AL",-87.6728881,34.7971172,"111 e limestone st, florence, al 35630, usa","Geocoded"
"Atlantis","(Disco)","2572 Sparkman Dr. near Memorial Park","Huntsville","AL","(YC),(D),(WE)","Bars/Clubs",1984,NA,"","2572 Sparkman Dr. near Memorial Park, Huntsville, AL",-86.5975022,34.763722,"2572 sparkman dr nw, huntsville, al 35810, usa","Geocoded"
"Hide-A-Way","(Disco)","2011 Cox Ave.","Huntsville","AL","(YC),(D),(WE)","Bars/Clubs",1984,NA,"","2011 Cox Ave., Huntsville, AL",-86.6007523,34.7382361,"2011 cox ave nw, huntsville, al 35816, usa","Geocoded"
"Corral","","54 S. Conception","Mobile","AL","(C&W),(D),(*)","Bars/Clubs",1984,NA,"","54 S. Conception, Mobile, AL",-88.0426607,30.6903954,"54 s conception st, mobile, al 36602, usa","Geocoded"
"David's","(Disco)","1304 Spring Hill Ave.","Mobile","AL","(PT),(D),(*)","Bars/Clubs",1984,NA,"","1304 Spring Hill Ave., Mobile, AL",-88.0655054,30.6928444,"1304 springhill ave, mobile, al 36604, usa","Geocoded"
"French Quarter","(Disco)","215 Conti St.","Mobile","AL","(*),(YC),(D)","Bars/Clubs",1984,NA,"","215 Conti St., Mobile, AL",-88.0433046,30.690341,"215 conti st, mobile, al 36602, usa","Geocoded"
"Society Lounge","(Disco) (Many L,B)","53 Conception","Mobile","AL","(D),(S)","Bars/Clubs",1984,NA,"","53 Conception, Mobile, AL",-88.0423188,30.6905321,"53 s conception st, mobile, al 36602, usa","Geocoded"
"B&R Club","(Also AH) (Inquire locally)","211 Lee St.
Dignity-","Montgomery","AL","(P),(D),(PT),(AH),(*)","Bars/Clubs",1984,NA,"","211 Lee St.
Dignity-, Montgomery, AL",-86.3109548,32.3770616,"211 lee st, montgomery, al 36104, usa","Geocoded"
"HoJon's","(Liqour)","215 N. Court St.","Montgomery","AL","(S),(D),(E),(PT),(*)","Bars/Clubs",1984,NA,"","215 N. Court St., Montgomery, AL",-86.3091889,32.3803807,"215 n court st, montgomery, al 36104, usa","Geocoded"
"Consolidated Mine Co.","(Disco)","Holiday Inn 3170 Victory Dr.","Phenix City","AL","(M),(D)","Hotel,Bars/Clubs",1984,NA,"","Holiday Inn 3170 Victory Dr., Phenix City, AL",-84.9567596,32.4335408,"3170 victory dr, columbus, ga 31903, usa","Geocoded"
"Chucker's","","2121 6th St.","Tuscaloosa","AL","(YC),(M),(PT),(*)","Bars/Clubs",1984,NA,"","2121 6th St., Tuscaloosa, AL",-87.5641622,33.209905,"2121 6th st, tuscaloosa, al 35401, usa","Geocoded"
"Fat's","(Some M, YC)","213 S. 4th St.","Gadsen","AL","(M),(YC),(WE)","Bars/Clubs",1984,NA,"","213 S. 4th St., Gadsen, AL",-86.0040681,34.0116273,"213 s 4th st, gadsden, al 35901, usa","Geocoded"
"Alice's","","210 E. 5th Ave.","Anchorage","AK","(M),(R),(C),(AH)","Restaurant",1984,NA,"","210 E. 5th Ave., Anchorage, AK",-149.8810305,61.217568,"210 e 5th ave, anchorage, ak 99501, usa","Geocoded"
