"ID","title","amenityfeatures","description","streetaddress","type","city","state","unclear_address","Year","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
3242,"Six Webster Place","(MW)","487-2266 guest house, year round","6 Webster Pl.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","6 Webster Pl. ,  Provincetown ,  MA",-70.1890806,42.0510858,"6 webster pl, provincetown, ma 02657, usa","Geocoded"
5082,"Ocean Walk","(MX),(SW)","728-0855 guest house & public bars","1 Atlantic Place","Accomodations","San Juan","PR",NA,1992,"","","4/25/2023 9:32pm","1 Atlantic Place ,  San Juan ,  PR",-66.0578831,18.4540659,"1 c. atlantic place, san juan, 00911, puerto rico","Geocoded"
5081,"Numero Uno On The Beach","(*),(MX),(IGTA),(SW)","Ocean Park 726-5010/727-9687 guesthouse, bar & grille, continental breakfast","1 Calle Santa Ana","Accomodations","San Juan","PR",NA,1992,"","","5/18/2023 8:27am","1 Calle Santa Ana ,  San Juan ,  PR",-66.0551125,18.4543702,"1 c. sta. ana, san juan, 00911, puerto rico","Geocoded"
5076,"Atlantic Beach Hotel","(*),(MW),(D)","(Condado) 721-6900 bar & restaurant on premises","1 Calle Vendig","Accomodations","San Juan","PR",NA,1992,"","","4/25/2023 9:32pm","1 Calle Vendig ,  San Juan ,  PR",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Geocoded"
5742,"Chassman & Bem Booksellers","","Market Place 862-4332 gay/lesbian titles","1 Church St.","Bookstore/Retail Shops","Burlington","VT",NA,1992,"","","4/25/2023 9:32pm","1 Church St. ,  Burlington ,  VT",-73.2130269,44.4802156,"1 church st, burlington, vt 05401, usa","Geocoded"
3231,"Provincetown Inn","(MX),(F),(SW)","487-9500/(800)942-5388 full service hotel","1 Commercial St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","1 Commercial St. ,  Provincetown ,  MA",-70.1957199,42.0376425,"historic district, 1 commercial st, provincetown, ma 02657, usa","Geocoded"
2189,"Club One","(MW),(D),(S),(AH),(F)","232-0200 9pm-3am Mon-Thurs, til 4am Fri & Sat, 8pm-2am Sun","1 Jefferson St.","Bars","Savannah","GA",NA,1992,"","","4/25/2023 9:32pm","1 Jefferson St. ,  Savannah ,  GA",-81.0948312,32.080902,"1 jefferson st, savannah, ga 31401, usa","Geocoded"
4170,"Wall Street Sauna","(*)","(11th flr) 233-8900 11am-8pm Mon-Fri, noon-6pm Sat, clsd Sun","1 Maiden Ln.","Gyms/Health Clubs","Greenwich Village","NY",NA,1992,"","","4/25/2023 9:32pm","1 Maiden Ln. ,  Greenwich Village ,  NY",NA,NA,"NA","Geocoded"
4088,"Artists Cafe","(MX)","523-9493","1 Main St.","Restaurants & Cafes","Lake Placid","NY",NA,1992,"","","4/25/2023 9:32pm","1 Main St. ,  Lake Placid ,  NY",-73.9840428,44.2854201,"main st, lake placid, ny 12946, usa","Geocoded"
3391,"Community News Center","","City Center 458-2123 gay section, 9am-6:30pm, clsd Sun","1 Monroe Center","Bookstore/Retail Shops","Grand Rapids","MI",NA,1992,"","","5/18/2023 8:27am","1 Monroe Center ,  Grand Rapids ,  MI",-85.6690121,42.9637202,"1 monroe center st nw, grand rapids, mi 49503, usa","Geocoded"
4734,"Whittier News Stand","","592-0767, 24hrs","1 N. Lewis St.","Erotica","Tulsa","OK",NA,1992,"","","4/25/2023 9:32pm","1 N. Lewis St. ,  Tulsa ,  OK",-95.9570118,36.1608035,"1 n lewis pl, tulsa, ok 74110, usa","Geocoded"
5439,"Oak Lawn Travel","(IGTA)","Ste. 100C 528-9130","1 Turtle Creek Village","Travel & Tour Operators","Dallas","TX",NA,1992,"","","4/25/2023 9:32pm","1 Turtle Creek Village ,  Dallas ,  TX",-96.7982835,32.8188861,"1 turtle creek bend, dallas, tx 75204, usa","Geocoded"
3032,"Hippo","(*),(MW),(D),(V)","547-0069 3pm-2am","1 W. Eager St.","Bars","Baltimore","MD",NA,1992,"","","4/25/2023 9:32pm","1 W. Eager St. ,  Baltimore ,  MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded"
2964,"Sportsman's Club","(*),(D)","784-2251 8pm-1am","2 Bates St.","Bars","Lewiston","ME",NA,1992,"","","4/25/2023 9:32pm","2 Bates St. ,  Lewiston ,  ME",-70.2173331,44.1018535,"2 bates st, lewiston, me 04240, usa","Geocoded"
5085,"Barefoot Bar","(*),(H),(F)","(Condado) 724-7230 beach bar, open 24 hours, popular days","2 Calle Vendig","Bars","San Juan","PR",NA,1992,"","","4/25/2023 9:32pm","2 Calle Vendig ,  San Juan ,  PR",-66.0726432,18.4566065,"2 cll vendig, san juan, 00907, puerto rico","Geocoded"
5132,"Nan Max Travel","","272-2900/(800)842-3315 ask for Roger","2 Charles St.","Travel & Tour Operators","Providence","RI",NA,1992,"","","4/25/2023 9:32pm","2 Charles St. ,  Providence ,  RI",-71.4115313,41.8327151,"2 charles st, providence, ri 02904, usa","Geocoded"
3671,"West End Cafe","(MX)","361-2020","2 N. Euclid Ave.","Restaurants & Cafes","St. Louis","MO",NA,1992,"","","4/25/2023 9:32pm","2 N. Euclid Ave. ,  St. Louis ,  MO",-90.261994,38.640477,"2 n euclid ave, st. louis, mo 63108, usa","Geocoded"
3690,"Villa Book Shop","","","2 S. 27th lesbian/gay bookstore","Bookstore/Retail Shops","Billings","MT",NA,1992,"","","4/25/2023 9:32pm","2 S. 27th lesbian/gay bookstore ,  Billings ,  MT",-108.5028843,45.781014,"2 s 27th st, billings, mt 59101, usa","Geocoded"
3112,"Icarus","(MX)","426-1790 American cuisine","3 Appleton St.","Restaurants & Cafes","Boston","MA",NA,1992,"","","4/25/2023 9:32pm","3 Appleton St. ,  Boston ,  MA",-71.0697695,42.3466956,"3 appleton st, boston, ma 02116, usa","Geocoded"
5075,"3 Elena Guest House","(MW)","728-7418","3 Elena St.","Accomodations","San Juan","PR",NA,1992,"","","4/25/2023 9:32pm","3 Elena St. ,  San Juan ,  PR",-66.0461413,18.406538,"c. sta. elena, san juan, 00931, puerto rico","Geocoded"
5098,"Cafe Elena","(MW)","728-7418","3 Elena St.","Restaurants & Cafes","San Juan","PR",NA,1992,"","","4/25/2023 9:32pm","3 Elena St. ,  San Juan ,  PR",-66.0461413,18.406538,"c. sta. elena, san juan, 00931, puerto rico","Geocoded"
5111,"Raffles","(*),(MW),(D)","847-9663 7pm-1am Mon-Sat, from 5pm Sun","3 Farewell St.","Bars","Newport","RI",NA,1992,"","","4/25/2023 9:32pm","3 Farewell St. ,  Newport ,  RI",-71.3132894,41.490839,"3 farewell st, newport, ri 02840, usa","Geocoded"
4352,"New Chapter Books","","276-2191 general bookstore with gay/lesb titles","3 Heritage Hills","Bookstore/Retail Shops","Somers","NY",NA,1992,"","","4/25/2023 9:32pm","3 Heritage Hills ,  Somers ,  NY",-73.6884787,41.3314794,"3 heritage hills, somers, ny 10589, usa","Geocoded"
210,"Cedarberry Cottage B&B","(MX)","253-6115 private entrances & baths, outdoor hot tub, full breakfast","3 Kings Hwy","Accomodations","Eureka Springs","AR",NA,1992,"","","4/25/2023 9:32pm","3 Kings Hwy ,  Eureka Springs ,  AR",-93.7392889,36.4006499,"eureka springs, ar, usa","Geocoded"
2995,"Communiques","","773-5181 10am-6pm","3 Moulton St.","Bookstore/Retail Shops","Portland","ME",NA,1992,"","","4/25/2023 9:32pm","3 Moulton St. ,  Portland ,  ME",-70.2526999,43.6564851,"3 moulton st, portland, me 04101, usa","Geocoded"
2989,"Limelight, The","(*),(MW),(D),(S)","773-3315 5pm-1am","3 Spring St.","Bars","Portland","ME",NA,1992,"","","4/25/2023 9:32pm","3 Spring St. ,  Portland ,  ME",-70.2574098,43.6562263,"3 spring st, portland, me 04101, usa","Geocoded"
2991,"Underground","(*),(MW),(D),(SM)","773-3315 5pm-1am","3 Spring St.","Bars","Portland","ME",NA,1992,"","","4/25/2023 9:32pm","3 Spring St. ,  Portland ,  ME",-70.2574098,43.6562263,"3 spring st, portland, me 04101, usa","Geocoded"
3235,"Richmond Inn","","487-9193 year round","4 Conant st.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","4 Conant st. ,  Provincetown ,  MA",-70.1916503,42.0464954,"historic district, 4 conant st, provincetown, ma 02657, usa","Geocoded"
3252,"Atlantic House Hotel","(*),(D),(YC)","(The Big Room) 487-3821","4 Masonic Pl.","Bars","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","4 Masonic Pl. ,  Provincetown ,  MA",-70.1887645,42.0499565,"4 masonic pl, provincetown, ma 02657, usa","Geocoded"
3612,"Larry's Gifts & Cards","","753-4757, 10am-7pm Mon-Sat, noon-5pm Sun","4 W. 39th St.","Bookstore/Retail Shops","Kansas City","MO",NA,1992,"","","4/25/2023 9:32pm","4 W. 39th St. ,  Kansas City ,  MO",-94.5864906,39.0567107,"4 w 39th st, kansas city, mo 64111, usa","Geocoded"
1539,"Norwich Book & Video","","887-5058","5 Falls Ave.","Erotica","Norwich","CT",NA,1992,"","","4/25/2023 9:32pm","5 Falls Ave. ,  Norwich ,  CT",-72.0816745,41.524535,"5 falls ave, norwich, ct 06360, usa","Geocoded"
5766,"Island Reef Bar, Grill, & Inn","(MX)","776-0131 250 yr. old Danish guest house, courtyard","5 Garden St.","Accomodations","Charlotte Amalie","Virgin Islands",NA,1992,"","","4/25/2023 9:32pm","5 Garden St. ,  Charlotte Amalie ,  Virgin Islands",-64.9311202,18.342445,"5 garden st, charlotte amalie, st thomas 00802, usvi","Geocoded"
5151,"Arcade Club, The","(*),(D),(S),(YC)","577-9160 8pm-2:30am, til 3am Fri","5 Liberty St.","Accomodations","Charleston","SC",NA,1992,"","","4/25/2023 9:32pm","5 Liberty St. ,  Charleston ,  SC",-79.9350537,32.782803,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","Geocoded"
4651,"Why Not Cafe","(D),(NH),(S)","324-9304 8:30pm-1am Sun-Thurs, until 2:30am Fri & Sat, patio","5 N. Murray St.","Bars","Springfield","OH",NA,1992,"","","4/25/2023 9:32pm","5 N. Murray St. ,  Springfield ,  OH",-83.8005152,39.9243756,"5 n murray st, springfield, oh 45503, usa","Geocoded"
3569,"Independence Place","(MW),(D),(S)","334-2939 opens 8:30pm Mon-Thur, from 7pm Fri & Sat","5 S. Henderson St.","Bars","Cape Girardeau","MO",NA,1992,"","","4/25/2023 9:32pm","5 S. Henderson St. ,  Cape Girardeau ,  MO",-89.534041,37.3046278,"5 s henderson ave, cape girardeau, mo 63703, usa","Geocoded"
3658,"Magnolia's","(*),(F),(S)","652-6500 4pm-3am, dinner nightly","5 S. Vandeventer","Bars","St. Louis","MO",NA,1992,"","","4/25/2023 9:32pm","5 S. Vandeventer ,  St. Louis ,  MO",-90.2421163,38.6358874,"5 s vandeventer ave, st. louis, mo 63108, usa","Geocoded"
3246,"Victoria House","(MW)",", 487-4455 year round","5 Standish St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","5 Standish St. ,  Provincetown ,  MA",-70.1859761,42.0525478,"historic district, 5 standish st, provincetown, ma 02657, usa","Geocoded"
3241,"Shiremax Inn","(IGTA)","487-4621 guest house, year round","5 Tremont St.","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","5 Tremont St. ,  Provincetown ,  MA",-70.1929061,42.0449344,"historic district, 5 tremont st, provincetown, ma 02657, usa","Geocoded"
4936,"Karla's","(MX),(E)","862-2612 lunch & dinner, full bar","5 W. Mechanic St.","Restaurants & Cafes","New Hope","PA",NA,1992,"","","4/25/2023 9:32pm","5 W. Mechanic St. ,  New Hope ,  PA",-74.9507655,40.3618176,"5 w mechanic st, new hope, pa 18938, usa","Geocoded"
3219,"Five Winslow Guest House","(PC)","487-0456 accomodations by personal recommendation & reference","5 Winslow","Accomodations","Provincetown","MA",NA,1992,"","","4/25/2023 9:32pm","5 Winslow ,  Provincetown ,  MA",-70.1886058,42.0513789,"historic district, 5 winslow st, provincetown, ma 02657, usa","Geocoded"
2209,"Charo's Restaurant & Bar","(MX)","826-6422 Mexican & continental cuisine","5-7132 Kuhio Hwy.","Restaurants & Cafes","Haena, Kauai","HI",NA,1992,"","","4/25/2023 9:32pm","5-7132 Kuhio Hwy. ,  Haena, Kauai ,  HI",-159.5458265,22.2218367,"5-7132 kuhio hwy, hanalei, hi 96714, usa","Geocoded"
