"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Andrews Inn","(Ski Resort) (2 bars) (Disco) (Some L)","34 Village Square","Bellows Falls","VT",1980,"(H),(*),(R),(L),(D)","Bars/Clubs,Hotels,Restaurant,Business",NA,"34 Village Square, Bellows Falls, VT",-72.443933,43.134071,"32 square, bellows falls, vt 05101, usa","Geocoded",NA
"Twin Cities News","(Books) Twin Cities Shopping Plaza, Barre-Montpelier Rd.","Barre-Montpelier Rd.","Berlin","VT",1980,"","Book Store",NA,"Barre-Montpelier Rd., Berlin, VT",-72.5472486,44.2218853,"barre-montpelier rd, berlin, vt, usa","Geocoded",NA
"Acropolis","","60 Pearl St.","Burlington","VT",1980,"(M),(R)","Restaurant",NA,"60 Pearl St., Burlington, VT",-73.2164227,44.4805444,"60 pearl st, burlington, vt 05401, usa","Geocoded",NA
"Back Home Cafe","","21 Center St.","Rutland","VT",1980,"(M),(R)","Restaurant,Bars/Clubs",NA,"21 Center St., Rutland, VT",-72.97889,43.60674,"21 center st, rutland, vt 05701, usa","Geocoded",NA
"Mardi Gras","","40 Center St.","Rutland","VT",1980,"(*)","Bars/Clubs",NA,"40 Center St., Rutland, VT",-72.97824,43.6064643,"40 center st, rutland, vt 05701, usa","Geocoded",NA
"Andrews Inn","(Ski resort) (WE*) (2 bars) (Some G)","34 Village Square","Bellows Falls","VT",1979,"(WE),(*),(H),(R),(D),(G)","Bars/Clubs,Business,Hotels,Restaurant",NA,"34 Village Square, Bellows Falls, VT",-72.443933,43.134071,"32 square, bellows falls, vt 05101, usa","Geocoded",NA
"Nector's ","(Very M) (Upstairs) ","188 Main St.","Burlington","VT",1979,"(M)","Bars/Clubs",NA,"188 Main St., Burlington, VT",-73.2116919,44.4761844,"188 main st, burlington, vt 05401, usa","Geocoded",NA
"Taj Mahal","(Downstairs)","115 College","Burlington","VT",1979,"(*),(HIP),(M),(YC),(R),(D)","Bars/Clubs,Restaurant",NA,"115 College, Burlington, VT",-73.215192,44.476831,"115 college st, burlington, vt 05401, usa","Geocoded",NA
"Book King","(Books, etc.)","57 Merchants Row","Rutland","VT",1979,"","Book Store",NA,"57 Merchants Row, Rutland, VT",-72.9807534,43.6075409,"57 merchants row, rutland, vt 05701, usa","Geocoded",NA
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT",1979,"(M)","Bars/Clubs,Hotels",NA,"17 S. Main St., White River Junction, VT",-72.3187118,43.6483053,"17 s main st, white river junction, vt 05001, usa","Geocoded",NA
"Andrews Inn","(Ski resort) (2 bars) (Some G)","34 Village Square","Bellows Falls","VT",1978,"(H),(*),(R),(D),(G)","Hotels,Bars/Clubs,Restaurant",NA,"34 Village Square, Bellows Falls, VT",-72.443933,43.134071,"32 square, bellows falls, vt 05101, usa","Geocoded",NA
"Office Bar","","103 Church St.","Burlington","VT",1978,"(M),(RT)","Bars/Clubs",NA,"103 Church St., Burlington, VT",-73.2127958,44.4774979,"103 church st, burlington, vt 05401, usa","Geocoded",NA
"Taj Mahal","(Upstairs)","115 College","Burlington","VT",1978,"(HIP),(YC),(D),(M),(R)","Bars/Clubs,Restaurant",NA,"115 College, Burlington, VT",-73.215192,44.476831,"115 college st, burlington, vt 05401, usa","Geocoded",NA
"Book King","(Books, etc.)","57 Merchants Row","Rutland","VT",1978,"","Book Store",NA,"57 Merchants Row, Rutland, VT",-72.9807534,43.6075409,"57 merchants row, rutland, vt 05701, usa","Geocoded",NA
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT",1978,"(M)","Hotels,Bars/Clubs",NA,"17 S. Main St., White River Junction, VT",-72.3187118,43.6483053,"17 s main st, white river junction, vt 05001, usa","Geocoded",NA
"Andrews Inn","(Ski resort) (2 bars) (Some G) (Basement bar)","34 Village Square","Bellows Falls","VT",1977,"(H),(*),(R),(G)","Bars/Clubs,Restaurant,Hotels",NA,"34 Village Square, Bellows Falls, VT",-72.443933,43.134071,"32 square, bellows falls, vt 05101, usa","Geocoded",NA
"Millard Fillmore","","4 N. Winooski","Burlington","VT",1977,"(HIP),(YC),(G)","Bars/Clubs",NA,"4 N. Winooski, Burlington, VT",-73.2110093,44.4806742,"4 n winooski ave, burlington, vt 05401, usa","Geocoded",NA
"Office Bar","","103 Church St.","Burlington","VT",1977,"(M),(RT)","Bars/Clubs",NA,"103 Church St., Burlington, VT",-73.2127958,44.4774979,"103 church st, burlington, vt 05401, usa","Geocoded",NA
"Taj Mahal","(D)* (Upstairs) ","115 College","Burlington","VT",1977,"(D),(*),(M),(R)","Bars/Clubs,Restaurant",NA,"115 College, Burlington, VT",-73.215192,44.476831,"115 college st, burlington, vt 05401, usa","Geocoded",NA
"The Sting","(Some G)","135 Pearl St.","Burlington","VT",1977,"(M),(YC),(G)","Bars/Clubs",NA,"135 Pearl St., Burlington, VT",-73.2134569,44.480225,"135 pearl st, burlington, vt 05401, usa","Geocoded",NA
"Book King","(Books)","57 Merchants Row","Rutland","VT",1977,"","Book Store",NA,"57 Merchants Row, Rutland, VT",-72.9807534,43.6075409,"57 merchants row, rutland, vt 05701, usa","Geocoded",NA
"Hotel Cooldige Bar","","17 S. Main St.","White River Junction","VT",1977,"(M)","Bars/Clubs,Hotels",NA,"17 S. Main St., White River Junction, VT",-72.3187118,43.6483053,"17 s main st, white river junction, vt 05001, usa","Geocoded",NA
"Hi Hat Lounge","(WE*) (Upstairs- horse-shoe bar)","188 Main St.","Burlington","VT",1976,"(M),(WE),(*)","Bars/Clubs",NA,"188 Main St., Burlington, VT",-73.2116919,44.4761844,"188 main st, burlington, vt 05401, usa","Geocoded",NA
