"ID","title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","notes","Year","lastmodified","full.address","lon","lat","geoAddress","status"
4948,"Gaslight Cafe","(Cruisy-AH-Sat.)","158 King St.","Charleston","SC","(M),(R),(AH)","Restaurant,Cruising Areas",NA,"","",1986,"6/7/2022 1:31pm","158 King St., Charleston, SC",-79.9328254,32.7781107,"158 king st, charleston, sc 29401, usa","Geocoded"
3706,"Kappa Gamma Phi Fraternity","","159 S. Westminster","Atlantic City","NJ","(P),(H)","Hotel",NA,"","",1986,"3/17/2022 8:07pm","159 S. Westminster, Atlantic City, NJ",-74.4275791,39.3581068,"159 westminster ave, atlantic city, nj 08401, usa","Geocoded"
3950,"Julius","(Snacks, cruisy days)","159 W. 10th St.","New York","NY","(*)","Bars/Clubs,Cruising Areas",NA,"","",1986,"6/7/2022 1:32pm","159 W. 10th St., New York, NY",-74.0017116,40.7345329,"159 w 10th st, new york, ny 10014, usa","Geocoded"
3094,"Plums Guest House","","160 Bradford St.","Provincetown","MA","(M),(H)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","160 Bradford St., Provincetown, MA",-70.1837901,42.0553926,"historic district, 160 bradford st, provincetown, ma 02657, usa","Geocoded"
4923,"Y.M.C.A","(Cruisy gym)","160 Broad St.","Providence","RI","(M),(H)","Hotel,Gym,Cruising Areas",NA,"","",1986,"6/7/2022 1:32pm","160 Broad St., Providence, RI",-71.4167171,41.8169108,"160 broad st, providence, ri 02903, usa","Geocoded"
2058,"Laulima","(Organic) (Days only)","160 Kilauea","Hilo","HI","(M),(R)","Restaurant",NA,"","",1986,"2/23/2022 2:44pm","160 Kilauea, Hilo, HI",-155.0857192,19.7221415,"160 kilauea ave, hilo, hi 96720, usa","Geocoded"
2922,"Box Office Video","","160 Newbury","Boston","MA","","Theatre",NA,"","",1986,"3/11/2022 12:00pm","160 Newbury, Boston, MA",-71.0783526,42.3503554,"160 newbury st, boston, ma 02116, usa","Geocoded"
253,"Awful Annie's Cafe","","160 Sacramento","Auburn","CA","(M),(R)","Restaurant",NA,"","",1986,"1/28/2022 12:05pm","160 Sacramento, Auburn, CA",-121.0782493,38.8950237,"160 sacramento st, auburn, ca 95603, usa","Geocoded"
4070,"Michael's Thing","(Publication)","160 W. 46th St.","New York","NY","","Publication",NA,"","",1986,"3/24/2022 7:35pm","160 W. 46th St., New York, NY",-73.9844318,40.7580838,"160 w 46th st, new york, ny 10036, usa","Geocoded"
1018,"Animals","(F&S) (W,SM, FFA) (IGHC Baths) (Slings)","161 6th St.","San Francisco","CA","(F&S),(W),(SM),(FFA),(*),(IGHC)","Bathhouses",NA,"","",1986,"2/13/2022 3:02pm","161 6th St., San Francisco, CA",-122.4076742,37.7803772,"161 6th st, san francisco, ca 94103, usa","Geocoded"
3037,"Boatslip Motel & Bar","('Tops' days- Cruisy beach & pool) (T-D Disco, 3:30-6:30)","161 Commercial St.","Provincetown","MA","(H),(R),(*)","Hotel,Restaurant,Cruising Areas",NA,"","",1986,"6/7/2022 1:31pm","161 Commercial St., Provincetown, MA",-70.1901852,42.0470329,"historic district, 161 commercial st, provincetown, ma 02657, usa","Geocoded"
3069,"Gazelle Boutique","(At Boatslip)","161 Commercial St.","Provincetown","MA","","Business",NA,"","",1986,"3/11/2022 12:00pm","161 Commercial St., Provincetown, MA",-70.1901852,42.0470329,"historic district, 161 commercial st, provincetown, ma 02657, usa","Geocoded"
3074,"Just Men","(Boutique at the Boatslip)","161 Commercial St.","Provincetown","MA","","Bars/Clubs",NA,"","",1986,"3/11/2022 12:00pm","161 Commercial St., Provincetown, MA",-70.1901852,42.0470329,"historic district, 161 commercial st, provincetown, ma 02657, usa","Geocoded"
3834,"Kennedy's Corner","","161 Court St.","Binghamton","NY","(M),(R)","Restaurant",NA,"","",1986,"3/24/2022 7:35pm","161 Court St., Binghamton, NY",-75.9077851,42.0998423,"161 court st, binghamton, ny 13901, usa","Geocoded"
3879,"Buck 'n' Beau Bed & Board","(Reservations req.) (The Pines) (516) 597-6833 or (212) 243-1468","161 Ocean Walk","Fire Island","NY","(H),(R)","Hotel,Restaurant",NA,"","",1986,"3/24/2022 7:35pm","161 Ocean Walk, Fire Island, NY",-73.0726936,40.6633042,"161 ocean walk, sayville, ny 11782, usa","Geocoded"
4092,"Community Book Stores","(Brooklyn Heights) &","162 Montague St.","New York","NY","(M)","Book Store",NA,"","",1986,"3/24/2022 7:35pm","162 Montague St., New York, NY",-73.9928049,40.6941905,"162 montague st, brooklyn, ny 11201, usa","Geocoded"
1400,"Marty's Adult World","","162 Washington St.","Hartford","CT","","Erotic Shop",NA,"","",1986,"2/14/2022 11:51pm","162 Washington St., Hartford, CT",-72.681967,41.757606,"162 washington st, hartford, ct 06106, usa","Geocoded"
3043,"Captain & His Ship","","164 Commercial St.","Provincetown","MA","(H),(*)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","164 Commercial St., Provincetown, MA",-70.1903053,42.0474815,"historic district, 164 commercial st, provincetown, ma 02657, usa","Geocoded"
335,"Front Runner","(Publication)","164 N. Blackstone #119","Fresno","CA","","Publication",NA,"","",1986,"1/28/2022 10:18pm","164 N. Blackstone #119, Fresno, CA",NA,NA,NA,"Geocoded"
3106,"Sandpiper Beach House","(Pool)","165 Commercial St.","Provincetown","MA","(M),(H),(*)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","165 Commercial St., Provincetown, MA",-70.1899759,42.0474233,"historic district, 165 commercial st, provincetown, ma 02657, usa","Geocoded"
3046,"Casablanca Guest House","","166 Commercial St.","Provincetown","MA","(H)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","166 Commercial St., Provincetown, MA",-70.190348,42.0476016,"historic district, 166 commercial st, provincetown, ma 02657, usa","Geocoded"
1950,"The Place","(Set-ups) (Patio)","166 S, Harding St.","Albany","GA","(*),(D),(PT)","Bars/Clubs",NA,"","",1986,"2/22/2022 7:40pm","166 S, Harding St., Albany, GA",-84.1703281,31.5752559,"166 s harding st, albany, ga 31701, usa","Geocoded"
1949,"Gerrie's Lounge","","166 S. Harding","Albany","GA","","Bars/Clubs",NA,"","",1986,"2/22/2022 7:40pm","166 S. Harding, Albany, GA",-84.1703281,31.5752559,"166 s harding st, albany, ga 31701, usa","Geocoded"
1425,"York St. Books","","166 York St.","New Haven","CT","","Book Store",NA,"","",1986,"2/15/2022 12:35am","166 York St., New Haven, CT",-72.9321753,41.3080861,"166 york st, new haven, ct 06511, usa","Geocoded"
1378,"Bridgeport Country News","","167 Boston Ave.","Bridgeport","CT","(F&S)","Book Store",NA,"","",1986,"6/7/2022 2:06pm","167 Boston Ave., Bridgeport, CT",-73.1864887,41.2018621,"167 boston ave, bridgeport, ct 06610, usa","Geocoded"
1187,"Cricus Book Store","","167 E. Santa Clara","San Jose","CA","","Book Store",NA,"","",1986,"2/10/2022 10:05pm","167 E. Santa Clara, San Jose, CA",-121.8884196,37.3373541,"167 e santa clara st, san jose, ca 95112, usa","Geocoded"
1190,"Golden Gate Books","","167 E. Santa Clara","San Jose","CA","","Book Store",NA,"","",1986,"2/10/2022 10:06pm","167 E. Santa Clara, San Jose, CA",-121.8884196,37.3373541,"167 e santa clara st, san jose, ca 95112, usa","Geocoded"
2938,"G.C.N.","(Publication) (5th floor)","167 Tremont","Boston","MA","","Publication",NA,"","",1986,"3/11/2022 12:00pm","167 Tremont, Boston, MA",-71.0637782,42.3538005,"167 tremont st, boston, ma 02111, usa","Geocoded"
3847,"Emma Feminist Book Store","","168 Elmwood Ave.","Buffalo","NY","","Book Store",NA,"","",1986,"3/24/2022 7:35pm","168 Elmwood Ave., Buffalo, NY",-78.8774274,42.9015593,"168 elmwood ave, buffalo, ny 14201, usa","Geocoded"
384,"Today's Man","(Clothing)","168 Mountain Rd.","Laguna Beach","CA","","Business",NA,"","",1986,"1/28/2022 11:19pm","168 Mountain Rd., Laguna Beach, CA",-117.7752565,33.5316404,"168 mountain rd, laguna beach, ca 92651, usa","Geocoded"
1391,"Caesar's Health Paladium","(Gym)","168 Washington St.","Hartford","CT","(M)","Gym",NA,"","",1986,"2/13/2022 3:41pm","168 Washington St., Hartford, CT",-72.6818488,41.7573857,"168 washington st, hartford, ct 06106, usa","Geocoded"
1424,"Pub Cafe","(Cruisy patio late Sun. afternoons)
(Some Levi, W )","168 York St.","New Haven","CT","(*),(R),(W)","Restaurant,Cruising Areas",NA,"","",1986,"6/7/2022 1:32pm","168 York St., New Haven, CT",-72.932154,41.308158,"168 york st, new haven, ct 06511, usa","Geocoded"
3704,"Entertainers Club","an alley off New York nr. the Boardwalk","169 S. Westminister","Atlantic City","NJ","(*)","Bars/Clubs",NA,"","",1986,"3/17/2022 8:07pm","169 S. Westminister, Atlantic City, NJ",-74.4273446,39.3576816,"169 westminster ave, atlantic city, nj 08401, usa","Geocoded"
3743,"Cactus Club","(Disco)","170 Fleming Ave.","Newark","NJ","(YC),(D),(*)","Bars/Clubs",NA,"","",1986,"3/17/2022 8:07pm","170 Fleming Ave., Newark, NJ",-74.1393135,40.7325012,"170 fleming ave, newark, nj 07105, usa","Geocoded"
3735,"Cactus Club","(Disco)","170 Fleming Ave.","Ironbound","NJ","(S),(D)","Bars/Clubs",NA,"","",1986,"3/17/2022 8:07pm","170 Fleming Ave., Ironbound, NJ",-74.1393135,40.7325012,"170 fleming ave, newark, nj 07105, usa","Geocoded"
707,"Cafe Balthazar","","170 Forest Ave.","Pacific Grove","CA","(M),(L),(R)","Restaurant",NA,"","",1986,"2/4/2022 12:25am","170 Forest Ave., Pacific Grove, CA",-121.9178636,36.621583,"170 forest ave, pacific grove, ca 93950, usa","Geocoded"
3911,"The Rose","(Disco) (Cl. Mon.) (L-Tue., Men-Wed.)","170 Silverlake Rd.","Middletown","NY","(D),(L)","Bars/Clubs",NA,"","",1986,"3/24/2022 7:35pm","170 Silverlake Rd., Middletown, NY",-74.85051,41.7280137,"170 silver lake rd, swan lake, ny 12783, usa","Geocoded"
1255,"Golden Bull","","170 W . Channel Rd.","Santa Monica","CA","(R),(OC),(*)","Restaurant",NA,"","",1986,"2/12/2022 1:48am","170 W . Channel Rd., Santa Monica, CA",-118.517745,34.0290415,"170 w channel rd, santa monica, ca 90402, usa","Geocoded"
1271,"Pleasure Palace Books","(& adj. Bijou Theatre)(Cruisy)","171 W. Adams","Stockton","CA","","Book Store,Erotic Shop,Cruising Areas",NA,"","",1986,"6/7/2022 1:27pm","171 W. Adams, Stockton, CA",-121.30059,37.9726654,"171 w adams st, stockton, ca 95204, usa","Geocoded"
3293,"Big Stein","(Best late)","173 W. Broadway","Muskegon","MI","(M),(E),(PT)","Bars/Clubs",NA,"","",1986,"3/12/2022 3:19pm","173 W. Broadway, Muskegon, MI",-86.2491228,43.2009012,"173 w broadway ave, muskegon heights, mi 49444, usa","Geocoded"
3128,"White Wind Inn","(Some M, L)","174 Commercial St.","Provincetown","MA","(M),(L)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","174 Commercial St., Provincetown, MA",-70.1898829,42.0480392,"historic district, 174 commercial st, provincetown, ma 02657, usa","Geocoded"
4906,"Marti's","","174 Railroad St.","Central Falls","RI","(L),(D)","Bars/Clubs",NA,"","",1986,"4/12/2022 6:00pm","174 Railroad St., Central Falls, RI",-71.3856192,41.8892402,"174 railroad st, central falls, ri 02863, usa","Geocoded"
1458,"Discount Adult Books","","174 S. D upont H w y.","Wilmington","DE","","Book Store,Erotic Shop",NA,"","",1986,"6/7/2022 12:54pm","174 S. D upont H w y., Wilmington, DE",-75.5715099,39.7444538,"174 s dupont st h w, wilmington, de 19805, usa","Geocoded"
3888,"New Lining","(Disco) (Some L) (WE*)","175 Cherry Lane","Floral Park","NY","(D),(S),(L),(WE),(*)","Bars/Clubs",NA,"","",1986,"6/7/2022 2:23pm","175 Cherry Lane, Floral Park, NY",-73.6974651,40.7357093,"175 cherry ln, floral park, ny 11001, usa","Geocoded"
3030,"Anchor Inn Guest House","","175 Commercial St.","Provincetown","MA","(H),(*)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","175 Commercial St., Provincetown, MA",-70.1894411,42.047867,"historic district, 175 commercial st, provincetown, ma 02657, usa","Geocoded"
3080,"Long & Narrow","","177 Commercial St.","Provincetown","MA","(M),(R)","Restaurant",NA,"","",1986,"3/11/2022 12:00pm","177 Commercial St., Provincetown, MA",-70.189348,42.0479992,"historic district, 177 commercial st, provincetown, ma 02657, usa","Geocoded"
1170,"Roadrunner","","177 Eddy St.","San Francisco","CA","","Bars/Clubs",NA,"","",1986,"2/13/2022 3:02pm","177 Eddy St., San Francisco, CA",-122.4104021,37.783993,"177 eddy st, san francisco, ca 94102, usa","Geocoded"
3987,"Tempus Fugit","","178 2nd Ave.","New York","NY","","Bars/Clubs",NA,"","",1986,"3/24/2022 7:35pm","178 2nd Ave., New York, NY",-73.9859258,40.7304834,"178 2nd ave, new york, ny 10003, usa","Geocoded"
2208,"Wells Book Center","","178 N. Wells","Chicago","IL","","Book Store",NA,"","",1986,"2/27/2022 12:41am","178 N. Wells, Chicago, IL",-87.6330788,41.8853577,"178 n wells st, chicago, il 60606, usa","Geocoded"
3952,"La Grande Corniche","(at Uncle Charlie's)","180 Christopher St.","New York","NY","(PE),(M),(R)","Restaurant",NA,"","",1986,"3/24/2022 7:35pm","180 Christopher St., New York, NY",-74.0099772,40.7322754,"180 christopher st, new york, ny 10014, usa","Geocoded"
3979,"River Hotel","","180 Christopher St.","New York","NY","","Bars/Clubs,Hotel",NA,"","",1986,"6/7/2022 2:01pm","180 Christopher St., New York, NY",-74.0099772,40.7322754,"180 christopher st, new york, ny 10014, usa","Geocoded"
3994,"Uncle Charlie's Village","","180 Christopher St.","New York","NY","(*)","Bars/Clubs",NA,"","",1986,"3/24/2022 7:35pm","180 Christopher St., New York, NY",-74.0099772,40.7322754,"180 christopher st, new york, ny 10014, usa","Geocoded"
2981,"Paradise Cafe","(Cruisy)","180 Massachusetts Ave.","Cambridge","MA","(*),(PT)","Bars/Clubs,Cruising Areas",NA,"","",1986,"6/7/2022 1:27pm","180 Massachusetts Ave., Cambridge, MA",-71.0963684,42.3607713,"180 massachusetts ave, cambridge, ma 02139, usa","Geocoded"
3742,"Maddie's Mine Hill Tavern","(Many L)","181 Randolph Ave.","Mine Hill","NJ","(L),(D),(R),(PT)","Bars/Clubs,Restaurant",NA,"","",1986,"3/17/2022 8:07pm","181 Randolph Ave., Mine Hill, NJ",-74.6003191,40.8704129,"181 randolph ave, mine hill township, nj 07803, usa","Geocoded"
5761,"Double Decker Club","(Downstairs)","181 Walnut St.","Morgantown","WV","","Bars/Clubs",NA,"","",1986,"4/23/2022 12:56am","181 Walnut St., Morgantown, WV",-79.9562359,39.6300463,"181 walnut st, morgantown, wv 26505, usa","Geocoded"
3056,"Courtyard","","183 Commercial St.","Provincetown","MA","(M),(R)","Restaurant",NA,"","",1986,"3/11/2022 12:00pm","183 Commercial St., Provincetown, MA",-70.189072,42.048198,"historic district, 183 commercial st, provincetown, ma 02657, usa","Geocoded"
3087,"Normandy House","","184 Bradford St.","Provincetown","MA","(H),(*)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","184 Bradford St., Provincetown, MA",-70.1814645,42.0564266,"historic district, 184 bradford st, provincetown, ma 02657, usa","Geocoded"
1413,"Niche Cafe","(L only) (Disco) (Thu.-Sun.)","188 C lark St.","Milldale","CT","(L),(PT),(D)","Bars/Clubs",NA,"","",1986,"2/15/2022 12:21am","188 C lark St., Milldale, CT",-72.9006759,41.5665331,"188 clark st, new britain, ct 06051, usa","Geocoded"
1436,"The Niche","(L only) (Disco) (Thu.-Sun.)","188 Clark St.","Southington","CT","(L),(PT),(D)","Bars/Clubs",NA,"","",1986,"2/15/2022 12:45am","188 Clark St., Southington, CT",-72.9006759,41.5665331,"188 clark st, new britain, ct 06051, usa","Geocoded"
3814,"Le Most","(Cards & novelties)","189 Lark St.","Albany","NY","","Book Store",NA,"","",1986,"3/24/2022 7:35pm","189 Lark St., Albany, NY",-73.7637691,42.6565396,"189 lark st, albany, ny 12210, usa","Geocoded"
3112,"Spiritus","(Pizza, ice cream, expresso) (Cruisy AH*)","190 Commercial St.","Provincetown","MA","(R),(AH),(*)","Restaurant,Cruising Areas",NA,"","",1986,"6/7/2022 1:32pm","190 Commercial St., Provincetown, MA",-70.1894178,42.0487,"historic district, 190 commercial st, provincetown, ma 02657, usa","Geocoded"
4180,"Howard Johnson's","","190 Hendersonville Rd.","Asheville","NC","(M),(R),(C),(AH)","Restaurant",NA,"","",1986,"3/25/2022 1:51pm","190 Hendersonville Rd., Asheville, NC",-82.5408615,35.5636018,"190 hendersonville rd, asheville, nc 28803, usa","Geocoded"
4130,"Bunk House","(Cruisy) (Disco) (Montauk Hwy.)","192 N. Main St.","Sayville","NY","(*),(W),(D)","Bars/Clubs,Cruising Areas",NA,"","",1986,"6/7/2022 1:25pm","192 N. Main St., Sayville, NY",-73.0791184,40.7381533,"192 n main st, sayville, ny 11782, usa","Geocoded"
2317,"Hunter's, Ltd.","","193 E. Higgins","Elk Grove","IL","(D)","Bars/Clubs",NA,"","",1986,"2/27/2022 8:39pm","193 E. Higgins, Elk Grove, IL",-87.9852592,42.0275326,"193 e higgins rd, elk grove village, il 60007, usa","Geocoded"
3090,"Pied Piper","(Disco)","193-A Commercial St.","Provincetown","MA","(*),(D),(R),(PT),(L)","Bars/Clubs,Restaurant",NA,"","",1986,"6/7/2022 2:14pm","193-A Commercial St., Provincetown, MA",-70.188733,42.04863,"193 commercial st a, provincetown, ma 02657, usa","Geocoded"
5828,"Ball Game","(Some OC) (Cruisy)","196 S. 2nd St.","Milwaukee","WI","(V),(OC),(*)","Bars/Clubs,Cruising Areas",NA,"","",1986,"6/7/2022 1:25pm","196 S. 2nd St., Milwaukee, WI",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded"
3117,"The Ranch","(Some W, OC)","198 Commercial St.","Provincetown","MA","(H),(W),(OC),(*)","Hotel",NA,"","",1986,"3/11/2022 12:00pm","198 Commercial St., Provincetown, MA",-70.1892318,42.0488899,"historic district, 198 commercial st, provincetown, ma 02657, usa","Geocoded"
3029,"Alice's","","199 Commercial St.","Provincetown","MA","(M),(R)","Restaurant",NA,"","",1986,"3/11/2022 12:00pm","199 Commercial St., Provincetown, MA",-70.188903,42.0487972,"199 commercial st, provincetown, ma 02657, usa","Geocoded"
1041,"Rainbow Cattle Co.","","199 Valencia St.","San Francisco","CA","(PT),(C&W),(OC)","Bars/Clubs",NA,"","",1986,"2/13/2022 3:02pm","199 Valencia St., San Francisco, CA",-122.4221052,37.7700278,"199 valencia st, san francisco, ca 94103, usa","Geocoded"
2931,"Empire Rest. & Cafe","(24 hrs.)","200 Brookline","Boston","MA","","Bars/Clubs,Restaurant",NA,"","",1986,"3/11/2022 12:00pm","200 Brookline, Boston, MA",-71.0768322,42.3433296,"200 w brookline st, boston, ma 02118, usa","Geocoded"
5841,"Fannie's","","200 E. Washington","Milwaukee","WI","(L),(R),(D),(*)","Restaurant,Bars/Clubs",NA,"","",1986,"4/25/2022 1:29pm","200 E. Washington, Milwaukee, WI",-87.9096329,43.020368,"200 e washington st, milwaukee, wi 53204, usa","Geocoded"
5392,"Toys","(Many L) (Disco)","200 N. 29th","McAllen","TX","(L),(D)","Bars/Clubs",NA,"","",1986,"4/20/2022 2:05pm","200 N. 29th, McAllen, TX",-98.2527399,26.2089739,"200 n 29th st, mcallen, tx 78501, usa","Geocoded"
5252,"Other Place","(Disco) (Some L) (Go go boys)","200 N. Vacek","Ft. Worth","TX","(*),(YC),(D),(L)","Bars/Clubs",NA,"","",1986,"4/20/2022 2:05pm","200 N. Vacek, Ft. Worth, TX",-97.3518544,32.7605387,"200 n vacek st, fort worth, tx 76107, usa","Geocoded"
3440,"Gay People Alliance","U. of Mo.","200 Read Hall","Columbia","MO","","Organization",NA,"","",1986,"6/7/2022 12:39pm","200 Read Hall, Columbia, MO",-92.325254,38.9439446,"read hall, columbia, mo 65201, usa","Geocoded"
3580,"Sanctuary","(Some W, SM) (Leather shop)","200 S. 18th St.","Lincoln","NE","(W),(SM),(PT),(V),(*)","Bars/Clubs,Theatre",NA,"","",1986,"3/16/2022 2:55pm","200 S. 18th St., Lincoln, NE",-96.6949956,40.8122236,"200 s 18th st, lincoln, ne 68508, usa","Geocoded"
1582,"Goodtimers Pub","(Gay bar at Backstreet)","200 W. Broward","Ft. Lauderdale","FL","","Bars/Clubs",NA,"","",1986,"2/15/2022 7:42pm","200 W. Broward, Ft. Lauderdale, FL",-80.146162,26.121094,"200 w broward blvd, fort lauderdale, fl 33311, usa","Geocoded"
2644,"Ellwest Stereo Theatre","","200 W. Market St.","Louisville","KY","","Theatre",NA,"","",1986,"3/4/2022 2:19pm","200 W. Market St., Louisville, KY",-85.7537828,38.2547102,"200 w market st, louisville, ky 40202, usa","Geocoded"
