"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1980,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1980,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1979,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1979,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1978,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1978,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1977,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King Street","Frederiksted, St. Croix","(M)","Bars/Clubs",1977,NA,"14 King Street, Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1976,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1976,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross ","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1975,NA,"1 Queens Cross , Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1975,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(M),(*)","Bars/Clubs",1974,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","(M)","Bars/Clubs",1974,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1973,NA,"1 Nelike Gade, Charlotte Amalie, St. Thomas, ","-64.9307007",18.3419004,"charlotte amalie, st thomas 00802, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1973,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1973,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1972,NA,"1 Nelike Gade, Charlotte Amalie, St. Thomas, ","-64.9307007",18.3419004,"charlotte amalie, st thomas 00802, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1972,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1972,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
NA,"1 Nelike Gade","Charlotte Amalie, St. Thomas","(*)","Bars/Clubs",1971,NA,"1 Nelike Gade, Charlotte Amalie, St. Thomas, ","-64.9307007",18.3419004,"charlotte amalie, st thomas 00802, usvi","Geocoded",NA,NA,NA
NA,"1 Queens Cross","Christiansted, St. Croix","(*)","Bars/Clubs",1971,NA,"1 Queens Cross, Christiansted, St. Croix, ","-64.7013379",17.7427351,"1 queen cross st, christiansted, st croix 00820, usvi","Geocoded",NA,NA,NA
NA,"14 King St.","Frederiksted, St. Croix","","Bars/Clubs",1971,NA,"14 King St., Frederiksted, St. Croix, ","-64.8824811",17.7113441,"king st, frederiksted, st croix 00840, usvi","Geocoded",NA,NA,NA
"In alley off Main Street (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1977,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"In alley off Main St. (Norre Gade) S.E. of P.O.","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1976,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Can be cruisy in season)","","Charlotte Amalie, St. Thomas","(M)","Cruising Areas,Bars/Clubs",1980,"",", ","-64.920792",18.323221,"unclear_coded_by_hand","Found",NA,NA,NA
"On the Waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1971,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On the waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1973,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On the waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1972,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On the Waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1974,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On the Waterfront","","Charlotte Amalie, St. Thomas","(M)","Bars/Clubs",1975,"",", ","-64.939312",18.338567,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"9E &9J Gamble Norisideve's Tel: 809-774-5764","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1978,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"9E & 9J Gamble Norisdeve's Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1979,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Gamble Norisideve's Tel: (809)774-5764","","Charlotte Amalie, St. Thomas","(M)","Hotels,Bars/Clubs",1980,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Inquire locally","","Charlotte Amalie, St. Thomas","(B)","Bars/Clubs",1975,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Italian R) nr. Mafolie Hotel on Abortion Hill. Tel: (809)774-5764 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1979,"approximate location",", ","-64.931519",18.348732,"unclear_coded_by_hand","Found",NA,NA,NA
"(Italian R) nr Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1978,"approximate location",", ","-64.931519",18.348732,"unclear_coded_by_hand","Found",NA,NA,NA
"(Italian) Nr. Mafolie Hotel on Abortion Hill. Call 774-2390 for reservations and directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1976,"approximate location",", ","-64.931519",18.348732,"unclear_coded_by_hand","Found",NA,NA,NA
"(Italian R) nr. Mafolir Hotel on Abortion Hill. Call 774-2390 for reservations & directions","","Charlotte Amalie, St. Thomas","(M),(R)","Restaurant",1977,"approximate location",", ","-64.931519",18.348732,"unclear_coded_by_hand","Found",NA,NA,NA
"(Looks promising) Strand St.","","Christiansted, St. Croix","(M),(R)","Restaurant",1980,"",", ","-64.707195",17.744276,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On Raadets Gade, betw. Back Street (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","(HIP),(M),(YC)","Bars/Clubs",1977,"approximate location",", ","-64.932552",18.342657,"unclear_coded_by_hand","Found",NA,NA,NA
"On Raadets Gade, betw. Back St. (Vimmelskafts Gade) & Crystal Gade","","Charlotte Amalie, St. Thomas","(HIP),(M),(YC)","Bars/Clubs",1976,"approximate location",", ","-64.932552",18.342657,"unclear_coded_by_hand","Found",NA,NA,NA
"P.O. Box 1189, St. Thomas, V.I. Call (809) 774-1445","","Charlotte Amalie, St. Thomas","(H),(R),(E),(D)","Restaurant,Hotels",1977,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(This is the place- your hosts Larry & Jerry) (Bar) (Disco) (Swim pool) next to Hotel 1829 Tel: 809-774-1445. Box 1189 St. Thomas, V.I. 00801","","Charlotte Amalie, St. Thomas","(H),(R),(E),(D),(*)","Hotels,Restaurant,Bars/Clubs",1978,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(This is the place- your hosts Larry & Jerry (Bar) (Disco) (Swim pool) next to Hotel 1829. Box 1189, St. Thomas, V.I. 00801. Tel: (809) 774-5764","","Charlotte Amalie, St. Thomas","(*),(H),(R),(E),(D)","Bars/Clubs,Hotels,Restaurant",1979,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"(Some OC)(Best cocktail hour or late) (above the Safari)","","Charlotte Amalie, St. Thomas","(*),(OC)","Bars/Clubs",1980,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"On the Square","","Charlotte Amalie, St. Thomas","(H)","Hotels",1975,"",", ","-64.949961",18.338535,"unclear_coded_by_hand","Found",NA,NA,NA
"On the Waterfront","","Charlotte Amalie, St. Thomas","(M),(R),(E)","Restaurant",1979,"",", ","-64.933258",18.340352,"unclear_coded_by_hand","Found",NA,NA,NA
"(Disco) On the Waterfront","","Charlotte Amalie, St. Thomas","(M),(R),(D),(E)","Bars/Clubs,Restaurant",1980,"",", ","-64.933258",18.340352,"unclear_coded_by_hand","Found",NA,NA,NA
"(Best at cocktail hour) (Inquire locally)","","Charlotte Amalie, St. Thomas","(PE),(R),(E)","Restaurant",1980,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
"Government Hill above Post Office","","Charlotte Amalie, St. Thomas","(M),(H)","Hotels",1980,"approximate location",", ","-64.929034",18.344123,"unclear_coded_by_hand","Found",NA,NA,NA
"(swim pool) Lobster Pot (Dinner reservations required) & Anchor Room Lounge Best during cocktail hour of late. Overlooks Magens Bay- a 10 min. ride from town. Call (809) 774-4391 for reservations.","","Charlotte Amalie, St. Thomas","(M),(H),(*)","Bars/Clubs,Restaurant,Hotels",1976,"",", ","-64.930701",18.3419,"unclear_coded_by_hand","General Coordinates Used",NA,NA,NA
