"ID","title","amenityfeatures","description","streetaddress","unclear_address","city","state","type","uncleartype","notes","Year","Last.Modified","full.address","lon","lat","geoAddress","status"
724,"C.C. Construction Co.","(*),(M),(D),(L),(WC)","324-4241 2pm-2am, til 3am Fri-Sat, CW Sun, leather bar inside, patio","68449 Perez Rd.",NA,"Cathedral City","CA","Bars","","",1996,"6/6/2023 2:35pm","68449 Perez Rd. ,  Cathedral City ,  CA",-116.4678497,33.7841988,"68449 perez rd, cathedral city, ca 92234, usa","Geocoded"
5665,"Purple Onion","","226-9192, 24hrs","2702 Dickerson Rd.",NA,"Nashville","TN","Erotica","","location from previous entry's description",1996,"4/25/2023 9:20pm","2702 Dickerson Rd. ,  Nashville ,  TN",-86.7640126,36.2159159,"2702 dickerson pike, nashville, tn 37207, usa","Geocoded"
1482,"Thomas Floral & Adult Gifts","(WC)","(at Ellsworth) 744-6400 8:30am-6pm, til 5pm Sat, clsd Sun","1 Broadway Ste. 108",NA,"Denver","CO","Bookstores/Retail Shops","","",1996,"5/13/2023 10:12pm","1 Broadway Ste. 108 ,  Denver ,  CO",-104.9877955,39.7168385,"1 n broadway #108b, denver, co 80223, usa","Geocoded"
6491,"Numero Uno Guest House","(*),(GF),(SW),(WC)","Ocean Park 726-5010; also bar & grill","1 Calle Santa Ana",NA,"San Juan","PR","Accommodations","","",1996,"6/6/2023 2:53pm","1 Calle Santa Ana ,  San Juan ,  PR",-66.0551125,18.4543702,"1 c. sta. ana, san juan, 00911, puerto rico","Geocoded"
6484,"Atlantic Beach Hotel","(*),(MW),(SW),(IGTA)","Condado 721-6900 bar & restaurant on premises","1 Calle Vendig",NA,"San Juan","PR","Accommodations","","",1996,"6/6/2023 2:54pm","1 Calle Vendig ,  San Juan ,  PR",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Geocoded"
3384,"Provincetown Inn","(GF),(SW),(WC)","487-9500 hotel","1 Commercial St.",NA,"Provincetown","MA","Accommodations","","",1996,"4/25/2023 9:20pm","1 Commercial St. ,  Provincetown ,  MA",-70.1957199,42.0376425,"historic district, 1 commercial st, provincetown, ma 02657, usa","Geocoded"
1917,"Pier House Resort & Caribbean Spa","(GF),(SW)","296-4600/ (800) 327-8340 priv. beach, restaurants, bars, spa, fitness ctr.","1 Duval St.",NA,"Key West","FL","Accommodations","","",1996,"4/25/2023 9:20pm","1 Duval St. ,  Key West ,  FL",-81.8059108,24.5611624,"1 duval st, key west, fl 33040, usa","Geocoded"
5461,"Gerardo's","(MW),(D),(E),(WC)","274-5560 4pm-1am, til 2am Fri-Sat","1 Franklin Square",NA,"Providence","RI","Bars","","",1996,"4/25/2023 9:20pm","1 Franklin Square ,  Providence ,  RI",-71.4162673,41.8179551,"us-1 & franklin st, providence, ri 02903, usa","Geocoded"
4399,"One Hot Spot","(MW),(D),(MRC),(WC)","852-0139 5pm-3am","1 Front St.",NA,"Brooklyn","NY","Bars","","",1996,"4/25/2023 9:20pm","1 Front St. ,  Brooklyn ,  NY",-73.993247,40.7026459,"1 front st, brooklyn, ny 11201, usa","Geocoded"
5528,"Moon Jammers","(MW),(NH),(D),(A),(S),(PC),(WC)","Heritage Plaza 842-9195 8pm-2am","1 Pope Ave.",NA,"Hilton Head","SC","Bars","","",1996,"6/6/2023 2:57pm","1 Pope Ave. ,  Hilton Head ,  SC",-80.7615676,32.1530226,"1 pope ave, hilton head island, sc 29928, usa","Geocoded"
2320,"Club One","(MW),(D),(F),(S)","232-0200 5pm-3am","1 Jefferson St.",NA,"Savannah","GA","Bars","","",1996,"4/25/2023 9:20pm","1 Jefferson St. ,  Savannah ,  GA",-81.0948312,32.080902,"1 jefferson st, savannah, ga 31401, usa","Geocoded"
4351,"Wall Street Sauna","(*),(MO)","(11th flr.) 233-8900","1 Maiden Ln.",NA,"New York City","NY","Men's Clubs","","",1996,"6/6/2023 2:59pm","1 Maiden Ln. ,  New York City ,  NY",-74.0096846,40.7098301,"1 maiden ln, new york, ny 10038, usa","Geocoded"
4236,"Artists' Café","(BW)","523-9493 8am-10pm, discreetly frequented by gays","1 Main St.",NA,"Lake Placid","NY","Restaurants & Cafes","","",1996,"4/25/2023 9:20pm","1 Main St. ,  Lake Placid ,  NY",-73.9840428,44.2854201,"main st, lake placid, ny 12946, usa","Geocoded"
5069,"Whittier News Stand","","592-0767, 24hrs","1 N. Lewis St.",NA,"Tulsa","OK","Erotica","","",1996,"4/25/2023 9:20pm","1 N. Lewis St. ,  Tulsa ,  OK",-95.9570118,36.1608035,"1 n lewis pl, tulsa, ok 74110, usa","Geocoded"
3255,"Globe Corner Bookstore","","(800) 358-6013; also 49 Palmer St., Cambridge","1 School St.",NA,"Boston","MA","Bookstores/Retail Shops","","",1996,"4/25/2023 9:20pm","1 School St. ,  Boston ,  MA",-71.0583315,42.3574097,"1 school st, boston, ma 02108, usa","Geocoded"
3216,"Ivy House B&B","(GF)","549-7554 handsomely restored Colonial Cape (portions circa 1740) full brkfst","1 Sunset Ct.",NA,"Amherst","MA","Accommodations","","",1996,"4/25/2023 9:20pm","1 Sunset Ct. ,  Amherst ,  MA",-72.5276231,42.3828385,"1 sunset ct, amherst, ma 01002, usa","Geocoded"
5172,"Mikuni Travel Service","(IGTA)","227-3639/ (800) 248-0624","1 SW Columbia Ste. 1010",NA,"Portland","OR","Travel/Tour Operators","","",1996,"4/25/2023 9:20pm","1 SW Columbia Ste. 1010 ,  Portland ,  OR",-122.6755246,45.5133881,"1 sw columbia st ste. 1010, portland, or 97204, usa","Geocoded"
6508,"809 Café","","Condado 721-6900, Caribbean","1 Vendig St.",NA,"San Juan","PR","Restaurants & Cafes","","",1996,"6/6/2023 2:59pm","1 Vendig St. ,  San Juan ,  PR",-66.0723525,18.4571237,"1 cll vendig, san juan, 00907, puerto rico","Geocoded"
4058,"Sauvage","(W),(D),(F)","727-6619 7pm-3am","1 Victory Plaza",NA,"South Amboy","NJ","Bars","","",1996,"4/25/2023 9:20pm","1 Victory Plaza ,  South Amboy ,  NJ",-74.2970223,40.4946744,"1 victory plaza, south amboy, nj 08879, usa","Geocoded"
3253,"Mike's Gym","","338-6210","1 Waltham St.",NA,"Boston","MA","Gyms & Health Clubs","","",1996,"4/25/2023 9:20pm","1 Waltham St. ,  Boston ,  MA",-71.0678245,42.3408486,"1 waltham st, boston, ma 02118, usa","Geocoded"
3161,"Hippo","(*),(MW),(D),(K),(V),(WC)","547-0069 3pm-2am, 3 bars","1W. Eager St.",NA,"Baltimore","MD","Bars","","",1996,"4/25/2023 9:20pm","1W. Eager St. ,  Baltimore ,  MD",-76.6153221,39.3007281,"1 e eager st, baltimore, md 21202, usa","Geocoded"
3083,"The Sportsman's Club","(*),(MW),(D)","784-2251 8pm-1am, from 4pm Sun","2 Bates St.",NA,"Lewiston","ME","Bars","","",1996,"4/25/2023 9:20pm","2 Bates St. ,  Lewiston ,  ME",-70.2173331,44.1018535,"2 bates st, lewiston, me 04240, usa","Geocoded"
6495,"Barefoot Bar","(*),(M),(F)","Condado 724-7230 9am-3am, beach bar","2 Calle Vendig",NA,"San Juan","PR","Bars","","",1996,"6/6/2023 2:59pm","2 Calle Vendig ,  San Juan ,  PR",-66.0726432,18.4566065,"2 cll vendig, san juan, 00907, puerto rico","Geocoded"
682,"Dimensions in Travel, Inc.","","883-3245x202/ (800) 828-2962","2 Commercial Blvd.",NA,"Novato","CA","Travel/Tour Operators","","",1996,"4/25/2023 9:20pm","2 Commercial Blvd. ,  Novato ,  CA",-122.5352485,38.0681087,"2 commercial blvd, novato, ca 94949, usa","Geocoded"
3231,"Thoreau's Walden B&B","(GF)","259-1899 across the road & w/in sight of historic Walden Pond, full brkfst","2 Concord Rd.",NA,"Lincoln","MA","Accommodations","","",1996,"6/6/2023 3:01pm","2 Concord Rd. ,  Lincoln ,  MA",-71.3326588,42.43956,"2 concord rd, lincoln, ma 01773, usa","Geocoded"
5293,"Grown Ups","","862-9304, opens 11am","2 E. Mechanic St.",NA,"New Hope","PA","Erotica","","",1996,"4/25/2023 9:20pm","2 E. Mechanic St. ,  New Hope ,  PA",-74.9504308,40.3619975,"2 e mechanic st, new hope, pa 18938, usa","Geocoded"
3127,"Adventure Travel, Inc.","(IGTA)","885-5060/ (800) 234-6252","2 Elsie Wy.",NA,"Scarborough","ME","Travel/Tour Operators","","",1996,"6/6/2023 3:01pm","2 Elsie Wy. ,  Scarborough ,  ME",-70.348176,43.602656,"2 elsie way, scarborough, me 04074, usa","Geocoded"
4239,"Ujjala's B&B","","255-6360, 1910 Victorian house nestled among apple trees, full bkfst; stress mgmnt, body therapy, sweat lodges","2 Forest Glen",NA,"New Paltz","NY","Accommodations","","",1996,"4/25/2023 9:20pm","2 Forest Glen ,  New Paltz ,  NY",-74.1185592,41.7022745,"2 forest glen rd, new paltz, ny 12561, usa","Geocoded"
4007,"Network, For the 10% Plus","","754-2288","2 Julie Dr.",NA,"Edison","NJ","Publications","","",1996,"4/25/2023 9:20pm","2 Julie Dr. ,  Edison ,  NJ",-74.3757459,40.5966902,"2 julie dr, edison, nj 08820, usa","Geocoded"
